,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,-0.7385133698584453,4.4713074819014595,10.795967856687852,18.17779571648651,25.44414883716888,33.77451765654256,40.9069829940825,46.17213613185507,49.69195694588767,54.40726129651125,57.617163360372736,60.60532629780877,65.28242753399972,69.01658642174633,71.91607350700535,73.37073268716864,75.33574869851543,76.18440571814175,77.20098154019844,78.36041042678126,79.48485506899524,80.12302010844661,80.98108161318595,81.85684711857573,82.43586248863507,82.79293811394646,83.0914708540647,83.1887675659652,83.84603449641781,84.22758856195861,84.59735666405344,85.01066435060868,85.33990705316138,85.69195442025546,85.85445713927442,86.2080606199156,86.50497408477531,86.60332674594702,87.00959920493004,87.14474444495734,87.19664157166115,87.29000199281849,87.36588769403014,87.47245685743879,87.51635579908954,87.59537801151728,87.73237809439298,87.75950284475599,87.77599036592966,87.86199896280922,87.9350860454551,87.99761974083437,88.06768034479002,88.13943636676433,88.18157760978798,88.27345394379239,88.2996884961983,88.34933479011522,88.42447324258823,88.51186662030399,88.57795615240248,88.57812353133794,88.6218652388037,88.67923185544365,88.75914918380472,88.79981575463842,88.85370641308684,88.9447294543548,88.98637036295779,88.99623020146872,89.09199236257707,89.12948481819517,89.15279518267135,89.18819092228479,89.18819092228479,89.20567669111837,89.21197669111837,89.21197669111837,89.22019886463332,89.22019886463332,89.24079157205253,89.25217039538414,89.26801477242796,89.27266117480572,89.27845646251572,89.27845646251572,89.2984878457,89.2984878457,89.31713566481916,89.32346490365202,89.32346490365202,89.33421317091684,89.3555558633617,89.3555558633617,89.35762333546191,89.37923740450766,89.3798410942853,89.39910810324884,89.39910810324884,89.41482368518169,89.41698229683709
Trial_2,-0.07318317649965167,5.678579385638995,14.103236906511567,25.775369812795745,37.707271277239954,45.823763426371485,54.277737978148664,61.70125470192833,68.04043333815967,72.8011825318547,75.64046471322105,77.6784326098246,79.86422412778246,81.77962272181959,82.75107189150563,83.91058804913507,84.55164527850656,85.37018320806835,85.89647724232131,86.0794407304572,86.52874084606108,86.72280168565595,86.87470565705314,86.98072670128572,87.01891005309328,87.09999968433598,87.18103464543901,87.27831105934247,87.3768325740466,87.39654706840352,87.45392466786059,87.48134441624732,87.49756593882044,87.53240908980442,87.5959106635511,87.64554797777788,87.6960557571486,87.70762792840688,87.79711397019292,87.82816462786427,87.82816462786427,87.87573218051777,87.9285803962608,87.9807257308958,88.01931316923655,88.0375295458813,88.0554611167114,88.09684011616207,88.148477148448,88.18018317195657,88.24386842738573,88.29004582860307,88.35693952040936,88.39411845803333,88.45033066483579,88.55591884620982,88.57623100425218,88.59653576440111,88.6444612681691,88.67480977832537,88.70373859278553,88.733831979074,88.78008004007388,88.82087240534136,88.84858829722668,88.88442460792032,88.95450893348705,88.98902969674451,88.99546469157366,89.01149572437429,89.01824275200151,89.04670804082649,89.07114365290417,89.08494748647554,89.12286874810273,89.1420194072798,89.18864455580264,89.18864455580264,89.20145330905375,89.25131452971857,89.27069997563711,89.30215944607622,89.32778563528456,89.3515766129786,89.36303098136915,89.40359811678081,89.42216262451477,89.43982015845911,89.44556106942764,89.4514414055966,89.46583614215793,89.48396069004622,89.49093103734917,89.51404209192933,89.5204041908592,89.53090013735269,89.5409704463903,89.54777757422715,89.56676907655186,89.56676907655186,89.58028329047012
Trial_3,-1.4710189346007025,4.3547061252097725,11.048547449068542,19.54844383033584,28.296797224399008,34.94255244915994,39.226449040689765,42.85111221073332,45.88414758589133,49.32116219968679,51.6607462287986,54.029408125257866,55.68013129695429,57.87534761764348,59.99433142489724,60.66132759282664,62.138508275220154,63.3840451402439,65.8616050850078,67.67275757373326,69.32050907183252,70.1141579198216,70.93068007541058,71.87891865433782,73.69912424115473,75.61707409059767,76.71355418035294,77.43706755693962,78.35048199206102,79.645277275659,80.90349568414145,81.85114070911334,82.44662194166204,82.75054398501443,83.11698568502514,83.53203302899196,83.8858831056883,84.00345908240433,84.51790800025016,85.03845586215306,85.21506897512849,85.43165008299657,85.50899890186284,85.56955929771331,85.6548184451185,85.72768018650326,85.78582024090115,85.88314437965339,86.01403479407043,86.13565872374555,86.244100186013,86.34130032051195,86.40580945523568,86.43286941054085,86.5031339492344,86.6032393595624,86.66032270655717,86.69746072438757,86.71448955994023,86.76181646942314,86.83704879252652,86.86505776385351,86.91822265001927,86.92753948007517,86.99093560604224,87.01809057471246,87.03823417781318,87.07950541982308,87.10476876481225,87.10476876481225,87.1403452184617,87.16008136098733,87.19754319008445,87.20487398657913,87.22585253248297,87.26843442251226,87.31269102327587,87.3318093909181,87.36023513608592,87.4113830811386,87.4376778557516,87.47937457878014,87.52389046843936,87.5348839654734,87.54704716593656,87.57291805946033,87.59524930897314,87.631801226387,87.63952662361048,87.6750678726099,87.70739361299107,87.72055170737211,87.74454685991469,87.76340127536112,87.79749566080416,87.8519431145502,87.8519431145502,87.88057968358335,87.89748341327426,87.91696955710553,87.92194749264146
Trial_4,-0.673923060368253,4.666024134178823,10.990362668683733,21.203629539319124,34.26637650389733,46.65068396963281,57.91494700996431,66.84668230511893,73.50520286841873,78.6322976412302,82.73009888497808,84.27013770042909,85.27930208079943,85.47737554581579,85.6808815324213,85.82139723832232,85.9543458862888,86.01970118416634,86.13142038769236,86.22784647340991,86.30851536141243,86.35643376488629,86.42957632284084,86.47715418703255,86.55319235671386,86.58485199666434,86.62924952577312,86.67299094895196,86.69848048678469,86.74081540507227,86.75439318484241,86.76893552394871,86.80745414952067,86.85864837321633,86.86534916814024,86.90152427742196,86.91554684221664,86.945893649494,86.97651471961673,86.99900922922636,87.00472593494797,87.03317874325747,87.0425048339515,87.0721302372614,87.07438189827567,87.0774957121387,87.09020872139368,87.09794775683407,87.11027149395471,87.12447446578939,87.14390061072874,87.15780993984336,87.16479603848944,87.16522312724518,87.19522728135607,87.2077387915845,87.22100216413786,87.2281975479715,87.23727555032528,87.26079976761201,87.26468062272583,87.28851774835917,87.2951731691851,87.30954440975898,87.32271505225508,87.3323542928421,87.34017920735981,87.3498821711012,87.37074972692928,87.37235273193697,87.37998386578143,87.38934156899926,87.39323929912105,87.39878425422445,87.41182643398867,87.41220228879371,87.42174687959857,87.42294051422533,87.4244341488521,87.43353074722025,87.44050150419865,87.45670959656738,87.46812359163472,87.47750745114249,87.4873871897691,87.49232985897721,87.4950445834537,87.49925094882694,87.50068782476838,87.52395429521629,87.53275725895769,87.54036022269908,87.54855440178784,87.56330309746329,87.57164197451104,87.57307717995991,87.58890856893562,87.59041493430885,87.59131493430883,87.5940085689356,87.60550516730376
Trial_5,0.32229155281680805,6.26329697566924,13.411312447372543,23.244775092644108,33.05339596729691,41.082520632784075,46.429294245632676,50.86046926054924,52.90332213440024,53.758000810001285,54.563521068931095,55.32182313745726,56.076684736197834,57.003252718846376,57.01228296863068,57.01475384876246,57.01702565312979,57.01758084623097,57.01795907496808,57.01886651115972,57.019648794043185,57.02045613963577,57.02121501099613,57.02183519623887,57.022392009277134,57.022999615896886,57.023455320861714,57.02436673079134,57.0249743374111,57.02565789485834,57.02641740313304,57.027480714717605,57.028164911491785,57.02825408351455,57.02844516642046,57.028598032745194,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952,57.02873816020952
Trial_6,-0.4781136108889062,4.909657039302726,11.644666905091844,20.783408307146583,30.37741659531122,37.252376190463636,42.6785159096427,45.856337231024206,47.2353668691378,48.95334354799857,50.1791435997018,51.18125780267925,51.75356662995122,52.06907741919635,52.33827988609505,52.56491706436444,52.878235322633245,53.191447779197425,53.54734878829308,53.94708892943296,54.124349043530955,54.52310573783074,54.877231089632104,55.406775537111564,55.75980131769064,56.15651505706403,56.64158119473389,56.86358423726273,56.86436605574902,56.866360999994704,56.867684055451974,56.869090715032726,56.87082150757202,56.87126702998148,56.871689463161665,56.87188336875635,56.8731666320218,56.87358919186532,56.87419747482543,56.87467553555543,56.874957287261715,56.87580450036384,56.87592394143972,56.87637996230379,56.8766415125674,56.87789627157301,56.87850475572955,56.923288076801015,56.92338561114129,56.92391961977808,56.92437925810435,56.92468387314748,56.92488017170794,56.92518545462187,56.9253389754536,56.925426123629265,56.92561161137469,56.925830462960576,56.92638766708758,56.92691196000527,56.92708680140391,56.92738376486133,56.92738376486133,56.92740569472105,56.927504415264465,56.92764757860421,56.92764757860421,56.92764757860421,56.92764757860421,56.927812379404585,56.927812379404585,56.972063555865155,56.972063555865155,56.97208555807426,56.972151930730305,56.972185006925905,56.97222915732313,56.97222915732313,56.97235068148097,56.972428055241565,56.9724721325417,56.97249415900904,56.972538309406275,56.97257133697816,56.97257133697816,56.972582338082724,57.01681160883531,57.01681160883531,57.0168889825959,57.016910984805,57.016977357461045,57.0169883585656,57.06123970440924,57.06123970440924,57.106203348189275,57.10622535039836,57.10631404452006,57.10631404452006,57.10631404452006,57.10631404452006,57.15118899417841
Trial_7,-0.30818213168356323,4.895504044641395,12.676055127346158,21.89427039595955,32.669543642137626,42.81886357772905,53.21682805554741,60.100414417707725,64.99798389082207,69.8079563253219,72.7600419495643,74.98466739627645,76.27245229773071,78.22985205607537,80.28807828716722,81.66846780592948,82.7765147907592,83.94653764415013,84.53829571645258,85.45429514476953,85.77302983673644,86.00079859138376,86.20243764365965,86.338908509244,86.48839864775465,86.53918805104207,86.72037461217927,86.82332680244009,86.92475079558622,87.02019619202511,87.0926018545238,87.23501401397061,87.27424610408858,87.36312305960253,87.40045377442326,87.5258938823728,87.61209573274036,87.71703735810188,87.75277963010421,87.84295044804114,87.91637803890809,87.97665967659644,88.0273505164857,88.11064895346628,88.253919936618,88.30856516079389,88.34775008192726,88.45446253170867,88.54135711910017,88.60132332981604,88.73689676223321,88.77696964576771,88.8351625606296,88.8727778857385,88.91348838902454,89.05325574415261,89.12949685269665,89.17675339115223,89.20477236956495,89.26180236011143,89.39792706602897,89.48090599202152,89.53692797518315,89.58317518991808,89.63624470469398,89.7134137074687,89.7389638261278,89.79896954839485,89.84645131533836,89.87449550199848,89.91147389071303,89.94677188611293,89.99416526417292,90.05466583905938,90.0609212180394,90.1114012560273,90.1993928272184,90.24324517041929,90.28824454110833,90.31701074654178,90.36054865650978,90.40841881172081,90.42084886058063,90.44589548323502,90.48551604863361,90.48572104257023,90.4995415371527,90.54891026082879,90.56121444620548,90.56525660109146,90.59603104309372,90.64009709614102,90.64791966974812,90.67975981140809,90.71702543512579,90.72431159186546,90.76893835488038,90.78581724006227,90.81695969977434,90.82330070761991,90.84304648538345
Trial_8,-0.4135844990226161,4.448796175562894,9.11830295154031,14.764747459299487,19.87256415720189,23.861313227476366,29.37822380360377,32.3686727926864,35.44678534078324,38.02620043651433,42.07424267023029,44.57266532483312,46.40825570770492,47.843723937829985,49.21033829251492,51.06299259520117,53.10793066005746,54.41901513644918,56.670199770095,57.764571712732014,59.28930983680949,60.72243105508544,62.47127391766625,63.44773964665549,64.93413165361349,65.6201019707127,66.60476656859444,68.54297374925429,69.72760632179833,70.46462988401039,71.32515585635458,72.44304797307731,73.53841142258612,74.43972577338715,75.18949540891971,76.90769904995173,77.6792426317549,78.28149203263054,78.74833989562215,79.41480628982548,79.87151194331929,80.54273752564754,81.13650008041557,81.70704067874806,82.10133660808124,82.26174291183925,82.42582228051837,82.72295732303002,83.1349935857614,83.36606927762944,83.81064850392002,84.08365865183342,84.4030916018546,84.91315866719236,85.21610515141838,85.54965741986669,85.74022484110725,85.76860918813183,85.8782843445252,85.948003501026,86.0055664317454,86.03768244375344,86.0805075424639,86.16091757820654,86.227742676917,86.28703439625339,86.34290680412494,86.40936565759708,86.4573643332651,86.5205145306861,86.58703923455461,86.64358903713362,86.67196066084634,86.69790973509701,86.73293483380752,86.76938503122851,86.81713497354563,86.84363368593928,86.85829529997476,86.86767020126426,86.93232039868526,86.9776736722184,86.99681493902993,87.02406499671281,87.06845693903408,87.0702569390341,87.07595693903407,87.11413228575748,87.15200718704699,87.16607824685968,87.18797824685971,87.21347824685971,87.25181473403698,87.26716582422236,87.29622430230697,87.33612430230696,87.35254940101744,87.36184940101744,87.39349959843842,87.42773297781255,87.42844022594953
Trial_9,-0.573159819454934,4.674692355776557,10.85089670975285,21.617331640662798,30.956147257282733,43.41482645642259,54.58980722105863,66.32367971383238,77.64911663146725,86.37588950483467,89.31048518254889,89.6956450064157,89.99133025175148,90.09580259102196,90.19001686476926,90.24587955112831,90.28695383012811,90.33081670301834,90.37341021748851,90.40963938065833,90.43360404639941,90.44425194827602,90.45378341845047,90.46118271769464,90.46581771644506,90.47103988654227,90.47530422836029,90.48046857846016,90.48228789591295,90.48350077421478,90.48653296996937,90.48895872657307,90.49017160487492,90.4925973614786,90.49684243553507,90.50108750959153,90.50453017945958,90.50877525351603,90.51120101011973,90.51423320587433,90.51787184077986,90.52332979313816,90.5250450756284,90.52585392727094,90.52585392727094,90.52585392727094,90.52585392727094,90.52585392727094,90.52585392727094,90.52585392727094,90.52585392727094,90.52585392727094,90.52585392727094,90.52586037472508,90.52586037472508,90.52586037472508,90.52586037472508,90.52586037472508,90.52586037472508,90.52586682217925,90.52586682217924,90.52586682217924,90.52586682217924,90.5258732696334,90.5258732696334,90.5258732696334,90.5258732696334,90.5258732696334,90.5258732696334,90.52587971708753,90.52588616454167,90.52589905944998,90.52589905944998,90.52589905944998,90.52589905944998,90.52589905944998,90.52590550690412,90.52590550690412,90.52590550690412,90.52591195435829,90.52591195435826,90.52591840181243,90.52591840181243,90.52591840181243,90.52591840181243,90.52591840181243,90.52592484926659,90.52592484926659,90.52592484926659,90.52592484926657,90.52592484926657,90.52592484926657,90.52592484926657,90.52592484926657,90.52592484926657,90.52592484926657,90.52593129672074,90.52593129672074,90.52593129672074,90.52593129672074,90.52594419162904
Trial_10,-1.2490351853344575,3.9859239274914646,8.728117110018163,15.841115487484794,21.322574527741928,27.452690156073704,34.47067990241993,40.82801224459323,46.226864750394064,49.82425039103302,53.552786318802745,58.869601139792486,62.03282735768202,65.334416874786,67.19179941959969,68.95045746677667,70.2381360568639,71.1358853230035,72.20938783943843,73.71118190245964,74.30289081750072,74.57644009068125,75.3392801061385,75.76031716728339,76.3298154159992,76.71141801788119,77.1861279625431,77.95264301382052,78.81152706905759,79.38684000387539,79.6120557106445,80.17540158190735,80.49962485873704,80.71057058857916,80.9307189443329,81.03005188707361,81.27484850996049,81.32402664222727,81.49575882670116,81.61158796411752,81.71115973641412,81.96901240301597,82.37046251103976,82.47085191627482,82.75350853666667,83.15230057034911,83.44751653117412,83.54332084257463,83.7005182848745,83.86934782075915,84.05166163376798,84.35853210421014,84.53366820101209,84.56393538069378,84.60466003516234,84.64636938075391,84.66983838564538,84.711582972678,84.76016994359645,84.78631957461528,84.80312260512858,84.82683988590783,84.83323790547551,84.85190944098858,84.86671256694241,84.91282152926499,84.9388969574945,84.9388969574945,84.9606722648321,84.99120745031894,85.01642342459759,85.04329837558812,85.05387533161982,85.06230833698493,85.07374396278573,85.10168679522559,85.10545963065682,85.12209000370066,85.13178667217755,85.17044333397116,85.17044333397116,85.19010497957781,85.21142604457208,85.22884609162233,85.23946505481749,85.27024374620441,85.27528015217413,85.30590187370703,85.31607273379367,85.3594976503707,85.37569780704486,85.38826011612802,85.40114247425392,85.44732181088493,85.49175860148688,85.53141671731056,85.58075776428653,85.59389050501348,85.62245714132698,85.64052249027277,85.65674045247717
