,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,-0.7145007032452112,5.049465820669758,9.575438595303117,18.325775037604757,26.205302685928327,35.13414856355715,44.8075310254053,50.79497060296165,56.18525474009452,62.184020848507025,67.11172938282245,69.92316905648,72.42628941589047,73.58867832417326,74.13937401406496,75.11188486392928,76.65655987525116,77.95421168654453,78.99390979492031,79.77325539209737,81.01330442712224,81.59168734753739,82.37080695632584,83.2543700851919,83.79714214764734,84.08313977638532,84.42098023488559,85.03276413049618,85.49754373667511,85.80464622543477,85.87436491598778,85.91370033924314,85.91760706419369,86.01804273468203,86.07679913565144,86.13726472973285,86.22170437924578,86.29834090185427,86.32843792431376,86.38707472632893,86.40129434797286,86.42121467524697,86.47270771862715,86.5308633205442,86.54924992731361,86.60535255801092,86.6444170480258,86.67298002567536,86.68752296259106,86.70562032990641,86.7327536693813,86.74601539098707,86.76764091858104,86.78052695213573,86.82489467367049,86.8736336179313,86.88452203731411,86.94423017644644,86.97051779469395,87.03862598633965,87.04735799090187,87.07321286915766,87.08771840440141,87.14870992220727,87.18166908313393,87.20589058203845,87.21006631014615,87.23884862834791,87.26009367346983,87.27752239002584,87.27993274199642,87.32228596326605,87.35356932486222,87.38087284954909,87.39647718298733,87.41131450292018,87.41720920265946,87.41720920265946,87.4263240906693,87.4263240906693,87.43868728658748,87.45181237654373,87.48110374021208,87.48296562505942,87.51612495716682,87.51835468413155,87.54611790922726,87.55501383784191,87.55807998432675,87.57011634812339,87.60724539770062,87.62029674185519,87.63266524281366,87.67579553806696,87.68165364082051,87.71032313360601,87.73277705464788,87.7679280981859,87.77397809370984,87.78691434799421,87.80952400418333
Trial_2,-0.6087014996145981,5.2132973639536795,13.033484783472797,25.79418962011447,35.87714242696079,45.7902425865754,57.4085120467746,65.05446558630882,72.44481618963529,78.9038978154964,84.58296159434474,87.08402407892527,87.57607198990289,87.91539088895037,88.10331311617955,88.23260954757453,88.36276336659856,88.40594682818322,88.48268829621604,88.54945381031102,88.59156650752148,88.65835041865306,88.73291683915893,88.80609348557061,88.89297988012886,88.95863126306625,89.00451310454973,89.04999120931883,89.09370395408988,89.11560395408986,89.13780395408986,89.14680395408986,89.16780395408986,89.17980395408988,89.19840395408987,89.20140395408987,89.21130395408987,89.21610395408985,89.21910395408986,89.22240395408986,89.22750395408985,89.23500395408988,89.24070395408988,89.24790395408986,89.25570395408988,89.25690395408986,89.25720395408986,89.26080395408988,89.26410395408988,89.26710395408988,89.26830395408987,89.26980395408988,89.27130395408989,89.27280395408987,89.27460395408987,89.27640395408987,89.2797039540899,89.28240395408987,89.28420395408988,89.28990395408988,89.29110395408989,89.29410395408988,89.29740395408987,89.29770395408987,89.30160395408988,89.30670395408987,89.31420395408986,89.31510395408986,89.31810395408985,89.32560395408987,89.33220395408988,89.33610395408986,89.33910395408988,89.34270395408988,89.34660395408987,89.34990395408988,89.35080395408988,89.35290395408987,89.35590395408988,89.36160395408987,89.36520395408988,89.36670395408989,89.37120395408986,89.37750395408987,89.38050395408987,89.38710395408987,89.39010395408987,89.39430395408986,89.39550395408988,89.39670395408986,89.40090395408988,89.40450395408989,89.40630395408989,89.41050395408988,89.41410395408988,89.41530395408986,89.41980395408987,89.42070395408987,89.42250395408988,89.42460395408987,89.42610395408987
Trial_3,-0.6265780857461233,4.4277103502409885,8.324925377630871,14.139762364126476,21.245860670608263,24.97468127531581,29.530533021288356,33.04055725343769,35.33623072834385,38.03070747281276,39.908388609295585,41.07691717637597,42.49230666973466,43.89017261993627,44.834152743389225,46.56721741418479,48.39572775160521,52.278563800955254,56.3862276537559,59.85799048255067,62.887319972068816,66.38955069514353,70.64630168249192,74.53847929672774,77.04171669796634,80.13952439946227,81.92238138289696,83.36614088999039,84.62357627073737,85.8092501689928,86.00322197824589,86.12076189438736,86.3145580705557,86.38854507717346,86.57354403369129,86.65086410728638,86.79390931536135,86.84585949483755,86.87638151674211,86.98297962741397,87.02854743575575,87.09435673873276,87.1363650106337,87.18325830864995,87.25907611228533,87.30929088654825,87.34897579840639,87.39705136348843,87.41971799355586,87.45423842594046,87.46671721406011,87.5213533760811,87.54679322989348,87.56965898810678,87.6125202870386,87.63655717772104,87.64870100449349,87.67747348232012,87.68813630902436,87.70217929038104,87.73834984670019,87.76818713058137,87.78174399587843,87.8239353280211,87.85452752317069,87.88781989598307,87.89353094507722,87.90912838383565,87.9412485851079,87.95926227497768,87.96580540550526,87.99809795818673,88.00464567753697,88.02730980360178,88.05756817625435,88.08328723521487,88.11895299029744,88.13094398839519,88.13591027586261,88.16223916875451,88.17176893087894,88.1847025175452,88.18749643183368,88.19498287682337,88.2043525142981,88.21891285280444,88.23522743489087,88.24502535686815,88.26684522459169,88.28190943589489,88.28190943589489,88.30133423469815,88.31245007375617,88.32432380945244,88.33621623420305,88.3381663375222,88.34286507355486,88.36612601063145,88.37738410589445,88.39575769637875,88.40411770383767
Trial_4,-0.13905108976321037,5.539250293008105,12.785261291339832,25.103175622699965,36.91536647660513,48.25159168717492,59.02031228839802,67.73874738119773,73.4580265329893,77.06324071335456,79.32493323550945,82.0884403645656,83.99557197242028,84.9246300681629,86.04486355326682,86.59491380923355,87.25757379057835,87.51267543624839,87.70842120827805,87.85984234439391,87.90401945818324,87.98395889905949,88.0653627448689,88.18590656893633,88.27593868317949,88.28570845809442,88.326981568775,88.40511113012846,88.45080817110707,88.52111686421662,88.54872678260344,88.59103900440915,88.62761984059931,88.68790394695242,88.71103198246543,88.73910541100751,88.75136329258436,88.81676132915649,88.83436438350839,88.87536403074839,88.90284212907689,88.92486186868234,88.96043096920941,88.97136482983106,88.97873007722461,89.00149078916812,89.00422335002062,89.03412753082429,89.05926436433136,89.08635530456668,89.09999309058213,89.1038969861803,89.12716052570671,89.13616094355574,89.15129401490348,89.15877568425626,89.18490039979271,89.20170916694131,89.209954309016,89.22886718664049,89.24646714503581,89.26324187143614,89.27978707487047,89.27993686594597,89.29557729683202,89.30366094554964,89.30996094554965,89.32936264134733,89.34016264134735,89.34165018263036,89.35556768899016,89.36185133770782,89.3814064324508,89.40073456964664,89.40478525612922,89.41852688323905,89.4314732168309,89.45282742401399,89.46466128165615,89.48190835247642,89.50379428507156,89.50379428507156,89.51819404434107,89.52929014874292,89.5330438323838,89.54321112981907,89.5440928789225,89.56030337184536,89.56390879382712,89.57112200700523,89.5792089276515,89.5999848257038,89.60014673690988,89.61458528339666,89.61800958759581,89.62543850947863,89.62738189052125,89.63967917026602,89.65605664124479,89.66623002403836,89.67721882678784
Trial_5,-0.08315100740366745,6.321537913784642,15.228135506960971,30.61027569803467,47.62302819734336,61.380955780073236,74.52976790288028,85.96659976614337,87.93442596272293,88.11666275966067,88.26545147840426,88.31974340071656,88.4073202114293,88.47789315021939,88.57629101116328,88.68536168092814,88.74495191013574,88.82968867323807,88.89431614746802,88.96524153606195,88.99920985523113,89.06905390853848,89.12417611303663,89.1928029218264,89.22209141617829,89.24900853861509,89.28782023242783,89.3413329631614,89.35662025522939,89.38107435983778,89.4089114005735,89.44698589511074,89.4773186667086,89.49185000885615,89.53829732226257,89.55575099296631,89.57074818250402,89.59146537586945,89.61328040960203,89.63199494616332,89.67520987810276,89.68088207581427,89.69116528136757,89.71197727587187,89.72412401326501,89.7496633736204,89.75540972821456,89.7580671915961,89.76992315048822,89.785455065965,89.79835696182826,89.81239526880701,89.82449520374983,89.8325952037498,89.83392022084769,89.84273760081429,89.85091589247993,89.85573744582024,89.86003199758267,89.86778851049559,89.87144747192852,89.87994905193385,89.8847616466482,89.89048407200873,89.8932473217125,89.90242107867219,89.90242107867219,89.9067948356319,89.9067948356319,89.91363158592813,89.92501756250796,89.92921756250794,89.93311756250796,89.93651251711402,89.94131914732857,89.9516890612132,89.95588849965887,89.9584149990664,89.96296219466247,89.96722710418598,89.97292710418598,89.978027104186,89.98312710418598,89.98936385448224,89.99144038275284,89.99407514268606,89.99419252265267,90.00079145525682,90.00079145525682,90.00486521221652,90.00876521221652,90.00876521221652,90.01176521221652,90.01484046037709,90.01724046037707,90.02184584188689,90.02189856645276,90.02189856645276,90.02369856645277,90.02429856645276,90.02564530384592
Trial_6,0.3830851645027126,6.966846845680267,15.194470383248559,26.66149883660463,39.35522031257544,51.61566669122742,61.83158421137903,72.16092962316094,79.64867311925009,83.55552772163745,86.38995236964747,87.46045029634334,87.9772024006435,88.40243812278614,88.69945558153852,89.01941163419349,89.2470482837282,89.4233656235606,89.64070990560963,89.81405568235948,89.92541780484724,90.06515941729673,90.15455461778919,90.22043488697862,90.267685436773,90.32514711884807,90.40683815318194,90.46178975959923,90.50658053693745,90.55899752753379,90.63183342637754,90.67321884170899,90.7324165274672,90.77982748100052,90.81984564286421,90.83633448767152,90.87289138971497,90.91419670057938,90.94399722168365,90.97490286940184,90.9994609709394,91.01041317976654,91.0278721451031,91.0492758119475,91.0672143635264,91.09282207502791,91.10461479805188,91.12259445858614,91.15278341924542,91.17427901859025,91.19761482343489,91.20829650894484,91.21949819646484,91.24129902035928,91.2583597956007,91.2736991030541,91.28678632853227,91.30214685285883,91.31740827576428,91.31905091415182,91.32875819973508,91.3320501287083,91.3451346923847,91.36569611458872,91.3842592852753,91.40671505817339,91.42300482500363,91.42876002579384,91.43363462721814,91.43877161784366,91.45869280470234,91.45869280470234,91.4661863591399,91.47365658660114,91.47965244869245,91.49257566999742,91.49406858949746,91.5004081120002,91.5044991987622,91.51444882972083,91.51883143648378,91.52654424118975,91.53989311615987,91.53989311615987,91.54163358632849,91.54543347854866,91.5552985715406,91.56603677463065,91.56788524027668,91.57484865598799,91.58333185639198,91.58696700738201,91.59448180779205,91.59716146380975,91.60175117067806,91.6082581064157,91.61255744835158,91.61314992389568,91.61479774184863,91.62368623813362,91.63169134039704
Trial_7,0.45382972486422823,6.681964956248021,14.404268506849217,22.575288063765004,34.0750345648461,45.59264948268529,56.59577749247326,65.22414021731085,73.0558262383852,79.10431924689713,84.06132611749315,86.49211988181774,86.86433600623063,87.20064354202177,87.499553015528,87.63840157424652,87.79660504239557,87.981072380622,88.15932126988963,88.34812537833184,88.48134132772188,88.57935454640224,88.66877138077834,88.79280795274619,88.87140604854027,88.99710773826854,89.09096417054947,89.17524087895278,89.26204296055434,89.35302042610641,89.49198827223589,89.58453664277225,89.66649119203689,89.74652597707616,89.83251339618877,89.89324946741864,89.94741404853409,90.01501537711866,90.04307391545645,90.08408363729203,90.12974995380702,90.17896216049797,90.21433502679352,90.27817822990897,90.31263465659424,90.3593321644441,90.3752321644441,90.38334281085025,90.38380118920773,90.41702075576585,90.42815841876552,90.4465687013896,90.4639585547867,90.47085855478669,90.49005428707926,90.5031713000887,90.53007983045332,90.57196145750011,90.58390648950632,90.60003643408068,90.62422329552439,90.6369106707705,90.64569216712115,90.6567108440887,90.67011276434128,90.67011276434128,90.6785568641348,90.68215686413481,90.68425686413481,90.70448270537105,90.71010565004603,90.71018697307849,90.71258697307849,90.72060565004602,90.72393272135703,90.7387644414887,90.74677748465281,90.7567321494595,90.77774935126018,90.80292405913035,90.8109427360979,90.81849787740992,90.82514713982651,90.82514713982651,90.846448853758,90.85056753072553,90.86509900576519,90.86779900576518,90.86929900576519,90.88353048080482,90.89823065412301,90.90748156502464,90.92656818137631,90.92656818137631,90.93820388682634,90.9442097657218,90.96704815993807,90.97356095801017,90.97356095801017,90.98007375608228,90.98659243304981
Trial_8,0.5970617930133719,6.095325188022753,14.490808074576796,21.104066585084475,30.384428619730688,38.07368966902877,46.353988010712044,54.25478111839457,61.210729250604324,70.25055192426315,74.12303971725183,77.59331251998182,81.82660084972196,83.95241524002955,85.28612327261564,86.242413798697,86.78132550167426,86.95242272638684,87.23048487571937,87.5210332962748,87.85241703728134,88.0613862135707,88.26835098410467,88.46777643460602,88.5257715814205,88.69621120054282,88.81007570542198,88.89563713824748,88.94784287165814,88.99227100261564,89.00289349609317,89.03029714294408,89.04477530923187,89.07319639299261,89.10248133673262,89.12310127196062,89.13720127196062,89.15663890843256,89.16623890843258,89.18183890843255,89.19324443512056,89.20583890843255,89.21303890843257,89.22683890843258,89.24093890843257,89.25563890843256,89.25833890843256,89.26763890843256,89.27813890843258,89.28593890843258,89.29133890843258,89.30122891147158,89.30572891147159,89.31832891147161,89.3291289114716,89.3291289114716,89.33662891147159,89.34352891147158,89.35283892210273,89.35553892210274,89.35845925003588,89.36175925003586,89.36265925003586,89.36445925003586,89.36745925003586,89.37015925003587,89.37345925003588,89.37512501809698,89.37602501809698,89.37722501809698,89.37962501809697,89.38052501809698,89.38232501809698,89.38232501809698,89.38292501809697,89.38502501809698,89.38592501809698,89.388925018097,89.389825018097,89.39042501809698,89.39192501809698,89.39312501809698,89.39492501809698,89.39492501809698,89.398825018097,89.401225018097,89.401225018097,89.401225018097,89.401225018097,89.402125018097,89.40362501809699,89.40512501809698,89.40842501809699,89.40992501809698,89.41112501809697,89.41112501809697,89.413225018097,89.415025018097,89.41592501809698,89.41742501809698,89.418925018097
Trial_9,-0.8820982236345911,4.1964613474287935,10.411979068333727,17.40312967215639,23.74525209006937,27.43495358762324,29.02848590735071,30.695822663752388,31.631194544247695,31.954508543227558,32.36216490252115,32.63016965052896,33.11942016199655,33.742453049134255,34.09472556178382,34.53571036610722,35.02217373264621,35.81280942507014,36.38051227483268,37.16949731394528,38.085799064907974,38.69108947482676,39.209395596161556,39.640642670319956,40.11409772415928,40.978169338198605,41.376479131588006,41.37766866295286,41.46750368505274,41.60191181759056,41.646636817932034,41.73761924404353,41.915855571822306,42.09540057555962,42.13965895136676,42.185302571854436,42.45122489409767,42.5838706175211,42.71706512824248,42.983712359468015,43.203795736129486,43.33686587816821,43.51358841753469,43.601587477279665,43.73508572610458,43.866939159510636,43.998515658071845,44.13042146639023,44.30501984184614,44.34866698062171,44.522370366445244,44.73921859909997,44.86933518435067,45.04284885953042,45.17280582268046,45.25944679340695,45.43284100220529,45.56311547752931,45.77952444020575,45.866360134454496,46.126204171794456,46.47301154248366,46.646034105283526,46.862630159504555,47.035516377899704,47.25161110794092,47.42449470624627,47.51098921274115,47.597483755367506,47.81335137688382,48.02938842583062,48.07366151913539,48.07462846675804,48.07522199875204,48.07553765519262,48.0765554762409,48.076568480149405,48.07703277823778,48.077308918635154,48.07748112108506,48.077758071159785,48.07830261384444,48.078699785838786,48.078699785838786,48.079256908153695,48.079616937259715,48.0798566530801,48.07994912599328,48.08072434524603,48.08089653935988,48.08130957558845,48.08133589143868,48.081349066676864,48.081349066676864,48.081535570046626,48.08181600406219,48.081962877105596,48.081962877105596,48.08212331867835,48.0824714498477,48.0824714498477
Trial_10,-0.20900597536414225,4.41757814624315,10.834871558163869,19.431105146919364,28.06035572557468,34.97883383520264,41.00184514684488,45.751565385579454,51.642497435461394,56.122755036029886,59.473456030846535,61.97185516292357,64.43432786242522,65.84759404114948,67.72831904122678,69.98195117807028,72.07353181914135,74.50369507500092,76.58408013074812,78.52306343358318,79.74855153990313,81.2485037309817,82.54667740840107,84.40150315840278,85.42027453547784,86.39438980661238,87.25212839234017,87.73572616898524,87.94624847126695,88.13475348695003,88.450612123372,88.58860024470037,88.92495438888116,89.26713301623178,89.45914509373932,89.58038191124342,89.78732747602237,89.94719584772801,90.05919602327238,90.16530331325178,90.29156649866479,90.45658627401082,90.5799743213517,90.72323917897023,90.7623812046836,90.81539424117076,90.9658328601392,91.04599968222857,91.12536268955547,91.20395742090943,91.32848276870048,91.39869856952872,91.41062739027835,91.54218953467554,91.59947594302936,91.68414287278692,91.73511139498642,91.77164845699335,91.81018863184046,91.84030416157391,91.88018084291025,91.89132158646291,91.89132158646291,91.95672635153812,91.99182034073958,92.02918470527844,92.05917900920264,92.07913669055817,92.12827916909725,92.14033139022467,92.16969694891715,92.21426717426668,92.22349437808818,92.23696024373989,92.25574976853328,92.29967058412007,92.34004273774508,92.36653787487101,92.41702554235428,92.42397994388571,92.45053788025183,92.46035421661604,92.46908909430502,92.47864742640421,92.49952533426392,92.51001775236651,92.52291674091512,92.53359331362032,92.54321084148229,92.55762486059496,92.56978249496503,92.58127856855111,92.58859284979201,92.59687509965141,92.60186237735473,92.60621955084102,92.60930216470796,92.62166951311325,92.63112336190471,92.64172829673757,92.6513445598404
