,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,-0.11887737029246473,1.3032492315372803,2.398317591039819,3.5256202487226176,4.537738353991416,6.651742498282906,11.511542322817713,13.92747957951251,15.271848934756996,16.310500832338867,17.780459422245755,22.98418290973784,23.458263914859927,25.19956080110183,26.46718513357346,27.1063641701037,30.518031123159123,30.7975514092719,31.281427592096144,31.677110971068704,32.68388975348888,37.456082239078825,38.750811605943404,39.312659453531914,39.77391898373871,40.748654869913395,48.972918565681866,50.11923228373369,50.960424013630416,52.45740719363142,53.70054225381118,61.782263102417836,62.677365073304536,63.20170023698416,63.737016794915746,64.12887770698813,73.24958345647299,73.9009475901442,74.56430845324266,75.23487104321448,75.80880450918701,82.01649262134335,82.71155931080305,83.29295208303007,84.00727818223568,84.97051405229524,87.57951483708555,87.92216045905715,88.22394940219209,88.2753803490348,88.35509398156886,89.17562603102508,89.17914596625307,89.21084928706853,89.22598936029452,89.26675433937584,89.37016185620567,89.37459129244215,89.37609129244214,89.37759129244216,89.37879129244216,89.4900298473817,89.49122066413129,89.49122066413129,89.4975370891315,89.4975370891315,89.61528901943575,89.61631417660584,89.62296115890484,89.625701090267,89.62737119600511,89.79407697687995,89.79497697687995,89.79498058136029,89.79689811785894,89.80170812849008,89.93159862126727,89.93159862126727,89.93159862126727,89.93310583022797,89.93310943470833,90.04183797200152,90.04225952469127,90.04225952469127,90.04587234521112,90.05111343988865,90.09640984552068,90.09866752473965,90.09866752473965,90.09866752473965,90.1008102800528,90.1425101837419,90.1425101837419,90.14923845789956,90.14923845789956,90.1535303828949,90.2330325418573,90.2330325418573,90.23944799549514,90.24099716517732,90.24623825985483
Trial_2,-0.7854534675487614,0.3708290412068891,1.0332330126817881,1.7396799270287104,2.4267561112806395,4.141117519837986,8.520254768142513,10.158460141170618,11.920099910172585,14.200269902104319,15.681502555693728,21.67426758817127,22.80899159923757,23.79330356294211,24.026195323418133,24.342746191892697,26.081134926492517,26.393465026702096,26.745869301850206,27.361125654904512,27.48965428535372,29.61604590128567,29.87195797448122,30.04081555875509,30.257957351037494,30.70759186126119,34.89636802262461,35.685975325737196,35.77313975619741,36.20634942924042,36.83463065156217,42.73822636667968,43.07707982732243,43.43677168874135,43.52453847091916,43.62863079165537,50.696480224043725,51.409694996744584,51.949524410163434,52.032790204756054,52.20222453382536,59.85467125951556,59.85467125951556,59.98397447363991,60.57987942675099,61.16648343602996,68.3612804503292,68.67555994776542,68.90975579654307,69.13633817994395,69.82295790377903,76.26595676456058,76.45837389063941,76.65300147616139,76.84562912422956,77.124086474325,80.33605837019914,80.35443991163865,80.45996553493671,81.11351093801889,81.125580296459,83.77938070372616,83.93182550986917,84.22968702514397,84.25454945437603,84.33849576799024,84.99190538479539,85.00763039374871,85.03684562807622,85.09398583006616,85.10019947532663,85.53001973137597,85.55659272567642,85.57546196962139,85.58666247379195,85.59843065642734,86.00295180228562,86.01038581477955,86.01873069611116,86.03740817233066,86.03770817233065,86.33151881545979,86.35754057314418,86.36764067986202,86.38775356523318,86.4000319188398,86.63642805277544,86.63645403466307,86.64432830787929,86.65681116484596,86.66531141994982,86.86974202094079,86.90033149572115,86.90815850052404,86.9263483482738,86.94496011319384,87.0821512991351,87.11675557041664,87.12170474492235,87.15716165223304,87.16881273283116
Trial_3,0.44303179551699506,1.6838207338706837,2.5518801083481097,3.825357941732414,5.045842218964467,6.4480004121360786,12.179467012124976,14.181864083384342,15.495568832766255,16.186021359301684,17.489241544805072,20.82713014588885,22.07166746481123,22.7518836707031,22.891268139773285,23.11263416723633,24.616861830774372,24.89316366996145,24.940080801448627,25.023901595836445,25.158878803241087,27.92371694855082,27.967954381032985,28.609068929977237,29.347955158902288,29.82535882891547,32.70166721701804,33.206475962496214,33.59305807911159,33.97166220156163,34.433036041901175,38.12176793055987,38.56585748867957,39.06775337490145,39.75717735270865,40.31437968158746,45.65174706233657,47.0343637672644,48.72246676402552,50.42416556976708,51.00485427171794,60.606953904622735,62.069301240829056,63.36541128866379,64.665854875076,65.15667375881915,73.211525361483,75.72572993397455,77.54017852001795,78.11882767544584,79.22296356107786,84.74572747971338,85.18730201350841,86.00378313560824,86.97649030071861,87.45034996514158,88.30574415515866,88.34641524800732,88.51405023903452,88.53429166039314,88.55536895623626,88.6478621346303,88.6623532533251,88.66484437201986,88.68136927073961,88.6858692707396,88.77251357352776,88.77401357352775,88.78501601321312,88.79454109449289,88.79574109449288,88.8576186715935,88.85911867159349,88.8600186715935,88.86091867159352,88.86181867159353,88.95238079514867,88.95268079514868,88.95388079514869,88.95388079514869,88.96287337274141,89.03009008464538,89.03039008464539,89.03039008464539,89.03039008464539,89.03039008464539,89.12725579576147,89.12755579576147,89.12755579576147,89.12755579576147,89.12755579576147,89.30971724336956,89.30971724336956,89.31959472080895,89.3366167610424,89.34920933863512,89.59399943495777,89.60059845417035,89.60059845417035,89.60059845417035,89.6101910317631
Trial_4,-1.4606197816348194,-0.4068984960674018,0.31359540853547585,1.4025491722523677,2.6212725616737513,3.810056553898306,7.727215252993002,9.192450790350357,11.162319193718846,12.551397190198378,13.18684370584739,16.344274117253573,17.452445420461796,18.431382878427858,18.93498805132302,19.47968126161419,22.416262260019966,23.12488410947227,23.797345070280407,24.24566738508648,24.6117638615088,27.464052350655535,28.1798531138592,28.579333610885143,28.808523659198148,28.899798685858297,32.439056962434194,32.74762075962694,32.92596395521284,33.40767374568645,34.01448017746623,37.30654372562279,37.575262680682705,37.92869760541111,38.06195502673507,38.77583362671118,44.11132585252932,44.19906631717176,44.456681104851604,44.72963687455848,45.1278032555594,50.64980799197756,51.04243373801128,51.21733342447331,52.11090382377965,53.373367174983265,60.34170029679562,60.744000189819324,61.35757868451301,62.164961469926126,62.704289884517436,70.64674580311461,71.15109697795259,71.56371279996144,71.73695537989335,72.18713432213774,78.27392004061188,78.5968626092768,79.11050194607007,79.2013776876821,79.47910670685401,83.99386054736591,84.19666509547753,84.213347640672,84.39726627632186,84.41892637314581,85.61772137187337,85.6215301883176,85.62498554167088,85.6275857254373,85.62857914339791,86.15129861947746,86.15129861947746,86.15129861947746,86.15129861947746,86.15129861947746,86.22566302801148,86.22737539188294,86.22737539188294,86.22737539188294,86.2279852247278,86.39248620731,86.39248620731,86.39248620731,86.40902550587431,86.40946089396681,86.657951637299,86.657951637299,86.657951637299,86.657951637299,86.657951637299,86.95316459567402,86.95324284534081,86.95324284534081,86.97485599595622,86.97485599595622,87.5412758425747,87.541615141139,87.55382997131841,87.57244308575551,87.58255861407166
Trial_5,-0.9306357311740752,0.20165759837971237,1.7071681991071768,2.598787347863687,4.619954317779184,6.571405993670663,12.282514182613781,13.556331065289783,14.60154165772496,15.80332063999743,16.496458589683336,19.262996618879086,19.86177071276117,19.92097147944715,20.426588967292897,21.240621352376234,23.584144940272246,23.765227934713483,23.945947839675565,24.039767925064872,24.260120319014312,25.249371993555364,25.337610139865223,25.880930093516927,26.011952224660252,26.35824229860539,29.56163421144863,29.99881555119334,30.482588292462115,31.202544659622305,31.512752767613446,35.902453360579145,36.46961605562032,36.655029923153094,37.33156652005052,37.858715212027484,42.078590034105865,42.21622365404567,42.69021856504793,42.82620418149734,43.33609826222244,47.9118465125855,48.71072474561814,49.32587212040964,49.548269092445025,49.897679359161394,53.31746250764974,53.859288626094674,53.90429133545256,54.07413029430814,54.2427739954061,56.82107997984787,57.49410798976978,57.8837757273624,57.92910024337452,58.77421885228589,62.96906243592515,63.51652751898484,64.29241891199032,64.78312632469441,65.05834115419174,70.60966056461847,71.1771681726776,71.73778402073185,72.13592606973376,72.63181725051722,78.56702218197825,79.34650012409068,80.21192719520313,80.47239739525949,80.92959188656252,84.16056326759943,84.51816775670574,84.7034130210763,84.93335510222738,85.1467677452293,87.21753396795441,87.39648648556377,87.47447607565272,87.55864262992513,87.6871576860367,88.20302506514868,88.2598799459345,88.28702962142135,88.2962647044269,88.3405777039209,88.72529881800631,88.74435513314546,88.80674118019702,88.84294202609604,88.88372754428264,89.23375640687456,89.24743873052401,89.27074840963094,89.29494413149197,89.32032566697067,89.67383967699446,89.69720978022505,89.70541445497857,89.7223241014434,89.7373211685036
Trial_6,-0.930232975552918,0.5587325479583668,1.3985374429088124,3.286088637218281,4.700196115875598,5.5487244738924755,9.65347742943911,10.843335318351063,11.872381551146022,13.091042587537792,14.977290253375736,19.66271908389823,20.947910502505593,22.199885593124392,23.52380975946603,23.977135204654324,26.805584648538243,27.355232203205656,27.799348483411887,28.235206605021794,28.243716186528854,33.38789421322902,34.00667550483039,35.316253438271715,35.92208950308201,36.70518782544936,40.6599196505964,42.12668643055216,42.87903046580203,43.09645194224026,43.18908348484826,49.562594273390545,49.6499791235687,50.38991655330237,50.878212013042265,51.00585412700395,58.78384684819625,59.83616967303746,60.79619523156083,60.94860694125866,61.17186178572431,69.12793997502988,69.6527157242991,70.1033186934792,70.69915078953044,71.16371548914078,77.9214615538852,78.51353713558007,78.88042355709646,79.0187479042446,79.02754745585129,82.88439439097814,83.13860867198557,83.233474793241,83.533449789716,83.7896806507814,85.90358075551276,85.9046723653577,85.9441860756328,86.02447492965582,86.05480316691111,86.7562537987397,86.78005376961264,86.79505575372616,86.81092261181927,86.83933172397967,87.18324680572285,87.2230237960325,87.23118562303513,87.26272664323815,87.28668084822057,87.57173304627655,87.59232307325102,87.60507332277223,87.62200981494917,87.64314101873101,87.85197279055281,87.85534929553401,87.86006560752037,87.87492129841006,87.88076032834688,87.98310842026632,87.99279234491495,87.9971329700765,88.00347940301891,88.01042583596133,88.05511343464254,88.0563134346425,88.05696053075211,88.0581605307521,88.0590605307521,88.08043389136581,88.0810338913658,88.08485757083501,88.0849397213263,88.0852397213263,88.10583868076218,88.10583868076218,88.10583868076218,88.10583868076218,88.10583868076218
Trial_7,-1.4767739861449025,-0.22524029835581005,1.0190256100304464,2.230778411489706,4.419290467087256,5.731231190762124,11.958334252121382,13.332763392992733,14.430164679134101,15.376066487058976,16.752043550135987,20.1550555460238,21.224691954385253,21.684957360608884,22.010293533484557,22.462063056366013,24.669379636522297,24.812810277999898,24.999766145094373,25.220430267712636,25.312472008372012,27.336757254442524,27.556986143117275,28.040808697263472,28.386264951737957,28.820279599242095,30.83525144274367,30.96656713397562,31.229972246990943,31.45117586712143,32.05768736831357,35.12651382908812,35.47896221087389,35.742131929949025,36.42168065320514,37.172719393950636,41.22468214229818,42.15296086764888,43.445651379935754,43.97571809127926,44.55557148823804,49.07550218155962,50.08695854187766,50.3542012430027,50.400111387447396,50.620751699969,53.79320991211905,54.20010525444712,54.51003976842081,54.69284384467795,54.693438822019885,57.40508013712197,57.76445909143556,57.80893783368493,58.075901900163956,58.16520005718123,58.50723653123708,58.50728671962722,58.50729926668524,58.50733690801735,58.50736197072647,59.5162544188422,59.51631750294512,59.55735540973651,59.55748186604391,59.5574944446669,60.836936235620485,60.83696139286646,60.88105607043845,60.88105607043845,61.01301552017227,62.64543175192899,63.08292413529548,63.08299979802138,63.33538958763124,63.60347808510689,65.54069016700039,65.84214485876957,66.27400278940794,66.44786239388162,66.79430830641208,70.57201613252884,70.97657199115507,71.16531648564494,71.51320417027355,71.88968098749248,77.07258229493632,77.41786658723119,77.71879274658608,77.98213559391108,78.20835601754045,81.87806771607013,82.11572432275307,82.33283940932212,82.70915026455272,82.97263702534045,85.72804527840682,85.87496565319697,86.13490510462196,86.30755419427987,86.39586355518972
Trial_8,-0.9062169810461945,-0.13242953391109438,0.41799136563152445,1.8126269102377284,3.0437593818342497,4.709414850614819,10.774533506123337,12.599389551814484,13.249266973458347,13.850651961105921,15.209500190045164,19.176229398585914,19.9834058574658,20.747604293165463,20.98008442273387,21.352087320895247,24.119829344972576,24.44093430004594,24.622665974209585,24.624398593389042,24.713848584485866,26.604374006585484,26.64960943137088,26.912170565092048,27.08493423219694,27.348280241357685,30.225586649355538,30.441594310652846,30.70660011365523,30.84085006436396,31.543948486037316,35.40343699671523,35.80215653361554,36.10635733807532,36.58179103674639,37.545657370218905,40.1516066123455,40.41855181647888,41.03616575877976,41.89240235792324,42.19938737148706,46.1950999448929,47.413700742015955,48.08928946537921,48.532635540477195,49.121944276835436,55.40107208383659,56.15570812576627,57.45774069453569,58.264477176345274,59.5443702348443,69.89549912412893,71.44809534669541,72.75272640700537,73.69611689540507,74.48149883636869,80.46097590185417,81.29308962208137,81.772809200856,82.19838410851406,82.5517640908855,84.75009960654887,85.14304853769715,85.17166257576532,85.19326846842057,85.22278524742717,85.81557601892138,85.86214416573293,85.87266176791464,85.88857928758566,85.92746608707161,86.32343318300303,86.37298148967182,86.39983410169626,86.46240365932186,86.4768545632724,86.8031486480356,86.80983560487148,86.8307477901283,86.88222482539376,86.91273969106008,87.39311968437067,87.41317987673634,87.45095413825537,87.45919697199498,87.4799417025907,87.97823295658215,88.00596680983749,88.05936981464349,88.06749165750924,88.09297377252358,88.58286877382729,88.60756563946734,88.61442092407579,88.64409576865815,88.71379830861478,88.98611612053692,88.99041376867203,89.00108198596655,89.01742416873113,89.02008145713334
Trial_9,-0.6005955108459974,0.9678032104639503,1.84334670057313,3.1536468648245464,4.275160585927548,6.023388705596059,12.660604126813487,14.49388565911861,15.576328172484123,16.70594962304619,18.316351742229003,22.769911384926353,23.318550682265403,24.05178840772699,24.199806179832198,24.337922448751463,26.06594797241748,26.381017440525866,26.694823122476226,26.834628856188363,27.05401140073228,29.988775554539387,30.294196732341742,30.480343327462652,30.664756488589372,30.75348254677195,33.25630524541295,33.482603144933584,33.79065237774105,34.099122509591545,34.144190951600194,36.674785055425296,36.71935317059529,37.50191005651952,37.68468598413876,37.68710963406007,40.867010108469486,41.649539974913935,42.040433525222525,42.843768642512366,43.198420129447115,48.81995677382058,49.381570196442844,49.92194243244499,51.28804891950062,52.53346842450491,59.71000128792261,60.35157190832497,61.349671578893286,63.098364365385294,64.38308084379233,71.45892357112425,72.11377788354368,73.11186575226094,74.0088005860786,74.8978598775375,79.8640823357681,80.02971647265085,80.39488073989632,80.51453623384553,80.67980235512557,83.76461531585223,84.24161241807761,84.49007725514886,84.70323886695249,84.77551126790166,86.36907218810323,86.43116665869915,86.55681694786831,86.58954626290517,86.66787259535091,87.47916625553553,87.51945469440761,87.5299848294523,87.56719717373652,87.59721097981215,88.11867559761161,88.12194478953853,88.1236138771088,88.13967385757515,88.16222018290613,88.56878396867229,88.57344292219787,88.58241710001215,88.58814786854761,88.58814786854761,88.88713163084716,88.88761140423213,88.90556894439247,88.9078291667961,88.91191524654215,89.13304203236554,89.13484757253231,89.13484757253231,89.13484757253231,89.13484757253231,89.33493657658579,89.33691608882789,89.33691608882789,89.3448804228683,89.34711526250042
Trial_10,-0.6204417600991383,0.15085188577562303,1.130285267331395,1.9801685471477402,4.049753742921007,6.2639736852118695,10.819670030850235,13.276559572709543,15.541691049647916,17.0566447328611,18.15351411570464,21.771907169576334,22.595852851360814,23.39403228770842,23.842030152920966,24.248112212880887,25.98937654185774,26.15999719309176,26.24950100219933,26.382174689348822,26.468011798589846,29.095995328923863,29.734292808932654,30.348083774898832,31.04291417452521,31.567746968741698,35.90033416344639,36.12183562113336,36.90563996686036,37.242718313459726,38.240088347805774,42.79818300558633,43.43876303328054,43.99130590093757,44.74254649440578,45.59351074575452,50.07247406693459,50.20612122035082,51.17370878072545,51.68338145776252,52.38790481134507,59.50055767358363,60.432070575353464,61.23266000215079,62.26618004902567,62.449918655177996,66.85374785769726,67.65583540451111,68.37529564060097,68.96234086248607,69.92312582029274,75.34007199449046,75.8814414228847,76.71216009290983,77.41060912661035,77.88367126611864,81.63905032044627,82.26054493270303,83.03124673021874,83.21802004494532,83.34421726262244,85.98619616410612,86.0728568462201,86.12761281605948,86.24959109088778,86.31368229731277,87.52057230898525,87.53300124404424,87.53300124404424,87.56137727305381,87.56197727305381,88.01505419909005,88.03550330561939,88.03956503638706,88.04354726276637,88.04354726276637,88.43104092493587,88.44121882186282,88.45191456829849,88.46367631684548,88.46482712930344,88.82640875316181,88.83328461018878,88.84163914630115,88.84163914630115,88.84364088468531,89.29020673641715,89.29217794130619,89.29321982536405,89.29742500963766,89.31782663711783,89.59225731954034,89.60544441519315,89.60798099309051,89.6168149724751,89.62492015674871,89.75021627014698,89.75112948332509,89.75395827843604,89.76509801065703,89.76509801065703
