,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,0.5100828726567214,5.126071658072667,10.535070453806792,15.703778483800638,20.539647344980967,23.56712767453087,26.740436663775952,28.622749288719216,32.39894296924479,35.21290554187287,37.69937693936796,42.12868337719888,44.95322863188122,47.654676853355575,49.71693124868344,51.66248586205122,53.464349083049775,54.856552570804745,56.10536835749915,58.10261973915217,59.21740120693699,62.16016683898068,63.760656118435016,66.18918322069028,67.5650652673416,69.0850821973721,71.02958942094082,72.5412882517905,74.60878918784408,76.17233502869217,77.6385126828246,78.97831929260308,80.69327590113544,81.8951114006992,82.58089526670628,83.09053810670747,83.503939940762,83.83739927631267,84.39817238299416,84.51533631338985,84.59025027522446,84.67584971941052,84.7326697903909,84.82962061051268,84.89512191000256,84.91132191000258,84.99621229771311,85.02019864112033,85.04919932823861,85.11817081197914,85.16084415019505,85.16714415019506,85.21769988573753,85.25025735006726,85.29436852232608,85.29658378290384,85.3835092082133,85.4051132525166,85.41633020378855,85.42915472019313,85.48069122915688,85.49163440086049,85.53262574297395,85.56727238504412,85.59942055545397,85.63516564659052,85.64655198999775,85.66273833340496,85.68170016040759,85.71277031672544,85.72585501715147,85.73929557882542,85.76786009899973,85.77536414330305,85.78690731500669,85.80105710991141,85.80451798251113,85.80946115421477,85.82354749762197,85.83657701273282,85.85432113883934,85.86569952229704,85.88741399475954,85.89670033816675,85.89984350987037,85.92646331002673,85.92646331002673,85.93163758324296,85.95596306180148,85.95691352391357,85.97123622351592,85.97123622351592,85.97123622351592,85.9746891375627,85.99758244574319,85.99758244574319,86.0221831900825,86.03124501708513,86.03438453228512,86.03857087569234,86.04321404739596
Trial_2,-0.6934535845001979,3.5838091314170413,8.672913354477421,14.864779913366542,20.153848682286288,26.2737116661892,30.466945981859173,32.87785794316766,36.54102115848419,39.02271360188198,42.12046029056259,45.41021825735077,47.615344714865785,49.97188472813754,51.042355334354724,52.677202134367,54.18088004809475,55.03724960940339,55.75868080773941,56.84600433491454,57.873105746326594,58.762999187667575,59.60568613282287,60.79951932536671,61.761585210995044,62.16699801052621,62.48200581680009,62.92865989076228,63.384083194647,63.6959646472496,63.87124530371626,64.28113976751096,64.68326243469558,65.45342862271379,65.8506408108667,65.9856121077874,66.79764368894313,67.16094324826614,67.65005738983908,68.39795291758064,69.03128900973104,69.6570963667511,70.09946184140816,70.68032419600196,70.91643695984364,71.15456155863984,71.29175264388233,71.38637569776012,71.47678911508379,71.65701450085709,71.75731588348793,71.93772651134498,72.31406667415357,72.59571237730214,72.91354095766688,72.95855564196523,73.36876081828623,73.96262855164134,74.28453803028283,74.88346915394717,75.17736647732575,75.53617217891865,75.83036484693167,76.53050026998095,76.84467338606301,77.3708469269014,77.64965697161999,78.22089443824537,78.53261598319176,78.69798022343396,78.84805998238872,78.90558261371143,78.9767315302072,79.03328683206998,79.19912766573711,79.34136154325738,79.56921135074805,79.88844466530614,80.14990882478514,80.24838928981674,80.25123860586481,80.46814391718375,80.76700862560712,81.17179864808074,81.54730175323297,81.74905763685996,81.96563088865906,82.18967528790238,82.46000568256508,82.77284569686591,82.83247964927898,83.13186612521058,83.24480277524687,83.76219661483192,84.19240130318856,84.35396957876915,84.56201209068244,84.66894044992398,84.73430187236794,84.78220870600381,84.80257477557002
Trial_3,0.12859671023275399,5.061734457560358,10.728850894538889,16.572272981746686,23.167258384472984,28.946887941079417,34.372619747062956,38.15536138058346,43.087096089177834,48.78456156302302,53.39648091738407,56.761778707460124,60.01444934992735,62.5357525863624,64.78963066799112,67.10819644903395,69.22139230622908,71.12417249363585,72.77821556051262,73.75301434534467,75.88811988846774,77.29870944269148,78.53215497627569,80.02515521987424,80.97272888189394,82.0933313790951,83.00704481798832,83.54353332683824,84.15901165713781,85.17322407283557,85.33328437121199,85.49003868826206,85.65681182104922,85.78423529144861,85.93942414375826,86.00159583753943,86.07252611643472,86.1500717951832,86.25845722462066,86.37231044594911,86.41505507632911,86.43659596555658,86.51124926918362,86.56873200001819,86.65186461935733,86.70663902771895,86.76975322868739,86.81334105841465,86.85887903949032,86.92130490093523,86.95903829799254,86.97926897621095,87.05896959888068,87.1127742208375,87.20506623925198,87.23484798825808,87.31268018966821,87.33393928456425,87.36439657133705,87.37033287334961,87.38938005151405,87.41402251608605,87.46397813421311,87.48780452709754,87.51674202459907,87.55418005832318,87.58885135463078,87.61717244769494,87.65218967034173,87.67529724448293,87.7143519325419,87.74158758762412,87.75234667564835,87.79097844125688,87.83537567606007,87.86545235405069,87.87705881354051,87.90269940723661,87.92723502821562,87.94017684170645,87.9757847427757,88.02401635498427,88.06587356721631,88.0712501753608,88.0915692933044,88.09425175968036,88.11046947923401,88.13506586615334,88.15068292631909,88.16889529190307,88.20179338719852,88.23001958717396,88.25273643894292,88.25273643894292,88.26112476355036,88.26830722992632,88.28519437506573,88.28977143762981,88.314078790417,88.3329028655453,88.3551229008189
Trial_4,-1.251549066304903,3.3774714081280774,8.161702129669065,13.843008711117065,19.26404654179531,24.70861357278078,30.131251131005612,34.39027019282823,39.72380145554998,46.063925237166714,54.644357200889374,61.54178164619243,66.98348649606966,71.84870943221263,77.51328579534285,80.87995062829526,83.08277673754954,84.34696153063767,85.26954613188681,85.81709536143175,86.11579117172431,86.33945955202675,86.66985143776438,87.00934722814411,87.29778953027765,87.47612179942342,87.77094124830073,87.9606532221321,88.2118512912678,88.41559440233134,88.70251606469247,88.85002687973251,88.98290878370116,89.17231834484002,89.34293498901822,89.42225291628752,89.52675656596126,89.5976710461159,89.65165042832068,89.68136107763411,89.72311912853799,89.8112142843874,89.86709455734781,89.94236310511741,90.006109491846,90.08184444135323,90.1184413298058,90.16747038858718,90.22087340521485,90.26182851610788,90.33093006620312,90.38246183346924,90.41635440818617,90.44962293407254,90.47319357394008,90.51146698212898,90.54171797991454,90.59390213622959,90.61846020190711,90.66245586161149,90.6894221618225,90.73313443145413,90.74532621628796,90.76921497172843,90.7897754417849,90.85013572748703,90.87204776777111,90.90857476839001,90.94025236360156,90.95837126347931,90.97335033756795,90.99540245193471,91.00543669177412,91.0312277897229,91.04020678681714,91.05510025610135,91.06576066574878,91.08976751718977,91.103769344501,91.11917584785107,91.14412183773169,91.17412397653744,91.1873952957569,91.20415166962007,91.21646741761845,91.22990456286685,91.24934287978802,91.27098643263103,91.28338918744981,91.30586067077387,91.31130251181621,91.32788796046742,91.3417367461733,91.35718838237285,91.36261471377024,91.36503042334635,91.37618444739742,91.39711113247145,91.41082405426597,91.42591475226149,91.43854778995748
Trial_5,1.1648131020534453,5.987442920175138,12.134197244580053,16.29200500826418,21.018755879512277,27.387201304454585,34.21380729313133,40.425523598863876,47.5736852965058,54.006811153971086,60.06323595031232,67.64216855169589,72.96807825986104,77.80926613717168,80.22307200183553,82.18276094957362,83.72443173832549,84.78652026742002,85.60482523043883,85.81825791426698,86.00974351345737,86.33150024045713,86.50215619574155,86.77132727153112,87.0100530093266,87.20468409252393,87.31521275409749,87.56716032983518,87.68487921064657,87.87249662297629,88.00518287900323,88.04483015659524,88.22157050310177,88.29626295951866,88.37335199857672,88.5246401273135,88.58124890144263,88.64865161170611,88.722543911626,88.74239025074232,88.80035531821122,88.84259657580952,88.89435112784062,88.93783390141003,89.01099637567197,89.04062965142086,89.08652057672946,89.13546563882878,89.20929620904617,89.24292587093205,89.31426882453205,89.3392540455077,89.37620651438696,89.4112665748167,89.42653545770823,89.4523555252044,89.49874462901576,89.5171995546898,89.53257405378146,89.54037738236897,89.58301361207032,89.6063330085254,89.62084694167093,89.63784243033496,89.67111296984092,89.68462672850085,89.70715751793307,89.73087532155931,89.74889220796959,89.7846506640267,89.8277577641108,89.84312560492886,89.87068539003249,89.87879869380973,89.89386126817148,89.89386126817148,89.90790461095327,89.91535197154539,89.93558671767956,89.95907932358011,89.97573315154496,89.99761848808471,90.01570781148155,90.04089096812415,90.04187841546953,90.04458913759234,90.07910162592489,90.10974222311788,90.12182363969376,90.13614581302859,90.13938447097698,90.15216114854742,90.15464010804627,90.17637615658798,90.20113652689744,90.21553529816327,90.22751883554061,90.2741101493306,90.3164304630295,90.34428984239419,90.37520824547009
Trial_6,-0.4803649646153055,4.170277194569468,8.784762101683135,14.648049248402119,20.564463260669903,26.637153143463994,32.677639902336466,38.04232976537687,42.33003089791778,47.52697727212002,52.78299862946284,59.50158804001138,64.2952520775049,69.73728021517121,74.16857565186422,78.66717021235604,82.06649092695412,84.4550743808785,86.22047781610028,87.41482496642229,88.05621950472538,88.32088317880516,88.44250656369564,88.59837398496398,88.65554305503548,88.69651549194954,88.73241002161278,88.75088129594087,88.77607068908928,88.7986971049746,88.82299462009165,88.84053355935235,88.85814819351648,88.8856028213955,88.89385073366938,88.90561053935339,88.91483460740163,88.93377553836541,88.95042617053645,88.97052347388576,88.98591628671063,89.00997168531445,89.01650076403627,89.03355131167854,89.044439077003,89.05370065501108,89.06450065501107,89.07707336134737,89.08547336134738,89.09384606768369,89.10813440477254,89.11662044896094,89.11812044896095,89.12382044896094,89.13042044896093,89.1369295808455,89.1545296459027,89.16262964590268,89.16865693956639,89.17433465341438,89.17613465341438,89.18536201213527,89.18626201213527,89.19223972598324,89.19733972598326,89.1986499364826,89.20074993648261,89.2037499364826,89.2123953491552,89.2174457693395,89.21804576933951,89.22074576933952,89.22423410642837,89.22453410642837,89.22772244351724,89.22952244351724,89.23189514985353,89.23909514985353,89.24685558667436,89.24754645478981,89.2550464547898,89.25921935026633,89.26281935026634,89.26309706411433,89.26729706411433,89.27029706411435,89.27657477796232,89.27777477796234,89.27897477796232,89.28137477796234,89.28937484301954,89.29177010592775,89.29657010592774,89.29657010592774,89.29657010592774,89.30017010592775,89.3107058824503,89.31612933838699,89.32100621186638,89.32281094895814,89.32701094895816
Trial_7,-0.43660541452058976,4.005830659704969,8.461729403468453,13.744591726596575,18.60599182596388,22.5465338089479,25.38796394949907,27.07912715408099,31.526311098004236,36.480122937133935,42.15615065816132,46.99531195608597,51.033558237269155,53.91670115456211,57.665574230093824,60.87672312243715,64.34831470864493,66.11379704001222,67.64641010926466,69.63304508599865,70.90987221636169,73.00757691743327,74.52621772804325,76.48907219842468,77.9275660100464,78.67916694493707,79.45895711896243,79.71500023958005,80.6207617375153,81.634475608885,82.32855098130369,82.79654630104598,83.24828731295878,83.65413327788319,84.11350371336889,84.458776484123,84.99210770881174,85.32651461089861,85.40412120973522,85.59013381500031,85.68841781355317,85.7891095379881,85.87868905315958,85.93859930094641,86.00067125558701,86.08947894157409,86.21471736399639,86.36473250867785,86.50189401220027,86.58183802005165,86.70558119546621,86.79020674098898,86.87606484199787,86.95347672865182,87.05513943412389,87.1287412920863,87.24172636068649,87.31178699780503,87.47729624751095,87.56489809917319,87.6778169163223,87.73967434461291,87.75888307371301,87.7899232260108,87.89388465750653,87.95570498895118,87.99682634506016,88.05015160019086,88.14825149669534,88.20146196139852,88.24208459695599,88.3086494506993,88.32249144227472,88.3929543795804,88.44998490501908,88.48369587449099,88.53333579181535,88.5719195561897,88.63197372179334,88.69833979132493,88.70638909112903,88.78935420813077,88.85019172025912,88.87579805502908,88.93905024373382,89.01219899291416,89.02902955209694,89.04880092696386,89.07267164616191,89.11785473572826,89.16494049590325,89.24620707536113,89.28731371640498,89.31994572760446,89.3667847711061,89.39284111594719,89.40592174535894,89.46829062702285,89.50204089528569,89.50703108034168,89.54339702034893
Trial_8,0.16134265146590207,4.513670713741593,9.741040448142337,14.632590616912736,18.591792666257607,21.964743920828433,23.73987266318977,24.704300648074266,25.2537217416511,26.225627994046725,27.10305277255129,27.89233387530203,29.24628535558598,30.34121186922351,31.430949988235824,32.69898104809194,33.482257302261715,34.659209452562685,36.09167345092439,36.85443940212017,38.18192511090747,39.28266274469088,39.72072292842603,40.7252155801469,41.865826234137224,42.95834027061497,44.21849939414743,45.484381042579535,45.88153130893921,46.55615217599784,47.31264608216549,47.756754836710186,48.2005476657372,48.77548029315602,49.12697196924055,49.74028305164902,50.178111214757244,51.051641968078,51.661003429487934,52.094395398581746,52.577119675651794,52.62796083991896,52.6348356316019,52.86607231505391,53.13524024687324,53.36087139856825,53.45268508676798,53.852112200023605,53.89770333707609,54.16344068663401,54.20982839816923,54.34463533797689,54.65325666465534,54.87482784364861,55.05308385001146,55.31879699359151,55.581265544249966,55.80200317745643,55.9807461679974,56.11394383126483,56.334737337205624,56.688377578147154,56.907036957285726,57.12818169824538,57.21438651101597,57.34542434643558,57.60936437617293,57.96161259212379,58.049919889675365,58.22350261738535,58.61896042277418,58.8360140771566,58.96596829876236,59.185202786881284,59.188519796404165,59.32419385939518,59.416824402782666,59.55408489188283,59.55556075560373,59.64536557420493,59.737335601421584,59.739716757424816,59.74452472270953,59.7457028406887,59.75030973995678,59.88549563558025,59.93077246620546,60.11354961019633,60.20418075355488,60.25105620213801,60.340237434205626,60.34129278289005,60.38704960161369,60.43085752412379,60.62179226278375,60.668050083533416,60.71188467700885,60.865547004813955,61.043022211046484,61.08805457361901,61.17779529451094
Trial_9,-0.3451772261824608,3.4933624780711137,7.5207678895605685,12.253499802109411,16.334170056531274,19.907782221381904,22.51757965124916,24.062270568694615,25.099284513279326,25.911003696572816,26.922129358826076,28.05811444606096,28.883260589072243,30.408398974304518,32.149328370680394,34.86744815090799,38.316659909729545,40.59747588571915,42.53386884346045,44.67755601119091,47.5400492815975,49.98543884009301,52.187766691502254,54.11092735934708,56.908657621756774,57.989725554928356,58.6825512570299,59.80707779718936,61.425621361553006,62.24798095001763,63.6867262727922,64.3240976283831,65.52214521907138,66.62732181924567,68.03531975194325,69.12321359583812,69.71321354891953,70.27503018901899,71.1679730037486,71.60745780438168,72.40126457381979,73.66151156315766,74.69400574371598,75.39652388984922,76.30054364653972,77.38656691173142,77.87006120309088,78.33414679248033,79.43717167189699,80.36222808983594,81.5990807548505,82.32312590848022,82.67826913964491,83.29844892846941,83.87369397293463,84.27255869065422,84.83723795897691,85.35288040831438,85.5428566212267,85.70261502599729,85.8055922277809,85.92427708125484,86.04730867109261,86.16176858182268,86.22620051419744,86.30208509542837,86.38470182884373,86.4526120946037,86.51337105383465,86.5497332017242,86.60170235768216,86.65035369104697,86.7078786821356,86.79671984244254,86.85948308635199,86.89179122236685,86.93936672734137,86.95286774415258,87.03070238643971,87.07380089454325,87.11623813727964,87.11983813727961,87.17862551108534,87.27006135122582,87.28806890131335,87.35875293781653,87.42012896049619,87.4978211727797,87.50795778093666,87.53388273244282,87.55723837295551,87.57866233112222,87.62194742719838,87.63679978471195,87.65883016078268,87.68053415731492,87.71835583535038,87.74890447215122,87.76673723425127,87.79204715529413,87.80653286836696
Trial_10,0.5504483282363561,4.589791713198989,9.92606640554593,15.786759920464776,19.31047851946907,23.58140464608607,29.040827911633176,32.649338047191435,35.014905463824114,37.21078851403459,39.50239855155426,42.55730562369294,44.51024962998553,48.01446139975573,49.85038214912247,52.31398020409998,56.68232097725926,58.94727413648634,61.922045033459256,65.81934289745723,68.11216167521202,70.91644366971512,73.30461320370569,75.34723456515394,77.47394634978323,79.12561705076374,81.24667069907763,82.4770359616611,84.03201909591769,84.92262022910337,85.77998218708763,86.47357313756842,86.96189570403222,87.48883884738544,87.66098942094759,87.82757993710855,87.94543583924431,87.99187409514258,88.11806795339453,88.19052354114312,88.23591442933342,88.29666979241898,88.3434603968546,88.39372324087641,88.41055720466146,88.47335260773445,88.51045931396766,88.5231110126226,88.59700690711615,88.61482242413116,88.64805641601747,88.65605105677237,88.67091605402175,88.68842399914085,88.71912474774854,88.74369372990532,88.76264824625137,88.78171257061902,88.80564246424456,88.82283776569679,88.84728981681427,88.8716526458595,88.8915182394745,88.9002232930179,88.90627750206485,88.91978173482475,88.92955444418637,88.95029462562368,88.95029462562368,88.96070492116877,88.96640511079498,88.97721366730892,88.98094185350168,88.98705620992725,89.00124306461025,89.01441407614719,89.04724444568939,89.05226800589182,89.06287736029475,89.0708044453688,89.07908918172362,89.0860709994494,89.0947557928355,89.10311134579537,89.10311134579537,89.12041528706595,89.13556828987926,89.13556828987926,89.13556828987926,89.13932766713708,89.14314606432235,89.14365723831348,89.15112314025859,89.15693786222292,89.15855718584886,89.16012135850664,89.16012135850664,89.16151241134159,89.16151241134159,89.16856397198917,89.17521402820806
