,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,-0.49590816862142867,1.9213086519258473,3.905767928389447,6.900574686232987,10.927747427779202,14.192353534391867,22.587483853666058,25.856054128982226,29.626149248244033,33.86128899339219,37.8294618654224,45.932840161670995,49.32067351949824,51.120162628540385,52.90601459939639,54.471701404984195,55.78008143950036,55.88612549696941,56.434770614604176,56.898712448852535,57.27383482597033,58.88506980530021,59.07586260093476,59.17857357691175,59.38081227959502,59.61729119240468,60.69703845911138,60.97288388569084,61.08267629456934,61.266775967705534,61.58897580820134,62.89943867795711,63.300793252014216,63.77601942505625,63.867251778802675,63.99468131103462,66.89615027799238,67.24076823006932,67.58167396795298,68.05462200955613,68.5820080383449,71.54690769446277,71.76962374484175,72.07480026579428,72.16677880864286,72.30506647126161,74.5988442807211,74.77706807978572,75.04147541829997,75.12820599758187,75.25682986858219,77.70357843382263,77.8316601372552,77.96809043293915,78.01445091964632,78.06423772023867,79.5829682032932,79.68782862982589,79.69445389119451,79.70691723448498,79.71281208780697,82.02504552839687,82.02857547293465,82.03068072213027,82.13238551012611,82.22907012142734,84.30292281160565,84.30634912549084,84.40003867839496,84.50211529364415,84.50424678961922,87.76436095850855,87.76919182102962,87.77453827803578,87.86858909623052,88.15071530403527,90.44964532752739,90.63276648097123,90.63546584751727,90.63546584751727,90.63795354645254,92.28756242947469,92.28756242947469,92.47029157955153,92.47029157955153,92.47029157955153,93.29245464438982,93.29245464438982,93.29245464438982,93.29245464438982,93.29245464438982,93.84056335428203,93.84056335428203,93.84056335428203,93.84056335428203,93.84056335428203,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942
Trial_2,-1.7930279129123585,-0.7834697252559972,0.17721562987362424,2.6867351926684724,5.413599124665129,8.45321233684273,15.490010550501422,19.848626781743697,22.905440528569947,27.641405301083868,31.7638082652702,39.988093656637204,43.325317945511415,47.023856079220266,49.866873818618984,51.70754442516432,57.754884471243294,59.44110381879915,60.29463446325317,61.74902554148393,62.59884711851084,63.657411661596164,64.13752414893447,64.27924021610637,64.28613461913166,64.51056669447509,65.95505584253979,66.2515956748366,66.60504238948694,66.99975864047047,67.21770975753928,69.15123100244435,69.20261244019007,69.39268647747784,69.39357243182305,69.44816962571944,71.09135978653865,71.09425271161102,71.2923509280563,71.52486978892725,71.67253024939728,74.22038593295026,74.3153735884634,74.45675795032489,74.55391516927887,74.55421926297903,77.59426982079705,77.73532130873822,77.92320797405955,78.2456109136494,78.377714174341,82.70392037625848,82.92792180976096,82.97216611661418,83.05991576954244,83.06245968315314,86.9077427419835,86.9077427419835,86.90775921646298,87.18651360770153,87.18865741105509,90.73884087653744,90.73885642864951,90.73888943206967,90.7680640992863,90.79943333171383,93.10738425384594,93.10738425384594,93.13420890291634,93.13420890291634,93.13420890291634,93.91596766129778,93.91596766129778,93.91596766129778,93.91596766129778,93.91596766129778,93.99644160850902,93.99644160850902,93.99644160850902,93.99644160850902,93.99644160850902,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942
Trial_3,0.031974759727613815,2.1492795434387966,6.067866893378765,9.39337727643849,13.822217790234268,17.930114733322107,26.268422501293244,30.955227976105533,34.69493495098417,38.18032203265207,40.8694782720933,47.1911286687672,49.17751530401075,50.763050234357905,52.5962293142078,53.76276194906281,56.981632076714575,58.7489351376446,59.561657917869724,60.717849765663374,61.56456068502781,63.87453299305211,64.51998235254757,64.96198877861485,65.39963352050314,65.79253819480464,68.28044210528965,68.32401171543721,68.49901471142522,68.8122195757005,68.98302254527393,71.16274329936483,71.21115102282407,71.25781270539969,71.30036237389757,71.38941368093653,72.94558358752752,73.13161612120723,73.18703819019588,73.23867443953696,73.42389799772145,75.12339783019068,75.44708490070721,75.53848840027817,75.58812741605942,75.72386246592394,78.34842412027962,78.48086585708128,78.70005472679068,78.70005472679068,78.74174943246064,80.10092443997775,80.19592746232352,80.33574478693454,80.34939767671327,80.4442411110442,82.32763418070772,82.42581000970604,82.5206796908164,82.52398498514646,82.53414175716345,84.92651090220993,84.92651090220993,85.0215572804847,85.02477056722375,85.30508374837493,88.53741963707188,88.6289009661526,88.6289009661526,88.6289009661526,88.63220626048263,91.10001980482102,91.10001980482102,91.19137125646972,91.19137125646972,91.19137125646972,93.10975174109242,93.10975174109242,93.10975174109242,93.10975174109242,93.10975174109242,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942
Trial_4,-2.314328542771485,-1.147167187127183,0.26121361560283796,1.811781163980872,4.091895926204043,6.795649871926842,12.986907321917142,15.505714720578395,18.33822992401044,21.44115552672484,24.30739455068251,31.899480099589727,35.715629572547854,40.08185071195938,42.12106127444831,45.9122511041361,52.92432584114002,55.21756431495449,57.061707167285405,58.440575295784164,59.456316903702,61.229478586124245,61.873252630713935,62.37072591430666,63.022440379077715,63.28688482833114,64.26514986427513,64.73172450617172,65.64554122476612,65.94536545048123,66.4956527469467,67.97370202824324,68.35812480576091,68.62629556651605,68.94290818416013,69.62548481835452,71.73650735615014,72.41238831974701,73.0081343766089,73.30879601186936,73.92158873737489,76.92838637762658,77.33273006433672,77.68703238177353,78.56288901566482,79.4243179450407,82.21062261883544,82.56370985263302,83.1150775481448,83.57348382822133,84.31457825518193,86.91247029406014,87.2037902491993,87.43783489472997,87.67031054385342,87.8945188728429,89.3315283434499,89.446331353318,89.69737752889112,89.72971884882409,89.80884702650073,90.56035260441294,90.61222595931714,90.6993472671709,90.84430928264187,90.89215919918743,91.59638947045545,91.68821313983615,91.838422857397,91.87128753966982,91.93306734692051,92.68452227543143,92.75643974080158,92.78779071939178,92.89146329886665,92.9641291869535,93.28119522496634,93.31629207348917,93.35976567251706,93.37587729209936,93.43120892605059,93.66653981114612,93.70773443447837,93.71476986505046,93.76291428675113,93.77975576973581,93.9007177303304,93.91687426718657,93.93631566819153,93.9504515020268,93.95851638770117,93.99654640279928,93.99756117385877,93.99857594491824,94.00062025809672,94.00064980021568,94.012858710239,94.01388825235797,94.01391779447695,94.01391779447695,94.0149030669258
Trial_5,0.6885269627899118,3.5603663470660196,6.659635418896994,11.39889666936851,15.738833996865317,21.0120812519114,31.961745723720707,35.56338376236838,40.05843989913108,43.041784874620824,46.336869019782306,53.07214622403395,55.48881144947177,57.37966871469008,58.72472416036187,60.25696039594396,61.86127394264521,62.363192605496664,62.99725563623419,63.23013321153881,63.68654493199023,65.99246180722395,66.78683038683394,67.1825290663732,68.05455992539738,68.44936312515222,70.25762370644122,70.73688403211818,71.04810102118977,71.31615871501751,71.71363710878428,72.6011881214757,72.86170206079441,73.16909931420903,73.8177595349054,73.94697133417675,74.6614215953317,74.79594530066532,74.84261235980281,74.97785186935802,75.02289319403721,75.122394500726,75.12271538387152,75.12271538387152,75.12287582544428,75.12303626701703,75.13391037845194,75.13481655440485,75.13662890631068,75.13753508226358,75.13753508226358,75.14713853072718,75.14895088263297,75.15014189270893,75.15195424461473,75.15195424461473,75.17734514144016,75.17825131739306,75.17915749334597,75.18108517161644,75.18470987542808,75.20972267978452,75.21062885573743,75.21665267792619,75.21846502983202,75.21846502983202,75.24365493259624,75.24647518136906,75.24738135732197,75.25249900355783,75.25521753141656,75.2823687276559,75.28511993536954,75.28751905374668,75.28751905374668,75.28751905374668,75.3179352696401,75.32036706787214,75.32201049310248,75.3245416323506,75.32694075072773,75.40481599807293,75.40493132443758,75.40493132443758,75.40493132443758,75.40972956119185,75.50380470219208,75.50380470219208,75.50671833203778,75.50940228453794,75.50953430540892,75.67749539979484,75.68014498789857,75.68269691952774,75.68723111454004,75.68966291277208,76.04526848664563,76.04573734433467,76.05267065772411,76.05771936420496,76.11792740342125
Trial_6,-0.6557088271876411,0.16314575863031058,2.0691197822012524,4.53616506059518,7.423707295367408,11.189771804732764,19.961487745473697,23.960056555070818,28.844061889738057,32.42574985737201,35.69275619410713,41.562261081756304,45.476854877387886,48.85704267778556,51.53570289170157,53.0757537828983,55.43316230881907,56.694074482284506,57.77606602332762,57.93292671181224,58.09723189596029,58.47207390181788,58.71436238123469,58.81388822009978,58.91380657945381,59.32096602031467,60.4257402822786,60.526074314799914,61.1951661536788,61.46700884266482,61.951770477169056,63.383227031485724,63.69058005807603,64.1312208855911,64.66204128593627,65.14882090894461,67.9706809280228,68.3668400475806,68.81459162178584,69.31015752282534,69.81609574657793,71.32114207509878,71.46200885726864,71.80142279225903,71.98590611044783,72.12270235441218,73.22750615436874,73.40996714451867,73.59230733626147,74.00202676600429,74.31827285366165,75.43011953040808,75.4769389738144,75.4769389738144,75.69890453174148,75.74654746817494,76.90428151113287,76.90651730070743,76.95412869129491,77.18501887376279,77.46695084438029,77.77322690397605,77.96095329355882,78.24190877619661,78.3340159209921,78.33716686170662,79.45782826398133,79.55244288027944,79.64455002507493,79.82782971131518,79.82908344706648,81.49598782525685,81.49598782525685,81.68020211484783,81.68020211484783,81.68020211484783,84.42926409211151,84.52064179053963,84.52064179053963,84.61201948896776,84.61201948896776,86.98799712877573,87.07937482720386,87.170752525632,87.35350792248826,87.53626331934453,90.73432528365251,90.73432528365251,90.73432528365251,90.82570298208064,90.91705443372933,93.38380609603851,93.47515754768723,93.47515754768723,93.56650899933592,93.56650899933592,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942
Trial_7,-1.2939388646562555,-0.48043557335370707,1.7872366055990832,3.985624614329983,6.343078991002028,9.247187895458776,17.253733702904338,20.848138140140875,25.749427807656048,29.928024341261924,34.363305352794285,42.63261504514211,45.92890562274502,48.21716192166832,51.081696871347695,54.42766169000627,58.282424837873016,59.364489360015966,60.15078115778539,60.65447337429308,61.32831128174334,62.30684380799969,62.777411196567584,63.00732670136149,63.408145815233404,64.01636671295468,65.69655634946213,65.95685662322472,66.41267813702125,66.80222833367816,67.20502078659284,69.59247205679296,70.17080375135927,70.70600162755946,71.18715116488066,71.83489822257103,74.93195881022706,75.66221363536722,76.0447965468967,76.62347783178673,76.96597008290401,79.18193575655096,79.65860239365448,79.89308594555234,80.28092559510692,80.48044085510075,82.72205576181436,83.03828302092057,83.21555380002383,83.4242498195024,83.80026665296405,85.80105553991402,86.15384972655797,86.25023393019096,86.81067465899501,86.97268593278794,88.75106825265735,88.87699432490888,89.02986273696094,89.23689723188069,89.35016566655337,90.74912315312399,90.79946447305696,90.90211204024735,90.96456280612477,91.02094063375202,91.56409908976893,91.61712404155197,91.65239833868212,91.68379477561058,91.71382179583915,92.04133090737523,92.05565111920689,92.08990429468115,92.09996774135358,92.12863069479612,92.50489547939398,92.50945472089467,92.51443994983518,92.52298442027637,92.54633446404303,92.79896801908933,92.80652726059002,92.80951248953052,92.80951248953052,92.81948294741154,92.98157497869335,92.98157497869335,92.99536578095935,92.99536578095935,92.99536578095935,93.10938512047044,93.10938512047044,93.10938512047044,93.10938512047044,93.11563145229523,93.18602569143226,93.18602569143226,93.18604046249176,93.19228679431653,93.19228679431653
Trial_8,0.0859580774122374,2.4495346654172954,4.737221054131848,8.135641704864803,11.99728523929128,16.354556041338284,25.92443530740421,31.681728882653047,34.932350795981684,38.17651551685439,41.16223803833561,48.5963544810535,51.31468873546067,53.178658645380864,54.16115407457276,55.6821235781384,59.62037206566567,60.47172105488444,61.050805152355096,61.939035153266765,62.399762678862515,66.58752253781499,68.09318919809257,69.30141679386911,70.31929556203708,71.8311442176619,76.22641989677841,78.05246564590689,79.20483198975407,80.28709500478091,81.48235271589756,85.23184015047413,86.2240574207071,86.77998844683577,87.514894531201,88.01660003588736,89.92911777580875,90.175981037918,90.54596223207801,90.79708067937348,91.01924255053822,91.90148046555962,92.02209577728165,92.10621436724274,92.1643844114722,92.26191693379744,92.72463454258424,92.75573215084154,92.77476758141364,92.79912880112471,92.82184389346763,93.18003588365201,93.19006437214124,93.19006437214124,93.20163682368924,93.22899259249053,93.53949599331263,93.54889607529238,93.5782899305697,93.60001623923178,93.600645699371,93.7837546833044,93.79517235185774,93.80054289171851,93.82728397144007,93.83065451130082,93.94292325172391,93.94292325172391,93.94390848066443,93.94589370960495,93.94590848066444,93.97556796274806,93.97556796274806,93.97558273380756,93.97558273380756,93.97558273380756,93.97968608771562,93.97968608771562,93.97968608771562,93.97968608771562,93.97968608771562,93.98171558632625,93.98171558632625,93.98171558632625,93.98171558632625,93.98171558632625,93.98210371276065,93.98210371276065,93.98210371276065,93.98210371276065,93.98210371276065,93.98710371276064,93.98710371276064,93.98710371276064,93.98710371276064,93.98710371276064,93.99325332100429,93.99325332100429,93.99325332100429,93.99325332100429,93.99325332100429
Trial_9,-1.6175866214355283,1.512442842995117,3.4870983633843466,6.620859882280843,10.411785433362128,13.987811910888379,23.962090886020714,27.861297202680642,32.91320885540409,37.87575518154829,42.083283286363276,49.515285526694306,52.68028277295177,54.51456180608848,55.239801000819334,56.324221812975956,58.996315969178575,60.01432834200614,60.93559164814579,61.392709875363046,61.85412735162546,63.98355380742615,64.54066139002445,65.10398255909739,65.61535711417807,65.98330788080871,67.8603875928083,68.55401336464462,69.01273954753965,69.59616657738218,70.08928463316207,72.31377702203136,72.73019420148947,73.28486368224472,73.4230486718894,73.75190155676752,74.92613323611579,75.20810417677377,75.35135610028327,75.39700762299553,75.6258441353525,76.21451828120921,76.21451828120921,76.25951828120921,76.25951828120921,76.30635535413758,76.5405407187794,76.5405407187794,76.5405407187794,76.5405407187794,76.63421486463612,77.11275423198026,77.15959130490863,77.208428377837,77.3021025236937,77.49043412090084,78.53800166887902,78.72534996059247,78.72534996059247,78.86786117937756,79.05720947109101,80.33397907821734,80.71677655990243,81.00488331650287,81.33674282700142,81.76332690395202,83.19759052517904,83.48569728177951,83.48569728177951,83.67707913066587,83.67907913066587,84.29176488559699,84.34060195852533,84.39343903145371,84.5359502502388,84.6784614690239,85.16456838064596,85.26837760359584,85.36811909053782,85.37015242399463,85.3721524239946,85.48356875428563,85.49678752874705,85.50593918886256,85.5191242916284,85.5211242916284,85.62942155301418,85.63447197360951,85.64264061167003,85.64874150992823,85.65589294406014,85.78442149155022,85.79265730255901,85.79885938326984,85.80292672435512,85.80912852162729,85.92406259521877,85.93023123327929,85.93436585991691,85.93843348519663,85.94151768970427
Trial_10,-1.1946342189424568,-0.25158451174566765,1.0228793196374977,3.6280323242438977,6.802044423974892,11.461726042270602,21.740270508863468,26.96283172900502,31.52753001701767,35.92276191687589,38.39487834312453,43.14107031442394,45.278804422742745,46.88980237011248,48.146585497383995,49.91260873894666,53.755216267366286,55.096994589300394,56.91330685549344,58.259769280647234,59.226735211457346,61.184170621349075,61.989009319305545,62.440971484756226,62.832087954827365,63.23539223632062,64.47310278180032,64.8847490514234,65.24107006449513,65.71766679143366,66.43518552660686,69.32863759372893,69.78578489697964,70.4538474197804,70.80523239350313,71.02849584100665,72.88919201360673,73.04143624728377,73.17627818421266,73.31199047405616,73.39845341797705,74.26039528159417,74.3485234646707,74.46369780018692,74.64543858106622,74.64543858106622,76.17950367262492,76.26632392062498,76.26953319005584,76.39971414618714,76.61059914027051,77.89502323167224,77.99036646650674,77.99040578518905,78.03205769855226,78.03205769855226,78.85229431362423,78.90907937769515,78.91576891986051,79.1054426136458,79.25054463881722,81.3216648733841,81.51234059029484,81.5157539696983,81.5520781294357,81.60884878582878,84.32615161206384,84.51413089166915,84.71445293645134,84.71535136899712,84.71535136899712,87.59854108119198,87.78623661438947,87.88188284675125,87.97349076487188,88.20625275333072,90.03898969368423,90.08352204361583,90.08352204361583,90.1287509616094,90.2519384192238,92.20984950256472,92.3434465523595,92.5576125106138,92.60214486054538,92.64667721047695,93.7135398080583,93.7135398080583,93.7135398080583,93.7580721579899,93.7580721579899,93.97873390764784,93.97873390764784,93.97873390764784,93.97873390764784,93.97873390764784,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942
