,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,-0.49590816862142867,10.88733891525736,22.981552073286494,36.55012699978248,51.50595716425314,63.92990181223851,67.30436913335387,70.45436913335388,73.50394321299608,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405
Trial_2,-2.5462678613909238,4.334160049793383,14.596368405989582,26.464057156730068,39.201774698189176,50.68867450367741,58.90423244563311,62.0383138204951,62.60252958959056,63.067304339656694,63.40249357234997,63.67999385819383,64.04154182064511,64.17452204227581,64.35326591377044,64.44138396955032,64.79491403079511,64.8840117476442,65.01843829459986,65.10906411031463,65.2885948277048,65.46674308755799,65.50966763641455,65.68410951826858,65.77356216599082,65.8603435126315,65.94816389105354,66.12803401362152,66.21782567275248,66.35810479756081,66.37063828239258,66.38604742485603,66.3981674072403,66.4032343411051,66.41083474190232,66.41843514269955,66.42600983649926,66.43624787466341,66.44405661632965,66.4518653579959,66.45905372969862,66.46169136706554,66.47738731383504,66.49290062673302,66.49553826409993,66.50334700576619,66.5059846431331,66.51113004043492,66.51113004043492,66.52147224903358,66.52653918289838,66.53181445763222,66.53682997750202,66.54200108180136,66.55357371190786,66.55610717884026,66.55861493877516,66.57356222657057,66.580413602608,66.58700522378142,66.59829430641179,66.60273201300474,66.62079400823553,66.62688969112618,66.6360248591761,66.64287623521354,66.64723547836947,66.65769040441604,66.66661723159693,66.67118481562188,66.67803619165932,66.68021581323728,66.68467922682773,66.69381439487765,66.6983819789026,66.70274122205853,66.70948842766146,66.71601057982323,66.7175219661168,66.71827765926359,66.72033639783493,66.72249930684076,66.7254179089934,66.72669524742044,66.72745094056722,66.72961384957307,66.73036954271986,66.73404383801928,66.73696244017191,66.73902117874323,66.74040268760479,66.74180990346385,66.74282535147466,66.74321498377073,66.74324069076822,66.74350044563225,66.7439157849258,66.74404566235782,66.74404566235782,66.74425266078235,66.74451241564638
Trial_3,-0.009020579119438139,11.619395362464497,22.16035283025021,32.286272509917,42.148934800544275,50.85712043644499,59.201171312337465,63.614041157030314,65.01778274744112,66.53992798473317,67.97415940726691,69.36362308185558,70.21286702166441,71.330607278725,71.96006012231398,72.81293145660783,73.39877786329893,74.07158156818825,74.60781401756628,75.01045899038866,75.54699768299993,75.94958232615488,76.57475041197002,77.2897879440683,77.8262923155105,78.31629126396757,78.84978802523409,79.20647148352857,79.34209512361527,79.38739943277115,79.56802153924163,79.74847173601698,80.06441163980206,80.15470298202848,80.24515391226976,80.38035154358714,80.60615969316062,80.83216685276659,81.05765582631038,81.3732642323855,81.73312926538925,81.82298254935907,82.09242028390477,82.22716625151497,82.58644366457995,82.63137705400823,82.85593559980035,83.17021189095432,83.43950062892651,83.57413819518733,83.93317170521617,83.93317170521617,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201,84.06775481255201
Trial_4,-0.5834832791165625,9.606846497390553,18.510725061065067,28.899549128127287,39.33094326987809,48.70317238044654,54.57347538434316,57.65217529504807,57.72279546952373,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684,57.732141840936684
Trial_5,-1.5246020485376217,6.554649016082985,13.730747924552093,23.069175276757537,36.36791936918962,48.9733227716605,59.359385683858726,62.96750424631823,64.31782014082636,66.10175740994003,66.97298236282828,67.55798236282828,68.32366861611648,68.7301010315223,69.22618793538217,69.40731996844028,69.67875497047153,69.85902181365236,70.08493102897307,70.22043797158517,70.5834153546822,70.76484557794595,71.12822858308635,71.39891340128112,71.71517818072365,71.89745758163876,72.25879673012894,72.53092909063368,72.62113753961243,72.71218450818958,73.02896501733989,73.21013034290772,73.39084808548802,73.57180719681526,73.75303057294762,73.93278216286767,74.2475960569119,74.6057496333957,74.78392881354623,75.05091300054166,75.18480307329511,75.18572799092115,75.1863835692665,75.1875015831871,75.18770994666909,75.18833503711511,75.18943783032381,75.19006292076982,75.19047964773382,75.19179080442451,75.19179080442451,75.19295457343189,75.19343227619459,75.19432670592127,75.19456555730262,75.19542949912997,75.19571227465909,75.19641177715222,75.19727571897957,75.19793129732493,75.19817014870627,75.19837851218827,75.19921196611627,75.20049263490765,75.20180379159834,75.20266773342568,75.2037553521159,75.20399420349725,75.20471075764128,75.20471075764128,75.20471075764128,75.20515797250462,75.20627781736422,75.2065185940591,75.20654908195844,75.20654908195844,75.20662527846902,75.20662527846902,75.20662527846902,75.20668625426771,75.20671674216705,75.2067472300664,75.20677771796572,75.20677771796572,75.20677771796572,75.2068386937644,75.206914890275,75.20694537817434,75.20703684187237,75.20709781767104,75.20723498998031,75.20726547787964,75.20732645367832,75.20738742947701,75.20750938107437,75.20753986897371,75.20757035687306,75.20763133267174,75.20769230847041,75.20775328426909,75.20778377216844
Trial_6,-1.6885500679367234,3.918405566272672,13.68009910514021,23.298938682039925,35.2850155530064,46.37602648042391,56.2196513589164,61.84969056040946,63.982180831503136,65.67457935183329,67.306757655177,68.8357949729473,70.26957377766422,71.1972984114258,71.85702054527991,72.92850393301623,73.3491524582357,73.95586203091695,74.65331702406614,75.44475232184847,75.63377782991773,76.55834159827494,77.16120952668226,77.6214710871691,78.40471710965615,79.14322818722304,80.20420297690285,80.94302434603884,81.49161605403465,81.77959095944462,82.11862131051916,82.50679840228601,82.79734951356659,82.94262506920688,83.33029160599413,83.52399234684786,84.00765966702022,84.20006829310542,84.63246593928642,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699
Trial_7,-1.101052258261637,8.648524793439156,19.68982636807699,30.61840287715222,43.23765460241655,54.61106822691993,61.823646696050034,64.95005639426294,66.92957869150025,68.00752371816304,68.86252371816303,69.85271690712656,70.79791009609009,71.51829647401715,72.46561474157947,73.46080687482561,74.27665182377729,75.17637234717152,75.18062250436913,75.18448628363967,75.18835006291022,75.19317978699839,75.19742994419599,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20090734553948,75.20130124992873,75.20130124992873,75.201695154318,75.20208905870726,75.2028768674858,75.20474834986743,75.20589738318033,75.20927912340922,75.21085474096628,75.21318548744698,75.21472842514915,75.2162386829964,75.21778162069857,75.22132676020196,75.22250847336976,75.22408409092682,75.22562702862899,75.2275638707204,75.22871290403332,75.23068242597964,75.23186413914743,75.23474069793868,75.23549582686232,75.23818779787739
Trial_8,-1.2352703709553436,10.168709239330246,22.912377397011806,36.71742783829543,51.547167770687956,64.27795641870807,68.0088274612222,70.06858017261389,71.03271677191442,71.71047649850885,72.4294486440632,73.10165332612907,74.2688600827613,75.4419384064581,76.03592770353494,76.135939004873,76.18677969879874,76.18852391891411,76.28887275138929,76.38565998676945,76.53012865363726,76.57947723302468,76.62901119489462,76.72489701749456,76.77404587374959,77.06267497589712,77.2056561633954,77.39569830555064,77.53941042081729,77.73026275024877,77.82572292859093,78.11204926536553,78.15975894636077,78.20748223280656,78.39832095678747,78.58926931111813,78.68723827429183,78.78265763628228,78.83039452817866,78.92584110107025,79.11670707307499,79.212140040516,79.4020332234219,79.49752083621559,79.68835956019649,79.78426228966924,79.87973611058467,80.12136055432005,80.31119927830096,80.45332832128663,80.54877489417824,80.7396272236097,80.835019374699,80.97810760133297,81.02580367687762,81.16917208885212,81.45534854212005,81.54974069320937,81.59743676875404,81.74060707519216,81.83599922628147,81.93041869984314,82.0735069264771,82.31198730420037,82.45507553083435,82.501771606379,82.69255590855761,82.78794805964691,82.93103628628087,83.07416555281692,83.12231778494274,83.26536508385689,83.36072994979968,83.41215690628002,83.50769173450446,83.6536510239376,83.70126468003366,83.70126468003366,83.74875210221602,83.84361265962252,83.89104293832577,83.94535507531869,83.99193995863963,84.03917987760313,84.13201228935871,84.22133244898266,84.31065260860662,84.35581268841857,84.5359537809916,84.58061463412872,84.62527548726587,84.62843943637996,84.63043943637996,84.63343943637997,84.63443943637996,84.64533568316874,84.64633568316876,84.64699071881132,84.64764575445388,84.65454200124266,84.65454200124266
Trial_9,-0.8705351552603634,5.967086732426099,16.986027047444953,28.170376210054037,39.938948874653995,50.28102137372989,58.56153230257445,62.31778771875926,63.89763090151379,65.46487931933171,67.07216899823035,68.57515599394897,69.8697621867897,70.79347479761718,71.42122982766459,72.36176368603994,73.18067411626002,73.81843820618305,74.63680177361738,75.54009290380783,75.69293631023929,75.69660633592706,75.70184922976672,75.70614379567492,75.70646961089345,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551,75.70669517527551
Trial_10,-0.3438673087294139,8.555187243574847,20.006927705404728,33.39880319670668,46.38430841163407,58.6452472420379,64.72434456717713,66.56673087415012,68.5455456249791,69.14410194750435,69.642611530265,70.22922715850302,70.9466198849392,71.66357104421974,72.33356112716625,73.00399445068476,73.80792858800109,74.38960455550415,75.01411333864444,75.15210255056212,75.15727060803196,75.16197221215413,75.16549135596904,75.1681829874089,75.17015515833695,75.17063286109963,75.1723097533551,75.17314819948282,75.17524431480213,75.17775965318532,75.17859809931304,75.18006538003655,75.18195188382393,75.18362877607939,75.18551527986676,75.18677294905835,75.18782100671801,75.18928828744153,75.19075556816505,75.1918036258247,75.19306129501629,75.19473818727174,75.19599585646333,75.19788236025072,75.19893041791038,75.20018808710196,75.20165536782548,75.20291303701705,75.20479954080444,75.20647643305989,75.20794371378341,75.20899177144307,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.21003982910273,75.2568596294203,75.2568596294203,75.2568596294203,75.39833380143254,75.63344757407997,75.91538114704495,76.43445803477633
