,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,-1.472989551022639,7.367753643144925,17.433203176674812,28.995609375208378,41.081787423311624,52.57533363083992,60.28819054716048,62.16143093630077,64.482817223793,66.38680176113867,68.17332299473114,69.83488936241584,71.48386194161145,72.17049346748664,73.15713817491182,74.23392911664249,74.93528893617717,75.68247006143038,76.66608537355303,77.31227562994962,77.6834295823558,78.74883261536647,79.62424403429375,80.54846271958671,81.23825039735574,82.30328706936089,82.90680703705506,83.33002486839418,83.66940068539829,83.86346990195365,84.39258621519673,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699
Trial_2,-0.17523604425387457,11.489290235452096,24.2731411862076,36.99716141662956,49.95868992809041,60.01695475868132,63.42837390948664,64.880148956809,66.06998268584469,67.5298678271034,68.74984728582018,70.01866316843724,71.78735241118785,73.03357833558184,74.07498132029782,74.58328959044886,75.45186371898221,75.86218116037342,76.54679427264989,77.27880561052962,77.7774772037262,78.45839064184655,79.01734742628015,79.11326344177608,79.30289604452746,79.68300731908317,79.78537878869582,79.9766220266815,80.26344384608588,80.64205311348505,80.83271006233714,80.92738324233011,81.11528351453379,81.1202716945363,81.40248066628509,81.40711875354378,81.4136008722675,81.41859214423378,81.70594725834324,81.80439544849268,81.99910418311323,82.3764382672034,82.75405653265172,82.94631793888338,83.41542889258264,83.61153301481363,83.71416522093668,84.00082060584508,84.19267070814331,84.47377511752809,84.66995009694193,84.67176294411254,85.0466527410892,85.14053978409635,85.23863421620302,85.33231921151848,85.61379429028126,85.61842800961685,85.99286996521877,86.08939395974129,86.46585690411074,86.65497843437777,86.65497843437777,86.65643941814182,87.03269720552788,87.50021450864831,88.06303747557324,88.24798121153155,88.61640979071349,88.80237704273065,88.89448418752615,88.9871156217056,89.17185420068051,89.72399784277859,89.99877147172225,90.1819371825453,90.45668574877988,90.91480518282084,91.09797089364389,91.28126619453985,91.37300382899448,91.64744609844801,92.01295689216055,92.37846768587308,92.4698453843012,92.92673387644184,92.92673387644184,93.10948927329811,93.47500006701064,93.56637776543877,93.65775546386689,93.84051086072316,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942
Trial_3,-2.6172371405619272,6.549997757912419,18.428836749457115,29.603155315033227,41.44646669185865,53.27066806711466,60.3461372993316,62.45325718624074,64.55923647528049,66.70330205952432,68.44327109181518,70.0102620911893,70.50676501235816,71.00342803734293,71.32059931317,71.54772072804646,71.81878331141938,72.08815537412929,72.17839411624391,72.49498674593595,72.71971323439554,73.12161775173115,73.38978342645272,73.47858254322904,73.74705549564554,73.92561130945558,74.10560095906214,74.23975721448402,74.41831302829405,74.50870642243964,74.91063170338037,75.08904821682766,75.09154461999931,75.09242049902224,75.09409351672981,75.09494314897331,75.0982366908296,75.10062810688352,75.10142524556817,75.10238282582556,75.10557138056413,75.1066894023943,75.10748654107893,75.1090808184482,75.10987795713285,75.11067509581748,75.1146607892407,75.1146607892407,75.11498167238621,75.11673639132825,75.11769397158565,75.11928824895493,75.11988869056677,75.12004913213951,75.12355857002359,75.12355857002359,75.12435570870824,75.12531328896563,75.12786514659231,75.13105370133087,75.1334451173848,75.1334451173848,75.13424225606944,75.13663367212337,75.137430810808,75.13902508817729,75.13902508817729,75.13982222686192,75.14237408448861,75.14237408448861,75.14317122317325,75.14493954756587,75.14749140519254,75.14924612413456,75.15163754018849,75.15163754018849,75.15197202878458,75.15276916746922,75.15276916746922,75.15516058352314,75.1553210250959,75.15707574403794,75.15883046297998,75.16074562349478,75.1640946198061,75.16489175849074,75.16648603586003,75.16712273297189,75.16903282430755,75.16903282430755,75.16903282430755,75.16966952141944,75.17157961275508,75.17348970409074,75.17348970409074,75.1747630983145,75.17539979542639,75.17539979542639,75.17603649253826,75.1779465838739,75.1785832809858
Trial_4,0.8974248488848895,12.420722934136302,25.4209358501059,40.14295643979192,54.503417118967846,66.00269798809421,69.10107393839834,71.84579835139142,74.26266854137396,76.1260277840116,77.58670214861993,78.3521599623162,78.98935326902547,79.51343094498942,79.9395136052402,80.62322889104958,81.15676897478735,81.6846951753265,82.11556921108459,82.53100860862924,83.00695972160422,83.53877523304811,84.01611527734732,84.43460486895438,84.64706246283,85.05693154845875,85.26131306286938,85.61817257336791,85.85053409023021,85.86481087866278,85.88044927287905,85.88944927287906,85.89844927287906,85.91844927287904,85.94444927287907,85.95623647480696,85.96602367673488,85.97202367673486,85.98459808059067,85.99959808059067,86.01281087866276,86.01723647480696,86.03493885938371,86.04821564781626,86.05264124396047,86.06127963817674,86.07513083046513,86.08391803239303,86.08691803239303,86.09091803239302,86.09191803239304,86.09591803239302,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931,86.09955642660931
Trial_5,-0.4213084140664656,8.74416896446498,19.31322307414635,28.99256341638289,40.0641479435891,48.07219206082462,53.2752726573618,56.88217744774692,59.13488035104431,60.579867046354195,62.24411135320741,64.12825329164168,65.11230205751612,66.01500496081351,66.96405931575963,67.50676221905702,68.04811367070572,68.67946512235442,69.30946512235441,70.57351947730051,71.29622238059791,72.06392528389532,72.65162818719271,73.0129796388414,73.4643310904901,73.9606825421388,74.8633854454362,75.17973689708491,75.49608834873361,75.7660883487336,75.9924398003823,76.1274398003823,76.4451427036797,76.8978456069771,77.5332514135719,78.0309543168693,78.52865722016669,78.8900086718154,78.9800086718154,79.2063601234641,79.7517659300589,80.340820285005,80.65852318830238,81.06622609159979,81.2462260915998,81.51757754324849,81.92528044654587,82.60433480149199,82.78703770478938,83.06109205973547,83.06109205973549,83.15244351138419,83.42649786633028,83.51784931797899,83.70055222127638,84.15730947951987,84.15730947951988,84.15730947951988,84.61406673776337,84.79676964106076,84.88812109270947,84.97947254435816,85.07082399600688,85.16217544765557,85.25352689930425,85.52758125425036,85.52758125425036,85.61893270589906,85.89298706084516,85.98433851249385,86.34974431908867,86.44109577073738,86.53244722238605,86.53244722238605,86.71515012568346,86.80650157733217,86.89785302898086,87.17190738392695,87.17190738392695,87.44596173887305,87.62866464217046,87.62866464217046,87.72001609381915,87.90271899711655,87.99407044876526,88.08542190041395,88.08542190041395,88.26812480371134,88.35947625536004,88.63353061030615,88.99893641690095,89.18163932019834,89.36434222349573,89.45569367514443,89.45569367514443,89.45569367514443,89.54704512679312,89.63839657844184,89.82109948173924,90.00380238503664,90.00380238503664
Trial_6,-1.20673106414417,9.903415014272317,22.137593862670418,34.68068166474155,47.2655127190227,57.032678176063555,57.532497798079866,57.63935783652363,57.699462169579604,57.94602150853741,58.09615802168043,58.36901708961463,58.68589215743588,59.22797556612616,59.546202085596114,59.86318132385188,60.180056391673155,60.76994687409534,61.177860882261754,61.40473318608303,61.94473318608303,62.39473318608303,63.11608463773173,63.47608463773173,64.10743608938043,64.74013899267783,65.28149044432652,65.73284189597523,66.13784189597523,66.90554479927262,67.49054479927263,67.98554479927262,68.66189625092133,68.97824770257003,69.29324770257003,69.87959915421872,70.51230205751612,71.05365350916482,71.68635641246222,72.04905931575962,72.31905931575962,72.59041076740831,72.68041076740832,73.08811367070571,73.58716802565182,73.85851947730052,74.40257383224662,74.53892528389531,74.765276735544,75.08027673554402,75.26162818719271,75.8506825421388,75.9406825421388,76.0306825421388,76.1656825421388,76.4833854454362,76.5283854454362,76.7083854454362,76.7983854454362,77.2047368970849,77.65879125203101,77.838791252031,77.973791252031,78.2451427036797,78.2451427036797,78.6528456069771,78.9241970586258,79.5132514135719,80.012305768518,80.3750086718154,80.9654144784102,81.19041447841019,81.41676593005889,81.5994688333563,81.69082028500499,81.69082028500499,81.69082028500499,81.87352318830239,81.96487463995109,82.05622609159978,82.33028044654587,82.5129833498433,82.69568625314068,82.69568625314068,82.69568625314068,82.78703770478938,82.78703770478938,82.78703770478938,82.87838915643808,82.9697406080868,83.06109205973549,83.06109205973549,83.06109205973549,83.06109205973549,83.06109205973549,83.33514641468156,83.33514641468156,83.42649786633027,83.42649786633027,83.51784931797896,83.60920076962768
Trial_7,-0.9801585806260884,7.41731899179639,21.01295953519038,37.64951679044422,53.84260026977414,67.84057963065635,75.40086631720357,79.62982110114156,82.8491775038332,85.00050084631434,85.98133429668795,87.6269596870029,89.21182707511342,90.40803608785725,91.6561859916018,92.22237769808213,92.51032924212205,92.79741811743274,93.05724091826556,93.19702668467005,93.38688363107875,93.5027011749625,93.62631029234639,93.746346565243,93.82791723938396,93.91314913935832,93.97182065425486,93.98964839575761,93.9985745839685,93.99876634669181,93.99885497304872,93.9989140572867,93.9990174547031,94.00010608106003,94.00119470741694,94.00168456637566,94.00381750591103,94.00429259381025,94.00519845643022,94.00531662490611,94.0064495644415,94.00753819079844,94.00862681715535,94.0096859013933,94.0106859013933,94.01107402782768,94.01307402782768,94.01407402782769,94.01447526042946,94.01587649303124,94.01626461946562,94.01626461946562,94.01724984840614,94.01724984840614,94.0181050845481,94.0191050845481,94.0191050845481,94.0191050845481,94.0191050845481,94.02010508454809,94.02010508454809,94.02150631714987,94.02150631714987,94.02230878235343,94.02230878235343,94.02371001495521,94.02471001495522,94.02571001495522,94.02651248015879,94.02651248015879,94.02751248015876,94.02791371276057,94.02791371276057,94.02891371276056,94.02891371276056,94.02991371276056,94.03091371276055,94.03171617796411,94.03171617796411,94.03171617796411,94.03171617796411,94.03408791195528,94.03508791195527,94.03608791195525,94.03647603838965,94.03647603838965,94.03647603838965,94.03647603838965,94.03747603838966,94.03847603838963,94.03887727099143,94.04086249993193,94.04086249993193,94.04086249993193,94.04186249993194,94.04286249993194,94.04325062636632,94.04325062636632,94.04325062636632,94.04325062636632,94.04425062636633
Trial_8,-1.4788366769813936,7.231437895379815,19.317093389074643,31.53375469665942,44.45761630821196,55.080854025782884,61.03833406092783,63.53962086558269,65.02447404635288,66.5584871911766,68.04309964751826,69.09745264416455,70.24599983785328,71.37505419279938,72.74860138648812,73.96763690325164,74.50085617029501,74.85474367273775,75.50869681947707,76.23075240285962,76.67401280630696,77.32633896556094,77.70853470760098,78.02488615924968,78.84635549813407,79.70811275637756,80.46508925651933,81.35706575666109,82.05558670357041,82.59828960686781,82.88936728910089,83.15001858437337,83.15001858437337,83.59334653616385,83.6712686813595,83.84054227820388,84.10116732669694,84.10116732669694,84.34839703257263,84.6090220810657,84.86964712955876,84.96099858120746,85.14370148450486,85.2995457748962,85.63809296858493,86.09485022682843,86.09485022682843,86.17277237202408,86.3554752753215,86.52474887216587,86.84990072323723,86.84990072323723,87.01917432008159,87.42224831634861,87.93006910688172,88.17726484892175,88.54267065551655,88.72537355881396,88.72537355881396,88.81672501046263,89.0773500589557,89.24662365580006,89.67655626497316,90.19780636195928,90.38050926525669,90.4718607169054,90.54978286210105,90.70562715249238,90.96625220098548,91.22687724947853,91.38272153986985,91.65677589481595,91.65677589481595,91.83947879811336,91.83947879811336,91.93083024976204,92.02218170141076,92.53000249194388,92.71270539524126,92.90880364115604,92.97584828191422,93.05635619296112,93.08321480586719,93.13693203167932,93.17721995103842,93.23093717685053,93.2577957897566,93.29808370911569,93.33837162847477,93.36523024138086,93.36523024138086,93.36523024138086,93.40551816073996,93.43237677364603,93.44580608009905,93.45923538655208,93.49952330591117,93.53981122527026,93.56666983817632,93.56666983817632,93.60695775753543
Trial_9,-0.8829672507562171,9.45418588832066,20.07948667598911,31.919238774121528,45.5455500583417,58.222809674738365,66.85923384618613,69.03678076466048,71.11432232340499,73.08306978615036,74.64689455705172,75.2979386007811,75.32464073752031,75.35663378926257,75.37873486409116,75.4077687425393,75.43833071985316,75.46583649943562,75.50098277334654,75.5300166517947,75.56363482683993,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224,75.60183729848224
Trial_10,0.09037304945571549,9.385630154950078,21.545169574372927,34.0076188791347,47.598545234140154,59.3604361252039,64.99423669893855,66.66456912461473,67.86959939707245,69.41385760683659,70.25983322461722,70.87815697588255,71.8124832009058,73.02350317860352,73.8989718564702,74.92498604747925,75.61367506085512,76.79208752405961,77.26866886797202,77.99210519920771,78.30354771141302,78.46548438251008,78.57352299819826,78.63136421631441,78.73907567502383,78.74068642039927,78.94653115556314,79.05248990153578,79.32090475861659,79.42862780081953,79.63702543575897,79.94342859353253,80.10077450121688,80.15516444939983,80.26302702937583,80.63412490878864,80.63731534959612,80.89954109380588,81.00560254651124,81.11139983686752,81.26672016743855,81.26954026651354,81.37333755686981,81.42905630112294,81.58857233573234,81.74375579674992,81.89764243184982,82.05010821877171,82.15108541005299,82.40652838825618,82.5081313952522,82.60710858653349,82.7595743734554,83.051080351155,83.35101192499882,83.60045490320199,83.75070789205182,83.996150870255,84.24959384845818,84.24959384845818,84.35057103973945,84.5480998261578,84.5480998261578,84.79833000628886,84.94879579321078,85.04556018641995,85.15337194549494,85.19902192734871,85.24988470727457,85.41264544549871,85.57740618372283,85.66135304660936,85.68916383927217,85.71176183386288,85.72484803308615,85.74902043153266,85.7836184261234,85.82702721337691,85.83911341260018,85.84919961182344,85.86128581104668,85.87379760641416,85.88997000486069,85.91422860253047,85.92231480175374,85.930401000977,85.95365959864681,85.96374579787005,85.99000439553984,85.99079159746776,86.00266499861893,86.02083739706545,86.03900979551197,86.07614179433294,86.08622799355621,86.10440039200272,86.10440039200272,86.13065898967253,86.13065898967253,86.13365898967251,86.14374518889578
