,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,39.22855887686998,85.0976052366757,85.0976052366757,85.21745983353182,87.25586874329959,88.9819054955723,88.9819054955723,88.9819054955723,88.9819054955723,88.9819054955723,88.9819054955723,88.9819054955723,88.9819054955723,88.9819054955723,88.9819054955723,88.9819054955723,88.9819054955723,88.9819054955723,90.6973167177616,90.6973167177616,90.6973167177616,90.6973167177616,90.6973167177616,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,90.86143496520866,91.16898189951793,91.16898189951793,91.16898189951793,91.16898189951793
Trial_2,85.69241347317072,88.03306671553815,88.03306671553815,88.03306671553815,88.03306671553815,88.03306671553815,88.03306671553815,88.45306671553816,88.83870395408988,89.25870395408987,89.25870395408987,89.25870395408987,89.25870395408987,89.25870395408987,89.25870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.43870395408987,89.43870395408987,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988,89.55870395408988
Trial_3,47.90417543756777,47.90417543756777,47.90417543756777,48.15356122494227,48.15356122494227,56.83879267830493,57.041575306970216,65.85796259441264,65.85796259441264,65.85796259441264,65.85796259441264,65.85796259441264,65.85796259441264,65.85796259441264,74.65611956587367,87.54326411940507,88.45789140255022,88.45789140255022,88.45789140255022,88.45789140255022,88.45789140255022,88.45789140255022,88.45789140255022,88.45789140255022,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11789140255023,89.11914532120983,89.39889252774356,89.39889252774356,89.39889252774356,89.39889252774356,89.39889252774356,89.39889252774356,89.39889252774356,89.39889252774356,89.39889252774356,89.71914532120982,89.71914532120982,89.71914532120982,89.87756252900219,89.87756252900219,89.87756252900219,90.01789140255022,90.01789140255022,90.01789140255022,90.01789140255022,90.01789140255022,90.01789140255022,90.17889252774356,90.19914532120981,90.19914532120981,90.19914532120981,90.19914532120981,90.19914532120981,90.19914532120981,90.19914532120981,90.19914532120981,90.19914532120981,90.19914532120981,90.19914532120981,90.19914532120981,90.19914532120981,90.19914532120981,90.19914532120981
Trial_4,56.54637500110731,84.0538556954777,89.45230630065262,89.45230630065262,89.45230630065262,89.45230630065262,89.45230630065262,89.83899425927831,89.83899425927831,89.83899425927831,90.2349489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.2949489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742
Trial_5,88.59775653573382,88.59775653573382,89.01870395408986,89.31870395408987,89.31870395408987,89.31870395408987,89.49870395408988,90.23244742833542,90.23244742833542,90.23244742833542,90.31871696552841,90.31871696552841,90.31871696552841,90.31871696552841,90.31871696552841,90.31871696552841,90.31871696552841,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284,90.5587169655284
Trial_6,38.83668519596536,86.03204208237749,86.03204208237749,86.56713697064669,87.47659077784127,88.95686730400924,90.93513097609464,90.93513097609464,91.23675303646651,91.23675303646651,91.42000507185287,91.4767530364665,91.4767530364665,91.4767530364665,91.4767530364665,91.4767530364665,91.4767530364665,91.4767530364665,91.78326771748769,91.78326771748769,91.78326771748769,91.78326771748769,91.78326771748769,91.78326771748769,91.78326771748769,91.78326771748769,91.78326771748769,91.78326771748769,91.78326771748769,91.78326771748769,91.83351154254233,91.83351154254233,91.83351154254233,91.83351154254233,91.83351154254233,91.83351154254233,91.89513097609463,91.89513097609463,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.0167530364665,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768,92.02326771748768
Trial_7,84.16857066996364,88.8698575498849,88.8698575498849,90.57102825700785,90.79476365051566,90.79476365051566,90.79476365051566,90.79476365051566,91.09476365051566,91.09476365051566,91.09476365051566,91.09476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566,91.57476365051566
Trial_8,74.34455964963236,86.7790534593671,88.67391272670092,89.01870395408986,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.43870395408987,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985,89.61870395408985
Trial_9,30.55326262833369,30.59732261812772,30.686794020958214,39.3978811791203,39.3978811791203,39.3978811791203,39.41275134159975,48.03899466037673,48.03899466037673,48.03899466037673,48.03899466037673,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863,48.09736666659863
Trial_10,38.50776016497953,47.92006680490441,85.6522447210179,86.60624616014833,86.60624616014833,86.60624616014833,87.4723116264367,87.4723116264367,89.44440739160373,89.44440739160373,89.44440739160373,89.44440739160373,91.3442942248265,91.3442942248265,92.12653386742001,92.12653386742001,92.12653386742001,92.12653386742001,92.14713697064667,92.86621116206666,92.86621116206666,92.86621116206666,92.86621116206666,92.87350514042922,92.87350514042922,92.87881783025942,92.98621116206667,92.98621116206667,92.98621116206667,92.98621116206667,92.98621116206667,92.98621116206667,92.98621116206667,92.98621116206667,92.98621116206667,92.98621116206667,92.98621116206667,92.98621116206667,92.99058116173778,92.99058116173778,92.99058116173778,92.99058116173778,92.99058116173778,92.99058116173778,92.99058116173778,92.99058116173778,92.99058116173778,92.99058116173778,92.99058116173778,92.99058116173778,92.99058116173778,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99204208237747,92.99497034215655,92.99497034215655,92.99497034215655,92.99497034215655,92.99497034215655,92.99497034215655,92.99497034215655,92.99497034215655,92.99497034215655,92.99497034215655,92.99497034215655,93.04766570777765,93.04766570777765,93.04766570777765,93.04766570777765,93.04766570777765,93.04766570777765,93.04766570777765,93.04766570777765,93.04766570777765,93.04766570777765,93.04766570777765,93.04766570777765
