,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,-0.49590816862142867,2.1938204590322026,4.943511901562964,8.396246213531452,12.170121812837191,14.713919246849231,25.93190777417627,29.865563004972984,33.53798026521064,36.46308730969686,38.0699342989985,46.46870831778802,49.53750877315475,52.12557082460064,54.12757919949603,55.295727641430545,61.545756619599835,63.20264402580786,64.44924979150485,65.19157830109302,66.11052984133767,70.40099596546855,71.50865336678797,72.84775261744717,74.19798277325131,75.05760286411072,79.2265625849263,80.19196085371115,80.8103524318194,81.3029740952798,81.80778211640765,83.88712922276102,84.43281394891169,84.82973110685089,84.88474780135722,85.32392723736092,86.25505692744257,86.31415982117218,86.31415982117218,86.31415982117218,86.31415982117218,86.33502181340482,86.33502181340482,86.33719421185134,86.34136661029784,86.34553900874438,86.38517679398639,86.38934919243292,86.39352159087944,86.39769398932596,86.40395258699577,86.47279716136345,86.48322815747977,86.48731435670302,86.49565915359608,86.50817634893566,86.62917590388493,86.63543450155471,86.63960690000124,86.64795169689431,86.65629649378734,86.71053767359221,86.71053767359221,86.71053767359221,86.71062387281546,86.71271007203873,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262,86.716796271262
Trial_2,-1.4453760794502497,0.22717643694299036,3.0728923354007964,4.956456696245756,7.72556866283795,10.412476376998647,18.316844730986805,20.831127777309725,23.553068101522395,26.020113408640228,28.332410353700915,37.430598154143574,40.32735163081523,43.57054881680072,46.19839713633905,47.49553288312392,52.25610305551276,54.4239764872564,56.156963000485554,57.656085709295276,58.19730792781402,58.7940724970225,58.91693959298591,59.01769793418223,59.14012066420427,59.213173765872945,60.372061775202816,60.37671660638116,60.41549936754908,60.46281041651153,60.72515881673733,62.138891793540544,62.25613503851205,62.33065691819801,62.46877982668479,62.68183052493701,64.15846091450389,64.3730297791867,64.45943454801285,64.6418405350512,64.73916615476249,65.69731363033152,65.77279754827254,65.87067929615938,65.91436269969998,65.95804610324056,66.21052742949266,66.23236913126296,66.24328998214811,66.25421083303326,66.25421083303326,66.26549404716246,66.27641489804762,66.27641489804762,66.27641489804762,66.27641489804762,66.27641489804762,66.27641489804762,66.32085876987206,66.32085876987206,66.3645570139784,66.40900088580284,66.40900088580284,66.4534447576273,66.4534447576273,66.4534447576273,66.58623570088794,66.63067957271238,66.63067957271238,66.67493690927476,66.67493690927476,66.94010888478522,66.98370737495945,67.0722287576028,67.0722287576028,67.2049646038872,67.73881101434822,67.73881101434822,67.87142628470123,67.91569664225523,67.96014051407968,69.73307129123118,69.86620503156023,70.04378407407347,70.13288332554956,70.35774931494815,72.85358292044401,73.20904754943138,73.51979334210307,73.69986048519534,73.87713469558845,75.53926381599982,75.62835313215453,75.76193641010607,75.80757112187008,75.89691145607742,76.98340975710292,77.02783238052409,77.16587781416352,77.25445931448883,77.30007938495393
Trial_3,0.7566715790719962,2.6447369216508334,5.5478722596623875,9.814574406840435,14.153687404776804,19.13402103987461,33.32802369360192,36.82307825000453,39.94445989113703,42.43858097014149,44.24141104991447,53.18670029650157,55.162716887101666,56.506495189814615,58.43427277951268,59.8076696633563,64.48601217185823,65.885896647917,66.89771474622799,67.60357701731414,68.44234755080483,72.42297268232088,72.99545297136629,73.3063749572606,73.73954396084855,74.30340869048193,75.38560801029774,75.38624650677153,75.38705915324233,75.39111884823042,75.39189174544492,76.98151002574666,76.98886736781549,76.9931475293046,76.9931475293046,77.08817765198769,79.56026161211197,79.563566906442,79.56687220077205,79.67804181295045,79.77599024780866,85.71863782463353,85.81596316783043,86.09268611999468,86.18670616886155,86.3720776693771,91.55143986862822,91.73414277192562,91.91951427244118,92.10221717573857,92.10221717573857,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942
Trial_4,-1.4783552227443595,0.17692654641781516,2.489272468898409,4.521147992778102,8.153359601632781,11.558978881712628,24.27552270136792,29.00780757056137,33.113565514304334,36.55873260490561,39.36531325487398,48.084927840376935,50.86221091319123,53.80911864728065,56.87254250806551,58.702177260867956,62.476328790251564,62.74945743331942,63.01904958138486,63.290737729210406,63.615974061344644,66.88427640601894,67.332053552985,67.41908116636041,67.50894025133344,68.04279051024443,70.51676723893128,70.60334197708092,70.81835111749479,70.99656461097403,71.13208838842652,75.76962632784844,75.9836936674559,76.32273818600143,76.62607580746875,76.66994659442734,83.90237564688829,83.90329779580718,83.90329779580718,84.00139825995691,84.09938122758132,89.30025744679523,89.30353649434585,89.45772885474231,89.46394266822894,89.60348493567194,93.43649891135725,93.43649891135725,93.43742176773989,93.4395342742162,93.4395342742162,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942
Trial_5,-2.153028880378193,-0.6100171946875355,1.3138434708278361,2.975486099920271,6.146199249148096,8.376971115404224,18.11670313403358,22.75715633883964,26.24753384128126,30.042333688613386,32.813345762059704,39.76149313418166,41.3270168808157,43.190642535180984,45.398189459370585,47.48909048109275,51.43646814126644,53.35272543126425,54.955927577196974,56.205504843877115,56.67625408681203,57.49838251819843,57.59133347785746,57.6826351493159,58.16667547675192,58.57143671111225,59.824629927611696,60.01451777860381,60.33966207188622,60.565456936760846,60.86483296616014,62.806859205604916,63.28601467775993,63.889164323603154,64.28777614850974,64.81951412551247,66.30914110412738,66.49971611503645,66.7240780547786,66.95885553849757,67.14843530994848,69.29295135644479,69.3963749033623,69.5745608796742,69.8424339094446,69.97540860016954,73.19022328680731,73.50960343840836,73.64308865116718,73.8267846129606,74.00846478094121,76.09961203045212,76.33804945089834,76.33804945089834,76.3876864916798,76.53261028486507,78.55725751864779,78.6534043641646,78.7495947513209,78.84298916720645,79.03502869291111,82.14859576621674,82.29281603449199,82.29284527434142,82.2933536049994,82.34117286242883,84.205314051252,84.25043394213539,84.34632662232323,84.39414587975266,84.39414587975266,84.72913484708756,84.72913484708756,84.72913484708756,84.72913484708756,84.72913484708756,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699,84.77695410451699
Trial_6,-0.8039813253659835,1.1861401826103917,2.918029553403063,5.293126681976187,7.888920242498848,10.404638251055866,23.108327003358426,27.31952752661882,31.886946527897273,34.630847840681724,37.49388962873744,46.51728964701115,49.267943232048964,51.34067159703909,53.79866301449943,55.05703265653074,58.32676705148466,59.048620910404495,59.58364220877118,59.68622892126039,60.186612839221446,64.30989531502098,64.3993479627432,64.53009382606255,64.65774184896871,64.9914861053729,67.52764079603716,67.54764079603716,67.55083619583361,67.55403159563006,67.86657863918613,69.7424112740933,69.74667202182519,69.74880351780025,69.7509350137753,69.88804215857078,74.2313993278594,74.41091563750177,74.58956772260444,74.63221770445821,74.72760993755357,80.31575845788413,80.51712441104641,80.51941566747558,80.52345644892225,80.56575708237622,86.4141851716422,86.41442069398813,86.5089675454333,86.50981292708352,86.51030896033393,91.52402747195525,91.52437682035506,91.61853616994269,91.61853616994269,91.61853616994269,93.43717578867847,93.46670813861004,93.46670813861004,93.46670813861004,93.46670813861004,93.99373390764784,93.99373390764784,93.99373390764784,93.99373390764784,93.99373390764784,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942
Trial_7,0.48877446318072243,2.033213997040757,5.475190060334403,9.879111189954276,14.183475210428028,18.574426129549913,32.92557981716859,37.29379278766759,40.597851693292625,43.366735397002394,45.12171321469256,51.48449965909465,53.39984858988264,55.00883351551962,56.527512597169455,57.56090508559257,61.076536419879545,61.87543845952401,62.5432291396841,63.03779083496209,63.133521679866014,65.38610375771695,65.69070534613316,66.1507636047868,66.28689050780265,66.52232343203515,69.44749572503304,69.87090893514207,70.06804269773691,70.25501900564313,70.49876105268763,75.10983370299286,75.70797871918417,75.89450342764377,75.93968832265998,75.93968832265998,81.01917609714599,81.1582878917062,81.24963934335489,81.52959583496913,81.52959583496913,87.33747833147649,87.42882978312518,87.42882978312518,87.42882978312518,87.42882978312518,91.93064028301532,91.93064028301532,91.93064028301532,91.93064028301532,91.93064028301532,93.61324190182975,93.61324190182975,93.61324190182975,93.61324190182975,93.61324190182975,93.97864770842457,93.97864770842457,93.97864770842457,93.97864770842457,93.97864770842457,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942
Trial_8,-0.5064175077078246,1.584732964197004,3.8862408356170475,8.486165609044923,12.063266898590557,16.362575431738954,31.211262405580648,37.40643093670402,42.17035515040187,46.22569717847878,48.15133076395114,55.00996530646126,56.83484488746217,59.19310810646633,61.335748672484875,62.0982276043893,64.19241437310086,64.89905725364216,65.6641428059561,66.36230313417379,66.74824658903327,68.10167477168658,68.38350277807723,68.79014174270195,69.02741924635268,69.44505059535783,71.84730718542983,72.47772186815764,73.02090177073654,73.65374344192327,74.10958013422531,75.31492894035034,75.56535217002326,75.74523720375274,75.92942239633412,76.15844984712683,78.10554076824582,78.24577579836863,78.24577579836863,78.47302798014545,78.47302798014545,81.93067142603749,82.02872357774336,82.1693942786041,82.1693942786041,82.32748736891993,86.58618472594155,86.58618472594155,86.67981996960272,86.77498331212959,86.81760186128446,91.28937151957085,91.30319616864126,91.5979265486952,91.61175119776561,91.63928354769719,93.44939128523653,93.44939128523653,93.49642674243609,93.57434888763174,93.57434888763174,93.95158150223907,93.99561695943859,93.99561695943859,93.99561695943859,93.99561695943859,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942
Trial_9,-2.338407237739605,-0.022083120624754572,1.61776070496188,4.475454396670034,6.905907872883042,9.950903265085314,20.483011939689906,24.024823585111655,26.93323251417478,29.882030140381495,32.72192505945392,42.279450560740216,44.95016928656635,46.91216165610372,49.35111578165659,51.04290604756965,57.02140350191786,57.51733397171008,58.631087015833344,59.704416336238836,60.46840178428647,64.48249917124541,65.01593700031752,65.14985706263366,65.72709017093244,66.49062805790582,70.37553991275999,70.54844842175085,70.77538622695974,70.86160633939572,70.99139608324455,74.19177967410563,74.23665162108625,74.32484615532223,74.54168513477552,74.68058861858725,78.01497098756225,78.24931817588165,78.47638391294723,78.47712179311814,78.53013387084904,82.24138064912943,82.24150146037582,82.24283438084888,82.24410855780958,82.2448464379805,87.45168563995242,87.45168563995242,87.54573645814713,87.59096801891245,87.59174557040915,93.00752439213116,93.00752439213116,93.00752439213116,93.00771132979153,93.00771132979153,93.9328031360488,93.9328031360488,93.9328031360488,93.9328031360488,93.9328031360488,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942
Trial_10,-1.5327764563591049,-0.6019533816688746,0.8995423712901771,2.9308405929358927,4.744028007428929,7.3093628700020234,16.65041677056458,20.34245451172659,24.91160397216952,28.80099111373868,31.466584895214393,40.87122648579598,44.38191318050037,47.960644045991465,51.45053873660386,52.32392457119706,55.0066193287199,55.914578439004806,56.93982162378331,57.748298985513614,57.98983777941219,58.65714227969043,58.83036682966813,58.874744519553076,58.995628376857894,59.12743218890769,60.20079141108912,60.288030813361885,60.46267090439009,60.66642208697909,60.796014501486134,63.70652971707678,63.89338836923545,64.08262113448544,64.1251424928223,64.65107159493718,68.54412478868923,68.60314944866985,68.85438899132129,68.91492649772725,68.96083841413675,74.60631116053183,74.81191504441915,74.95138216864865,75.0372403441935,75.18533981240563,80.60251762895368,80.64592330395425,80.86152783598806,80.94808950866387,81.2644107717368,86.87520456098363,86.96267874026948,87.04779294012128,87.18490008491678,87.40831935303851,92.31699864547285,92.41060044419328,92.41060044419328,92.41060044419328,92.41060044419328,93.46874579850203,93.46874579850203,93.51165224682772,93.51165224682772,93.51165224682772,93.69895551534307,93.69895551534307,93.69895551534307,93.69895551534307,93.69895551534307,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942
