,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,-0.6582295810039169,0.22779833218200396,0.39345231740784326,2.1051640000919427,2.8333229913125706,3.8438538949615304,10.897870670185089,13.046911795336136,15.2308211299217,18.841852969456355,20.12960478531163,28.83604599628663,32.50463244564211,35.91329924370456,38.291038678605574,40.89297095786798,49.41301615036125,51.79060796683332,52.95771615575572,53.99313592110181,54.35326016178564,57.35915887626177,57.72663191418192,58.357516356994125,59.11479176529433,59.571103087459186,60.727423642310306,60.991450470820325,61.08198931892415,61.21657721623768,61.22454404814491,62.72115300548843,63.119030649078205,63.427735539604754,63.55612228972397,63.55866755746431,65.18809360538357,65.49429431758249,65.6217592205516,65.7069981209205,65.7494646539881,67.32542692444405,67.49796864492768,67.76120393532582,68.02033410814548,68.15470231912927,69.71345174177569,70.02326721464784,70.20281012040331,70.33762001869339,70.46931237751096,71.92841565200568,72.2784813745885,72.627333615714,72.8015504560945,72.88908591293585,73.98247533318366,74.16621408402821,74.30026640050389,74.43243677275943,74.61452448516971,75.42228074215087,75.64719838165193,75.82757149116027,75.87864054791972,75.93135440408805,76.39241037680227,76.53653076441942,76.68433439772406,76.73566490389288,76.83804380905485,77.53774985093503,77.74309346636555,77.85303067818262,78.00414284787365,78.40352160319186,79.9468878866984,80.19505541938138,80.49418406713981,80.68318411846882,80.7333501174496,82.38074564420802,82.66571230431548,82.91050309447121,83.00597242707107,83.10167389846832,84.77061165444879,84.86493732301778,84.91177439594614,84.95861146887451,85.00544854180288,85.19506816867401,85.19506816867401,85.19506816867401,85.19506816867401,85.19506816867401,85.28701364968845,85.28701364968845,85.28701364968845,85.28701364968845,85.28701364968845
Trial_2,-1.0093290909308543,-0.13891288117228087,0.43076276879461234,1.1134666747919137,2.5978585872256854,3.993570088313733,10.096580099345722,12.966552877161488,15.852603518129182,17.998302138562007,20.81524262361524,29.710448250022765,32.75113038275634,35.779342568720885,39.86619636769731,42.27251986638028,49.7497393244823,51.26226190377913,51.98038844485469,53.27909926518597,53.917852626559494,57.419619895254236,58.19648943260611,58.665488314860106,59.12175324427409,59.57588546536411,61.37350861349095,61.43222722801021,61.47990084442168,61.752918632243855,61.93513598170566,64.05493453214855,64.46523885634133,64.8229918922824,65.12197004476968,65.21639150952844,67.94794329333106,68.46325507019546,68.8667705677075,69.23333005264429,69.4073927530249,72.86855868241707,73.4736521751979,74.1044530264145,74.2327060217904,74.64115649546805,77.53207219349093,77.77073616872467,77.91413407531732,77.91413407531732,78.20988016773725,81.05505795099246,81.15072898391762,81.19660456794779,81.57521256830746,81.62328599106588,83.92918997473141,84.11609643134418,84.11609643134418,84.21130324138431,84.30443021227295,85.14283163679734,85.14283163679734,85.18870722082752,85.18870722082752,85.18870722082752,85.43059057328082,85.43059057328082,85.43059057328082,85.43059057328082,85.43059057328082,85.78025698347146,85.78025698347146,85.78025698347146,85.78025698347146,85.78025698347146,86.23566696840186,86.24086307196764,86.24086307196764,86.27691684780584,86.27691684780584,86.88719553673116,86.88738364669011,86.88738364669011,86.89439233478959,86.89980924283427,87.78303977737207,87.79888422449567,87.82515621069818,87.83135231426394,87.84819676138756,88.35063820818623,88.35063820818623,88.36448265530984,88.36789956335453,88.36789956335453,88.5589963661611,88.5589963661611,88.5589963661611,88.5589963661611,88.5589963661611
Trial_3,-2.077987971888254,-0.9474173044703846,-0.19223666706303533,0.9049290766297905,1.8533565233636944,3.2029473217179287,9.447553154302996,11.50898431819116,13.168374016541295,15.004463064274468,17.501170553057943,24.011061361203115,26.12360966807423,27.84457429828478,30.97917819502161,32.97768031564842,38.602930336613575,40.4791504275772,42.34475731380815,44.275680353434275,44.921028611187154,50.691167987589466,52.05703530287955,52.796629263933426,53.96756381197302,54.4719332348719,58.40579882054709,59.0608125489532,59.17110483660037,59.32028259524724,59.68674752544289,60.956450695664024,61.007228001655285,61.10339311724305,61.251120562719954,61.30016157739416,63.386983502059,63.56561183313215,63.79261181226278,64.10005056986707,64.2723761767561,66.9727483230985,67.06285249353301,67.2355393091879,67.7962648695525,67.98252181607734,71.18511353055655,71.58437052212527,71.90723761317959,72.30739481369942,72.4889834694401,76.07688278051795,76.16709124348627,76.39649234112176,76.44516429181724,76.54388882797438,79.59716082341532,79.60014342513966,79.60014342513966,79.73271183911598,79.91406329076467,82.64340108407585,82.82853557339695,82.92319231937569,82.92617492110003,82.92915752282438,85.96151708399333,86.05286853564203,86.05286853564203,86.05286853564203,86.05286853564203,90.21684834835104,90.21684834835104,90.30819979999973,90.30819979999973,90.30819979999973,93.16048464358626,93.25183609523496,93.25183609523496,93.25183609523496,93.25183609523496,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942
Trial_4,-1.7239258144179552,-0.7599077000717018,0.21663340376639972,0.9586786976708217,2.173568854851339,3.355923083074723,9.28414703113349,10.628203528158638,13.320800316822302,15.315847322470786,18.137937758439183,25.409874329065424,27.711184718386104,30.114363890778474,32.37996102482458,33.817562501797944,40.66435994868119,43.15810241673938,44.42796066461185,45.05345022184182,45.80946367939712,50.93857416201874,51.740539680675035,53.17658909298043,53.979212873982604,54.47815917026582,57.91263320814321,58.58818233871759,58.68254868346392,58.83087130308295,59.18904961573471,60.66463765326305,60.852556942497834,61.21222085026315,61.570049531557,61.881042360949216,63.51563587028148,63.74024183819249,63.83011092719611,63.92286688067721,64.14351512784563,65.59790461286697,65.80998090347515,65.89920466122403,66.07169309518191,66.28781669933,66.78754897072953,66.78786486523764,66.78849159427783,67.01195963756267,67.05369527115556,67.36996059299354,67.41736682659763,67.46477306020174,67.51408659044554,67.51439742497763,68.16605115242238,68.17044176990284,68.22387897138756,68.2292482927812,68.23188593014811,68.81245767381208,68.81578850351197,68.9076704477321,68.9526704477321,69.00030808509901,70.62821070521369,70.72115589459085,70.81284794257066,70.81693006905166,70.95892651105112,72.53619614361261,72.53718324052222,72.75751935508488,72.79980931232886,72.79980931232886,74.82209153812762,74.90954193694436,74.9536431659289,74.9986431659289,75.0438483229123,76.77441705082381,76.86088035273096,76.86127219806653,76.86127219806653,76.86127219806653,78.54147951483503,78.583174220505,78.67732375109337,78.76987335227663,78.95257625557403,80.36417491285412,80.45575776826564,80.45575776826564,80.45598917202845,80.4592944663585,82.41057495158906,82.50192640323776,82.59327785488645,82.77598075818386,82.77861839555077
Trial_5,-0.5258827396670559,1.0639454055454083,2.2306199543095304,3.81445418879332,5.847023168818155,7.951120829009667,17.964714003677635,19.62933669194668,23.292994286306758,26.325329799882166,28.882766296799865,38.802626828488634,39.81093770246412,41.196318152138794,42.55481294784359,44.12360637674325,51.246566326386194,54.49660482202038,55.939971148742956,57.13809958326809,58.03018070596283,59.786058285157,59.80209419580854,59.9412847989332,59.994918864148275,60.08594291413579,61.72077048787628,61.9903660349508,62.12950802391706,62.31788464405336,62.58271280219941,64.57422413312628,64.66334919163461,64.97473423870758,65.13411011656606,65.4341371296506,67.65314551156945,67.83604600969437,67.9258239871821,68.17231167295635,68.25562471535699,70.08923909008313,70.13532860869043,70.37257974575674,70.4659096349871,70.59840856666919,72.09586263037609,72.09586263037609,72.35984552316673,72.45070320222452,72.63195334560159,75.77506231598007,76.09033489767738,76.1798226936496,76.26757813249175,76.53816168530521,80.35230385828235,80.35579584096459,80.35579584096459,80.54268504767457,80.58612764566453,84.65409056138691,84.65410587533457,84.6575978580168,84.79394930966549,84.7947050028123,89.29702746253761,89.48465552053432,89.57676266532981,89.6714449466784,89.67415962717209,91.96543539751401,91.96543539751401,92.0567868491627,92.14813830081141,92.2394897524601,93.65674878110269,93.65674878110269,93.65674878110269,93.65674878110269,93.65674878110269,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942,94.02326625757942
Trial_6,0.8610856002872198,1.9649288987751456,2.991234170954192,4.03517442145883,4.977376369764265,6.1865129600733955,11.109912459618734,12.625571924164285,14.219296119549327,17.36481962418796,19.559671265602933,28.385870560099374,30.76634186839994,32.81950667450765,35.18717092568476,36.17093159217325,44.12400559076937,46.03683665564471,47.85914029303016,49.681268892895424,50.93283875840248,55.51124952553888,56.36577818761101,57.632743170494,58.33327229018105,58.52831055403853,60.06284335018914,60.20392414780176,60.20467984094855,60.38589496232933,60.534851001955104,61.993286102441765,62.039360225915146,62.132254973446415,62.14015382477881,62.277560004376085,64.35646021988485,64.453618072022,64.4972525202284,64.76939087027573,64.9628141832115,67.17762134687705,67.46870928095794,67.55850306616527,67.60724111385478,67.70228935817124,69.67704603292721,69.88531632675523,69.88684442562092,69.88687454619394,69.88951218356085,71.47199293922726,71.67400076584677,71.78127973841757,71.87911681134592,72.26080909990144,74.22088562268516,74.2739035938964,74.47030047204778,74.57327069842913,74.57327069842913,77.00513186279719,77.41225287089185,77.57045157837338,77.92812281337113,78.07788719016038,79.88087984264479,80.24801175379221,80.50433154561888,80.60979735060657,80.61229324619848,82.43505613943948,82.70293622772252,83.28408354485218,83.49555784967623,83.60102365466392,85.19198457595562,85.45564908842485,85.61384779590641,85.77204650338794,85.9302452108695,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933,86.29955642660933
Trial_7,-1.7151150811554445,-0.5362853210960595,0.745762751208812,1.4367709504102115,2.2562643085654472,3.421686850162092,8.558166442036674,11.194216203384443,13.213837881788637,15.917512302043786,18.14161183804493,26.720632129014433,29.113937991557776,30.67382933516204,32.59123205758247,34.33249753263329,42.58659014300881,45.071161762227206,47.53224716308802,49.23775194310996,50.708946366974324,55.53772155965173,55.95880760806962,56.20904296625368,56.577934100726104,57.44373116748249,58.489837416594895,58.73328452075853,58.82586698406785,59.015006008436394,59.06792215109535,59.8173993109464,59.81750348138092,59.99408708489142,60.051919545499274,60.14598877309567,61.352960375773655,61.352960375773655,61.483122663415486,61.653876773850314,61.86897449631076,64.00765690714157,64.3894059010674,64.81548213023831,64.94186021614335,65.11521010516046,67.35748294710453,67.61989512552755,67.66968693094506,67.76014002271165,67.76074842824498,68.89956069869655,69.07534905697229,69.2087130513072,69.25333204900278,69.29824068148717,70.6529451623697,70.74440688260182,70.92381241892649,71.01262449826487,71.2758640487504,73.09795115838024,73.18636878798762,73.31357470816673,73.35588186947841,73.40049616548477,74.45481664344743,74.67713007018281,74.72161017139584,74.72175743773042,74.7658510903362,75.43786407403151,75.43807743973713,75.43826412808932,75.4825444690473,75.48269173538186,75.48735671699707,75.48751715856983,75.48751715856983,75.48751715856983,75.48751715856983,75.6831011282232,75.68312833912434,75.68312833912434,75.68312833912434,75.68312833912434,75.88139431135946,75.88139431135946,75.88140791681003,75.88201384459404,75.97668419602336,76.26847118459673,76.2684847900473,76.2684847900473,76.2684847900473,76.2684847900473,76.85512898953904,76.85512898953904,76.85512898953904,76.85515620044018,76.94981294641893
Trial_8,-1.020704556869379,-0.720194115463952,-0.3165022225440123,0.534367561015165,1.7354924191776575,2.713318087761509,8.19834144835993,9.685885451046136,11.582635368217115,15.698137453322051,17.135877088367106,26.040949615185376,27.63067052907014,28.377414528682504,30.389321956341906,33.27337204336477,41.38654216730879,42.59113030976881,43.21070687001754,44.588825704804705,46.05342258556404,51.709326986552426,53.88346556564713,54.99676473810843,55.52857016115054,55.81263281645164,58.350719640177225,58.90886315371648,59.31707301436708,59.63159338297526,59.642825065738926,60.85681853660968,61.27655975581287,61.55972272821222,61.635344365206585,61.79090519105605,64.36112508608736,64.75678998321574,65.13332682516072,65.33057686835289,65.3755768683529,67.19602575599845,67.71081894056655,68.13766962578183,68.38754648863592,68.55784925885656,70.54319252301563,70.71262987154019,70.97196045773256,71.01702594342898,71.06907997397973,72.74652163390456,73.18498491048508,73.45278170857178,73.54436892498632,73.62497474395286,74.38462046641104,74.68902060009265,74.73405338709537,74.78044962273438,74.81546158988901,75.07589063214071,75.07668424034797,75.07728775407676,75.16404928754487,75.16404928754487,75.1693836440417,75.1693836440417,75.1693836440417,75.1693836440417,75.1693836440417,75.16998715777049,75.16998715777049,75.16998715777049,75.16998715777049,75.16998715777049,75.25676989859124,75.25676989859124,75.25676989859124,75.25676989859124,75.25676989859124,75.2626769623413,75.26291581372264,75.26291581372264,75.26291581372264,75.26291581372264,75.35825852458998,75.35825852458998,75.35825852458998,75.35825852458998,75.35825852458998,75.47048006159736,75.47048006159736,75.47048006159736,75.47048006159736,75.47048006159736,75.64706311188284,75.64706311188284,75.64706311188284,75.64827013934044,75.64827013934044
Trial_9,-0.12685019100605374,0.5296112960035283,1.368189530556296,2.8050585704112483,3.754326313260622,5.225522571298834,9.809618912048807,10.857165860713323,12.461657926017237,15.311370830032997,18.09063496048563,28.078362394986115,30.257038596098543,32.41607281133167,34.90915602836938,37.19106981074386,45.594164803273706,48.22892839619424,50.2426274626546,52.655708533978704,54.21663940210455,58.09727153242131,58.872843415165214,59.14882629886883,59.330076187055184,59.469308349747024,60.30641011998429,60.364125641264984,60.540767924606854,60.719974766769695,60.85665266554409,62.13316877548361,62.352204413952244,62.525085156359204,62.7053830795354,62.7938125112187,64.00843831040376,64.2225555669155,64.44122305009961,64.44491994831468,64.57533879948338,66.06955314996407,66.28502369516148,66.32992335003755,66.46049500740023,66.54651781958941,67.01331822802184,67.10385522481498,67.14915114488419,67.19344138569193,67.19812518559755,67.74034782469934,67.78622686550743,67.78958765531367,67.79401965587333,67.79554775473902,68.33467801038485,68.42378972791104,68.42684592564243,68.43601451883659,68.43769491373969,69.33426298204013,69.3811372358812,69.3811372358812,69.3811372358812,69.50798086083373,70.93025102913641,70.97346313157607,71.01693503271036,71.06014713515003,71.14470080285857,72.81736774606965,72.8596314565342,72.94418512424276,72.98647508148674,73.02876503873073,74.53878374173479,74.53894418330756,74.53913087165975,74.53957538928546,74.5820257881022,75.17637644330212,75.17637644330212,75.17637644330212,75.22051069093745,75.22051069093745,75.27451550818611,75.27657836024198,75.27657836024198,75.29181183654323,75.29181183654323,75.31731976463425,75.31731976463425,75.31731976463425,75.31731976463425,75.31731976463425,75.32853249015847,75.32854946810346,75.32854946810346,75.34144556849026,75.34144556849026
Trial_10,-0.5892719275093318,0.5917208494341828,1.56959369725664,2.587589662117732,3.672191552352144,4.309787510626335,9.974320981084366,11.387301641299036,12.420317135055406,13.768190310458731,15.557573730229,25.138504721729852,28.71039138446991,31.43683467178599,33.540470748097846,35.24465682888349,41.96369434158882,44.10126176547738,45.21394508398797,46.583405756114026,47.046288785582036,52.07180028908729,53.114505411184666,53.35159989798435,54.12003838411848,54.81984778426297,57.842806072512474,58.65301738809354,58.70522553939085,58.8035489783121,59.036712915944605,60.660302579648615,60.84508503698009,61.21113933462202,61.36263692151039,61.54441632954999,63.448756090396365,63.708231610119356,64.16114744901866,64.3423922879787,64.6382698473387,67.02698468552927,67.42915219033942,67.58838326923177,68.19703330792699,68.57643859440773,71.19674946212643,71.36999678660518,71.44986819510513,72.09842414001629,72.42862918693184,75.7016274314446,76.14810600200616,76.64617096368742,77.49633331134771,78.02594045590843,81.7240177386276,82.3366835991896,82.69042938608106,83.03651976991424,83.75168212867025,87.79999303002049,88.0594337543858,88.2654036495011,88.57326035797159,88.72886017669654,90.49517085206311,90.78715253686744,90.8166852882864,90.87920152811144,90.97980532543363,91.35412366660421,91.35512366660421,91.35612366660422,91.35612366660422,91.35612366660422,91.63229750337595,91.63329750337594,91.63329750337594,91.63329750337594,91.63329750337594,91.89348770797478,91.89348770797478,91.91027851024074,91.91524929031297,91.94014871988475,92.37971132067676,92.39550212294276,92.41129292520877,92.41129292520877,92.42248162684868,92.92742491234198,92.94221571460797,92.94221571460797,92.94221571460797,92.94221571460797,93.51362238767295,93.51362238767295,93.51362238767295,93.51362238767295,93.51618162917363
