,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,64.95771382806026,64.95771382806026,64.95771382806026,64.95771382806026,64.95771382806026,64.95771382806026,64.95771382806026,64.95771382806026,64.95771382806026,74.15199472542363,74.15199472542363,74.15199472542363,74.15199472542363,74.15199472542363,74.15199472542363,87.1319586238205,87.1319586238205,88.48229505687141,88.48229505687141,88.48229505687141,88.48229505687141,88.48229505687141,88.48229505687141,88.48229505687141,88.48229505687141,88.48229505687141,88.48229505687141,88.48229505687141,88.48229505687141,88.48229505687141,88.48229505687141,88.48229505687141,88.48229505687141,88.48229505687141,88.48229505687141,89.05829930534799,89.05829930534799,89.05829930534799,89.05829930534799,89.05829930534799,89.05829930534799,89.05829930534799,89.05829930534799,89.05829930534799,89.05829930534799,89.05829930534799,89.05829930534799,89.05829930534799,89.05829930534799,89.05829930534799,89.05829930534799,89.05829930534799,89.05829930534799,89.05829930534799,89.2989942592783,89.2989942592783,89.2989942592783,89.2989942592783,89.2989942592783,89.2989942592783,89.2989942592783,89.2989942592783,89.2989942592783,89.2989942592783,89.2989942592783,90.0549489362742,90.0549489362742,90.0549489362742,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.25806532284363,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742
Trial_2,74.57513097609461,74.57513097609461,74.57513097609461,74.57513097609461,74.57513097609461,74.57513097609461,87.62064962889993,87.62064962889993,87.62064962889993,87.62064962889993,87.62064962889993,87.62064962889993,87.62064962889993,87.62064962889993,87.62064962889993,87.62064962889993,87.62064962889993,87.62064962889993,87.62064962889993,87.62064962889993,87.62064962889993,87.62064962889993,87.62064962889993,87.62064962889993,87.62064962889993,88.32213864227899,88.32213864227899,88.32213864227899,88.32213864227899,88.32213864227899,88.32213864227899,88.32213864227899,88.32213864227899,88.32213864227899,88.32213864227899,88.32213864227899,88.32213864227899,88.82749211296544,88.82749211296544,88.82749211296544,88.82749211296544,88.82749211296544,88.82749211296544,88.82749211296544,88.82749211296544,88.82749211296544,88.82749211296544,88.82749211296544,88.82749211296544,88.82749211296544,88.82749211296544,88.82749211296544,88.90558654025025,88.90558654025025,88.90558654025025,88.90558654025025,88.90558654025025,88.90558654025025,88.90558654025025,88.90558654025025,88.90558654025025,88.90558654025025,88.90558654025025,88.90558654025025,89.3784228707236,89.3784228707236,89.73897000081013,89.73897000081013,89.73897000081013,89.73897000081013,89.73897000081013,89.73897000081013,89.73897000081013,89.73897000081013,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935,91.37697054307935
Trial_3,30.427845967822236,30.427845967822236,30.427845967822236,30.575049982518596,30.575049982518596,30.575049982518596,47.3947020790518,47.3947020790518,47.3947020790518,47.3947020790518,47.3947020790518,47.3947020790518,47.3947020790518,47.3947020790518,47.3947020790518,56.39876988127112,73.7158651938048,73.74582215354349,83.1093038770212,83.1093038770212,83.1093038770212,83.1093038770212,83.57097657342177,83.57097657342177,83.57097657342177,83.57097657342177,83.57097657342177,85.13353302986306,85.13353302986306,85.13353302986306,85.13353302986306,85.13353302986306,85.13353302986306,85.36757809946266,85.36757809946266,85.36757809946266,85.36757809946266,85.36757809946266,85.36757809946266,85.36757809946266,85.36757809946266,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,86.68235340636491,87.69894237406385,87.69894237406385,87.69894237406385,87.69894237406385,87.69894237406385,87.69894237406385,87.69894237406385,87.69894237406385,87.69894237406385,87.69894237406385,87.69894237406385,87.69894237406385,87.69894237406385,87.69894237406385
Trial_4,84.66539590051205,84.66539590051205,84.66539590051205,84.66539590051205,84.66539590051205,84.66539590051205,84.66539590051205,84.66539590051205,84.66539590051205,84.66539590051205,84.66539590051205,87.4219054955723,87.4219054955723,87.4219054955723,87.4219054955723,87.4219054955723,87.4219054955723,87.4219054955723,87.4219054955723,87.4219054955723,87.51328304939494,87.51328304939494,87.51328304939494,87.8323116264367,87.8323116264367,88.71215501769045,88.71215501769045,88.71215501769045,88.71215501769045,88.71215501769045,88.71215501769045,88.71215501769045,88.71215501769045,88.71215501769045,88.71215501769045,88.71215501769045,88.71215501769045,88.77897000081013,89.01215501769046,89.01215501769046,89.01215501769046,89.01215501769046,89.01215501769046,89.01215501769046,89.32577611364242,89.32577611364242,89.32577611364242,89.32577611364242,89.32577611364242,89.32577611364242,89.32577611364242,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.22577611364241,90.27328304939495,90.27328304939495,90.27328304939495,90.27328304939495,90.27328304939495,90.27328304939495,90.27328304939495,90.33328304939495,90.33328304939495,90.33328304939495,90.33328304939495,90.33328304939495,90.33328304939495,90.33328304939495,90.33328304939495
Trial_5,85.86057753249207,85.86057753249207,85.86057753249207,85.86057753249207,85.86057753249207,85.86057753249207,85.86057753249207,85.86057753249207,85.86057753249207,85.86057753249207,85.86057753249207,85.86057753249207,85.86057753249207,85.86057753249207,85.86057753249207,85.86057753249207,87.17961591781403,87.4622950568714,87.4622950568714,87.4622950568714,87.4622950568714,87.9401295007872,87.9401295007872,87.9401295007872,87.9401295007872,87.9401295007872,87.9401295007872,88.27040073082107,88.27040073082107,88.27040073082107,88.27040073082107,88.27040073082107,88.4534335405936,88.4534335405936,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,88.96128546567004,89.72393481486722,89.72393481486722,89.72393481486722,89.72393481486722,89.72393481486722,89.72393481486722,89.72393481486722,89.72393481486722,89.72393481486722,89.72393481486722,89.72393481486722,89.72393481486722,89.72393481486722,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,89.8985943482359,90.07992679346968,90.07992679346968,90.07992679346968,90.07992679346968,90.07992679346968,90.07992679346968,90.07992679346968,90.07992679346968
Trial_6,29.225776113642386,29.225776113642386,87.3734229667773,87.3734229667773,87.3734229667773,87.3734229667773,87.3734229667773,87.3734229667773,87.3734229667773,87.3734229667773,87.3734229667773,87.3734229667773,87.3734229667773,87.3734229667773,87.3734229667773,89.52889853106328,89.52889853106328,89.52889853106328,89.52889853106328,89.52889853106328,89.52889853106328,89.52889853106328,89.52889853106328,89.52889853106328,89.52889853106328,89.52889853106328,89.52889853106328,89.52889853106328,89.52889853106328,89.52889853106328,89.58875562139875,89.58875562139875,89.58875562139875,89.59006880621146,89.59006880621146,89.59006880621146,90.1795853089166,90.1795853089166,90.1795853089166,90.1795853089166,90.1795853089166,90.1795853089166,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,90.97317063960784,92.23619660854706,92.23619660854706,92.23619660854706,92.23619660854706,92.23619660854706,92.23619660854706,92.23619660854706,92.23619660854706,92.23619660854706,92.23619660854706,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704,92.41619660854704
Trial_7,30.470570912488576,47.9862848439572,47.9862848439572,47.9862848439572,47.9862848439572,47.9862848439572,47.9862848439572,47.9862848439572,56.54637500110731,56.83668519596536,56.873130815885816,56.873130815885816,56.873130815885816,56.873130815885816,56.873130815885816,56.873130815885816,56.873130815885816,56.87970258104905,56.88190280195865,56.88190280195865,56.88190280195865,56.88190280195865,56.88190280195865,56.91550058692483,65.01621003474186,65.01621003474186,65.01621003474186,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.83458214576858,65.85796259441264,65.85796259441264,65.85796259441264,65.85796259441264,65.85796259441264,65.86227294591376,65.86227294591376,65.86227294591376,65.86227294591376,65.86227294591376,65.86227294591376,65.86227294591376,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582,65.87313081588582
Trial_8,39.37959913428285,39.37959913428285,39.37959913428285,39.37959913428285,39.37959913428285,48.033853260876306,48.03642065638155,48.03642065638155,48.09736666659863,48.09736666659863,56.88853266049732,56.88853266049732,56.92926227199751,56.92926227199751,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,65.34455964963236,65.86227294591376,65.86227294591376,65.86227294591376,65.86227294591376,65.86227294591376,65.86227294591376,65.86227294591376,65.86227294591376,65.86227294591376,86.22655540048912,86.22655540048912,86.22655540048912,86.22655540048912,86.22655540048912,86.22655540048912,86.22655540048912,86.25328304939494,86.25328304939494,86.25328304939494,86.25328304939494,88.24947689054761,88.24947689054761,88.24947689054761,88.24947689054761,88.24947689054761,88.24947689054761,88.24947689054761,88.24947689054761,88.33914532120983,88.33914532120983,88.33914532120983,88.3919586238205,88.3919586238205,88.3919586238205,89.61328304939495,89.61328304939495,89.61328304939495,89.61328304939495,90.07306671553815,90.07306671553815,90.07306671553815,90.07306671553815,90.07306671553815,90.07306671553815,90.07306671553815,90.07306671553815,90.07306671553815,90.07306671553815,90.07306671553815,90.07306671553815,90.07306671553815,90.19663905423374,90.55515222202916,90.55515222202916,90.55515222202916,90.55515222202916,90.55515222202916,90.55515222202916,90.55515222202916,90.55515222202916,90.55515222202916,90.55515222202916,90.55515222202916,90.55515222202916,90.55515222202916,90.55515222202916,90.55515222202916,90.55515222202916,90.57328304939495,90.57328304939495,90.57328304939495,90.57328304939495,90.57328304939495,90.57328304939495,90.57328304939495,90.57328304939495,90.57328304939495,90.57328304939495,90.57328304939495,90.57328304939495,90.57328304939495
Trial_9,30.60183729848225,56.39065075683262,56.39065075683262,56.39065075683262,86.18021295934416,86.18021295934416,86.18021295934416,86.18021295934416,86.18021295934416,86.18021295934416,87.21328304939495,87.21328304939495,88.9353882723321,88.9353882723321,88.9353882723321,88.9353882723321,88.9353882723321,89.41476365051568,89.41476365051568,89.41476365051568,89.41476365051568,90.81725726284144,90.81725726284144,90.81725726284144,90.81725726284144,91.08772962385828,91.26889853106326,91.6324134731707,91.6324134731707,91.6324134731707,91.6324134731707,91.6324134731707,91.6324134731707,91.6324134731707,91.6324134731707,92.16656208140223,92.16656208140223,92.28656208140222,92.34889853106324,92.34889853106324,92.34889853106324,92.34889853106324,92.34889853106324,92.34889853106324,92.40889853106324,92.40889853106324,92.40889853106324,92.40889853106324,92.40889853106324,92.40889853106324,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827,92.64772962385827
Trial_10,39.25379680945985,39.25379680945985,39.25379680945985,65.0962527424154,65.0962527424154,65.0962527424154,65.0962527424154,65.0962527424154,65.0962527424154,65.0962527424154,65.0962527424154,65.42492415940038,74.60808288660739,74.60808288660739,86.24130478097955,88.30947689054761,88.30947689054761,88.30947689054761,88.7294768905476,88.7294768905476,89.08912576535386,89.08912576535386,89.08912576535386,89.08912576535386,89.08912576535386,89.08912576535386,89.08912576535386,89.08912576535386,89.81936086271509,89.81936086271509,89.81936086271509,89.81936086271509,89.81936086271509,89.81936086271509,89.81936086271509,89.81936086271509,89.81936086271509,89.81936086271509,89.81936086271509,89.81936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.87936086271509,89.88353043095181,89.88353043095181,89.94213864227899,89.94213864227899,89.94213864227899,89.94213864227899,89.94213864227899,89.94213864227899,89.94213864227899,89.94213864227899,89.94213864227899,89.94213864227899,90.0035304309518,90.0035304309518,90.0035304309518,90.0035304309518,90.0035304309518,90.0035304309518,90.0035304309518,90.0035304309518,90.0035304309518,90.0035304309518,90.0035304309518,90.0035304309518,90.0035304309518,90.0035304309518,90.0035304309518,90.0035304309518,90.0035304309518,90.0635304309518,90.0635304309518
