,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.43931836898447,66.43931836898447,66.43931836898447,66.43931836898447,66.43931836898447,66.43931836898447,66.43931836898447,66.43931836898447,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.05165549623892,87.39288973525115,87.39288973525115,87.39288973525115,87.39288973525115,87.39288973525115,87.39288973525115,87.39288973525115,87.39288973525115,87.39288973525115,87.39288973525115,87.39288973525115,87.39288973525115,87.39288973525115,87.39288973525115,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779
Trial_2,39.53193985886487,39.53193985886487,39.53193985886487,39.53193985886487,39.53193985886487,39.53193985886487,39.53193985886487,39.53193985886487,39.53193985886487,39.53193985886487,39.53193985886487,39.53193985886487,39.53193985886487,47.79342407327507,47.79342407327507,47.79342407327507,47.79342407327507,47.79342407327507,47.79342407327507,47.79342407327507,47.79342407327507,47.79342407327507,57.435479592677304,57.435479592677304,57.435479592677304,57.435479592677304,57.435479592677304,57.435479592677304,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.80814186652395,87.80814186652395,87.80814186652395,87.80814186652395,87.80814186652395,87.80814186652395,87.80814186652395,87.80814186652395,87.80814186652395,87.80814186652395,87.80814186652395,87.80814186652395,87.80814186652395,87.81853908213779,88.29616819497443,88.35616819497442,88.35616819497442,88.35616819497442,88.35616819497442,88.35616819497442,88.35616819497442,88.35616819497442,88.35616819497442,88.35616819497442,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991
Trial_3,38.54480143665988,38.54480143665988,38.54480143665988,38.54480143665988,38.54480143665988,38.54480143665988,38.54480143665988,38.54480143665988,38.54480143665988,38.99611293289346,38.99611293289346,38.99611293289346,38.99611293289346,38.99611293289346,38.99611293289346,38.99611293289346,38.99611293289346,38.99611293289346,38.99611293289346,38.99611293289346,38.99611293289346,38.99611293289346,38.99611293289346,38.99611293289346,38.99611293289346,39.56192069107681,39.56192069107681,48.2962175253438,48.2962175253438,48.2962175253438,48.629361971872335,48.629361971872335,48.701682633451966,48.701682633451966,48.701682633451966,48.701682633451966,48.701682633451966,57.46661051127248,57.46661051127248,57.46661051127248,57.46661051127248,57.46661051127248,57.46661051127248,57.46661051127248,57.46661051127248,57.46661051127248,57.49466846406764,57.5028317747068,57.5028317747068,57.5028317747068,57.5028317747068,57.5028317747068,57.5028317747068,75.42784596782224,75.42784596782224,75.42784596782224,75.42784596782224,75.42784596782224,75.42784596782224,75.42784596782224,75.42784596782224,75.42784596782224,75.42784596782224,75.42784596782224,86.4928282285399,86.4928282285399,86.4928282285399,86.4928282285399,86.70322890233345,86.70322890233345,86.70322890233345,86.70322890233345,86.70322890233345,86.70322890233345,86.70322890233345,86.70322890233345,86.70322890233345,86.70322890233345,86.70322890233345,86.70322890233345,86.70322890233345,86.70322890233345,86.85616819497442,86.85616819497442,86.85616819497442,86.85616819497442,87.57853908213778,87.57853908213778,87.57853908213778,87.57853908213778,87.57853908213778,87.57853908213778,87.57853908213778,87.57853908213778,87.57853908213778,87.57853908213778,87.57853908213778,87.57853908213778,87.57853908213778,87.57853908213778,87.57853908213778
Trial_4,39.79051384715858,48.443171938300466,48.443171938300466,48.443171938300466,65.4793788724413,65.4793788724413,65.4793788724413,65.4793788724413,65.4793788724413,65.4793788724413,75.4165036912183,75.4165036912183,75.4165036912183,75.4165036912183,75.4165036912183,75.4165036912183,75.4165036912183,75.4165036912183,75.4165036912183,75.4165036912183,75.4165036912183,75.4165036912183,75.4165036912183,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.07679627126204,86.25853908213779,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452,88.281682633452
Trial_5,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,66.10559716573515,66.10559716573515,66.10559716573515,66.10559716573515,66.10559716573515,66.10559716573515,66.10559716573515,66.10559716573515,66.10559716573515,66.10559716573515,66.10559716573515,66.10559716573515,66.10559716573515,66.10559716573515,66.10559716573515,66.10559716573515,66.10559716573515,66.10835578817422,66.10835578817422,66.11667761151172,66.11667761151172,66.11667761151172,66.12226421822037,66.12226421822037,66.13070308686622,66.13070308686622,66.13070308686622,66.13070308686622,66.13070308686622,66.13070308686622,66.13070308686622,66.13070308686622,66.13070308686622,66.13070308686622,66.13070308686622,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.35455310235676,66.35455310235676,66.35455310235676,66.35455310235676,66.35455310235676,66.35455310235676,66.35455310235676,66.35455310235676,66.35455310235676,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.21873645484159,85.57703951986407,85.57703951986407,85.57703951986407,85.57703951986407,85.57703951986407,87.3919398588649,87.3919398588649,87.3919398588649,87.3919398588649,87.3919398588649,87.3919398588649,87.3919398588649,87.3919398588649,87.3919398588649,87.3919398588649,87.3919398588649,87.3919398588649,87.3919398588649,87.5119398588649,87.5119398588649,87.5119398588649,87.5119398588649,87.5119398588649,87.5119398588649,87.5119398588649
Trial_6,21.67212383121042,30.269900217026425,30.686794020958214,30.686794020958214,30.686794020958214,30.686794020958214,48.04935744741228,48.04935744741228,48.04935744741228,57.72188534076948,57.72188534076948,57.72188534076948,57.72188534076948,57.72188534076948,57.72188534076948,57.72188534076948,57.72188534076948,57.72188534076948,57.72188534076948,57.72188534076948,57.72188534076948,57.72188534076948,57.72188534076948,57.72188534076948,57.72188534076948,57.72188534076948,57.72188534076948,66.12506926914797,66.12506926914797,66.21925648420768,66.21925648420768,66.40528862039817,66.40528862039817,66.40528862039817,66.40528862039817,66.40528862039817,66.40528862039817,66.5361681949744,66.5361681949744,84.47165549623892,84.47165549623892,84.47165549623892,84.47165549623892,84.47165549623892,84.47165549623892,84.47165549623892,84.53165549623893,84.53165549623893,84.53165549623893,84.53165549623893,84.53165549623893,84.53165549623893,86.2519398588649,86.2519398588649,87.15289246928256,87.15289246928256,87.15289246928256,87.69289246928255,87.69289246928255,87.69289246928255,87.69289246928255,87.69289246928255,87.69289246928255,87.69289246928255,87.69289246928255,87.69289246928255,87.69289246928255,87.69289246928255,88.65679627126204,88.65679627126204,88.65679627126204,88.65679627126204,88.65679627126204,88.65679627126204,88.65679627126204,88.65679627126204,88.65679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204
Trial_7,48.579465000727716,48.579465000727716,57.511062273843315,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.31093371736657,86.84417677836518,86.84417677836518,87.11165549623892,87.11165549623892,87.11165549623892,87.11165549623892,87.11165549623892,87.37289139213351,87.37289139213351,87.37289139213351,87.37289139213351,87.37289139213351,87.37289139213351,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.44417677836519,87.49040073082107,87.49040073082107,87.54915772258146,87.54915772258146,87.8016578853457,87.91164528605326,87.91164528605326,87.91164528605326,87.91164528605326,87.92040081415564,87.92040081415564,87.92040081415564,87.92040081415564,87.92040081415564,87.92040081415564,88.10421998575771,88.10421998575771,88.10421998575771,88.10421998575771,88.10421998575771,88.10421998575771,88.10421998575771,88.10421998575771,88.10421998575771,88.10421998575771,88.10421998575771,88.10421998575771,88.10421998575771
Trial_8,39.55326262833369,39.55326262833369,39.55326262833369,56.82829940258908,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,66.29621752534379,66.29621752534379,66.29621752534379,66.29621752534379,66.29621752534379,66.29621752534379,66.29621752534379,66.29621752534379,66.29621752534379,66.29621752534379,66.29621752534379,66.29621752534379,66.29621752534379,66.29621752534379,85.01070308686624,85.01070308686624,85.01070308686624,85.01070308686624,85.01070308686624,85.01070308686624,85.01070308686624,85.01070308686624,85.01070308686624,85.01070308686624,85.01070308686624,85.01070308686624,85.01070308686624,85.01070308686624,85.93463815194545,85.93463815194545,85.93463815194545,85.98873816020956,85.98873816020956,85.98873816020956,85.98873816020956,85.98873816020956,85.98873816020956,89.13616819497442,89.13616819497442,89.13616819497442,89.13616819497442,89.13616819497442,89.13616819497442,89.15165549623893,89.15165549623893,89.15165549623893,89.15165549623893,89.15165549623893,89.15165549623893,89.15165549623893,89.15165549623893,89.15165549623893,89.15165549623893,89.15165549623893,89.15165549623893,89.15165549623893,89.15165549623893,89.15165549623893,89.15165549623893,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409,90.13703951986409
Trial_9,48.49874178945527,48.49874178945527,48.49874178945527,48.49874178945527,48.701682633451966,48.701682633451966,48.701682633451966,48.701682633451966,48.701682633451966,48.701682633451966,48.701682633451966,48.701682633451966,48.701682633451966,57.696695091940924,57.696695091940924,57.696695091940924,57.696695091940924,57.696695091940924,57.696695091940924,57.696695091940924,57.696695091940924,57.696695091940924,65.60140506546479,65.60140506546479,75.40528862039817,75.40528862039817,75.40528862039817,75.40528862039817,75.40528862039817,75.40528862039817,75.40528862039817,75.40528862039817,84.4825471035353,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,87.89744140538646,88.29616819497443,88.29616819497443,88.29616819497443,88.29616819497443
Trial_10,21.752975927839515,39.37237888630936,39.37237888630936,39.37237888630936,39.37237888630936,39.37237888630936,39.37237888630936,39.37237888630936,39.37237888630936,39.37237888630936,39.37237888630936,39.37237888630936,39.37237888630936,39.37237888630936,39.52353644806849,39.52353644806849,39.52353644806849,39.52353644806849,39.52353644806849,48.35809292906188,48.35809292906188,48.35809292906188,48.35809292906188,48.35809292906188,48.35809292906188,48.35809292906188,48.35809292906188,48.45092391510478,48.45092391510478,48.45092391510478,48.45092391510478,48.45092391510478,48.5750499825186,57.40157804100163,57.4165036912183,57.4165036912183,57.4165036912183,57.4165036912183,57.4165036912183,66.15356122494228,66.15356122494228,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,84.94784596782226,85.31466846406767,85.31466846406767,85.31466846406767,85.31466846406767,85.31466846406767,85.31466846406767,85.31466846406767,85.31466846406767,85.31466846406767,85.31466846406767,85.31466846406767
