,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,85.15096069395705,85.15096069395705,85.15096069395705,85.15096069395705,85.15096069395705,85.15096069395705,85.15096069395705,85.15096069395705,85.15096069395705,85.15096069395705,85.15096069395705,85.15096069395705,85.15096069395705,85.15096069395705,85.15096069395705,85.15096069395705,85.15096069395705,85.33012053692775,85.33012053692775,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,88.62657697426931,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993,89.12064962889993
Trial_2,56.65787858127885,56.65787858127885,56.65787858127885,56.69555119757802,56.69555119757802,65.50322500981414,65.50322500981414,65.50322500981414,65.6438923393041,65.6438923393041,74.37460763199205,83.67189472731543,83.67189472731543,83.67189472731543,83.67189472731543,83.67189472731543,84.48492415940039,84.48492415940039,84.48492415940039,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,86.07431628221761,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014,89.19897000081014
Trial_3,85.0326941374588,85.0326941374588,85.0326941374588,85.0326941374588,85.0326941374588,85.0326941374588,85.0326941374588,85.0326941374588,85.44074878798992,85.44074878798992,85.93586874329958,85.93586874329958,85.93586874329958,85.93586874329958,87.49124045250835,87.49124045250835,87.49124045250835,87.49124045250835,87.49124045250835,87.49124045250835,87.49124045250835,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,89.7790534593671,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183,90.07745983353183
Trial_4,30.54041448585584,38.614805601002274,38.614805601002274,65.54480143665988,65.54480143665988,85.39594081368868,86.69936086271508,87.20765557252922,87.20765557252922,87.20765557252922,89.01328304939496,89.01328304939496,89.01328304939496,89.24143496520867,89.24143496520867,90.26143496520866,90.26143496520866,90.26143496520866,90.26143496520866,90.26143496520866,90.26143496520866,90.56143496520866,90.56143496520866,90.56143496520866,90.56143496520866,90.56143496520866,90.56143496520866,90.56143496520866,90.56143496520866,90.56143496520866,90.56143496520866,90.56248593745464,90.56248593745464,90.61933632855173,90.62143496520865,90.75328304939494,90.75328304939494,90.75328304939494,90.75328304939494,90.75328304939494,90.75328304939494,90.99328304939493,91.10038509634582,91.17328304939494,91.17328304939494,91.17328304939494,91.17328304939494,91.17328304939494,91.17328304939494,91.23328304939494,91.23328304939494,91.63828865951929,91.63828865951929,91.63828865951929,91.63828865951929,91.63828865951929,91.63828865951929,91.63933632855172,91.63933632855172,91.63933632855172,91.63933632855172,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.76038509634581,91.76038509634581,91.76038509634581,91.76038509634581,91.76038509634581,91.76038509634581,91.99724208694862,91.99724208694862,91.99724208694862,91.99724208694862,91.99724208694862,91.99724208694862,91.99724208694862,91.99724208694862,91.99724208694862,91.99724208694862,91.99724208694862,91.99724208694862
Trial_5,86.58085271205962,86.58085271205962,89.91002708829365,89.91002708829365,89.91002708829365,89.91002708829365,90.51091243585036,90.51091243585036,90.51091243585036,90.51091243585036,90.51091243585036,90.51091243585036,90.51091243585036,90.51091243585036,90.51091243585036,90.51091243585036,90.51091243585036,90.51091243585036,90.51091243585036,90.51091243585036,90.51091243585036,90.51091243585036,90.51091243585036,90.73146218183535,90.73146218183535,90.73146218183535,90.73146218183535,90.73146218183535,90.73146218183535,90.73146218183535,90.73146218183535,90.73146218183535,90.73146218183535,90.73146218183535,90.73146218183535,90.73146218183535,90.73146218183535,90.73146218183535,90.73146218183535,90.73146218183535,90.73146218183535,91.09317063960785,91.09317063960785,91.09317063960785,91.09317063960785,91.09317063960785,91.09317063960785,91.09317063960785,91.09317063960785,91.09317063960785,91.29091243585036,91.29091243585036,91.29091243585036,91.29091243585036,91.29091243585036,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,91.78431265297188,92.04994658820189,92.04994658820189,92.04994658820189,92.04994658820189,92.04994658820189,92.04994658820189,92.04994658820189,92.04994658820189,92.04994658820189,92.04994658820189,92.04994658820189,92.04994658820189,92.04994658820189,92.04994658820189,92.04994658820189,92.04994658820189,92.04994658820189,92.04994658820189,92.04994658820189
Trial_6,87.99870395408988,87.99870395408988,87.99870395408988,88.57306671553815,88.57306671553815,88.57306671553815,89.01870395408986,89.01870395408986,89.01870395408986,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.35663905423377,89.35663905423377,89.35663905423377,89.35663905423377,89.35663905423377,89.35663905423377,89.35663905423377,89.35663905423377,89.35663905423377,89.35663905423377,89.35663905423377,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.49870395408988,89.61324522135149,89.61324522135149,89.61324522135149,89.61324522135149,89.61324522135149,89.61324522135149,89.61324522135149,89.61324522135149,89.61324522135149,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284,89.8387169655284
Trial_7,38.815851109062514,38.815851109062514,38.815851109062514,56.64562995920265,56.64562995920265,87.13724208694863,87.13724208694863,87.13724208694863,88.16877853727385,88.16877853727385,88.16877853727385,88.16877853727385,89.01137138691533,89.01137138691533,89.01137138691533,89.01137138691533,89.01137138691533,89.01137138691533,89.01137138691533,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,89.97625005099381,90.49241347317071,90.49241347317071,90.49241347317071,90.49241347317071,90.67711936420812,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.33594081368867,91.45476365051566,91.45476365051566,91.45476365051566,91.45476365051566,91.45476365051566,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.51594081368867,91.63124045250834,91.63124045250834,91.63124045250834,91.63124045250834,91.63124045250834,91.63124045250834,91.63124045250834
Trial_8,39.42027017401378,39.42027017401378,47.840904611508066,47.840904611508066,47.840904611508066,47.840904611508066,47.98384284030165,48.136368824401906,48.136368824401906,48.136368824401906,48.136368824401906,48.136368824401906,65.4633084024087,74.32291653875286,74.32291653875286,74.32291653875286,74.32291653875286,74.32291653875286,74.32291653875286,74.32291653875286,74.32291653875286,74.32291653875286,74.32291653875286,74.32291653875286,74.70843086044168,74.70843086044168,74.70843086044168,74.70843086044168,74.70843086044168,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72335651065836,74.72523797875806,74.72523797875806,74.72523797875806,74.72523797875806,74.72523797875806,74.72523797875806,74.72523797875806,85.93063674656258,85.93063674656258,85.93063674656258,87.44497518017192,87.44497518017192,87.44497518017192,87.44497518017192
Trial_9,56.87970258104905,56.87970258104905,56.87970258104905,56.87970258104905,56.87970258104905,56.87970258104905,56.87970258104905,56.87970258104905,56.87970258104905,56.87970258104905,56.98384284030165,56.98384284030165,56.98384284030165,83.82353043095179,83.82353043095179,87.65936086271508,87.65936086271508,87.65936086271508,87.65936086271508,87.65936086271508,87.65936086271508,87.65936086271508,87.65936086271508,87.65936086271508,87.65936086271508,87.65936086271508,87.65936086271508,87.65936086271508,87.65936086271508,87.65936086271508,87.65936086271508,88.02074878798992,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.45541169631007,89.58074878798993,89.58074878798993,89.58074878798993,89.58074878798993,89.58074878798993,89.58074878798993,89.58074878798993,89.58074878798993,89.58074878798993,89.58074878798993,89.58074878798993,89.58074878798993,89.58074878798993,89.58074878798993,89.85102825700785,89.85102825700785,89.85102825700785,90.06074878798992,90.06074878798992,90.06074878798992,90.06074878798992,90.06074878798992,90.06074878798992,90.06074878798992,90.06074878798992,90.06074878798992,90.06074878798992,90.37312068063738,90.37312068063738,90.6748056010023,90.6748056010023,90.6748056010023,90.6748056010023,90.6748056010023,90.6748056010023,90.6748056010023,90.6748056010023,90.6748056010023,90.6748056010023,90.6748056010023,90.6748056010023,90.6748056010023,90.6748056010023,90.6748056010023,90.6748056010023
Trial_10,30.435479592677307,47.61143859445437,79.36677961290974,85.58476002126993,85.58476002126993,88.3341089251166,88.5019054955723,89.59244209372173,89.59244209372173,89.59244209372173,89.59244209372173,89.59244209372173,89.59244209372173,89.59244209372173,89.59244209372173,89.59244209372173,89.59244209372173,89.59244209372173,89.59244209372173,89.77992405943827,89.77992405943827,89.77992405943827,89.77992405943827,89.77992405943827,90.01992405943827,90.01992405943827,90.01992405943827,90.01992405943827,90.01992405943827,90.01992405943827,90.01992405943827,90.01992405943827,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826,90.25992405943826
