,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,-0.7385133698584453,0.9918609750685384,3.3541881360759316,6.110180232107016,8.40559363596233,11.908565139135417,18.796212412200788,20.361268435370192,22.09957501797719,23.30787720845961,24.592405188979846,27.315110505288168,28.491569569678862,29.235062832485582,29.84785472704284,30.599399042858114,35.80612033287109,36.936326827840716,38.03899597332394,39.204542653292954,39.964923687886085,44.06544729503666,45.42011827800252,47.28689421298246,48.9346847453143,50.85366439724999,57.91193631678502,59.28708159622871,60.58926452023363,62.16933967768222,63.24260508914349,71.97960558040224,73.38812011290759,74.75901449757035,75.20484696368257,75.71859886165004,81.95695433559285,82.78720791955102,83.54168929880609,83.91445320146329,84.50492592807198,86.2501270305798,86.62620224398307,87.01419653228074,87.20538151300475,87.34701389833936,88.11591882656579,88.25701775519515,88.3113093666937,88.38648503778833,88.48221172566251,89.15746758972246,89.17149302412847,89.23944631785575,89.24584579509599,89.2472444620512,89.76472445015486,89.78989036760399,89.8138777734851,89.84170879534813,89.84785268510684,90.18750313277438,90.18750313277438,90.18828643932656,90.18828643932656,90.18828643932656,90.44113266962118,90.44113266962118,90.44487854706685,90.44487854706685,90.45112531903924,90.64049526645778,90.64190032440119,90.64190032440119,90.64411747854243,90.64411747854243,90.78978526078932,90.78978526078932,90.78978526078932,90.7905299188898,90.7905299188898,90.93980226879185,90.93980226879185,90.93980226879185,90.93980226879185,90.93980226879185,91.0620336828565,91.0620336828565,91.0620336828565,91.06351813074441,91.06351813074441,91.13767814541262,91.13767814541262,91.13767814541262,91.13767814541262,91.13767814541262,91.17891933973733,91.17891933973733,91.17891933973733,91.17891933973733,91.17891933973733
Trial_2,-0.4992342146834461,0.8741799262397325,2.720922264112346,4.27098315629801,7.061298607868537,9.519111262642518,15.145120373284263,16.783319110891643,18.382701284241506,19.336328690095662,20.839251247955858,24.535122679877357,25.661459100968713,26.39363083040934,27.06848818455815,27.528441479358207,29.78546996554163,30.92917485116586,32.80177708449106,33.85823743784789,34.74984264767097,37.31838375346926,37.89154104892084,39.26268476063656,40.47556384721618,41.79448404931755,47.106056001842546,47.85036253970386,48.88339268978105,49.72107412619556,51.328292255004634,57.12572509087298,58.4410635688972,60.29366090004303,61.77931467879742,62.774656698895804,67.68397786160597,68.17365011108424,69.86583917021089,71.26383230544177,72.63806045996253,78.81254057161624,79.61695204786963,80.63461147879933,80.98487735772575,81.39940190619919,84.59198939234801,84.97049669598373,85.24992890884394,85.38381432708192,85.50428320076368,86.57552807780895,86.66015498142451,86.74916204293298,86.766843210519,86.766843210519,87.3475107832774,87.37117872343744,87.37838885322246,87.41227389536499,87.43469578650782,87.98558674981936,87.98808241671038,88.02670278493824,88.05605698541571,88.06026688539656,88.32074271575193,88.32911552527024,88.3377302340743,88.34981767951746,88.38078892974445,88.74109708972381,88.74109708972381,88.76849192253616,88.7809057671743,88.79439270073797,89.00234797295961,89.00234797295961,89.00439012004466,89.00439012004466,89.00439012004466,89.13074265294887,89.14260128297994,89.14500128297993,89.14500128297993,89.14770755257322,89.22691612427032,89.22691612427032,89.22691612427032,89.22691612427032,89.22767957758491,89.26616129629515,89.26616129629515,89.26662474960973,89.26662474960973,89.26662474960973,89.31529494966784,89.31529494966784,89.31529494966784,89.31529494966784,89.31529494966784
Trial_3,0.2878051923107256,2.303698885957215,4.719237167808674,8.123028141305383,10.200408747950828,13.056397764592425,17.133170711071163,19.48220892062787,20.979422064707716,22.777553661379145,24.03109204756277,25.81689084360145,26.212505218963045,26.44111014615063,26.618265189633156,27.530274258811914,30.337068293110065,31.698672850180937,33.14018040410386,34.136729489599915,36.73710271670727,41.36348341886025,43.331273057556885,44.97227726905201,46.4908019023831,48.77736687572299,55.10014441638401,56.74225358954764,58.05809923399835,59.66038544242394,60.37897402791803,65.60682914165562,66.56512891090608,67.6069488147908,68.65109265071284,69.76021985792221,74.59017356146992,75.09946963885004,75.77798493771803,76.54336606851228,77.39579222398287,80.09894246719044,80.49566533361198,81.20226236665783,81.42692762364806,81.89008906996565,84.17673869433219,84.35709529934917,84.56277607021008,84.76271848778156,85.05162795121676,85.85267074235637,86.00524403433819,86.06725101470052,86.09561607922666,86.12861524816583,86.57185907474879,86.58224264497704,86.63270673188384,86.662533748559,86.723728139841,87.00372252993115,87.0228099786656,87.03060393837735,87.05085444376117,87.07512130126568,87.35747741178861,87.37816078720817,87.39250325972877,87.42790324428908,87.44782419089442,87.6779347027334,87.69403613840495,87.70934825121222,87.72650145707223,87.73482086302496,87.91538852789238,87.94635478649971,87.94635478649971,87.95099991709515,87.95099991709515,88.15238527318208,88.16458781866413,88.16862261548559,88.17424974919889,88.18738787436898,88.3858447340845,88.40829745649222,88.40935219663533,88.41817509244142,88.42955578402027,88.61087012716534,88.61675733908682,88.63394467065287,88.64515510171026,88.64934927759779,88.8737260332123,88.8737260332123,88.87947382319061,88.91777539389687,88.91926145158517
Trial_4,0.13599317418225135,3.198785732055601,5.506425994593358,8.043173738131426,11.392500735800663,14.637003155371222,18.655298956274954,20.301233591592,21.311635720571097,21.714744048085013,22.438634716741973,23.29593710535026,23.797335936711804,24.117210449574078,24.427967583131576,24.998505862116744,26.06179915533589,26.55005257092911,27.076431592139407,27.474553575107375,27.874628844494442,29.638233180582255,30.38645804139614,31.264032342177043,32.536143788112476,33.151102167129565,35.53268576205071,36.54597783428321,37.02993847182817,37.645723261263605,38.39198952923989,41.16637521974026,41.82214164340219,42.17795640061097,42.57779286198693,42.79938562701162,45.350338796259976,45.83098749132751,46.40082227614202,46.48826894927927,47.05933286253674,48.694185292542606,48.7393182464505,48.913976084584135,49.00331111527499,49.13591154190834,50.465088545541015,50.68302429706053,50.77200516528903,50.99215169039377,51.21193054187103,52.71690539360523,52.805413911875945,52.849338631111365,52.93759473112843,53.15916691359391,54.79564400131303,54.97213984766731,55.060886383993875,55.14865632587846,55.14865632587846,56.64965069703954,56.64987517363908,56.694235757308704,56.69464661635578,56.69464661635578,57.00706076158471,57.00706076158471,57.00732174035606,57.007594403428605,57.008055263689045,57.011499994927235,57.01172416371639,57.011910691173426,57.01224635718518,57.01224635718518,57.014855176340916,57.014855176340916,57.01486772339895,57.01488027045698,57.01491791178908,57.016320364097844,57.016320364097844,57.016320364097844,57.016320364097844,57.016320364097844,57.01703759506991,57.017050173692894,57.017050173692894,57.017050173692894,57.01708810054984,57.017378651277106,57.01744202348158,57.01744202348158,57.06155566827654,57.06155566827654,57.062390865178195,57.062390865178195,57.062390865178195,57.062428792035135,57.062428792035135
Trial_5,-1.2702299846341993,0.5153882555654369,2.674055394332708,5.104664151187657,7.438400482835536,10.27108004903274,15.619268685941302,17.26474012894914,19.309274822555636,20.86071918997076,22.005663313758234,25.565247209579958,27.06480250172828,28.438385204608945,29.36331009554481,30.11475174125984,33.16155955309221,34.46000685278027,35.62850124079392,36.2483511819385,37.43682244406828,41.28342225875878,41.67710190394204,42.362971007944886,43.25419167419149,43.99110446715893,48.10518617206188,48.743914266245525,49.42317057319377,49.72716520990406,50.67363272527691,55.07983401162315,55.706774868410605,56.29794865185269,56.677667921379474,57.2068669882633,60.10817748320424,60.7745561418949,61.347783806025774,61.93118607449756,62.11165119932306,66.96035969156142,67.56739064135347,68.20973455365511,68.7237679043017,69.54225377710827,73.43224355204086,73.87705376062092,74.2363294655632,74.70765984295481,74.96073902906204,79.32069373890488,79.66729095316192,80.16216190240628,80.47863536274173,80.63329887343978,83.54921241641054,83.91072510273982,84.1120797726027,84.28670249642657,84.3519070208094,86.49220165601818,86.55524452207196,86.61556049634412,86.68315292048054,86.7306645467699,87.63416907800809,87.68620072271543,87.70325119436654,87.70816802370065,87.87604995566295,88.11019961956434,88.1198307723131,88.14420565509083,88.15329110361643,88.16304813688548,88.29720042030777,88.29869520925989,88.29869520925989,88.30341472026663,88.30361884964525,88.36573128485911,88.36573128485911,88.37056360043047,88.37076772980909,88.3754948662094,88.4169983556381,88.41809727396881,88.41809727396881,88.42012407654711,88.42012407654711,88.445567453727,88.445567453727,88.44959563991975,88.44959563991975,88.44989563991976,88.4665006384949,88.4665006384949,88.4665006384949,88.4665006384949,88.4665006384949
Trial_6,-0.5480902433017556,0.9683818675228852,2.4428090825343856,4.949361016239674,7.326506454071616,10.057567831517595,16.643086270181,19.562403336115754,21.605891724714866,22.533801524877177,23.09110736526892,24.884078202727768,25.288461596768997,25.876157444831133,26.3708263749891,27.030663906486662,28.79266660559175,29.10225305901361,30.62371050408684,31.439755304981087,32.011877789219874,34.80950012784947,35.47346749978205,35.72882376792577,37.575055252010024,38.91763489739408,43.36578015788581,44.59459506197223,46.08774297956608,47.160182247831465,48.548330487041866,53.76132058357048,55.23700373290684,56.878682201425434,58.66120183892306,59.95043318520598,66.44598358351253,68.39250588530695,70.06121252176445,71.36512345678138,72.54629744535826,77.16119336170563,78.35906960288894,79.33017747582275,80.59299300188455,81.76816574236351,84.52451862819487,84.91974670601266,85.24969972953676,85.54823470564538,86.05532819815103,86.81982520729699,86.94841841906099,87.08149741356749,87.14740089932046,87.2074479185776,87.60157323255932,87.62939366600652,87.64717905135534,87.67375700908745,87.68930175459998,87.91762859409755,87.94390262851401,87.95724803261538,87.98872649302304,88.01785552878549,88.16893930390468,88.18073891685857,88.182562333666,88.20080875464042,88.21773623510526,88.37732414995128,88.3845296708929,88.3845414356042,88.3876812925233,88.3876812925233,88.51837411529824,88.51837411529824,88.52180188242592,88.53528300611524,88.54377469983527,88.67788107103912,88.67962238491938,88.68701893374002,88.69969390708991,88.7056766924324,88.80734856851345,88.81720227188639,88.81720227188639,88.8304287644257,88.84900916735616,88.93939433221298,88.94551778131394,88.95373788942261,88.95786384939356,88.97910112334586,89.10561055312371,89.1097266361312,89.1111427191387,89.1166187059919,89.12509140073882
Trial_7,0.19753556607260067,1.9337442191834688,4.547738414055799,7.149480330661159,9.551022595211101,14.166462153960245,20.87137531995023,23.606797671331968,26.218133244409792,28.323804803313053,29.852073668171226,32.41832744806257,33.353486045987935,34.14589593984012,34.80905706006421,35.50661062261074,40.36014349815607,41.83134175342844,42.65578824524166,43.99132439049079,45.27387134635536,51.1256690803775,53.76331441968463,55.85847966201491,56.501979194928154,57.87930905507305,63.61661952410935,64.32834392445524,66.50282505930075,67.51276689884446,68.54660278522385,73.10763001253848,74.13277826603081,75.07301262461175,75.51083789212747,76.533966468707,80.86943063737021,81.85839137387639,82.3758312847413,82.93494200513078,83.3608513527152,85.29715358050296,85.65690292200229,85.69506901985754,85.75103681604382,85.92718850954837,86.56435570855109,86.64524170504974,86.6862588283424,86.80036348095757,86.95386934562904,87.5401154525901,87.59976112462172,87.66018212974639,87.73567866164294,87.82142814850485,88.41224918184393,88.47168747282618,88.49672156379712,88.56038221411887,88.63349204914701,88.95915038636406,89.01115430468711,89.08532572500026,89.14045240244323,89.19559039224369,89.54388880740271,89.55853829288742,89.56412983670499,89.60184641429161,89.63485833620437,89.96267891533662,90.00259232528032,90.03711057195696,90.08476470458788,90.11321785040113,90.39388339268491,90.42428588138559,90.44271666513443,90.45199172573008,90.47177817813372,90.68629017011757,90.69843540290368,90.7315694297461,90.75003031609603,90.75548261491227,91.02566407099046,91.02605496754568,91.0563885732396,91.06605344686562,91.1025405795148,91.3030841812013,91.32545852599233,91.338018797191,91.34650432244412,91.35570709460092,91.51690588317511,91.52683248922435,91.53900078671755,91.54739080857922,91.55293096493588
Trial_8,-1.7471729377667267,0.39102670897901015,2.9119014239872856,5.248666905963684,7.798500937733836,10.396781253731929,15.577780898898569,17.464768783235446,18.95467772486678,19.996448448697528,20.815646245964114,23.07983509529321,23.53432395570571,23.849466968798733,24.122944892145917,24.52444547424692,25.497827546603546,26.20471346502184,26.607693672124434,27.089418980046457,27.409860894108533,29.222374254177012,29.661726372733927,30.234705920372452,30.753666124417915,31.017775263940912,33.25517242887371,33.73325371772659,34.29554053086539,34.556925859548535,35.139390317103924,36.85334703886298,37.11362516730326,37.46065562170696,37.67949070385257,37.85454919538946,39.961818803349544,40.48527849013064,40.87423232070524,41.89158719463549,42.67303294502552,45.27274262264233,45.79279337201142,46.23266824583523,46.71570689352049,47.19430474587696,49.440453755739384,49.84017772001919,50.103631392952536,50.47065446596405,50.558476522987824,53.01003385808476,53.447967603602955,53.72108135335464,54.1393114238885,54.41065087289299,56.831525522086395,57.05322562857343,57.31352789556877,57.633749678145286,57.67817376687551,60.454185360696144,60.66545398159564,61.0585830092134,61.54542723035638,61.63262576732183,64.4982394799477,64.84880341882044,65.04153815816993,65.32676169090819,65.45893514770268,68.25200801970222,68.3904569880194,68.4351527604841,68.558542438686,68.69917736543864,70.9833694747564,70.9833694747564,71.22061143715408,71.79663760841439,72.22639182578381,74.37241255825671,74.66030676432509,74.8535011885728,75.09351245652618,75.27826079221191,78.61026138674056,78.96275067758889,79.27204689089389,79.56439228929416,79.71327110192142,82.34198556423958,82.6706883802945,82.90525830279641,83.17440441473116,83.23752403984903,85.27357495817535,85.36171439632285,85.56340706994739,85.59464106047074,85.69658126660694
Trial_9,-1.3478842618915206,0.687802173929779,2.70443493547325,5.23117798219169,8.432900669242354,11.039244758366099,17.69702037822195,19.427257089314477,21.793469219172074,23.41865892934953,24.54336650332594,28.976679923629366,30.543851463312386,32.098753156350185,33.39288613320334,34.96992234759112,40.424961784097974,41.633185785620014,42.539909914578764,43.96316493609778,44.74851643773543,50.01929945230517,51.968013896416544,52.82316396559072,54.36924390138992,55.98723060223807,60.78114403279383,61.794867155965605,63.09795032315306,64.36515298597884,65.1789016514803,70.78996636766603,72.09980867105578,73.34789697560491,73.99118051758927,74.7068201544296,80.28520337879608,81.06244221292542,81.6604827720933,82.40588356438501,82.59518418836734,85.47758531109722,85.5811969757633,85.89187083071909,86.1025714664512,86.19783502005457,87.43189130693654,87.4469419602835,87.46750374656837,87.531632583059,87.57524929564373,88.02661560815599,88.03371210874548,88.04176601084684,88.04206601084682,88.07424367097119,88.25620615343396,88.26074539632329,88.2609495257019,88.26464018527543,88.26826104578835,88.36092323804682,88.36796263345704,88.36796263345704,88.37104528110409,88.3811441994348,88.49257297507587,88.5107014312061,88.52212754092601,88.52409899914247,88.52409899914247,88.63002168711617,88.64145956987355,88.64715688206662,88.64850131396238,88.65391696342743,88.79267951072761,88.79951667544913,88.81081883878767,88.82332077909221,88.82724165594925,88.95145648014466,88.95987149818997,88.97535813435591,88.9756139561683,88.98197668376248,89.11779589117349,89.11779589117349,89.13820558348128,89.14964805291926,89.14964805291926,89.26937291245427,89.26982829725692,89.26982829725692,89.27634531235952,89.28988108716065,89.42036411817608,89.42593861960353,89.42719322532359,89.42719322532359,89.42719322532359
Trial_10,-0.881664380687234,1.4588168307056566,3.9399899816186017,6.9814823377564,9.873941100960648,12.456485244190997,17.748185183264685,19.480940765195317,20.887417554676777,22.096053835307966,22.818822193956677,24.39173856484568,24.975209667297605,25.512299583715574,25.999178496498608,26.314128854626297,27.488960019060258,27.886143401592093,28.538523605725786,28.84546618023223,29.762093265634704,31.783214920767637,33.05946791510398,33.85480694789609,34.99111920840162,36.043556296235195,39.87017170355977,40.668606603855245,41.46408549624734,42.12530622909637,42.96396808760684,45.176563734917565,45.660316252828416,46.75393639743821,47.28626304321905,47.81165456407373,49.79716620084544,49.97365018745433,50.50454983840418,51.03256550168558,51.12286967638318,52.856688916432475,53.21005224649477,53.56314188035909,53.73984236280904,53.96095907460812,56.439542877300845,56.97291679620652,57.104778320843096,57.27992918748496,57.50099354235414,60.591542391414194,61.07702578739691,61.47611023704768,62.027573234667145,62.55802871535213,65.15569772503427,65.56450517004079,65.83156284878123,66.14669720340552,66.75761251051091,70.70565864230758,71.03160165072737,71.2132557699912,71.62756158144637,71.95220490896469,75.77740125928204,76.12983290241903,76.23332190971007,76.79665593213898,76.99185245428545,80.14140927702938,80.5217728884407,80.72251296539774,80.95948687035607,81.4796012455631,83.90881074530465,84.12052261324264,84.26850492073314,84.50570840583065,84.58261382003496,85.99529619908411,86.01790572326107,86.11783791610931,86.2094820631737,86.27205055794325,86.70924299179777,86.80791656447626,86.84663462596662,86.86421905143307,86.97723852393815,87.44202741010368,87.45548673685964,87.46789626103657,87.49262997356912,87.51942924134774,87.89741542109121,87.93530907150796,87.93726968587026,87.9498934969744,87.99669394240831
