,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,30.807043149109788,30.807043149109788,30.807043149109788,30.807043149109788,30.807043149109788,39.652892469282534,39.652892469282534,48.26020708782077,48.2731522524128,48.2731522524128,48.42027017401378,48.42027017401378,48.42027017401378,48.42027017401378,48.42027017401378,48.42027017401378,48.443171938300466,48.443171938300466,66.12226421822037,66.12226421822037,66.12226421822037,66.12226421822037,66.12788221052459,66.12788221052459,66.12788221052459,66.12788221052459,66.12788221052459,66.12788221052459,66.12788221052459,66.12788221052459,66.1335319430667,66.1335319430667,66.19486503108351,66.19486503108351,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,85.81703951986407,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.82784596782227,87.88784596782226,87.88784596782226,87.88784596782226,87.88784596782226
Trial_2,38.58000507185286,38.58000507185286,38.58000507185286,38.58000507185286,38.58000507185286,38.58000507185286,38.58000507185286,38.58000507185286,39.5028317747068,47.84939723155372,47.84939723155372,47.84939723155372,47.84939723155372,47.84939723155372,47.84939723155372,48.286267194490634,48.286267194490634,57.424050896853686,57.424050896853686,57.424050896853686,57.424050896853686,57.424050896853686,57.601837298482245,57.601837298482245,57.601837298482245,57.601837298482245,57.601837298482245,57.601837298482245,57.601837298482245,57.601837298482245,57.601837298482245,57.601837298482245,57.601837298482245,57.601837298482245,57.601837298482245,57.601837298482245,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,75.50693855665945,85.01165549623893,85.01165549623893,85.01165549623893,85.01165549623893,85.01165549623893,85.01165549623893,85.01165549623893,85.01165549623893,85.01165549623893,85.01165549623893,85.01165549623893,85.01165549623893
Trial_3,39.570654371045556,39.570654371045556,39.570654371045556,48.23167900420623,48.23167900420623,48.23167900420623,48.33703951986406,48.33703951986406,48.33703951986406,48.33703951986406,48.33703951986406,48.33703951986406,66.13070308686622,66.13070308686622,66.13070308686622,66.13070308686622,66.13070308686622,66.13070308686622,74.2955856450359,74.2955856450359,74.2955856450359,74.2955856450359,74.2955856450359,74.2955856450359,74.2955856450359,74.2955856450359,74.2955856450359,74.2955856450359,74.2955856450359,74.2955856450359,74.2955856450359,74.2955856450359,74.2955856450359,84.40837410294777,84.40837410294777,84.40837410294777,84.40837410294777,84.40837410294777,84.40837410294777,84.40837410294777,84.40837410294777,84.40837410294777,84.40837410294777,84.40837410294777,84.40837410294777,84.40837410294777,84.40837410294777,84.40837410294777,84.40837410294777,86.96659810816267,86.96659810816267,86.96659810816267,86.96659810816267,86.96659810816267,86.96659810816267,86.96659810816267,86.96659810816267,86.96659810816267,86.96659810816267,86.96659810816267,86.96659810816267,86.96659810816267,86.96659810816267,86.96659810816267,86.96659810816267,90.51179856794201,90.51179856794201,90.51179856794201,90.51179856794201,90.51179856794201,90.51179856794201,90.51179856794201,90.57576152482952,90.57576152482952,90.57576152482952,90.57576152482952,90.57576152482952,90.57576152482952,90.57576152482952,90.57576152482952,90.57576152482952,90.57576152482952,90.57576152482952,90.57576152482952,90.57576152482952,90.57576152482952,90.57576152482952,90.75446168536149,90.80825874123688,90.80825874123688,90.80825874123688,90.80825874123688,90.9433056683773,90.9433056683773,90.9433056683773,90.9433056683773,90.9433056683773,90.9433056683773,90.9433056683773,90.9433056683773,90.9433056683773
Trial_4,39.49466846406764,39.49466846406764,39.49466846406764,39.54041448585584,57.49874178945527,57.49874178945527,57.49874178945527,65.99118681455741,65.99118681455741,65.99118681455741,65.99118681455741,65.99118681455741,65.99118681455741,66.14206684551654,66.2731522524128,84.38957298262515,84.38957298262515,84.38957298262515,85.78784596782226,85.78784596782226,85.78784596782226,85.78784596782226,85.78784596782226,85.78784596782226,85.78784596782226,85.78784596782226,85.78784596782226,85.78784596782226,85.78784596782226,85.78784596782226,85.78784596782226,85.78784596782226,85.78784596782226,85.78784596782226,85.78784596782226,85.78784596782226,85.78784596782226,86.49616819497442,86.49616819497442,86.49616819497442,86.55282822853991,86.55282822853991,86.55282822853991,86.55282822853991,86.55282822853991,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,86.85289246928255,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.03616819497442,87.09282822853991,87.09282822853991,87.09282822853991,87.09282822853991,87.09282822853991,87.09282822853991,87.09282822853991,87.09282822853991,87.09282822853991,87.09282822853991,87.09282822853991,87.09282822853991,87.39289246928256
Trial_5,57.511062273843315,57.511062273843315,57.511062273843315,57.511062273843315,66.14492807779757,66.14492807779757,66.14492807779757,66.14492807779757,66.14492807779757,66.14492807779757,66.14492807779757,66.14492807779757,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,74.97897665065048,74.97897665065048,74.97897665065048,74.97897665065048,74.97897665065048,74.97897665065048,74.97897665065048,74.97897665065048,74.97897665065048,74.97897665065048,74.97897665065048,75.40157804100163,75.40157804100163,75.40157804100163,75.40157804100163,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,75.45482255552044,85.09703951986407,85.09703951986407,85.09703951986407,85.09703951986407,85.09703951986407,85.09703951986407,85.09703951986407,85.09703951986407,85.09703951986407,85.09703951986407,85.09703951986407,85.09703951986407,85.09703951986407,85.09703951986407,86.74254710353532,86.74254710353532,86.74254710353532,86.74254710353532,86.74254710353532,86.74254710353532,86.74254710353532,86.92254710353532,86.92254710353532,86.92254710353532,86.92254710353532,86.92254710353532,86.92254710353532,87.58784596782226,87.58784596782226,87.58784596782226,87.58784596782226,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442,87.69616819497442
Trial_6,48.45873645484157,48.45873645484157,48.45873645484157,48.45873645484157,48.45873645484157,48.45873645484157,75.3510257618388,75.3510257618388,75.3510257618388,75.3510257618388,75.3510257618388,75.3510257618388,75.3510257618388,75.3510257618388,75.3510257618388,75.3510257618388,75.3510257618388,75.3510257618388,75.3510257618388,85.48425778641311,85.48425778641311,86.91853908213778,86.91853908213778,86.91853908213778,86.91853908213778,86.91853908213778,86.91853908213778,86.91853908213778,86.91853908213778,86.91853908213778,86.91853908213778,86.91853908213778,87.51616819497443,87.51616819497443,87.51616819497443,87.51616819497443,87.51616819497443,87.51616819497443,87.51616819497443,87.51616819497443,87.51616819497443,87.51616819497443,87.51616819497443,87.51616819497443,87.51616819497443,87.51616819497443,87.51616819497443,87.51616819497443,87.51616819497443,87.51616819497443,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992
Trial_7,38.80968459414685,48.37237888630936,48.37237888630936,48.37237888630936,48.62010264645954,48.62010264645954,75.38322890233343,75.38322890233343,75.38322890233343,75.38322890233343,75.38322890233343,75.38322890233343,75.38322890233343,75.38322890233343,75.38322890233343,85.57003982910277,85.57003982910277,86.39165549623893,86.39165549623893,86.39165549623893,86.39165549623893,86.39165549623893,86.43616819497441,86.43616819497441,86.43616819497441,86.43616819497441,86.43616819497441,86.43616819497441,86.71703951986407,86.71703951986407,86.71703951986407,86.71703951986407,86.71703951986407,86.71703951986407,86.71703951986407,86.71703951986407,88.12784596782227,88.12784596782227,88.12784596782227,88.12784596782227,88.12784596782227,88.12784596782227,88.12784596782227,88.12784596782227,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.42254710353532,88.48784596782227,88.48784596782227
Trial_8,30.61550493721091,30.61550493721091,30.61550493721091,39.46266573298146,39.46266573298146,48.340517784240376,48.340517784240376,48.340517784240376,75.22544845445559,75.24425778641309,75.24425778641309,75.24425778641309,75.26990021702643,75.26990021702643,75.57065437104556,83.62696826721383,83.62696826721383,83.62696826721383,83.62696826721383,83.62696826721383,83.62696826721383,83.62696826721383,83.62696826721383,83.62696826721383,83.62696826721383,83.62696826721383,85.74322890233346,85.74322890233346,85.74322890233346,85.74322890233346,86.82322890233345,86.82322890233345,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.43616819497443,89.49616819497443,89.49616819497443,89.49616819497443,89.49616819497443,89.49616819497443,89.49616819497443,89.49616819497443,89.49616819497443,89.97282822853992,89.97282822853992,89.97282822853992,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205,89.97679627126205
Trial_9,30.742504627972217,30.742504627972217,39.25379680945985,57.2731522524128,57.2731522524128,57.2731522524128,57.2731522524128,57.2731522524128,57.2731522524128,57.2731522524128,57.2731522524128,57.2731522524128,66.23794861721983,84.95353194306672,84.95353194306672,84.95353194306672,84.95353194306672,84.95353194306672,85.13353194306673,85.13353194306673,86.95357331188758,86.95357331188758,86.95357331188758,86.95357331188758,86.95357331188758,86.95357331188758,86.95357331188758,86.95357331188758,86.95357331188758,86.95357331188758,87.24322890233346,87.24322890233346,87.24322890233346,87.24322890233346,88.49165549623893,88.49165549623893,88.49165549623893,88.49165549623893,88.49165549623893,88.49165549623893,88.49165549623893,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,89.96814186652396,90.15679627126204,90.15679627126204,90.15679627126204,90.15679627126204,90.15679627126204,90.15679627126204,90.15679627126204,90.15679627126204,90.15679627126204,90.15679627126204,90.15679627126204,90.15679627126204,90.15679627126204
Trial_10,48.53193985886487,48.53193985886487,48.53193985886487,48.53193985886487,48.53193985886487,48.53193985886487,48.53193985886487,48.53193985886487,48.53193985886487,48.53193985886487,56.744249958246634,75.15067522005315,75.15067522005315,75.15067522005315,75.15067522005315,75.15067522005315,75.20394224923463,75.20394224923463,75.26990021702643,75.26990021702643,75.26990021702643,75.26990021702643,75.26990021702643,75.26990021702643,75.26990021702643,75.26990021702643,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,86.9589766506505,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767,88.43466846406767
