,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66
Trial_1,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,87.10806444416042,88.57476365051568,88.57476365051568,88.57476365051568,88.57476365051568,88.57476365051568,88.57476365051568,88.57476365051568,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.75945347071134,90.92038509634581,90.92038509634581,90.92038509634581,91.51619660854706,91.51619660854706,91.51619660854706,91.51619660854706,91.51619660854706,91.51619660854706,91.51619660854706,91.51619660854706,91.51619660854706
Trial_2,64.94727895076768,64.94727895076768,64.94727895076768,64.94727895076768,64.94727895076768,64.94727895076768,64.94727895076768,64.94727895076768,64.94727895076768,64.94727895076768,64.94727895076768,83.28468715666027,83.28468715666027,83.28468715666027,83.28468715666027,83.28468715666027,83.28468715666027,83.28468715666027,83.28468715666027,84.38304363538438,84.38304363538438,84.38304363538438,84.38304363538438,84.38304363538438,84.38304363538438,84.38304363538438,84.38304363538438,84.38304363538438,84.38304363538438,84.58032165430886,84.58032165430886,84.58032165430886,84.58032165430886,84.58032165430886,84.58032165430886,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463,88.85265687473463
Trial_3,47.9862848439572,47.9862848439572,47.9862848439572,47.9862848439572,47.9862848439572,47.9862848439572,47.9862848439572,47.9862848439572,47.9862848439572,47.9862848439572,47.9862848439572,56.68645195372291,56.68645195372291,56.68645195372291,56.68645195372291,56.68645195372291,56.68645195372291,56.68645195372291,56.68645195372291,56.68645195372291,56.68645195372291,65.42213864227895,65.42213864227895,65.42213864227895,65.42213864227895,65.42213864227895,65.42213864227895,65.42213864227895,74.69190155849047,74.69190155849047,74.69190155849047,74.69190155849047,74.69190155849047,74.69190155849047,74.69190155849047,74.69190155849047,74.69190155849047,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.20064962889992,87.89230630065263
Trial_4,30.28626719449063,30.57065437104556,39.168117522716486,39.168117522716486,39.168117522716486,39.168117522716486,39.23167900420623,85.33195862382048,85.33195862382048,85.7296881326928,87.15177175158261,87.15177175158261,87.15177175158261,87.15177175158261,87.15177175158261,87.15177175158261,87.55735610852415,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,90.76695546585759,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071,91.81241347317071
Trial_5,21.835214026076486,30.470570912488576,30.470570912488576,65.4207487879899,65.4207487879899,83.41241347317072,83.41241347317072,83.41241347317072,83.41241347317072,83.41241347317072,83.41241347317072,83.41241347317072,84.07124045250835,84.07124045250835,84.07124045250835,84.07124045250835,84.13241347317071,84.25241347317072,87.73269413745882,87.73269413745882,87.73269413745882,87.73269413745882,87.73269413745882,87.73269413745882,87.73269413745882,88.46670090681395,88.46670090681395,88.46670090681395,88.46670090681395,88.46670090681395,88.46670090681395,88.46670090681395,88.46670090681395,89.40173194588462,89.40173194588462,89.40173194588462,89.79894237406384,89.79894237406384,89.79894237406384,89.79894237406384,89.79894237406384,89.79894237406384,89.79894237406384,89.79894237406384,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775,90.32180219718775
Trial_6,38.90417543756777,56.43473502996464,84.40340522647904,86.41202559102973,86.91304320757082,87.55241347317072,87.55241347317072,87.71659077784126,89.5341089251166,89.59202559102974,90.07410892511659,90.07410892511659,90.07410892511659,90.07410892511659,90.07410892511659,90.07410892511659,90.07410892511659,90.07410892511659,90.07410892511659,90.07410892511659,90.09328304939494,90.09328304939494,90.09328304939494,90.09328304939494,90.09328304939494,90.09328304939494,90.09328304939494,90.09328304939494,90.09328304939494,90.09328304939494,90.09328304939494,90.09328304939494,90.09328304939494,90.15328304939494,90.15328304939494,90.15328304939494,90.15328304939494,90.15328304939494,90.15328304939494,90.15328304939494,90.15328304939494,90.15328304939494,90.15328304939494,90.15328304939494,90.31410892511659,90.31410892511659,90.31410892511659,90.31410892511659,90.31410892511659,90.31410892511659,90.31410892511659,90.33328304939495,90.40969895180334,90.40969895180334,90.57328304939495,90.57328304939495,90.57328304939495,90.57328304939495,90.61306671553814,90.61306671553814,90.61306671553814,90.61306671553814,90.61306671553814,90.61306671553814,90.61306671553814,90.61306671553814
Trial_7,86.67625274241543,86.67625274241543,86.67625274241543,86.67625274241543,86.67625274241543,89.47476365051567,89.47476365051567,89.47476365051567,89.47476365051567,89.47476365051567,89.47476365051567,89.47476365051567,89.61102825700786,89.61102825700786,89.84990276448613,89.84990276448613,89.84990276448613,89.84990276448613,89.84990276448613,89.84990276448613,89.84990276448613,91.4499465882019,91.4499465882019,91.4499465882019,91.4499465882019,91.4499465882019,91.4499465882019,91.4499465882019,91.4499465882019,91.4499465882019,91.4499465882019,91.4499465882019,91.57358787142665,91.57358787142665,91.57358787142665,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.75098554933432,91.81202559102971,91.81202559102971,91.81202559102971,91.86787189866102,91.86787189866102,91.86787189866102
Trial_8,39.19185751001956,48.09463815194543,48.09463815194543,48.10010264641751,48.10010264641751,75.16677961290972,75.16677961290972,75.16677961290972,75.16677961290972,75.16677961290972,75.16677961290972,75.16677961290972,75.16677961290972,75.16677961290972,75.16677961290972,75.16677961290972,75.16677961290972,86.60079825644694,86.60079825644694,86.60079825644694,86.60079825644694,88.091420102736,88.091420102736,88.091420102736,88.091420102736,88.74306761075248,88.74306761075248,88.74306761075248,88.74306761075248,88.74306761075248,88.74306761075248,88.74306761075248,88.811420102736,88.83376659764129,88.931420102736,89.63496102321949,89.63496102321949,89.63496102321949,89.63496102321949,89.63496102321949,89.63496102321949,89.63496102321949,89.63496102321949,89.63496102321949,89.63496102321949,89.63496102321949,89.63496102321949,89.63496102321949,89.63496102321949,89.63496102321949,89.63496102321949,90.30852819440057,90.30852819440057,90.30852819440057,90.30852819440057,90.30852819440057,90.30852819440057,90.30852819440057,90.30852819440057,90.30852819440057,90.30852819440057,90.30852819440057,90.30852819440057,90.30852819440057,90.30852819440057,90.30852819440057
Trial_9,87.14064962889992,87.14064962889992,87.14064962889992,87.14064962889992,87.14064962889992,87.14064962889992,88.75899425927831,88.75899425927831,88.75899425927831,88.75899425927831,88.75899425927831,88.75899425927831,88.75899425927831,88.75899425927831,88.75899425927831,88.75899425927831,88.75899425927831,88.75899425927831,88.75899425927831,88.75899425927831,88.75899425927831,88.75899425927831,88.75899425927831,88.75899425927831,88.75899425927831,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.2589942592783,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742,90.4149489362742
Trial_10,48.028738160209535,48.028738160209535,48.028738160209535,65.78939992297535,65.78939992297535,65.78939992297535,65.78939992297535,65.81791509328337,65.81791509328337,65.81791509328337,65.81791509328337,65.81791509328337,65.81791509328337,65.81791509328337,74.7290115681417,74.7290115681417,74.7290115681417,74.7290115681417,74.7290115681417,74.7290115681417,74.7290115681417,74.7290115681417,74.7290115681417,74.7290115681417,74.7290115681417,74.7290115681417,74.7290115681417,74.7290115681417,74.7290115681417,74.7290115681417,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229,74.73469878726229
