,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66
Trial_1,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,87.36543794147893,87.36543794147893,87.36543794147893,87.36543794147893,87.36543794147893,87.36543794147893,87.36543794147893,87.36543794147893,87.36543794147893,87.36543794147893,87.36543794147893,88.46987383385454,88.46987383385454,88.46987383385454,88.46987383385454,88.46987383385454,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.73814525945473,89.96143496520867,89.96143496520867,89.96143496520867,89.96143496520867,89.96143496520867,89.96143496520867,89.96143496520867,89.96143496520867,89.96143496520867,89.96143496520867,89.96143496520867,89.96429422482652,89.96429422482652,89.96429422482652,89.96429422482652,90.32248593745463,90.32248593745463,90.62248593745463,90.62248593745463
Trial_2,30.37959913428285,47.77742373192863,47.77742373192863,47.77742373192863,56.54480143665988,56.54480143665988,57.011038583110135,57.011038583110135,57.011038583110135,57.011038583110135,57.011038583110135,57.011038583110135,65.35490903049435,65.35490903049435,65.35490903049435,65.35490903049435,65.35490903049435,65.35490903049435,65.35490903049435,65.35490903049435,65.35490903049435,65.55428018061443,65.55428018061443,74.38930395528224,74.38930395528224,74.38930395528224,74.38930395528224,74.38930395528224,74.38930395528224,74.38930395528224,74.38930395528224,74.38930395528224,74.38930395528224,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,84.20021295934416,86.52085271205962,86.52085271205962,86.52085271205962,86.52085271205962,86.52085271205962,86.52085271205962,86.52085271205962,86.52085271205962,86.52085271205962,86.52085271205962,89.10307034478389,89.10307034478389
Trial_3,56.853670742331104,56.853670742331104,56.853670742331104,56.853670742331104,56.853670742331104,56.853670742331104,56.862272945913766,56.862272945913766,56.862272945913766,56.862272945913766,56.862272945913766,56.862272945913766,56.862272945913766,56.862272945913766,56.884107874516964,56.884107874516964,56.884107874516964,56.884107874516964,56.884107874516964,56.884107874516964,56.884107874516964,56.884107874516964,56.884107874516964,56.884107874516964,56.884107874516964,56.884107874516964,56.88853266049732,56.88853266049732,56.88853266049732,56.88853266049732,56.88853266049732,56.88853266049732,56.88853266049732,56.88853266049732,56.88853266049732,56.88853266049732,56.892977112257746,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395
Trial_4,30.55326262833369,30.55326262833369,30.55326262833369,30.55326262833369,30.55326262833369,30.691732302598794,30.691732302598794,30.691732302598794,30.691732302598794,30.691732302598794,30.691732302598794,30.691732302598794,30.691732302598794,30.691732302598794,30.691732302598794,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,39.286267194490634,39.286267194490634,39.286267194490634,39.286267194490634,39.286267194490634,39.286267194490634,39.286267194490634,39.286267194490634,39.29288973525112,39.29288973525112,39.29288973525112,39.29288973525112,39.29288973525112,39.29288973525112,39.29288973525112,39.29288973525112,39.29288973525112,39.29288973525112,39.29288973525112
Trial_5,85.26536664213833,85.26536664213833,85.26536664213833,85.26536664213833,85.48163506406381,86.63520860761432,86.63520860761432,90.313282250751,90.313282250751,90.313282250751,90.313282250751,90.313282250751,90.313282250751,90.313282250751,90.313282250751,90.313282250751,90.313282250751,90.433282250751,90.433282250751,90.433282250751,90.433282250751,90.433282250751,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.5184228707236,90.55460763199207,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553,90.7882546703553
Trial_6,56.401490971385485,56.401490971385485,56.401490971385485,56.401490971385485,56.401490971385485,56.401490971385485,56.401490971385485,56.401490971385485,86.15756252900218,86.15756252900218,86.15756252900218,86.15756252900218,86.15756252900218,86.15756252900218,86.15756252900218,86.21380828533968,86.21380828533968,87.98561207008453,87.98561207008453,87.98561207008453,87.98561207008453,87.98561207008453,87.98561207008453,87.98561207008453,87.98561207008453,87.98561207008453,88.32656208140224,88.32656208140224,88.32656208140224,88.32656208140224,88.32656208140224,88.32656208140224,88.32656208140224,88.32656208140224,88.32656208140224,88.32656208140224,88.32656208140224,88.32656208140224,88.32656208140224,88.32656208140224,88.32656208140224,88.32656208140224,88.32656208140224,88.32656208140224,88.92539590051207,88.92539590051207,88.92539590051207,88.92539590051207,88.92539590051207,88.92539590051207,88.92539590051207,88.92539590051207,88.92539590051207,88.92539590051207,88.92539590051207,88.92539590051207,88.92539590051207,88.92539590051207,88.92539590051207,88.92539590051207,88.92539590051207,88.92539590051207,89.28306761075248,89.46306761075247,89.46306761075247,89.46306761075247
Trial_7,73.99693454121353,73.99693454121353,73.99693454121353,74.21328304939492,74.21328304939492,74.21328304939492,84.75796342529321,84.75796342529321,85.17796342529321,89.08927589273976,89.08927589273976,89.08927589273976,89.08927589273976,89.08927589273976,89.08927589273976,89.08927589273976,89.08927589273976,89.08927589273976,89.08927589273976,89.08927589273976,89.08927589273976,89.08927589273976,89.08927589273976,89.08927589273976,89.59829930534798,89.59829930534798,89.59829930534798,89.59829930534798,89.59829930534798,89.59829930534798,89.59829930534798,89.89829930534798,89.89829930534798,89.89829930534798,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.07515222202916,90.48656208140224,90.48656208140224,90.48656208140224,90.48656208140224,90.48656208140224,90.48656208140224,90.48656208140224,90.48656208140224,92.12645698047987
Trial_8,65.21441235499208,65.21441235499208,65.21441235499208,84.19760523667571,85.39006880621146,85.39006880621146,85.99241347317071,85.99241347317071,85.99241347317071,85.99241347317071,86.59124045250836,86.71006880621145,86.71006880621145,86.71006880621145,86.71006880621145,86.71006880621145,86.71006880621145,87.13006880621145,87.13006880621145,87.13006880621145,87.13006880621145,87.13006880621145,87.13006880621145,87.13006880621145,87.13006880621145,87.13006880621145,87.13006880621145,87.13006880621145,87.13006880621145,87.43124045250836,87.43124045250836,87.43124045250836,87.43124045250836,87.43124045250836,87.43124045250836,87.79006880621147,88.4361150914376,88.4361150914376,88.4361150914376,88.4361150914376,88.4361150914376,88.4361150914376,88.4361150914376,88.4361150914376,88.4361150914376,88.4361150914376,88.4361150914376,88.4361150914376,88.4361150914376,88.4361150914376,88.4361150914376,88.4361150914376,88.4361150914376,88.4361150914376,88.68167353170871,88.68167353170871,88.68167353170871,88.68167353170871,88.68167353170871,88.68167353170871,88.68167353170871,88.68167353170871,88.68167353170871,88.68167353170871,88.68167353170871,88.68167353170871
Trial_9,55.81158726350304,55.81158726350304,55.81158726350304,55.81158726350304,55.81158726350304,55.81158726350304,86.06248593745464,86.06248593745464,86.06248593745464,86.06248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.48248593745464,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463,86.60248593745463
Trial_10,58.306779612909715,58.306779612909715,58.306779612909715,58.306779612909715,58.306779612909715,65.77148899640882,65.77148899640882,65.77148899640882,65.77148899640882,65.77148899640882,65.77148899640882,65.77148899640882,65.77148899640882,65.77148899640882,65.77148899640882,65.77148899640882,65.77148899640882,65.77148899640882,65.77148899640882,65.77148899640882,65.77148899640882,65.77148899640882,74.51079506867468,74.51079506867468,74.51079506867468,84.67063674656258,84.67063674656258,84.67063674656258,84.67063674656258,84.67063674656258,84.67063674656258,84.67063674656258,84.67063674656258,84.67063674656258,84.67063674656258,84.67063674656258,84.96074472933634,84.96074472933634,85.43541169631006,85.43541169631006,85.43541169631006,85.43541169631006,85.99914532120981,85.99914532120981,85.99914532120981,85.99914532120981,85.99914532120981,87.1084281264103,87.1084281264103,88.09789140255022,88.09789140255022,88.33789140255023,88.33789140255023,88.33789140255023,88.33789140255023,88.33789140255023,88.33789140255023,88.33789140255023,88.33789140255023,88.33789140255023,88.33789140255023,88.33789140255023,88.33789140255023,88.33789140255023,88.33789140255023,88.33789140255023
