,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21
Trial_1,84.75686730400922,84.75686730400922,85.72806444416042,89.55412012473599,89.55412012473599,89.55412012473599,89.55412012473599,89.55412012473599,89.55412012473599,89.55412012473599,89.55412012473599,89.55412012473599,89.55412012473599,90.39328304939494,90.39328304939494,90.39328304939494,90.39328304939494,90.39328304939494,90.39328304939494,90.39328304939494,90.39328304939494
Trial_2,47.88190280195865,47.910955124553155,47.95736716631762,56.88853266049732,85.00695546585759,85.00695546585759,85.00695546585759,85.00695546585759,85.00695546585759,85.91961591781401,85.91961591781401,86.35933632855173,87.0549489362742,88.30696826721383,88.30696826721383,88.30696826721383,88.30696826721383,88.87241347317072,89.12526910728147,89.12526910728147,89.12526910728147
Trial_3,73.76366065724565,73.76366065724565,85.50523055163356,85.50523055163356,87.44143496520866,88.51992405943827,89.48130478097956,89.48130478097956,90.51942485016033,91.11209079819812,91.11209079819812,91.11209079819812,91.41209079819812,91.41209079819812,91.41209079819812,91.46833139527422,91.58833139527422,91.58833139527422,91.58833139527422,91.58833139527422,91.58833139527422
Trial_4,85.17244072881057,85.17244072881057,85.17244072881057,85.17244072881057,85.17244072881057,85.17244072881057,85.71244072881058,85.71244072881058,85.71244072881058,85.71244072881058,85.71244072881058,85.71244072881058,85.71244072881058,85.71244072881058,85.71244072881058,85.71244072881058,85.71244072881058,85.71244072881058,85.71244072881058,85.71244072881058,85.71244072881058
Trial_5,39.24742736117437,48.10010264641751,48.10010264641751,48.20698639161586,48.20698639161586,48.20698639161586,56.926955465899596,56.926955465899596,56.926955465899596,57.026190388130736,57.026190388130736,65.88410787451697,65.88410787451697,65.88410787451697,65.90417543756777,65.90417543756777,65.90417543756777,65.90417543756777,65.90417543756777,65.90417543756777,65.90417543756777
Trial_6,21.758252984940356,30.372378886309363,30.372378886309363,30.372378886309363,39.340517784240376,39.340517784240376,48.026190388130736,48.026190388130736,48.026190388130736,56.86443510891826,65.72712299345383,65.72712299345383,65.72712299345383,65.72712299345383,65.72712299345383,85.92952957785585,86.1946503396656,86.53428018061446,86.81697054307936,87.23853182364631,87.23853182364631
Trial_7,48.0704108566101,48.09463815194543,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.02111423509888,57.02111423509888,65.8220558859494,65.8220558859494,65.8220558859494,65.8220558859494,65.8220558859494,65.8220558859494,65.8220558859494,65.8220558859494,65.8220558859494,65.8220558859494,65.8220558859494,74.70658072115351,74.70658072115351
Trial_8,56.906430229954864,56.906430229954864,56.98384284030165,56.98384284030165,56.98384284030165,56.98384284030165,56.98384284030165,65.81791509328337,65.81791509328337,65.81791509328337,65.81791509328337,65.81791509328337,65.81791509328337,65.81791509328337,65.81791509328337,65.81791509328337,65.81791509328337,65.81791509328337,65.81791509328337,65.81791509328337,65.81791509328337
Trial_9,30.606372453647637,30.606372453647637,84.75586438758178,88.92890870538949,88.92890870538949,88.92890870538949,89.16560279007147,89.36825269974835,89.36825269974835,89.36825269974835,89.36825269974835,90.6595853089166,90.6595853089166,90.6595853089166,90.6595853089166,90.6595853089166,90.6595853089166,90.6595853089166,90.6595853089166,90.6595853089166,90.6595853089166
Trial_10,65.31040073082103,65.31040073082103,65.31040073082103,65.31040073082103,65.31040073082103,65.31040073082103,65.31040073082103,65.31040073082103,65.31040073082103,65.31040073082103,65.31040073082103,65.31040073082103,65.31040073082103,65.3879589651669,83.58374546798288,83.58374546798288,83.58374546798288,87.15875487764953,87.15875487764953,88.10248593745465,88.10248593745465
