,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21
Trial_1,84.75686730400922,84.75686730400922,87.13006880621145,87.13006880621145,87.13006880621145,87.18085271205963,89.16539590051207,90.08429422482651,90.08429422482651,90.08429422482651,90.55006880621146,90.55006880621146,90.55006880621146,90.55006880621146,90.55006880621146,90.55006880621146,90.55006880621146,90.56541341912353,90.56541341912353,90.56541341912353,90.56541341912353
Trial_2,39.340517784240376,86.3222950568714,86.3222950568714,86.76656208140224,88.33724208694863,89.5341089251166,90.19476365051567,90.19476365051567,90.19476365051567,90.19476365051567,90.19476365051567,90.19476365051567,90.31594081368868,90.31594081368868,90.31594081368868,90.31594081368868,90.31594081368868,90.49594081368868,90.49594081368868,90.49594081368868,90.49594081368868
Trial_3,39.21925648420767,39.32324619773172,56.61649336511599,56.85581436587435,85.4385318236463,86.35428018061445,86.60427655136871,88.15269413745881,88.15269413745881,88.15269413745881,88.15269413745881,88.15269413745881,88.4400955456225,88.4400955456225,88.4400955456225,88.4400955456225,88.5600955456225,88.5600955456225,88.5600955456225,88.5600955456225,89.41586874329958
Trial_4,56.46766570777765,56.65964069627225,85.3835304309518,90.66049965983835,90.66049965983835,90.66049965983835,90.66049965983835,90.66049965983835,90.66049965983835,90.66049965983835,90.66049965983835,90.66049965983835,90.66049965983835,90.66049965983835,90.66049965983835,90.66049965983835,90.66049965983835,90.66049965983835,90.66049965983835,90.66049965983835,90.66049965983835
Trial_5,37.906779612909716,37.906779612909716,74.11756252900216,74.11756252900216,74.11756252900216,74.11756252900216,84.08825269974835,84.08825269974835,85.29199472542366,86.27020626248759,86.27020626248759,86.27020626248759,86.27020626248759,86.27020626248759,86.27020626248759,86.27020626248759,86.27020626248759,86.27020626248759,86.27020626248759,86.27020626248759,86.32912576535385
Trial_6,47.92235775665097,47.92235775665097,47.962129080077865,47.962129080077865,56.79140997390337,56.88190280195865,56.88190280195865,56.88190280195865,56.88190280195865,56.88190280195865,56.88853266049732,56.88853266049732,56.88853266049732,65.75777673454483,65.75777673454483,65.75777673454483,65.75777673454483,65.75777673454483,65.75777673454483,65.75777673454483,65.75777673454483
Trial_7,21.747726571953372,30.494668464067637,30.494668464067637,30.494668464067637,30.58835394814496,30.58835394814496,30.58835394814496,30.686794020958214,30.686794020958214,30.686794020958214,30.686794020958214,30.686794020958214,30.711732969305466,30.711732969305466,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012
Trial_8,65.74233241211736,84.14866891806655,85.1985318236463,86.85814525945472,86.85814525945472,87.89421098074654,90.42074605395852,90.42074605395852,90.42074605395852,90.42074605395852,90.42074605395852,90.42074605395852,90.42074605395852,90.42074605395852,90.42074605395852,90.42074605395852,90.42074605395852,90.42074605395852,90.42074605395852,90.76912237227414,90.76912237227414
Trial_9,86.33697054307936,86.41594081368868,86.41594081368868,87.2564947423917,87.2564947423917,87.63412012473599,88.44656208140225,88.44656208140225,88.8816578853457,88.8816578853457,88.8816578853457,88.8816578853457,88.8816578853457,88.8816578853457,88.8816578853457,88.8816578853457,88.8816578853457,88.8816578853457,88.8816578853457,88.8816578853457,91.06413272989427
Trial_10,30.498741789455273,38.746171188424526,47.840904611508066,56.573511542542306,56.573511542542306,56.75195712549157,56.75195712549157,65.48380692395703,65.7290115681417,65.7290115681417,74.30667633173005,74.30667633173005,74.4575280394932,84.86930395528226,84.86930395528226,86.77269413745881,86.77269413745881,86.77269413745881,86.77269413745881,86.77269413745881,87.91269413745881
