,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21
Trial_1,0.6455134285447138,6.605732724809791,12.29001832243169,18.7285621631301,25.665209581243243,33.31784655821127,41.14229808951395,45.96973282885343,52.03977235336497,57.10315551234915,63.09774248352573,68.90123812845138,72.37381160966129,76.76628644043566,79.35518381557824,81.9209511260263,83.69356039268126,84.61896969648315,85.58934267517718,86.52888861104171,86.88371703827347
Trial_2,-0.8872772117561251,4.267708290655309,9.242523333433219,14.399085326045917,19.314285438679217,22.215700668068404,23.24657442243298,24.128210395620712,24.965850304746546,26.20010620766525,27.170170569940474,27.919500233311037,28.84524980517077,29.50627149694702,30.34316820335052,30.56417703068413,30.564848755289166,30.565261754110697,30.565718421332075,30.56639286345047,30.566937632788328
Trial_3,-0.15825560619170737,6.044367402101081,13.970953270265332,21.414328665900324,28.87978239632863,34.705209272520854,37.597684451689766,40.69916563171515,46.59709915934559,49.9873548978542,52.19719131372667,53.70793693263565,55.72478132193406,57.714195752676815,59.44318914729816,60.58688847979586,61.678111976687745,62.66937822050619,63.5788065301986,65.06219427905356,66.50238335664227
Trial_4,0.03349253554594867,5.4634225743298295,11.30912090379671,16.145299506858464,24.197386880725325,34.91794841536405,45.07577156155568,54.00739475015656,61.20366687650977,67.252534424527,71.88967783066978,74.86993964691503,78.2179758702134,79.13569730921562,80.55408294639363,82.18415795092511,82.87429720069994,83.73188222077619,84.49470808952736,85.50520509175523,85.62902538373488
Trial_5,-0.0014171623662389088,6.212502595778343,14.335472392686246,21.73756218966975,29.87284302425732,34.899254340631074,39.731724530297996,42.97740388065513,47.04367136608718,51.51138651321788,55.47997475824331,59.51821434808487,62.8734327562093,66.20300725583724,68.02630234822018,69.60688181258132,71.40786790151279,73.33673249753764,75.04427272020921,76.75709379957111,77.99192276407105
Trial_6,0.3183237634924773,5.20261865379955,10.577285590073762,15.30446490553505,20.82232649288677,25.963224208952557,30.79352978816156,33.240105119269195,38.961982147725486,42.65617632370857,45.913431903549274,48.564137749116945,51.098821286472756,52.84584682572827,54.74444931310074,56.135797715501255,58.41336352153429,60.84067983460744,62.62111586731612,63.983240836911115,65.30672172246999
Trial_7,-1.351878127762395,3.6270387786959963,8.340555604815625,13.495728154559115,19.21270391847054,24.708257338292864,29.701748703342403,32.06703858749506,34.53034189697205,37.06686315084368,38.96924969666241,40.43023092338104,42.721164332767785,44.437014887367305,47.02400141705184,50.08757542022349,52.64863230804651,57.46606068616331,60.47352497745316,62.56920911163878,64.00305541423236
Trial_8,-0.6262295528832567,4.202360538306574,8.229010080231637,11.95312540786376,14.284390498317693,16.122281033789235,18.165567938926436,19.39969732021389,20.156474598212085,20.93227011890058,21.60361031043875,21.856769411086706,21.914982674701896,22.145596700709767,23.258222469146332,24.548370757197564,25.920754595848965,27.282584209164053,28.634064975289718,29.592467152189155,30.67965185450198
Trial_9,-0.26194073654733446,6.511242889555475,18.550482413064923,33.85892882866763,51.10587494241597,66.5532102067348,78.18129853123492,85.46874868814717,87.57175693182604,87.8046271264904,87.98934967271097,88.16927426574189,88.29922187610242,88.45971852018145,88.63373667864953,88.89661842185578,89.03607864498514,89.1717174892216,89.32389016400252,89.4423118525927,89.60014127238821
Trial_10,0.025251965656473415,5.133159246952428,13.502058518432015,23.364867131431964,34.63718961118181,47.373634679581556,59.877357491719835,68.84091875149765,78.1922852406482,85.03531773883536,87.8995261566485,88.2101282551541,88.47169033545731,88.57735035094566,88.75195829910848,88.8588249015132,88.97102297659927,89.09478809683604,89.21065681932585,89.2926426549927,89.35369488296128
