,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11
Trial_1,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,87.9845912013901,87.9845912013901,89.61424672368858
Trial_2,83.91496635783318,83.91496635783318,84.37241347317071,85.15476365051566,85.21358787142665,85.21358787142665,86.09977753088039,86.71358787142665,86.71358787142665,87.73663905423376,87.73663905423376
Trial_3,30.519361076658008,65.37593477220011,74.23842723119594,74.23842723119594,74.23842723119594,74.23842723119594,74.37063674656255,84.85006880621145,85.27124045250835,85.27124045250835,85.53102825700785
Trial_4,30.59282822853988,30.64341372532799,56.92006680490441,56.92006680490441,56.92006680490441,56.92006680490441,56.92006680490441,56.92006680490441,56.92006680490441,56.98384284030165,56.98384284030165
Trial_5,30.35455310235676,47.95026654476804,88.98656208140225,88.98656208140225,88.98656208140225,88.98656208140225,88.98656208140225,88.98656208140225,88.98656208140225,88.98656208140225,88.98656208140225
Trial_6,30.579465000727716,30.579465000727716,38.4793788724413,38.4793788724413,38.4793788724413,38.4793788724413,38.4793788724413,38.4793788724413,39.3978811791203,39.3978811791203,87.25435818236082
Trial_7,56.38126101648278,84.79745983353183,84.92924921203809,87.34825960494385,87.34825960494385,87.34825960494385,87.42213864227898,87.42213864227898,87.42213864227898,87.42213864227898,87.42213864227898
Trial_8,56.7290115681417,56.7290115681417,56.83668519596536,56.83668519596536,56.83668519596536,65.49720995408438,65.49720995408438,65.83879267830493,65.83879267830493,65.83879267830493,65.85581436587435
Trial_9,29.826213896098064,56.65261079034399,56.65261079034399,56.65261079034399,56.65261079034399,56.65261079034399,56.65261079034399,56.65261079034399,56.65261079034399,56.65261079034399,56.65261079034399
Trial_10,83.63961591781401,83.63961591781401,83.63961591781401,83.63961591781401,85.1302062624876,85.1302062624876,85.61035802314753,85.61035802314753,86.11594081368868,87.01619660854706,87.01619660854706
