,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21
Trial_1,84.75686730400922,84.75686730400922,85.39594081368868,85.65376659764128,87.72543794147893,87.72543794147893,87.83150678835139,87.83150678835139,87.83150678835139,89.00143496520866,89.00143496520866,89.00143496520866,89.00143496520866,89.09110277768673,89.09110277768673,89.20186017623237,89.20186017623237,89.30626264934034,89.88825467035531,89.88825467035531,89.88825467035531
Trial_2,21.79051384715858,39.427845967822236,83.25802357692787,83.25802357692787,84.39713191391738,84.39713191391738,84.55637137186159,84.55637137186159,86.11476365051567,86.11476365051567,86.11476365051567,86.55215501769045,86.55215501769045,87.52149097138552,87.52149097138552,87.52149097138552,87.52149097138552,87.52149097138552,87.52149097138552,87.52149097138552,87.52149097138552
Trial_3,48.08379793739257,48.08649699436173,83.0493038770212,83.0493038770212,83.0493038770212,84.64186017623236,84.64186017623236,87.71926889045221,87.71926889045221,89.12064962889993,89.12064962889993,89.64890870538949,89.64890870538949,89.79465033966561,89.79465033966561,89.79465033966561,89.79465033966561,89.79465033966561,89.79465033966561,89.79465033966561,89.79465033966561
Trial_4,30.557582289478205,30.57065437104556,56.981406785503765,56.981406785503765,56.981406785503765,65.46621116206666,65.46621116206666,74.37460763199205,74.52302763711032,83.78040081415564,84.19594081368868,84.19594081368868,85.51594081368867,85.51594081368867,85.51594081368867,87.81065075683264,90.45102825700785,90.45102825700785,90.45102825700785,90.45102825700785,90.45102825700785
Trial_5,47.596425802065184,56.563849631630575,56.563849631630575,65.56705990726083,85.53177175158261,85.53177175158261,85.53177175158261,85.53177175158261,85.53177175158261,85.53177175158261,88.90000507185289,88.90000507185289,88.90000507185289,88.90000507185289,88.90000507185289,88.90000507185289,88.90000507185289,88.90000507185289,88.90000507185289,88.90000507185289,88.90000507185289
Trial_6,86.45562632995694,87.22219530497634,87.22219530497634,87.22219530497634,88.0759127917705,88.0759127917705,88.0759127917705,89.87302400786461,89.87302400786461,89.87302400786461,89.87302400786461,90.65551334795724,90.65551334795724,90.65551334795724,90.65551334795724,90.65551334795724,90.65551334795724,90.65551334795724,90.65551334795724,90.65551334795724,91.78837410294776
Trial_7,30.5446788846423,65.54795104556277,74.38661578162043,85.01671387764434,85.01671387764434,85.01671387764434,85.02656208140225,86.21204208237748,86.93496102321949,86.93496102321949,86.93496102321949,87.9172636760502,88.86668156671965,88.86668156671965,88.86668156671965,88.86668156671965,88.86668156671965,88.86668156671965,88.86668156671965,88.86668156671965,88.86668156671965
Trial_8,38.34455964963235,38.34455964963235,47.5168926485428,47.5168926485428,56.66317426885356,84.22652961731549,84.22652961731549,84.22652961731549,88.21012053692776,88.21012053692776,88.21012053692776,88.21012053692776,88.35362270852778,88.35362270852778,88.35362270852778,88.8389160357109,88.8389160357109,90.79410892511659,90.79410892511659,90.79410892511659,90.79410892511659
Trial_9,30.63402398497815,47.53697054307933,47.54323034442784,89.26163506406382,89.26163506406382,89.26163506406382,89.26163506406382,89.26163506406382,89.26163506406382,89.26163506406382,89.26163506406382,89.26163506406382,89.26163506406382,89.26163506406382,89.26163506406382,89.26163506406382,89.26163506406382,89.26163506406382,89.26163506406382,89.26163506406382,89.26163506406382
Trial_10,30.113895968549844,30.531939858864867,30.531939858864867,85.28659810816266,85.28659810816266,85.28659810816266,85.28659810816266,85.28659810816266,85.28659810816266,85.28659810816266,85.28659810816266,85.28659810816266,86.88580150454673,87.46463390906364,87.46463390906364,87.46463390906364,87.46463390906364,87.46463390906364,87.46463390906364,89.13536476436478,89.13536476436478
