,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21
Trial_1,0.6455134285447138,7.160886650299046,13.09876546568041,18.860251948426882,24.479395726737557,28.885919276432514,33.16755178942658,36.87938187715303,40.6890123993509,43.02215266850655,47.694688525822,50.18918943305045,53.32194418509517,56.52121416985276,60.42317655209461,64.1709137568951,66.62024403840104,68.53572598643296,71.14690626546722,72.72095475515255,75.0772857588699
Trial_2,-0.737070442210856,4.152708039826527,9.136174600368735,16.740707746887324,26.799039076346286,34.844575922112774,40.16385940390211,45.25643724694657,51.1994938984347,55.12963124012686,59.358613237609205,63.27138759394007,66.90630813580967,69.42341855982092,71.57935320977995,72.58351647856385,73.52158071869097,74.59687536538844,76.12157163439743,77.11204155591606,77.74420885200176
Trial_3,0.16974020533053824,5.07421005001528,14.139223930063539,25.12819628232143,38.09382480432498,49.66659765496793,55.45999625315826,61.12394779175641,65.45438058712426,69.0777067592084,71.64761974391219,73.22931732617916,74.58014399676178,76.07851805727483,77.21919809439129,77.94334806101205,78.62460740297256,79.94883886304181,80.83699359324629,81.91387291955459,82.43326973802039
Trial_4,0.6301045586456107,7.184387754431871,14.086970986028227,20.384122861254063,29.405275781092932,37.79543918545553,45.069285742762844,52.27951034195394,58.15246824272819,64.65142105449151,69.69592024519724,73.65295482823562,76.95470557209087,80.12370501840257,82.75721904423588,84.62566432406805,86.04285453120285,86.6319169830824,86.95004518998613,87.2997246436883,87.70759612562865
Trial_5,-0.43772329207382726,4.702880997550037,10.387669968718985,16.926535755816783,22.581981373964187,26.950676427161053,30.100141035625366,31.593521379517398,33.41321257815047,35.37407920288686,36.70441981105995,38.04848421493928,39.11673797956685,39.46577548676353,40.302827540878745,41.57718143414482,42.23575608832041,42.97747166254232,43.93756307625854,45.12163128742151,46.38093877577623
Trial_6,0.013212703809910806,5.615046310915677,10.897839226656945,17.728379000275897,24.918992325519238,32.44999307257066,38.122566294753135,42.58442513144058,46.73090692250535,50.71927952068619,54.65641343721652,57.560088678917595,61.037950604509724,63.80492241462734,66.65245660141096,69.51941557598548,71.92610439184814,73.36956702503807,75.44646064178283,77.4132994006246,78.72983654585906
Trial_7,-1.1333578357151755,3.752872014301048,9.62425899684911,18.63253687743496,31.560585957755283,42.78776821018346,53.475786737058364,63.12215032456658,70.34868749792818,75.86334161366352,80.49922371046127,83.19043141780381,85.1953668356662,85.94742491676719,86.09255334466779,86.22933983140311,86.38443098220017,86.54365357775485,86.71840357710718,86.82562304736679,86.89002036456147
Trial_8,-0.25259403815270526,6.250362105480653,13.676705342952996,20.858347975452826,27.091217480166147,32.390055518062724,37.40222358615856,41.53408932410912,45.46586415935138,49.58421456847545,53.97479002129117,56.70365151637481,60.1085887006697,63.4118911310082,68.12103862205984,71.84850280832367,74.79380949306409,77.79635588630923,79.91453974765213,81.18639308119091,82.89742080907845
Trial_9,-0.6056591787704008,3.928122649305493,8.865056787883098,15.091939134095915,22.390280227046404,28.607633027844958,34.10465719446802,37.879961769998964,42.231428372253575,46.34894442366394,49.14424237382845,52.822466621606054,56.67516701322192,59.24333292739288,62.480021716020744,64.70841055391222,67.41933199939304,69.3663295429344,71.40636646113646,72.66808681972363,74.27609178570687
Trial_10,0.7831019531853909,6.762521593189599,12.441751922229994,20.741298874289214,28.472184769427603,36.111553788272765,44.41075839169909,52.58161894460152,61.07356998649268,67.97968224889358,74.15734582152788,77.49716398630693,81.18154011171318,83.5582769835466,85.19681660389507,86.0697413944628,86.57173878442791,86.91181686389005,87.18115819789307,87.37399485431843,87.52644260183432
