,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,30.807043149109788,48.424050896853686,48.424050896853686,66.12226421822037,66.14492807779757,66.14492807779757,66.14492807779757,66.14492807779757,66.14492807779757,66.14492807779757,66.15067522005315,66.15067522005315,66.15067522005315,66.15067522005315,66.15067522005315,66.15067522005315,66.15067522005315,66.15067522005315,66.15645558296865,66.15645558296865,66.15645558296865,66.15645558296865,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,66.27968822339258,75.09191706183107,75.09191706183107,75.09191706183107,75.09191706183107,75.09191706183107,75.09191706183107,75.09191706183107,75.09191706183107,75.09191706183107,75.09191706183107,75.09191706183107,85.26212908007788,85.50212908007788,85.50212908007788,85.50212908007788,85.50212908007788,85.50212908007788,85.50212908007788,85.50212908007788,85.68212908007789,85.68212908007789,85.68212908007789,85.68212908007789,85.68212908007789,86.16212908007788,86.16212908007788
Trial_2,30.624721592315836,39.4316554962389,57.5028317747068,66.12226421822037,66.52353644806848,66.52353644806848,66.52353644806848,66.52353644806848,75.3266767328285,75.3266767328285,75.3266767328285,85.59288973525115,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204
Trial_3,21.313024643660178,48.32667673282851,65.67743476007271,65.67743476007271,65.67743476007271,65.67743476007271,65.67743476007271,65.67743476007271,65.67743476007271,66.11389596854984,66.16811752271649,66.16811752271649,74.51383921105591,74.51383921105591,84.10163506406381,84.10163506406381,85.12163506406381,85.12163506406381,85.12163506406381,85.12163506406381,85.12163506406381,85.12163506406381,85.12163506406381,85.12163506406381,85.12163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.60163506406381,85.78562995920268,85.78562995920268,85.78562995920268,85.78562995920268,85.78562995920268,85.78562995920268,85.78562995920268,85.78562995920268,85.78562995920268,85.78562995920268,85.78562995920268,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381,86.26163506406381
Trial_4,30.482547103535293,48.648141866523936,48.648141866523936,57.59282822853988,57.691732302598794,57.691732302598794,57.737309811095116,66.5489615464343,66.5489615464343,66.5489615464343,66.5489615464343,85.08322890233345,85.08322890233345,85.47282822853991,85.47282822853991,85.47282822853991,85.47282822853991,87.57282822853992,87.57282822853992,87.57282822853992,87.57282822853992,88.05282822853991,88.83282822853991,88.83282822853991,88.83282822853991,88.83282822853991,88.83282822853991,89.07679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.37679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204,89.79679627126204
Trial_5,57.557582289478205,66.14779752022552,66.14779752022552,75.50693855665945,86.91289246928255,86.91289246928255,86.91289246928255,86.91289246928255,86.91289246928255,86.91289246928255,86.91289246928255,86.91289246928255,86.91289246928255,88.17853908213779,88.17853908213779,88.17853908213779,88.17853908213779,88.17853908213779,88.17853908213779,88.17853908213779,88.24254710353533,88.65289246928256,88.65289246928256,88.65289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,89.01679627126204,89.01679627126204,89.01679627126204,89.01679627126204,89.01679627126204,89.55679627126204,89.55679627126204,89.55679627126204,89.55679627126204,89.55679627126204,89.55679627126204,89.55679627126204,89.55679627126204,89.55679627126204,89.55679627126204,89.55679627126204,89.55679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.27679627126204,90.39679627126205,90.39679627126205,90.39679627126205,90.39679627126205,90.39679627126205
Trial_6,39.39052820481504,57.39052820481504,57.39052820481504,66.12226421822037,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.46266573298146,66.46266573298146,66.46266573298146,66.46266573298146,66.46266573298146,66.46266573298146,66.46266573298146,66.46266573298146,66.46266573298146,66.46266573298146,66.46266573298146,66.46266573298146,66.46266573298146,66.46266573298146,66.46266573298146,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248,66.46661051127248
Trial_7,57.19185751001956,57.19185751001956,57.19185751001956,57.435479592677304,57.435479592677304,57.435479592677304,57.435479592677304,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14492807779757,66.14492807779757,66.14492807779757,66.14492807779757,66.14492807779757,66.14492807779757,66.14492807779757,66.14492807779757,66.14492807779757,66.14492807779757,66.14492807779757,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.14779752022552,66.16518926293739,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955,66.17399989261955
Trial_8,39.46266573298146,66.29288973525112,66.29288973525112,75.35809292906188,75.35809292906188,75.35809292906188,75.37237888630936,75.37237888630936,75.37237888630936,75.37237888630936,75.37237888630936,75.37237888630936,75.37237888630936,87.03616819497442,87.03616819497442,87.30010264645956,87.30010264645956,87.44353644806851,88.52341372532801,88.52341372532801,88.52341372532801,88.69669509194095,88.99669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.11669509194095,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.15212383121045,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044,89.27212383121044
Trial_9,30.58835394814496,47.99118681455741,48.47853908213776,57.22855887686998,57.2731522524128,75.23167900420623,75.26665872310225,85.33357331188759,85.33357331188759,85.33357331188759,85.33357331188759,85.33357331188759,85.33357331188759,88.37165549623893,88.37165549623893,88.37165549623893,88.37165549623893,88.37165549623893,88.37165549623893,88.37165549623893,88.37165549623893,88.37165549623893,88.41853908213778,88.41853908213778,88.41853908213778,88.41853908213778,88.41853908213778,88.41853908213778,88.41853908213778,88.41853908213778,88.41853908213778,88.47616819497442,88.47616819497442,88.47616819497442,88.47616819497442,88.47616819497442,88.47616819497442,88.47616819497442,88.47853908213779,88.47853908213779,88.47853908213779,88.47853908213779,88.47853908213779,88.47853908213779,88.47853908213779,88.47853908213779,88.47853908213779,88.47853908213779,88.47853908213779,88.47853908213779,88.47853908213779,88.47853908213779,88.47853908213779,88.53616819497442,89.37282822853992,89.37282822853992,89.37282822853992,89.37282822853992,89.37282822853992,89.37282822853992,89.37282822853992,89.37282822853992,89.37282822853992,89.37282822853992,89.37282822853992,89.37282822853992,89.37282822853992,89.37282822853992,89.37282822853992,89.37282822853992,89.37282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992,89.43282822853992
Trial_10,39.31302464366018,39.7742533262868,48.35102576183879,66.21003982910274,66.21003982910274,66.21003982910274,66.21003982910274,66.62010264645954,66.6917323025988,66.6917323025988,66.6917323025988,66.76355803717006,66.76355803717006,66.76355803717006,75.71679627126201,75.71679627126201,75.71679627126201,75.71679627126201,75.71679627126201,75.71679627126201,86.98506424239103,86.98506424239103,86.98506424239103,86.98506424239103,86.98506424239103,86.98506424239103,86.98506424239103,87.00009554562249,87.00009554562249,88.06163506406382,88.06163506406382,88.06163506406382,88.06163506406382,88.06163506406382,88.06163506406382,88.54163506406383,88.54163506406383,89.02163506406382,89.02163506406382,89.02163506406382,89.02163506406382,89.02163506406382,89.02163506406382,89.02163506406382,89.02163506406382,89.02163506406382,89.23027909447734,89.23027909447734,89.23027909447734,89.23027909447734,89.23027909447734,89.23027909447734,89.23027909447734,89.23027909447734,89.23027909447734,89.23027909447734,89.23027909447734,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735,89.47027909447735
