,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,-0.7385133698584453,1.4836190813595818,4.153860391710246,7.103964699237505,10.227189197246952,13.057732203069104,20.569304221466464,21.85791784246234,23.067881286836744,23.56818395188663,24.01120794348556,27.89206666702432,28.528347949726403,28.532688747968933,28.972983810951572,29.566930173985867,35.88840322831813,37.25305443563566,38.62535347134194,39.19604760007955,40.42919986731774,49.63980366118169,50.60708032723405,51.04652934184381,52.00866521315354,52.64143055763722,63.27286380849366,65.07929816174142,66.48134151447128,66.9022824874586,67.69205954827243,78.22688469681493,78.73595196124916,78.96606032843982,80.17720265910626,80.57127174457607,86.2058026401014,86.28909348064747,86.4867119152032,86.5063698816254,86.72403799562264,87.70542636526484,87.72665550913487,87.74652941231616,87.75231446075388,87.75945626273057,88.22251998855936,88.22977374066824,88.2310075323768,88.2310075323768,88.23412449410542,88.50368052117041,88.50368052117041,88.50644379056743,88.51052728657946,88.51052728657946,88.59376192184526,88.59376192184526,88.59376192184526,88.59376192184526,88.59376192184526,88.70084638771607,88.70084638771607,88.70084638771607,88.70084638771607,88.708127612627,88.8744042248887,88.8744042248887,88.88328307621858,88.88328307621858,88.8843517386069,89.064977871661,89.07262710830472,89.07341544539356,89.07341544539356,89.07341544539356,89.16207812523331,89.16425935014423,89.16425935014423,89.16943855302785,89.17232180118248,89.33471648707267,89.33819973522732,89.33819973522732,89.34408298338194,89.34846275676693,89.57127564346705,89.57565889162169,89.57565889162169,89.57565889162169,89.57565889162169,89.82984544030937,89.83152521369433,89.83302521369434,89.83483842687245,89.84041820025743,90.07005593535816,90.07005593535816,90.07005593535816,90.07005593535816,90.07095593535816
Trial_2,-0.760571073415646,0.918561668499924,3.7960178201225356,7.206093328490365,10.91143403981931,13.481448950716883,22.796052924810578,23.89591759735544,25.465479908119185,26.087823744117742,27.43252290109708,33.58146716238713,35.15709149892275,36.93480135971876,39.38641986445127,40.972046757442115,51.475080132336714,52.18116007067274,53.198192706724676,54.50190310558635,55.632369731008346,62.669051313745186,62.8979171051093,63.51171132091192,64.17050021048843,65.02501985143131,71.62025770897397,71.75793515614643,72.27463429028903,72.63329258473479,72.88420816358389,78.6204375282735,79.1265322345022,79.40805469550097,79.81208393831793,80.39611259041294,84.71143254431165,85.08220489197501,85.38281770142254,85.3828981321113,85.5108785994499,87.72793794801866,87.740900925519,87.740900925519,87.74693288719776,87.74693288719776,88.08982580046019,88.08982580046019,88.08982580046019,88.10149380071704,88.10149380071704,88.33637249642223,88.33928973591208,88.3396025959868,88.3396025959868,88.3396025959868,88.47991783423895,88.47991783423895,88.47991783423895,88.47991783423895,88.47991783423895,88.62326445198096,88.62326445198096,88.62326445198096,88.62854587312319,88.62854587312319,88.7754573769765,88.77594153376917,88.77594153376917,88.77594153376917,88.77594153376917,88.84221990306725,88.84221990306725,88.84221990306725,88.85496729521783,88.85496729521783,88.93057142713853,88.93057142713853,88.93057142713853,88.93629680794943,88.93629680794943,89.06703604622945,89.06703604622945,89.06703604622945,89.0677587960765,89.06871618551573,89.34224061482374,89.34224061482374,89.34224061482374,89.34224061482374,89.34224061482374,89.57916822571224,89.5814777535758,89.5814777535758,89.5814777535758,89.5814777535758,89.76988144661398,89.76988144661398,89.76988144661398,89.76988144661398,89.76988144661398
Trial_3,-0.8061397217088901,0.6853545626591268,3.234866537144281,6.4336238957001255,9.489144838806853,12.002889424706384,18.27212566193715,19.614301395985308,20.46793384989366,21.464750463879042,22.22150658941172,25.73499947685151,26.879478019297157,27.3990531843178,27.80125102845995,28.36923365932192,31.7421940704374,32.47387140369012,33.17625596397912,33.57458683000636,34.015512535012924,38.643697884728425,39.550192536627904,40.264575629302804,41.08743540562351,41.79925179182035,49.804537579588484,50.431987825679755,50.87080733472017,51.42340300908379,51.74003030268136,61.40952763926378,62.02353538926311,62.52742733424375,63.377925622048885,63.60000077304885,72.75634788583642,72.91972460108995,73.09075115107353,73.21866780128111,73.40334859717652,80.56905020242839,80.60945754410649,80.68900827388502,80.74410943794828,80.7834345382841,83.51453235100252,83.52278487868665,83.5688339773436,83.5752149358877,83.68754837459535,84.55426033769191,84.55426033769191,84.56353739879556,84.56895848697528,84.59410056779056,85.18173358666823,85.18173358666823,85.19117908191414,85.20867241180552,85.20867241180552,85.66050201134773,85.66418592090004,85.66418592090004,85.66418592090004,85.66418592090004,86.03761361602709,86.03761361602709,86.03761361602709,86.03761361602709,86.03786614394213,86.42326934102313,86.42326934102313,86.42326934102313,86.42326934102313,86.42326934102313,86.63355697117005,86.63355697117005,86.63355697117005,86.63355697117005,86.63355697117005,86.6823534063649,86.6823534063649,86.6823534063649,86.6823534063649,86.6823534063649,86.6823534063649,86.6874363512034,86.6874363512034,86.6874363512034,86.6874363512034,86.6874363512034,86.6874363512034,86.6874363512034,86.6874363512034,86.6874363512034,86.72085470367074,86.72085470367074,86.72085470367074,86.72085470367074,86.72085470367074
Trial_4,-0.6116726497111091,1.3195516443601505,3.263329620664184,5.428984925101166,8.011863108219694,10.177028135491069,16.899783927963703,18.266117804383647,19.2101315308055,20.028849610196822,20.931621905278547,29.5279476895005,31.06820091975542,31.964907185474203,33.233185255166234,35.96191260575125,46.713537619986006,49.61569808360641,53.936158005240294,57.59707636392536,60.05642735279093,72.78013085069,74.753889921778,76.20564885727073,77.27843738052174,79.58563490967305,85.38040779317727,85.71081792806989,86.13592446369576,86.2251361032994,86.3046593050636,87.01650568066125,87.02475694085831,87.04107322846052,87.06694102926394,87.10856779812448,87.57620652134534,87.59197138981402,87.61243955629325,87.63446909474067,87.64405852347032,88.10646483553813,88.12209443432,88.12745283337486,88.13587164034674,88.14229611756757,88.51699775901587,88.51735385303844,88.52143977641612,88.52188853950832,88.5290064599963,88.79550345968488,88.79719875848727,88.79719875848727,88.79719875848727,88.80152247700988,88.96343663508713,88.96343663508713,88.96523663508711,88.96523663508711,88.96523663508711,89.2182624080934,89.2194624080934,89.22410553102709,89.22410553102709,89.22410553102709,89.56694556614883,89.56694556614883,89.57083045165277,89.57323045165278,89.57809855713255,89.87409456031317,89.87438892015463,89.87883722526567,89.87883722526567,89.87883722526567,90.1041882595703,90.1041882595703,90.1050365646813,90.107109754335,90.107109754335,90.21363990268289,90.21363990268289,90.21363990268289,90.21363990268289,90.21363990268289,90.22625118299992,90.22625118299992,90.22625118299992,90.22625118299992,90.22625118299992,90.22696378703623,90.22696378703623,90.227501321715,90.227501321715,90.227501321715,90.2298766685026,90.2298766685026,90.2298766685026,90.2298766685026,90.2298766685026
Trial_5,0.615769486999141,3.150885531708836,6.733354161148939,9.744368145653954,13.07289939857944,15.765316084315186,23.123048519004946,24.391336983864193,24.87730035094954,25.331664285738007,25.913141080592062,31.573475672251316,32.781845632116415,33.75085461760886,34.586702497901946,35.6716370697392,44.608292282568584,45.99264189125142,48.34875482731788,49.90493735934328,51.494578700363746,59.51050488771233,60.88506365660295,62.11522937436058,62.95171181980182,63.73731022102773,71.89330495763834,73.3937068798363,74.46066739192086,75.69086766443989,77.46207636725308,82.89519690648014,84.14408820363542,84.76259445411696,85.21173291685056,85.84552759558275,87.36284417591928,87.36805302868854,87.39183383511559,87.41333688205063,87.41333688205063,87.85001477349735,87.8595939215862,87.86314130505976,87.8643180305868,87.87607013442043,88.2437872969656,88.24829365219927,88.25155377978379,88.25155377978379,88.25155377978379,88.50702386456076,88.50702386456076,88.50702386456076,88.51111650212817,88.51111650212817,88.73440676895045,88.73440676895045,88.74332579552085,88.74332579552085,88.74332579552085,88.91756429694186,88.91756429694186,88.91756429694186,88.91756429694186,88.91756429694186,88.99000323464777,88.99000323464777,88.99000323464777,88.99000323464777,88.99000323464777,89.03459038461799,89.03459038461799,89.03459038461799,89.03459038461799,89.03459038461799,89.1158151705778,89.1158151705778,89.11991504833188,89.11991504833188,89.11991504833188,89.26120487215725,89.26120487215725,89.26501811890323,89.26501811890323,89.26501811890323,89.50712545385365,89.51100407779697,89.51100407779697,89.51100407779697,89.51510395555103,89.7078269973903,89.71163355517209,89.71818760836493,89.71818760836493,89.71876756825797,89.83254319389661,89.83867634250836,89.83867634250836,89.83867634250836,89.83867634250836
Trial_6,0.05331078920005744,1.9236820811778046,5.462714035687072,7.523080573994955,9.961257033181774,12.484980312701817,20.74120504510474,22.333466344195404,24.093742062207202,25.358015826209503,26.596591385597485,33.55173198972739,34.92596228645393,36.73581243390036,38.276252766796325,40.65583545357044,51.418585092290506,53.65727395136393,55.513622720930755,57.79754886089468,58.61730887200698,69.75821848982523,71.0038322315083,71.50603330050933,72.35807040505436,72.8728545755292,80.43543592729675,80.91132988426467,81.69980177284104,82.28385061757724,82.64418407471851,86.38097901201436,86.44956495819984,86.59271784250936,86.69086096508629,86.97709899251622,88.28019791579445,88.3017249380972,88.36599559160004,88.37953560367794,88.43428882687553,89.1964700416197,89.2117826036003,89.21849093625939,89.22362260334991,89.22989105141441,89.4817764340626,89.48897643406261,89.49492700067105,89.49492700067105,89.5065948771462,89.62210381791525,89.624533102233,89.624533102233,89.624533102233,89.6259984879561,89.77566412973756,89.77566412973756,89.77566412973756,89.77566412973756,89.78197514536376,89.97625052552166,89.97625052552166,89.97625052552166,89.98977530630185,89.98977530630185,90.2569937849717,90.2569937849717,90.2569937849717,90.2569937849717,90.2569937849717,90.56658931801985,90.57239331695699,90.57239331695699,90.58357637345514,90.59621286384255,90.94937335913983,90.94937335913983,90.94937335913983,90.94937335913983,90.94937335913983,91.39150292256824,91.39150292256824,91.39150292256824,91.39150292256824,91.39939765739427,91.78451672561408,91.79142663352619,91.80524123286585,91.80862488714943,91.81493479506155,92.13892353310601,92.14278694120196,92.14816563153086,92.15478076137556,92.15478076137556,92.2803384767951,92.2803384767951,92.2803384767951,92.2803384767951,92.28035107858001
Trial_7,-1.5156322521829981,0.6655689894934844,3.3203804199608125,6.058525585034704,8.644292208266869,10.754594782556687,16.18968199790386,18.09116331685791,19.872369240579502,21.568953303982642,22.91143542471931,27.695125560431766,28.810711245915744,29.918798765427358,30.866776124744227,31.530376525352416,36.29507278391449,36.86521027348873,37.73069907510473,38.87317497291424,39.36253056404829,45.13732416465878,45.96287458099809,46.44176900155984,47.18838220991593,47.67561101492695,51.66078241770476,51.757046917528626,52.201556979727954,52.597368708762154,53.122729643106574,56.166716837917875,56.42716488440917,56.64668736373963,56.82293357032544,56.82780985654319,58.75302124969839,58.753258363091156,58.753455214214874,58.753766903383024,58.754309838666,60.53440195122403,60.53440195122403,60.57574514283413,60.57597800857397,60.575989033936764,63.399724150130275,63.399724150130275,63.399724150130275,63.400039742435325,63.400039742435325,64.90993526582125,64.91340637517969,64.91340637517969,64.91340637517969,64.91340637517969,65.69137573069645,65.6948683918124,65.6948683918124,65.6948683918124,65.6948683918124,65.83168912175799,65.83168912175799,65.83168912175799,65.83188186510857,65.83188186510857,65.83761654539491,65.8378092887455,65.8378092887455,65.8378092887455,65.83792619098872,65.84252750805027,65.84252750805027,65.84252750805027,65.84252750805027,65.84252750805027,65.85030780587634,65.85030780587634,65.85030780587634,65.85030780587634,65.85046731253976,65.85951871881973,65.85951871881973,65.85954027057724,65.85954027057724,65.85954027057724,65.86592164229558,65.86592164229558,65.86592164229558,65.86592164229558,65.86592164229558,65.87077482208433,65.87077482208433,65.87077482208433,65.87077482208433,65.87077482208433,65.87258792238721,65.87258792238721,65.87258792238721,65.87258792238721,65.87258792238721
Trial_8,0.9004432208192233,3.229889631313331,5.872642915406532,8.486816152824439,11.14037633261365,13.76988190247086,22.17410577306689,23.384710334497314,24.37488993532377,25.414110760820517,26.443072441472196,31.790911496384787,32.44678915127368,33.15542207639757,34.911901295455344,36.401181412156504,44.713752719043754,45.28668093799179,45.9924565246115,46.865069819627664,47.91674745051209,53.336820879979314,53.94946864117911,54.126345377870706,54.56293755871266,54.78330663614739,57.08982137300372,57.13442995081372,57.309938469177354,57.54294776004909,57.54300204939895,58.74093326193793,58.74093326193793,58.927076785878796,58.96888415914369,59.29684878505227,62.77220247213575,63.12314109240835,63.88914000655954,63.975590722136204,65.0147275552411,70.79700093884045,71.54527632955836,71.85353512927897,72.56025266101997,73.25039478099396,79.6394399832072,80.25940996472944,80.65729677242116,80.97462040778906,81.35786051789484,85.17228481280435,85.40316732355711,85.67409167581242,85.87050563943124,86.07170870529573,87.32725395868974,87.34349256636902,87.37422717643045,87.40381919069875,87.41205662883287,87.99573838183518,87.99573838183518,87.99899696652406,87.99899696652406,87.9997979266127,88.19557072456787,88.19697426424074,88.19697426424074,88.19697426424074,88.20229329503498,88.51568341995983,88.5409395205009,88.55559357291298,88.55559357291298,88.58095331547229,88.92727052600209,88.92788539147521,88.92788539147521,88.92788539147521,88.94598336966759,89.52239991509894,89.52239991509894,89.53291035818393,89.53618475369913,89.53618475369913,89.94810434109866,89.95040325942936,89.95650434109866,89.96469512952388,89.97297599985886,90.15829289276566,90.15829289276566,90.15829289276566,90.15829289276566,90.15890332029812,90.27376929309658,90.27377450414447,90.27415772412029,90.27455880578957,90.27455880578957
Trial_9,-0.6317379307962433,1.7866113010814522,4.593321352092049,7.3432408482985725,10.550683108533692,13.459188786094241,23.29663720581093,26.006412619368216,28.470317484767207,31.02631891498785,32.55738092265979,41.36591524281224,43.201651601882695,45.496752046749954,47.98699138972315,50.27783771942084,60.4132832319109,63.05989860496915,65.56040253136915,67.71540300379647,69.9486106987318,77.65125926450902,79.93156751444022,81.37312929538508,82.4539202931439,83.40400409692646,86.14856376355522,86.96427057370583,87.55983575975267,87.99291683840173,88.05900227856752,88.95887212588462,89.08514704365702,89.26623695476225,89.39513833842875,89.57642674716823,90.4257102263901,90.55310921323193,90.64872837808693,90.72643639173548,90.81347438945632,91.39954198186447,91.46066206476448,91.53610485727046,91.57039205187533,91.62465338253813,91.93286681916594,91.95372038730756,91.97469288680408,91.98097536005189,92.00072267183226,92.2020085340894,92.20855305051406,92.21151785986193,92.21510027832763,92.21868856183231,92.34092202847853,92.34098759365547,92.3425344873169,92.34285796153843,92.34415170758145,92.44759668032759,92.44759668032759,92.44759668032759,92.44760251803986,92.44854941170128,92.5348733167293,92.5348733167293,92.535761634481,92.535761634481,92.53634410769668,92.61010496676278,92.61069912222675,92.61069912222675,92.61069912222675,92.61069912222675,92.64534131293033,92.64534131293033,92.64534131293033,92.64534131293033,92.64534131293033,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828,92.64772962385828
Trial_10,-0.4023279393916528,1.2851037898555229,3.202617327065692,5.664216744718655,8.598975095923494,10.626784329488153,18.571540635370884,21.044178348645055,22.669704626641952,24.198820817139286,24.712454529097858,31.352975752519868,32.62523654855288,33.790975274319635,35.296499613387844,37.63918507536404,48.49767598061271,51.40473327171094,54.439567260240764,56.8815756294397,58.95364154033479,72.63713050600799,75.28287888396352,77.708961605457,79.94563607121762,81.24555673671907,86.69995556661637,86.93480144524241,87.15294686634442,87.32567575667898,87.4488771040159,88.32326558814057,88.36262129860668,88.40407255664213,88.44963619570143,88.45678108977594,88.7993897835202,88.80280658371194,88.81339989278923,88.82053871304441,88.84442370245797,89.12417521661433,89.13287730577717,89.13882675011126,89.1438221305304,89.14856066893422,89.34196405809193,89.34444686891062,89.34444686891062,89.35072431715605,89.35072431715605,89.5404011426593,89.54237769355834,89.5509995489544,89.55315766406756,89.5554342149666,89.70756015750125,89.7076567122258,89.7076567122258,89.70945516343552,89.71283797425421,89.83131761558478,89.8337315237996,89.8337315237996,89.8337315237996,89.8337315237996,89.87091974757877,89.87091974757877,89.87091974757877,89.87091974757877,89.87094059541997,89.87878171055628,89.8790955994541,89.8790955994541,89.8790955994541,89.8790955994541,89.88036507293211,89.88036507293211,89.88036507293211,89.88036507293211,89.88036507293211,89.8809360755505,89.88155692339168,89.88155692339168,89.88155692339168,89.88155692339168,89.88604751560447,89.88604751560447,89.88604751560447,89.88604751560447,89.88604751560447,89.89913835936703,89.89913835936703,89.89913835936703,89.89916617585045,89.89948702369163,89.91730838430426,89.91730838430426,89.9179362007877,89.91917095684369,89.91917095684369
