,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,74.01713724853106,74.01713724853106,74.01713724853106,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.07870395408986,89.31870395408987,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.03215501769046,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.46198895412928,90.52070608031639,90.52070608031639,90.52070608031639,90.52070608031639,90.52070608031639,90.52070608031639,90.52070608031639,90.52070608031639
Trial_2,48.21003982910275,83.49875487764953,83.49875487764953,83.49875487764953,83.49875487764953,83.49875487764953,83.49875487764953,83.49875487764953,83.49875487764953,83.49875487764953,83.49875487764953,83.49875487764953,84.27362270852777,84.27362270852777,84.27362270852777,84.27362270852777,84.27362270852777,84.27362270852777,84.27362270852777,84.27362270852777,84.27362270852777,84.27362270852777,84.27362270852777,84.27362270852777,84.27362270852777,84.27362270852777,84.27362270852777,84.27362270852777,84.27362270852777,84.27362270852777,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,86.55995543807337,87.90307034478388,87.90307034478388,87.90307034478388,87.90307034478388,87.90307034478388,87.90307034478388,87.90307034478388,87.90307034478388,87.90307034478388,87.90307034478388,87.90307034478388,87.90307034478388,87.90307034478388,88.52497518017194,88.52497518017194,88.52497518017194,88.52497518017194,88.52497518017194,88.52497518017194,88.52497518017194,88.52497518017194,88.52497518017194,88.52497518017194,88.64497518017194,88.64497518017194,88.68307034478389,88.68307034478389,88.68307034478389,88.68307034478389,88.68307034478389,88.68307034478389,88.68307034478389
Trial_3,56.50776016497953,56.50776016497953,56.50776016497953,56.50776016497953,56.50776016497953,56.50776016497953,56.50776016497953,56.50776016497953,56.50776016497953,56.50776016497953,56.50776016497953,56.50776016497953,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.53328304939495,88.65328304939494,88.65328304939494,88.65328304939494,88.65328304939494,88.65328304939494,88.65328304939494,88.7315067883514,88.7315067883514,88.7315067883514,88.7315067883514,89.53829930534798,89.53829930534798,89.53829930534798,89.53829930534798,89.53829930534798,89.53829930534798,89.53829930534798,89.53829930534798,89.53829930534798,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,90.69179856794202,91.16877853727384,91.16877853727384,91.16877853727384,91.47209079819812,91.47209079819812,91.47209079819812,91.47209079819812,91.47209079819812
Trial_4,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,85.81440480288956,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.6589942592783,89.83899425927831,89.83899425927831
Trial_5,29.6738505268449,30.55326262833369,30.55326262833369,30.55326262833369,30.58389959779558,30.58389959779558,30.58389959779558,30.58389959779558,30.62936197187234,30.62936197187234,30.62936197187234,48.1335319430667,48.1335319430667,48.1335319430667,48.1335319430667,48.1335319430667,48.1335319430667,56.29926889045219,56.29926889045219,56.29926889045219,56.29926889045219,56.29926889045219,56.29926889045219,87.37726367605019,87.37726367605019,87.37726367605019,87.37726367605019,87.37726367605019,87.37726367605019,87.37726367605019,87.37726367605019,87.37726367605019,87.37726367605019,87.37726367605019,87.37726367605019,87.37726367605019,87.37726367605019,87.37726367605019,87.37726367605019,87.37726367605019,87.4219837955347,87.4219837955347,87.4219837955347,87.4219837955347,87.4219837955347,87.4219837955347,87.46327347582164,87.46327347582164,87.46327347582164,87.46327347582164,87.46327347582164,88.23102825700786,88.23102825700786,88.23102825700786,88.23102825700786,88.23102825700786,88.23102825700786,88.23102825700786,89.31102825700786,89.31102825700786,89.31102825700786,90.00543794147893,90.00543794147893,90.00543794147893,90.00543794147893,90.00543794147893,90.00543794147893,90.00543794147893,90.00543794147893,90.00543794147893,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.30915772258146,90.3194806403938,90.3194806403938,90.3194806403938,90.3194806403938,90.3194806403938,90.3194806403938
Trial_6,38.28098684561474,74.45465033966558,74.45465033966558,74.45465033966558,74.45465033966558,74.45465033966558,74.45465033966558,74.4808527120596,74.4808527120596,74.4808527120596,86.17012053692775,86.17012053692775,86.17012053692775,86.17012053692775,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,87.97306671553815,88.12027689271517,88.12027689271517,88.12027689271517,88.12027689271517,88.12027689271517,88.12027689271517,88.12027689271517,88.12027689271517,88.12027689271517,88.12027689271517,88.12027689271517,88.12027689271517,88.12027689271517,88.12027689271517,88.12027689271517,88.12027689271517,88.12027689271517,88.12027689271517,88.12027689271517,88.13353302986307,88.13353302986307,88.13353302986307,88.13353302986307,88.13353302986307,88.13353302986307,88.13353302986307,88.13353302986307,88.13353302986307,88.13353302986307,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988,88.83870395408988
Trial_7,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.00853545289202,57.023649090702065,57.023649090702065,57.023649090702065,57.023649090702065,57.023649090702065,57.023649090702065,57.023649090702065,57.023649090702065,57.023649090702065,57.023649090702065,57.023649090702065,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,78.34677961290973,87.35346860106051,87.35346860106051,87.35346860106051,87.35346860106051,87.35346860106051,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.6430436353844,88.9989942592783,88.9989942592783,88.9989942592783,88.9989942592783,88.9989942592783,88.9989942592783,88.9989942592783,88.9989942592783,88.9989942592783,88.9989942592783,88.9989942592783,88.9989942592783,89.4189942592783,89.4189942592783
Trial_8,30.62010264645954,30.62010264645954,30.62010264645954,30.62010264645954,30.62010264645954,38.05784329430053,38.05784329430053,39.216174817670264,39.216174817670264,39.216174817670264,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,83.94772962385828,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.00990276448613,89.54143496520867,89.54143496520867,89.54143496520867,89.54143496520867,89.54143496520867,89.54143496520867,89.54143496520867,89.54143496520867,89.54143496520867,89.54143496520867,89.54143496520867,89.54143496520867,89.54143496520867,89.54143496520867,89.72143496520866,89.72143496520866,89.72143496520866,89.72143496520866,89.72143496520866,89.72143496520866,89.72143496520866,89.72143496520866,89.90038509634583,89.90038509634583,89.90038509634583,89.90038509634583,89.90038509634583
Trial_9,30.61550493721091,30.61550493721091,30.638707834290575,30.638707834290575,30.638707834290575,30.638707834290575,56.34455964963235,56.34455964963235,56.34455964963235,56.34455964963235,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,69.40677961290973,87.8030436353844,87.8030436353844,87.8030436353844,88.2189942592783,88.2189942592783,88.2189942592783,88.2189942592783,88.2189942592783,88.2189942592783,88.2189942592783,88.2189942592783,89.04656208140226,89.04656208140226,89.4753854799374,89.4753854799374,89.4753854799374,89.4753854799374,89.4753854799374,89.4753854799374,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435,89.99671387764435
Trial_10,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,74.47790720182985,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,87.5397775308804,89.69230630065263,89.69230630065263,89.69230630065263,89.69230630065263,89.69230630065263,89.69230630065263,89.69230630065263,89.69230630065263,89.69230630065263,89.69230630065263,89.69230630065263,89.69230630065263,89.69230630065263,89.69230630065263,89.69230630065263,89.83806532284365,89.83806532284365,89.83806532284365,89.83806532284365,89.83806532284365,89.83806532284365,89.83806532284365,89.83806532284365,89.83806532284365,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742,90.6549489362742
