,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,30.807043149109788,39.758252984940356,39.758252984940356,39.758252984940356,39.758252984940356,39.758252984940356,39.758252984940356,66.1335319430667,66.1335319430667,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,66.14206684551654,87.99857429920938,87.99857429920938,87.99857429920938,87.99857429920938,87.99857429920938,87.99857429920938,87.99857429920938,87.99857429920938,87.99857429920938,87.99857429920938,87.99857429920938,89.73256827514918,89.73256827514918,89.73256827514918,91.43069565974172,91.43069565974172,91.43069565974172,91.43069565974172,91.43069565974172,91.43069565974172,91.43069565974172,91.43069565974172,91.43069565974172,91.43069565974172,91.43069565974172,91.89849810549329,91.89849810549329,91.89849810549329,91.89849810549329,92.10180624726698,92.50340522647903,92.50340522647903,92.50340522647903,92.50340522647903,92.50340522647903,93.12791625749338,93.12791625749338,93.12791625749338,93.12791625749338,93.12791625749338,93.12791625749338,93.12791625749338,93.12791625749338,93.29436090514,93.30791625749337,93.30791625749337,93.30791625749337,93.30791625749337,93.30791625749337,93.30791625749337,93.30791625749337,93.30791625749337,93.30791625749337,93.31289139213348,93.31289139213348,93.31289139213348,93.31289139213348,93.31289139213348,93.31289139213348,93.31289139213348,93.31289139213348,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979,93.31914532120979
Trial_2,39.32667673282851,48.657665748035186,48.657665748035186,48.657665748035186,48.657665748035186,48.657665748035186,66.11389596854984,66.12506926914797,66.12506926914797,66.12506926914797,66.12506926914797,66.12506926914797,66.12506926914797,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,75.36164533066625,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,86.99060701409176,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,87.76788221052462,88.35288973525115,88.35288973525115,88.35288973525115,88.35288973525115,88.35288973525115
Trial_3,30.575049982518596,66.17695410451698,66.17695410451698,66.17695410451698,66.17695410451698,66.17695410451698,66.17695410451698,66.17695410451698,66.17695410451698,66.17695410451698,66.17695410451698,66.17695410451698,66.17695410451698,66.54041448585585,66.54041448585585,66.54041448585585,84.38322890233343,84.38322890233343,87.75282822853991,87.75282822853991,87.75282822853991,87.93282822853992,87.93282822853992,87.93282822853992,87.93282822853992,87.93282822853992,87.93282822853992,87.93282822853992,87.93282822853992,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.13679627126204,89.19679627126204,89.19679627126204,89.19679627126204,89.19679627126204,89.19679627126204,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104,89.86506424239104
Trial_4,39.409013019489144,57.482547103535296,57.482547103535296,57.482547103535296,57.482547103535296,57.482547103535296,57.482547103535296,66.40901301948914,66.40901301948914,66.40901301948914,66.40901301948914,66.40901301948914,66.40901301948914,66.40901301948914,66.40901301948914,66.40901301948914,66.40901301948914,66.40901301948914,66.40901301948914,66.50693855665945,66.50693855665945,66.50693855665945,66.50693855665945,66.50693855665945,75.3978811791203,75.3978811791203,75.3978811791203,75.3978811791203,75.3978811791203,75.3978811791203,75.3978811791203,75.3978811791203,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.07289246928255,86.55289246928255,86.55289246928255,86.55289246928255,86.55289246928255,86.55289246928255,89.48814186652396,89.48814186652396,89.48814186652396,89.48814186652396,89.48814186652396,89.48814186652396,89.48814186652396,89.48814186652396,89.48814186652396,89.48814186652396,89.48814186652396,89.48814186652396,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872,90.28246192029872
Trial_5,13.179718434394964,30.937404966973034,48.652892469282534,48.652892469282534,48.652892469282534,48.652892469282534,48.652892469282534,57.62472159231584,57.62472159231584,57.62472159231584,57.62472159231584,57.62472159231584,57.62472159231584,57.768891383145416,85.35616819497442,85.35616819497442,85.35616819497442,85.35616819497442,85.35616819497442,85.35616819497442,85.35616819497442,85.35616819497442,85.35616819497442,85.35616819497442,85.35616819497442,85.47679627126203,85.47679627126203,85.47679627126203,85.47679627126203,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,86.03165549623893,88.83616819497442,88.83616819497442,88.83616819497442,88.83616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442,88.89616819497442
Trial_6,39.696695091940924,57.55326262833369,57.55326262833369,57.55326262833369,57.55326262833369,57.55326262833369,57.55326262833369,57.55326262833369,57.63870783429057,57.63870783429057,57.63870783429057,57.63870783429057,57.63870783429057,75.55326262833368,75.55326262833368,75.55326262833368,75.55326262833368,75.55326262833368,75.55326262833368,75.55326262833368,75.55326262833368,85.05616819497442,85.05616819497442,85.05616819497442,85.05616819497442,85.05616819497442,85.05616819497442,85.05616819497442,85.05616819497442,85.05616819497442,85.05616819497442,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,86.19616819497442,86.19616819497442,86.19616819497442,86.19616819497442,86.19616819497442,86.19616819497442,86.19616819497442,86.19616819497442,86.19616819497442,86.37616819497441,86.37616819497441,86.43616819497441,86.43616819497441,86.43616819497441,86.43616819497441,86.43616819497441,86.43616819497441,86.43616819497441,86.43616819497441,86.49616819497442,86.49616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442,86.61616819497442
Trial_7,30.527729326328526,30.527729326328526,75.55326262833368,75.55326262833368,75.55326262833368,75.55326262833368,75.55326262833368,75.55326262833368,75.55326262833368,75.55326262833368,75.55326262833368,75.55326262833368,75.55326262833368,75.55326262833368,75.55326262833368,75.5619206910768,75.5619206910768,75.5619206910768,75.5619206910768,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,87.93853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.05853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778
Trial_8,57.53193985886487,57.53193985886487,57.53193985886487,57.53193985886487,57.53193985886487,57.53193985886487,57.53193985886487,75.51936107665802,84.43357331188759,84.43357331188759,84.43357331188759,85.71616819497441,85.71616819497441,85.71616819497441,85.71616819497441,85.71616819497441,85.71616819497441,85.71616819497441,85.71616819497441,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.75282822853991,87.75282822853991,87.75282822853991,87.75282822853991,87.75282822853991,87.81282822853991,87.81282822853991,87.81282822853991,87.81282822853991,87.81282822853991,87.81282822853991,87.81282822853991,87.81282822853991,87.81282822853991,87.81282822853991,87.81282822853991,87.81282822853991,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.40814186652396,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204,88.41679627126204
Trial_9,30.213102618633293,66.2634277025208,66.2634277025208,66.2634277025208,66.2634277025208,66.2634277025208,66.2634277025208,66.2634277025208,66.2634277025208,66.2634277025208,66.2634277025208,66.2634277025208,75.15356122494228,75.15356122494228,75.15356122494228,75.15356122494228,75.15356122494228,75.27641489804762,75.27641489804762,75.27641489804762,75.27641489804762,86.04322890233345,86.04322890233345,86.04322890233345,86.04322890233345,86.04322890233345,86.04322890233345,86.04322890233345,86.04322890233345,86.04322890233345,86.04322890233345,86.04322890233345,86.04322890233345,86.87165549623893,86.87165549623893,86.87165549623893,87.27616819497442,87.27616819497442,87.27616819497442,87.27616819497442,87.27616819497442,87.27616819497442,87.27616819497442,87.27616819497442,87.27616819497442,87.27616819497442,87.27616819497442,87.27616819497442,87.27616819497442,88.11282822853991,88.11282822853991,88.11282822853991,88.11282822853991,88.11282822853991,88.11282822853991,88.11282822853991,88.11282822853991,88.11282822853991,88.11282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991,88.59282822853991
Trial_10,39.691732302598794,39.691732302598794,39.691732302598794,66.51520306650934,66.51520306650934,66.51520306650934,66.51520306650934,66.51520306650934,66.51520306650934,66.51520306650934,66.51520306650934,66.51520306650934,66.51520306650934,66.51520306650934,66.51520306650934,66.62010264645954,66.62010264645954,75.5575822894782,75.5575822894782,75.5575822894782,75.5575822894782,75.5575822894782,75.5575822894782,75.5575822894782,75.5575822894782,75.5619206910768,75.5619206910768,75.5619206910768,85.96254710353531,85.96254710353531,85.96254710353531,85.96254710353531,85.96254710353531,86.67289246928256,86.67289246928256,86.67289246928256,86.67289246928256,86.67289246928256,86.67289246928256,86.67289246928256,86.67289246928256,86.67289246928256,86.94322890233346,86.94322890233346,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.89679627126205,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256,88.95289246928256
