,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,-0.49590816862142867,5.22156362061237,13.216290005807753,23.486260566741777,34.784638320487744,43.681733294794114,51.51755722565876,57.026001549360174,59.42579974093941,61.10858958235157,62.424291440015665,64.37438384301394,66.14907552317891,68.05348291290225,69.7366405889546,72.02550440000789,73.60284649561369,74.35537437984664,75.21544663132765,75.58350402696468,75.61337978031091,75.64764889011329,75.67554873271753,75.70950197753827,75.72643947551947,75.79685850311,75.81825188722968,75.90742664565535,75.90742664565535,75.90742664565535,75.9764227763532,75.9764227763532,75.97642277635322,75.9764227763532,75.97642277635322,75.97642277635322,76.09484584962941,76.09484584962941,76.09484584962941,76.13781722780146,76.13781722780146,76.20397730761344,76.40280035391807,76.40280035391807,76.54883966218468,76.62534470635408,76.81571360219104,76.87534382675125,76.87534382675125,76.97802348636205,77.19205528090205,77.19205528090205,77.23835841338423,77.30935454408208,77.30935454408208,77.36503807299503,77.48822664607738,77.65576084389517,77.74667309530032,77.81466922599817,78.11157301235212,78.23084752300635,78.50221153148507,78.67866024657697,78.79570031229551,79.14898504435854,79.39436925070316,79.64997044448015,79.81729830803387,79.99092460795116,80.31444620865544,80.59583022872594,80.64366761593223,80.84085231971243,80.90424164612527,80.98653160336926,81.24386666021199,81.5328647300222,81.91730171659634,82.11516169896173,82.158201309134,82.42852178113691,82.79243070729477,82.91918592380364,83.04289349868195,83.1888486770894,83.60433110175767,83.66369116789949,84.17892399868975,84.28076075865587,84.43409191855372,84.57691343165017,84.79302868986957,85.05373494471652,85.31481729248418,85.41089014780995,85.52708468496422,85.57808081566208,85.78444971149904,85.94848260589198,86.19436316850701
Trial_2,-2.2238185987453534,0.8233483316222763,6.217503041940412,15.142920762386447,25.13331533047179,35.36050510317853,44.522849457284245,52.29262746022517,57.764145760546526,57.89752134665764,58.16717222697676,58.37387794762652,58.86815533542739,59.526766960832425,60.437963555241495,61.25187696378631,62.43352749480051,63.61347607644467,64.7809648016754,66.63397055731384,68.39284593255758,69.62986580762535,71.22246261534656,72.51031260322914,73.93336803261924,75.44692120889863,75.47573066652981,75.49127197690693,75.51354398557427,75.52105613161058,75.59450853890363,75.61650516264112,75.63899775579,75.71125408451464,75.72711500663598,75.80007144451763,75.81306801398463,75.880912524144,75.98806232196202,75.98806232196202,76.18134907234578,76.23083766798642,76.37705273077424,76.37705273077424,76.42512441837017,76.42512441837017,76.47319610596612,76.66748285634988,76.76362623154176,77.00398466952147,77.14819973230928,77.38855817028899,77.53277323307681,77.7751316710565,78.0154901090362,78.11263348422808,78.21077685941997,78.40306360980372,78.69149373537937,78.78863711057126,79.03099554855095,79.46864073691441,79.71141608293881,79.75948777053475,79.9527745209185,80.14606127130226,80.43590830492262,80.67926674290231,80.77641011809419,81.1634005269064,81.30861558969421,81.50190234007798,81.69418909046173,81.79133246565362,81.98561921603738,82.03369090363333,82.08176259122928,82.17890596642114,82.22797765401707,82.3731927168049,82.56689637523334,82.80825481321304,83.04961325119275,83.24290000157652,83.3410433767684,83.48625843955621,83.48625843955621,83.63247350234404,83.8267602527278,84.02104700311156,84.21433375349532,84.26240544109125,84.50376387907096,84.59990725426283,84.93882597547912,85.034969350671,85.13111272586288,85.27625935789372,85.27784244984903,85.27784244984903,85.27884244984904
Trial_3,-0.13101061639550146,6.337227118657188,15.442230997927243,25.10083731417094,36.28029898995132,45.11884401105875,52.67618888415307,57.54350188736973,58.5878110102826,59.117108119182994,59.76406903886053,60.39723475056158,61.0452822655752,61.94805211774204,62.62298796698362,63.42022574148067,64.25663021654105,64.89740223362129,65.58046914930088,66.26788961819253,66.27392814180867,66.27651406178774,66.27666120263899,66.27675924255442,66.2769412943729,66.27694129437289,66.27703965538109,66.27710522938655,66.27720359039473,66.27728563887969,66.27738399988787,66.27741678689061,66.27744957389334,66.27969173825508,66.27988846027148,66.28163511406588,66.28330522667174,66.2833708006772,66.28519528682405,66.28700313402044,66.33554483018168,66.34110386389386,66.35201133778067,66.35432275949785,66.36113214898896,66.41614630520958,66.52392163779936,66.6308651559684,66.78715337080335,66.89835268908446,67.05293214317344,67.20856550862094,67.40755534169027,67.55833109342079,67.67726296770974,67.8810859684429,67.89471344088398,68.05653186206725,68.39457549633944,68.5123908298728,68.66389605571798,68.95419504802865,69.00617583690962,69.06981541719777,69.1164891687699,69.39139446719328,69.7582575119077,69.89652919306225,70.03372710647872,70.08277966975021,70.45199002638554,70.72794351965985,70.77689177838647,71.18887058817056,71.27862808048971,71.59486779987941,72.01308047927957,72.33516474573393,72.42526626944857,72.78565461246069,73.1576177503367,73.2476177503367,73.56604134237027,73.65647748573005,73.97303515217142,74.30102223637789,74.66413756926062,74.89014575734787,75.20397316044118,75.5212128798309,75.97067467721396,76.21950511124086,76.57922238818253,76.71455886823851,77.1220270054317,77.39761057187299,77.85642137441661,78.17097324615115,78.71183913065914,78.78863140039967,78.8217288416411
Trial_4,-1.4622704695401956,3.8264974630895936,10.812298472538606,21.990948442371636,33.656755009883064,43.9048954132256,50.76878361102829,57.3368217915158,58.66703468410472,59.28839781041377,59.765708528024206,60.62132631955474,61.83814187985095,63.163317994136996,64.41242905590188,66.07984576768423,67.43787266513864,68.79806715010196,69.29660665621151,69.70268146633707,70.01998280201337,70.42589960713708,70.74266814356483,71.10528857357893,71.5585166327867,71.82543855233047,72.18054320719457,72.6694467004173,73.20342805223697,73.47106247038496,73.82587833030897,74.0035983659761,74.44602440774314,74.57381230116638,74.99050165634453,75.07440118266602,75.07556842823779,75.0760866442899,75.07668656157647,75.07693934893808,75.07796513648789,75.07861754733332,75.07908326982655,75.07953538686922,75.08005656381751,75.08053788853577,75.08087237713187,75.08108746405728,75.08146299255546,75.08258101438561,75.08355220009358,75.08514647746286,75.08514647746286,75.0862781047436,75.0862781047436,75.08888945335171,75.09128086940562,75.09242610213693,75.150839827459,75.15286402524207,75.15502725274956,75.15570983539232,75.15570983539232,75.15668102110028,75.15774763862595,75.15881425615162,75.15978544185958,75.16244633675453,75.16278082535062,75.16278082535062,75.16384744287629,75.16402148989962,75.16739538949996,75.16739538949996,75.16755583107272,75.16835296975735,75.17283452678542,75.17384675239549,75.17507381149392,75.17587095017855,75.17693756770421,75.17800418522988,75.18013742028121,75.18173169765049,75.18386493270182,75.18386493270182,75.18621325467859,75.18638730170191,75.18681747555276,75.18895071060408,75.19294770186572,75.19508093691705,75.19614755444272,75.19828078949405,75.19934740701973,75.20148064207106,75.2036138771224,75.20788034722506,75.20827727237132,75.21014102858163,75.27047290202961
Trial_5,-0.7145590587446621,4.221032089281752,11.615171566406659,21.846929416215982,32.68543869140985,42.31062403998214,49.74074733776661,54.62435980320483,58.093181481447225,59.07317769989771,59.31786992245156,59.89186377330033,60.50887159347625,60.95099735200947,61.39645667448298,61.64861272827815,62.07303065517162,62.65057158442105,62.956237035575924,63.32913674180314,64.0626221262619,64.78093576896495,65.05340684861386,65.36582224458773,65.99494015590322,66.35629160755192,66.89764305920063,67.21008367069204,67.84278657398943,68.65278657398943,69.19413802563814,69.51048947728684,69.87048947728685,70.63681468215611,71.44949133867406,72.03584279032277,72.68184934965427,72.92442235919103,73.07788582075946,73.37033837134352,73.74622946147551,74.12993941704848,74.55555081996796,74.87017887156742,75.18793426842367,75.45793426842368,76.04698862336978,76.36334007501847,76.54469152666718,76.63469152666717,76.90604297831587,77.22239442996457,77.58077351155568,77.89479141953763,78.12114287118632,78.52884577448371,79.07154867778112,79.43043628522973,79.7930608579434,80.06441230959211,80.06441230959211,80.4721152128895,80.7434666645382,80.7600297529436,81.04607293973,81.14265908155393,81.32541447841021,81.5994688333563,81.7821717366537,81.87352318830239,81.87352318830239,81.96487463995109,82.05622609159978,82.05622609159978,82.3302804465459,82.42163189819459,82.5129833498433,82.69568625314068,82.78703770478938,83.06109205973549,83.15244351138419,83.24379496303288,83.33514641468159,83.42649786633028,83.42649786633028,83.70055222127638,83.79190367292507,83.88325512457376,83.88325512457376,83.97460657622247,83.97460657622247,84.06595802787119,84.06595802787119,84.06595802787119,84.24866093116857,84.43136383446597,84.43136383446597,84.61406673776337,84.79676964106076,84.88812109270947,84.97947254435817
Trial_6,-2.005297770122165,2.9542823365055955,10.086554254435912,19.29019954806759,29.11678286962062,41.39799111404483,51.204611264636924,58.82781782520913,62.21067255886714,62.979676813662635,63.838178705747566,65.72892644463128,67.43196140331199,69.24765618078919,70.3276561807892,71.4076561807892,72.4876561807892,73.2976561807892,74.59841374592347,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.16226955283405,75.22490606998299,75.22490606998299,75.35119568804403,75.35119568804403,75.35119568804404,75.41383220519299,75.45883220519299,75.69802669129673,75.9309362427436,76.36109003158359,76.88752762728016,77.4703179332691,77.94242197081971,78.31824107371344,78.93630441400029,79.54544161907717,80.10431047326028,80.84663143951236,81.49124342957583,82.17355390121928,82.84695224023508,83.78023020599271,84.34558457009094,85.0919695681648,85.72545082599626,86.28291081666042,86.92935422356148
Trial_7,-0.8750730851763896,2.7897140050516356,8.581736639117663,17.04434151514983,26.35368105217656,36.87284795847584,45.34465906623216,51.83585288487467,57.7822469126225,58.796303170926166,59.42195559530196,59.89565384450589,60.21545594802952,60.485560118464036,60.93205506387894,61.15355000929383,61.423550009293834,62.096396406357435,62.63022275455418,62.75514739411301,63.06368880765287,63.545508446684416,64.03783984946625,64.47313900434007,64.90995339748056,65.83344185703,66.66113884509844,67.45174399112149,68.20210962484953,68.8913010306856,69.3320373007702,69.52510333249796,69.77690071138771,70.01780534913857,70.29910212059622,70.36050738679937,70.49261073835926,70.76100865813294,70.89600865813294,71.02750360354783,71.16250360354783,71.29750360354782,71.38750360354783,71.56885505519652,71.84155795849394,71.88325266416388,71.92825266416388,72.2459555674613,72.33595556746128,72.56230701910998,72.78865847075868,72.96786127375684,73.05786127375684,73.19286127375685,73.46286127375684,73.50786127375684,73.91691562870294,74.14181145826844,74.14181145826844,74.18681145826842,74.54951436156583,74.91221726486322,75.13856871651193,75.27356871651193,75.49992016816063,75.67992016816062,75.76992016816062,76.08627161980932,76.26627161980932,76.81913496467948,76.99913496467948,77.27048641632818,77.58683786797687,77.94818931962557,78.21818931962557,78.53939727750807,78.73261534456078,78.73261534456078,78.73962545373098,78.74313050831609,78.75014061748628,78.94675956868957,79.04858696838497,79.06604688179611,79.06604688179611,79.16419561045709,79.19063796509744,79.38632618145157,79.4010938408267,79.69525304958427,79.69770079071085,79.79140923187911,79.79140923187911,79.97411213517651,79.97411213517651,79.97411213517651,80.15681503847391,80.24816649012263,80.33951794177132,80.52222084506872,80.52222084506872
Trial_8,0.8329206435785426,6.607141838520513,15.410752100311813,27.59231520369922,38.84086903227159,50.059276361433106,57.71340666206593,60.563632627491,62.36090813263929,64.43269586458831,67.34003520393264,69.9096510256863,72.9658560409633,76.16237276992409,78.8204496807025,80.50876086811044,82.62326788280268,84.67248230883149,86.06042996716947,87.32416144124784,88.47993834676701,89.71538015686453,90.33493155242293,90.58977896975921,90.92968012058935,91.2295894666422,91.37895477889215,91.56977429931987,91.7013842550995,91.9831871381616,92.04864708927411,92.26835801760105,92.42441428677935,92.46857257492255,92.62502903800319,92.7217770665896,92.76319266669333,92.88924846712266,92.95825177580136,92.98734388649311,93.0642208672954,93.12946125671655,93.19338336623008,93.28700202983723,93.30846149762932,93.35414651471638,93.35494460302914,93.44627499956881,93.52328656473115,93.58012939387444,93.60878837772954,93.63959676385491,93.66006296914776,93.69726644371978,93.72961632406796,93.74611607008462,93.75189938733791,93.7731489893222,93.80434907816738,93.8274849990193,93.85347027146815,93.86573057904953,93.87259805138878,93.87776930496115,93.88292738329534,93.89205023724597,93.90034696839048,93.90992548412214,93.91404659040627,93.92530353052561,93.9348019401218,93.93878716906231,93.94833177800957,93.95427609381817,93.96069051054033,93.96634803802175,93.96634803802175,93.96634803802175,93.97302111076024,93.9793617156933,93.98474499447516,93.98714622707695,93.99310195740682,93.99310195740682,93.996294497527,93.99962201709053,93.99972489444684,94.00031591227999,94.00036013844178,94.00037486599292,94.00192036537914,94.00239373581422,94.00286710624931,94.00334043317605,94.0033699317867,94.00444365655912,94.00491702699419,94.00533465203922,94.00832887996609,94.00878756635836,94.0092331121386
Trial_9,-1.9232567301255596,2.9200189052012,10.700246140003914,21.226759017071405,31.213424579236992,42.94184165161813,52.61215189254703,58.71650240941972,60.16564905605056,61.21806902067004,62.45049994510364,63.494683643071745,64.76567334202483,65.7091807181286,66.22875087972321,66.23895657113901,66.24966222692854,66.25923286735404,66.26822296083343,66.28194031196912,66.29734971108464,66.31052332062556,66.3278146639612,66.339106329282,66.35227993882295,66.36239735063249,66.37968869396813,66.39698003730376,66.40450781418431,66.40674360375888,66.41838911443412,66.42815268088921,66.44132629043015,66.45332564645983,66.46461731178064,66.48602638891099,66.49731805423178,66.51801944065325,66.5307250050898,66.53765714612315,66.54682573931731,66.56057862910853,66.56363482683993,66.57280342003408,66.58197201322824,66.59114060642239,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224,66.60183729848224
Trial_10,-1.7173271987367076,3.7827970364462487,11.064895463333025,21.412945572865425,32.83741497391823,43.78492698940097,51.18600037916078,57.568393067900445,58.24145845937616,58.712656421879366,59.046069626190366,59.48314783698392,60.03493571770459,60.43027203908869,61.04364247172871,61.53563617271809,62.27587175026032,63.10153408386461,64.24959954074791,64.83535647044741,65.46710162378757,66.14363761957549,67.36401717939086,68.35669383590883,68.76169383590883,69.39304528755753,70.02296654721923,70.65426550530907,71.6482673666963,72.25841655684631,72.52181247122166,72.90811738273985,73.3874020729125,73.73328884331147,73.97736148621033,74.30677514064357,74.57831031974827,74.80331031974828,74.93828407296884,75.20963552461754,75.38963552461755,75.75233842791495,76.06868987956365,76.20368987956364,76.79139278286104,77.15409568615843,77.69812379432511,77.96947524597381,78.24082669762251,78.9648810525686,79.0098810525686,79.3262325042173,79.6439354075147,79.8252868591634,80.1879897624608,80.5056926657582,80.86863097338727,80.8686572201667,81.0513601234641,81.06005646742999,81.24275937072738,81.43815861799068,81.71221297293677,82.07761877953159,82.35167313447768,82.44302458612637,82.62572748942377,82.71707894107247,82.99113329601856,83.08248474766728,83.18853254328187,83.37123544657925,83.37123544657925,83.73664125317404,84.01069560812014,84.10204705976885,84.10204705976885,84.28474996306625,84.46745286636366,84.46745286636364,84.46745286636366,84.55880431801235,84.55880431801235,84.65015576966105,84.83285867295845,84.92421012460714,84.92421012460714,85.01556157625583,85.10691302790455,85.28961593120194,85.38096738285066,85.38096738285066,85.65502173779674,85.74637318944544,85.75506953341133,85.93777243670873,86.12047534000612,86.21182679165481,86.39452969495224,86.48588114660093,86.66858404989833
