,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,30.807043149109788,66.12788221052459,66.12788221052459,66.12788221052459,66.12788221052459,66.1363688244019,66.1363688244019,66.19486503108351,66.19486503108351,66.19486503108351,66.19486503108351,66.19486503108351,66.19486503108351,66.19486503108351,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.19788162462294,66.20090734553948,66.20090734553948,66.20090734553948,66.20090734553948,66.20090734553948,66.20090734553948,66.20090734553948,66.20090734553948,66.20090734553948,66.20090734553948,66.20090734553948,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858,66.47057091248858
Trial_2,48.22544845445559,85.2971725988384,85.2971725988384,85.2971725988384,85.2971725988384,85.2971725988384,85.2971725988384,85.42128546567004,85.42128546567004,85.42128546567004,85.42128546567004,87.74130478097955,87.74130478097955,87.78985754988489,87.78985754988489,87.78985754988489,87.78985754988489,87.78985754988489,88.4589942592783,88.4589942592783,88.4589942592783,88.4589942592783,88.4589942592783,88.4589942592783,88.53942485016034,88.53942485016034,88.53942485016034,88.53942485016034,88.53942485016034,88.53942485016034,88.74668156671966,88.9298575498849,88.9298575498849,89.55838452352245,89.55838452352245,89.55838452352245,89.55838452352245,89.55838452352245,89.55838452352245,89.55838452352245,89.55838452352245,89.55838452352245,89.55838452352245,89.55838452352245,89.55838452352245,89.55838452352245,89.55838452352245,89.55838452352245,89.55838452352245,89.55838452352245,90.1584228707236,90.1584228707236,90.1584228707236,90.1584228707236,90.1584228707236,90.1584228707236,90.1584228707236,90.1584228707236,90.1584228707236,90.1584228707236,90.1584228707236,90.1584228707236,90.1584228707236,90.1584228707236,90.1584228707236,90.1584228707236,90.1584228707236,90.1584228707236,90.42974165947687,90.42974165947687,90.42974165947687,90.42974165947687,90.42974165947687,90.42974165947687,90.42974165947687,90.42974165947687,90.42974165947687,90.42974165947687,90.42974165947687,90.42974165947687,90.42974165947687,90.42974165947687,90.42974165947687,90.42974165947687,90.42974165947687,90.42974165947687,90.79111060585316,90.79111060585316,90.79111060585316,90.79111060585316,90.79111060585316,90.79111060585316,90.79111060585316,90.79111060585316,90.79111060585316,90.79111060585316,90.79111060585316,90.79111060585316,90.79111060585316,90.79111060585316,90.79111060585316
Trial_3,30.64341372532799,30.64341372532799,30.64341372532799,30.64341372532799,30.758252984940356,48.19486503108351,48.19486503108351,48.282972298593776,66.52772932632853,66.52772932632853,74.42353043095177,86.19853908213778,86.19853908213778,86.19853908213778,86.19853908213778,86.19853908213778,87.2128282285399,87.2128282285399,87.51282822853992,87.51282822853992,87.51282822853992,87.51282822853992,87.51282822853992,87.51282822853992,87.51282822853992,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.69282822853991,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,87.87289246928256,88.11289246928256,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205,89.25679627126205
Trial_4,48.31302464366018,48.31302464366018,48.31302464366018,57.5028317747068,66.37237888630936,75.40901301948914,75.40901301948914,75.40901301948914,75.40901301948914,75.40901301948914,84.13736666659865,84.13736666659865,84.13736666659865,84.13736666659865,85.16811752271651,85.16811752271651,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.82322890233345,86.88322890233346,86.88322890233346,86.88322890233346,86.88322890233346,86.88322890233346,86.94322890233346,86.94322890233346,86.94322890233346,87.00322890233345,87.00322890233345,87.06322890233345,87.06322890233345,87.06322890233345,87.06322890233345,87.06322890233345,87.06322890233345,87.06322890233345,87.06322890233345,87.06322890233345,87.06322890233345,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.63853908213778,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779,87.81853908213779
Trial_5,48.823850267426174,57.45482255552044,57.45482255552044,84.60322890233346,84.60322890233346,84.60322890233346,86.57165549623893,86.57165549623893,86.57165549623893,86.64322890233345,88.43165549623893,88.43165549623893,88.43165549623893,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.71853908213778,88.83853908213779,88.83853908213779,88.83853908213779,88.83853908213779,88.83853908213779,88.83853908213779,88.83853908213779,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204,90.57679627126204
Trial_6,48.657665748035186,64.89012053692772,64.89012053692772,64.89012053692772,65.54795104556277,65.54795104556277,86.93959913428289,86.93959913428289,86.93959913428289,86.93959913428289,86.93959913428289,86.93959913428289,88.83853908213779,88.83853908213779,88.83853908213779,88.83853908213779,88.83853908213779,88.83853908213779,88.83853908213779,88.83853908213779,88.83853908213779,88.83853908213779,88.83853908213779,88.91165549623894,88.91165549623894,88.91165549623894,88.91165549623894,88.91165549623894,88.91165549623894,88.91165549623894,88.91165549623894,88.91165549623894,88.91165549623894,88.91165549623894,88.91165549623894,88.91165549623894,88.91165549623894,88.91165549623894,88.91165549623894,88.91165549623894,89.19282822853991,89.19282822853991,89.19282822853991,89.19282822853991,89.19282822853991,89.19282822853991,89.19282822853991,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.55282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,89.91282822853992,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204,90.93679627126204
Trial_7,29.943215986771374,29.943215986771374,29.943215986771374,29.943215986771374,56.9862848439572,56.9862848439572,56.9862848439572,57.165189262937396,57.165189262937396,57.165189262937396,57.165189262937396,57.3029065134946,57.3029065134946,74.52302763711032,74.52302763711032,83.68000507185288,84.03837773219351,84.03837773219351,84.03837773219351,84.03837773219351,84.03837773219351,84.03837773219351,84.03837773219351,84.03837773219351,84.03837773219351,84.03837773219351,84.03837773219351,84.03837773219351,84.03837773219351,84.03837773219351,84.36140506546481,84.36140506546481,84.36140506546481,84.36140506546481,84.36140506546481,84.36140506546481,84.36140506546481,84.36140506546481,84.36140506546481,84.36140506546481,84.36140506546481,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,85.62192571783379,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583,86.49313081588583
Trial_8,38.57675303646648,38.57675303646648,38.57675303646648,48.41275134159975,48.424050896853686,48.424050896853686,48.424050896853686,48.424050896853686,48.50693855665945,57.19788162462294,57.19788162462294,57.19788162462294,57.256996812190515,57.26020708782077,57.26665872310225,57.26665872310225,57.26665872310225,57.269900217026425,57.269900217026425,57.269900217026425,57.269900217026425,57.269900217026425,57.286267194490634,57.286267194490634,66.13070308686622,66.13070308686622,66.13070308686622,66.13070308686622,66.13070308686622,75.15067522005315,75.1593583426266,75.1593583426266,75.1593583426266,75.1593583426266,75.1593583426266,75.1593583426266,75.1593583426266,75.1593583426266,75.1593583426266,75.1593583426266,84.31003982910276,84.31003982910276,84.31003982910276,84.31003982910276,84.31003982910276,84.31003982910276,84.58742736117438,84.58742736117438,84.85703951986407,84.85703951986407,84.85703951986407,84.85703951986407,84.85703951986407,84.85703951986407,84.85703951986407,84.85703951986407,84.85703951986407,84.85703951986407,84.85703951986407,84.85703951986407,85.99703951986407,85.99703951986407,86.51165549623893,86.51165549623893,86.51165549623893,86.51165549623893,87.52784596782226,87.52784596782226,87.52784596782226,87.52784596782226,87.52784596782226,87.52784596782226,87.52784596782226,87.52784596782226,87.52784596782226,87.52784596782226,87.52784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226,87.94784596782226
Trial_9,48.38322890233343,48.38322890233343,66.36878821817864,66.60637245364764,66.60637245364764,66.60637245364764,75.43931836898447,85.12784596782225,85.12784596782225,85.12784596782225,85.12784596782225,85.12784596782225,85.12784596782225,85.12784596782225,85.12784596782225,85.12784596782225,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,85.95616819497441,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.76784596782227,87.88784596782226,87.88784596782226,87.88784596782226,87.88784596782226,87.88784596782226,87.88784596782226,87.88784596782226,87.88784596782226,87.88784596782226,87.88784596782226,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532,88.00254710353532
Trial_10,39.51520306650934,39.51520306650934,39.51520306650934,39.51520306650934,39.51520306650934,66.13921377653413,66.13921377653413,66.13921377653413,66.13921377653413,66.14492807779757,66.19185751001956,66.19486503108351,66.19486503108351,66.19486503108351,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,86.23703951986407,87.93616819497443,87.93616819497443,87.93616819497443,87.93616819497443,87.93616819497443,87.93616819497443,87.93616819497443,87.93616819497443,87.93616819497443,87.93616819497443,87.93616819497443,87.93616819497443,87.93616819497443,87.93616819497443,87.93616819497443
