,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66,Generation_67,Generation_68,Generation_69,Generation_70,Generation_71,Generation_72,Generation_73,Generation_74,Generation_75,Generation_76,Generation_77,Generation_78,Generation_79,Generation_80,Generation_81,Generation_82,Generation_83,Generation_84,Generation_85,Generation_86,Generation_87,Generation_88,Generation_89,Generation_90,Generation_91,Generation_92,Generation_93,Generation_94,Generation_95,Generation_96,Generation_97,Generation_98,Generation_99,Generation_100,Generation_101
Trial_1,-2.4144222652371097,-1.1335997556010844,0.2205330441148349,1.878125821400194,3.6478475343699612,6.112833239625231,10.639644602421631,12.637393105061593,14.015125383041154,14.641656111420478,15.476804413468388,18.907084696844002,19.945201427187055,20.91123410694422,21.669685190511373,22.55411129509382,25.599673293265806,26.657460714935805,27.812215601455556,28.519753133283697,30.059794935023277,34.671906055678384,35.90959574711533,36.53017465591758,37.50963772324756,37.82531677605214,41.27611804948343,41.59261580783374,42.57726172474508,43.468383723439636,44.403710009572954,48.62196640028347,49.73796976390096,50.44713258147054,51.39170728803492,52.4113207710737,55.96138275542489,56.7144927747379,57.598547835920236,58.30746528228876,59.32742213943193,62.29945486494053,63.18930600911715,63.94511318725716,64.53793766804375,65.07054278289645,66.25090393413555,66.51549369749098,66.8776942352697,66.97553648876378,67.25340424918771,68.10524925517541,68.57717800094983,68.76492061691357,69.24577358730579,69.57298163465865,71.49838802196997,72.05233343644848,72.48847110959167,73.11216915826398,73.6404916884586,75.81994989647995,76.88311204909854,77.3131295748484,77.85623680560083,78.5861356362319,80.32005283844477,80.6575232645768,81.10911830137731,81.27197613584212,81.80473431851742,83.78385733230242,84.13372849729105,84.5861806258225,84.82280291752282,85.13992461302274,85.89451386368759,85.9008773331006,86.01977608039371,86.08773805593923,86.0981588048623,86.24896527334904,86.28307350844153,86.29126578518779,86.30392963205784,86.33259172877723,86.57046810348446,86.57196810348447,86.59224400543519,86.61165979316851,86.62962171927497,86.86070488894785,86.86220488894786,86.88606698566724,86.89436715628017,86.92943714686618,87.22213729856288,87.23924536304247,87.24685325690912,87.24745325690913,87.24955325690912
Trial_2,-3.858996616933305,-3.140306120864618,-2.526954091856669,-1.2146201146063549,0.2395490217828811,1.6147077235709602,4.99922217466274,6.952067153726642,9.105529112513116,11.198731446012907,12.817747574591936,15.190606132139747,15.991319644690416,17.053163581717648,17.84618885288317,18.91055987327952,22.97006068972085,23.89163112207694,24.542623604725783,25.370288278461402,26.695092557677476,29.361757991521028,30.386722709377942,30.964886253160113,31.449460371537224,31.75715771446945,33.545826230984964,33.9560497010849,34.44091110454893,34.664340403543804,34.978597582813826,37.48103240012078,37.92755256989721,38.23993651994443,38.37512828666324,38.50730789356457,41.17282625068501,41.349725673623595,41.52458511536077,41.794716974916355,41.92772622466331,44.1699838263318,44.39707929013334,44.71061112105521,44.845713918434484,44.93531252636954,47.053113124478806,47.233344457610144,47.27857357514562,47.32130277404681,47.500095280284484,49.25026244228634,49.38446948837396,49.657235276702664,49.79239742832625,49.88638636146261,50.85823462468008,50.85823462468008,50.95360182000226,50.99744532910714,51.13376767152964,52.4159640988573,52.4613758540331,52.4613758540331,52.596168276995,52.64118784649161,54.220423891975045,54.220423891975045,54.310147286397594,54.398480823479076,54.39910286703221,56.4668115546419,56.46685619779562,56.46685619779562,56.60080459303916,56.69021814760654,58.43820599162119,58.48278020257949,58.48278020257949,58.48278020257949,58.48278020257949,60.72501456605911,60.725209903400064,60.727243919630276,60.774635454338984,60.774635454338984,61.74442668888185,61.790804246566005,61.83617917560043,61.9732282665892,62.06364270488823,63.845521050611595,63.89000557306647,63.89000557306647,63.934490095521326,64.15802563055797,66.56704600356703,66.79290985530412,66.79290985530412,66.837394377759,66.92685154585622
Trial_3,-2.521800099753038,-0.8182422528096999,0.7206541964033822,3.2354669130889357,5.086045932119285,7.716583616197317,11.52467409072534,12.866039949981714,13.635496001753932,14.75308092747905,15.421731438842617,17.926556766515468,19.025084401343804,19.62692447863165,21.00048829260707,22.69218945375333,25.31513051445666,26.77579744506628,28.80459259666022,29.326425992765145,31.006303701600817,35.63493993494619,36.6976233346887,37.27200091289942,37.89696900965889,38.25159906593895,41.337758525486116,42.14438111259327,42.81456946223171,43.38536615136914,43.82687438913012,46.548236471496466,46.860202400535016,47.30669216391468,47.83737233400453,48.508743499211924,51.13614172127147,51.44616511517786,52.509491219069425,53.00007857267356,53.58047906092982,56.69163104673608,57.08986157617529,57.444383853190786,57.48921353586682,57.84621412393819,60.11427370602891,60.59718592049362,60.7318197060463,61.236176088891845,61.46404267316695,64.01943851830264,64.15229004470511,64.59564685913267,64.90433926192264,65.12676007918331,66.54642118057482,66.67808348188603,66.76902454694905,66.85702027351631,66.94606177341375,68.1343747293385,68.3064266889976,68.40121191597348,68.40122598068035,68.74603032275756,69.78891584812526,70.23793813944356,70.34821567997147,70.34821567997147,70.4374704979831,72.06537260829816,72.41673928229994,72.56218118293387,72.72398309788633,72.81818751654203,75.77276986173968,76.22684347050473,76.26350709731821,76.50686776432534,76.70464691057333,79.85092464708627,80.04156311395573,80.69831192577881,80.89953823336343,81.01387975778495,84.14644557173108,84.46445321850467,84.73283696430694,84.73283696430694,84.8110590236559,86.56433265056538,86.6981640755287,86.6981640755287,86.80090583718876,86.8217547717259,88.06637389000393,88.10230047397384,88.1520684736734,88.16806328970227,88.18206084499273
Trial_4,-2.257056631444234,-1.3769943710286743,-0.20376849912777048,1.570809377762925,3.735429455605594,6.532496825101089,11.680032820654024,14.860918724646007,16.88610499249385,18.95651092707234,20.401178164193006,24.392288439307958,26.170143650230603,27.189189607173038,28.918761028987284,30.663557948456543,34.62764784605004,36.53476371571852,38.1324173140544,39.01949278268664,40.1362278420417,44.09783761904984,44.717103607893954,45.21812274064753,46.030867620079945,46.66007250993224,50.20968254880413,50.98233507114846,51.65398870131373,52.36594370038181,53.14387884272892,56.553358069285125,57.14306569006421,58.07330074475677,58.48097268693928,58.710201242655806,62.05102983951598,62.51662474599805,62.831274481981715,63.09668538442416,63.64901250027532,66.7717362752079,66.86281910784832,67.13575374967009,67.27061494558166,67.60444798081646,70.10866519316838,70.44011039535503,70.89093394294902,71.03422621033678,71.27198683802335,74.15019336077414,74.28957190835287,74.42787100177226,74.56738085102228,74.71029888185018,77.65442002561913,77.65510543897261,77.70710089224201,77.75355483067992,77.75355483067992,80.11461945703573,80.29149216443928,80.29149216443928,80.3359548686777,80.43340322783729,82.6996938288596,82.74886134116956,82.79571702972954,82.79679067035559,82.84549348620234,84.71964029176532,84.76439167458855,84.76439167458855,84.85915725665906,84.91193202415175,85.26207591707043,85.2716276438992,85.2716276438992,85.2716276438992,85.31550787919782,85.74932634143093,85.74932634143093,85.74932634143093,85.74932634143093,85.74932634143093,86.13173619967465,86.17588788183991,86.1829937455014,86.1829937455014,86.1829937455014,86.38426013662902,86.39050174776476,86.39050174776476,86.39050174776476,86.39075315338978,86.57587060527935,86.57587060527935,86.57849551658293,86.58082042788652,86.58502074909023
Trial_5,-2.3209417450835397,-0.988853890723866,-0.07384851204977264,1.7521298721693277,3.8819061183966266,5.190008815860117,9.441175439444246,10.888522886231163,12.659007397315754,14.540283888954164,15.968060159754298,20.217087729666684,23.003059392124964,25.46217597697593,27.142042374606614,28.946718980515925,34.77154174381146,36.26721709882047,37.94800534907975,39.58933892515546,40.679923661912284,45.13138710591871,46.478275338762835,47.565722409293066,48.32334820024656,49.480389265314514,54.11536783413317,54.83242210954806,56.13676333602293,56.62824712340045,57.213610561786275,60.15589693407264,60.99920773848729,61.53913863062422,62.11870004661014,62.87707629372273,64.74507455579243,64.92551510358693,65.2356627903862,65.41476315341045,65.46195642438819,66.35258025155335,66.35379912880376,66.39829142800926,66.44132701321699,66.48758584066623,66.67720042440858,66.72287216467124,66.72405986716579,66.72523702407634,66.7729025007608,67.23908711961211,67.24035196793103,67.3351268723535,67.38133659143257,67.42777022852479,68.31659759347818,68.3190889159284,68.45760904089406,68.6484239197423,68.65210952364797,69.63320297172689,69.68406964626159,69.91896788388449,70.06167730888646,70.0643485665532,71.1502660298054,71.34423524162148,71.34710969986935,71.3498357792084,71.39537830256995,73.19990803293751,73.29271718666595,73.38530108605082,73.67802302367615,73.72392308411088,75.66859091199451,75.77016805446785,75.81526082150732,75.81748619273834,75.97533451161402,77.46534285918982,77.52452695908522,77.52497335200741,77.68021419993825,77.96769659624708,79.35428144334905,79.4916780452495,79.58373792620473,79.78856448378218,79.88854225014035,81.10842478444933,81.26148340681196,81.37948714661356,81.58346164201889,81.7761382070863,83.6951257143278,83.80541469915268,83.85105332189272,83.89571054508758,84.00877754774899
Trial_6,-2.2784534103558283,-0.968284829127067,0.10684281856690404,1.4659733513621251,3.448841942606011,5.152202797210809,9.163138334495736,11.676230560533522,13.438090722802869,14.946074309287583,16.698063771353585,20.615819788183707,22.68357985098476,24.327961911766906,25.606488921672995,26.628560504062193,32.21279725925206,33.946585812982704,36.17118633464943,38.307858876927284,40.48671201738199,46.44169182764581,47.86337663726994,48.49281232204014,49.48243418791211,51.05056676977616,55.627717156878674,56.753369305428386,57.865867123702486,59.162949753898374,59.518477576208035,62.94791342300694,64.38497063206283,64.69730065788475,65.0566337424627,65.42634139146251,69.51244842971789,69.83004618620902,70.27377992430159,70.4990673081557,70.91193095449006,73.32841725649334,73.51229084736889,73.64634157379405,74.07317290464599,74.0733784130244,77.44266030186633,77.53107591086113,77.62008232435942,77.67150699998132,77.96819778035167,80.43662009311727,80.4371972739555,80.48815037179963,80.72095490402221,80.72095490402221,82.65709635981806,82.65709635981806,82.79739956391742,82.95290292785427,82.95448225642856,84.38051363693423,84.38961685070073,84.44741818971754,84.46566861520729,84.46566861520729,85.5785616082863,85.62710601601664,85.62731742962244,85.62746029648466,85.62746029648466,86.68338221739079,86.72916536343959,86.72916536343959,86.72916536343959,86.73865243048455,87.00682865239287,87.00682865239287,87.00769017732902,87.00769017732902,87.00769017732902,87.15742125840904,87.15742125840904,87.16782649086285,87.16782649086285,87.16782649086285,87.27525084542947,87.27525084542947,87.27525084542947,87.27525084542947,87.28023987660097,87.41621884380135,87.41623888390833,87.41831063717389,87.41831063717389,87.4219106371739,87.57247660456049,87.57247660456049,87.57247660456049,87.57247660456049,87.57247660456049
Trial_7,-2.699010307374249,-1.2997030926846422,-0.07309175124821224,1.1465649669176532,2.917403205215054,4.264328697971397,9.910470910623895,11.350091964979907,12.773854030593393,14.125916505102598,15.2387226390481,21.05153426232014,22.326766526216044,23.82612770423486,24.838630649667653,25.684738102811252,30.11780230378645,31.71863266391888,33.21513555543804,34.0081779000515,34.92937084764111,39.917599725718965,41.53689624369428,42.90075955716888,43.821866674759804,44.978245043464646,50.326680895979706,50.957794850222214,52.14162514585287,52.55442720663918,52.91144406809986,57.22824695364618,57.326129517682205,57.51149320873583,58.244047458829854,58.467587171228594,62.4807407968434,62.53112569176168,62.72476440436283,62.95218249824231,63.546058471023755,66.44557021416097,66.92304908711941,67.4277368237568,67.85451199657801,68.58824626837215,72.34039149259783,72.4831612801441,72.80918570108634,73.096140972399,73.41829197620599,76.24745047773578,76.34890205153908,76.44724376551844,76.59793745902118,76.83287327978029,79.85590788906728,79.94801461043481,79.99426309523115,80.09772757815598,80.24611202049078,83.06320701984342,83.11004398564421,83.11004398564421,83.21592053654324,83.3289469186427,85.08664393843968,85.14154704616118,85.19781274577153,85.24330787769478,85.29955001066429,86.24913663904644,86.25391031554383,86.27093340087129,86.27447029143008,86.27784248552565,86.77822799937323,86.77846241730272,86.83218289323504,86.83346032974136,86.83346032974136,87.11835675138587,87.12102269675205,87.13006923118046,87.13222709821093,87.14120805056884,87.40733962059288,87.41639800945714,87.41639800945714,87.43192817744081,87.4460813238943,87.68385809270534,87.6858624493298,87.6923151665378,87.70159611889571,87.7049683129913,87.90380408329383,87.90380408329383,87.90380408329383,87.91287917199024,87.91287917199024
Trial_8,-2.0424925796234543,-0.7214499018602737,0.5739726236014366,2.4973418352972057,3.8701537695492036,5.872595269904305,10.21359689632761,12.184367190638781,14.439425315520571,16.686550185357518,17.893203088565112,21.61336136040997,23.90416493049021,25.34745971460338,27.879675996376783,29.710455431367386,35.76546256351623,37.407939113551095,38.66171389651525,39.77475858776031,41.38534600896459,47.323902920657346,48.567672787070975,49.072026360290856,50.1043507308821,51.002911698725484,55.70519933491005,56.70490860532612,57.29475519820451,58.409469723485984,59.04688876968492,62.31384257770011,63.171793791536686,63.995369366012476,64.95895337262071,65.68895613175815,69.75860016190148,70.1769781561081,70.80142780139644,71.82647404708646,72.53043457883827,75.30641284608838,75.6862158235311,76.78226231958838,77.18935947907775,77.66879909415513,80.75340981556349,81.33867715097394,81.44884238613146,81.86156673426893,82.54508373886944,84.45878047652012,84.6539186735899,84.9798555639688,85.09307496548469,85.20355751996932,86.03552416865918,86.1633322352151,86.23275760860729,86.28414178718677,86.30065132299205,86.84065683105464,86.84160855310242,86.88464118174123,86.89373776385804,86.92719584028819,87.24590222028299,87.24590222028299,87.2921656427523,87.31455440797086,87.34954930837701,87.59236219318154,87.61957861169252,87.64267491248815,87.64904542198232,87.66236410585087,87.94187525885161,87.94612698089936,87.94864732085324,87.94864732085324,87.97648698119349,88.23374500218098,88.23968850871209,88.25403190056204,88.27276815190828,88.27276815190828,88.54491167938392,88.55280303555955,88.56354623455714,88.57164623455714,88.57806106604612,88.83750707220025,88.85147292118907,88.86203881079312,88.86547526685554,88.8856998316765,89.13731402623507,89.14253885508631,89.14253885508631,89.14809826596176,89.15460871699051
Trial_9,-3.1808709416081546,-2.628221683342318,-0.9951996647856727,0.5296384236185652,1.7401797198837665,2.797886751903422,6.854094233271295,8.321019070178327,9.31682638207176,10.619135543869879,11.600956246464994,14.824504293299682,16.953185144309384,19.310038940050354,20.852094727253622,23.06126401495024,27.719840646507347,28.917065099172593,31.493751830489312,33.85388930535842,36.12334056452997,40.25752277191921,41.53946074528334,42.521756125021746,43.42768549154754,44.36130902900205,49.50604791151143,50.25795750077654,51.105614315070326,52.104151590309655,53.24915826029941,58.54170642257364,59.7128691557383,60.43569153430332,61.08840295229074,62.569267208809315,66.27200825488244,67.03621073268668,67.54122811695497,68.16915476425363,69.11842142214078,73.79109224442816,74.25917491577482,74.85956312482872,75.03840172562333,75.35613599183073,79.18456806062268,79.2297466510357,79.72062363758249,79.87846497696437,80.1851314445917,82.16227974070542,82.3489985125888,82.36296445795494,82.53790899998539,82.63179188248387,84.52611779776026,84.67434298708653,84.70211347508736,84.77323966622211,84.86656483110644,86.40011012611257,86.50516145752371,86.54956536053105,86.56845597829691,86.56845597829691,87.2770232462868,87.33929818752858,87.33929818752858,87.36160583668075,87.36160583668075,87.78623081712111,87.81222512485671,87.81222512485671,87.83961988316788,87.84197625553014,88.13766553904817,88.14871882190556,88.14871882190556,88.14871882190556,88.15550923282731,88.53049612523918,88.53049612523918,88.53049612523918,88.53049612523918,88.53049612523918,88.85168417024873,88.86308386271517,88.87328700309664,88.87328700309664,88.87328700309664,89.14485571987669,89.14485571987669,89.1495615835382,89.15998701667554,89.16028701667555,89.39030272883934,89.39030272883934,89.39030272883934,89.39030272883934,89.39030272883934
Trial_10,-2.66810428393578,-2.0365945197827826,-1.3796065069306003,0.03549788807421409,1.4340392200984724,3.4643665554996153,8.53197410827459,10.893910485021065,12.344101037893859,14.13577623452382,15.524301873126733,19.071535612468907,19.512556283660878,20.750869835205425,21.01503616824556,22.162851833518072,27.223699845030367,28.634658173193724,30.532173605951883,32.757877870162986,34.62750518936092,38.968032126903466,40.2589948171799,41.99778730364742,43.46618528222043,44.36148640251422,47.28771365223233,48.099360727930524,48.63382363208117,49.34439400042529,50.11035526082696,53.27960018338294,53.86045956264832,54.438289907081234,55.06195471120911,55.335086346843994,58.29808029092115,58.88665518804269,59.064329919727186,59.379092137273965,59.55844381773629,62.15774864496381,62.33486138883886,62.60234139993706,62.73601499425825,62.82852727782887,65.60920581705884,65.7887923231488,65.83325027665626,66.0597810797574,66.15047974221407,68.47833037874547,68.56753187319367,68.70054154762455,68.91852310411345,68.91852310411345,71.27193220501367,71.40651808039085,71.49459297655648,71.59644360797498,71.68788873319387,74.24106008333607,74.24106008333607,74.41826583982257,74.54878876877284,74.63744254954946,76.59031990706562,76.6343664580333,76.79804935634488,76.80147506916376,76.89614485633314,77.89477216952662,78.01934656143932,78.02029034248434,78.02029034248434,78.02223524945735,79.13282289678828,79.18431584979626,79.18431584979626,79.24606226491552,79.24606226491552,80.82222638229914,80.82257243231503,80.82257243231503,80.92254107708207,80.97178402450014,82.7131949366392,82.7662580460804,82.82075550115322,82.82160499633719,82.82160499633719,84.87843760636679,84.87843760636679,84.92757844121597,84.92757844121597,84.92757844121597,86.06935148292483,86.06935148292483,86.06935148292483,86.06935148292483,86.06935148292483
