,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21
Trial_1,84.75686730400922,88.44539590051207,88.44539590051207,88.44539590051207,88.5635304309518,90.72373538810926,91.56889853106327,91.56889853106327,91.6324134731707,91.6324134731707,91.6324134731707,91.6324134731707,91.6324134731707,91.6324134731707,91.6324134731707,91.6324134731707,91.6324134731707,91.6324134731707,91.6324134731707,91.6324134731707,91.6324134731707
Trial_2,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344
Trial_3,39.21003982910275,39.21003982910275,39.21003982910275,47.877507190485616,56.88190280195865,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395,56.936214791312395
Trial_4,30.344008189180148,48.09463815194543,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746
Trial_5,21.747726571953372,30.691732302598794,30.691732302598794,30.691732302598794,30.696695091940924,30.696695091940924,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466
Trial_6,30.59732261812772,30.59732261812772,30.65289246928253,30.65289246928253,30.65289246928253,30.65289246928253,30.65289246928253,30.667281206734632,30.667281206734632,30.667281206734632,30.667281206734632,30.667281206734632,30.667281206734632,30.667281206734632,30.667281206734632,30.667281206734632,30.667281206734632,30.667281206734632,30.667281206734632,30.667281206734632,30.667281206734632
Trial_7,30.397881179120297,39.26020708782077,39.33703951986406,56.9862848439572,56.9862848439572,56.9862848439572,56.9862848439572,56.9862848439572,56.9862848439572,56.9862848439572,56.9862848439572,56.9862848439572,56.9862848439572,56.9862848439572,56.9862848439572,56.9862848439572,56.9862848439572,56.9862848439572,56.9862848439572,56.9862848439572,56.9862848439572
Trial_8,39.32324619773172,39.32324619773172,48.159358342626604,48.159358342626604,56.95026654476804,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281
Trial_9,38.884107874516964,38.884107874516964,39.27641489804762,39.27641489804762,56.884107874516964,56.981406785503765,56.981406785503765,56.981406785503765,56.981406785503765,56.981406785503765,56.981406785503765,56.981406785503765,56.981406785503765,56.981406785503765,56.981406785503765,56.981406785503765,56.981406785503765,56.981406785503765,56.981406785503765,56.981406785503765,56.981406785503765
Trial_10,39.16226955283406,39.16226955283406,56.9408768044182,56.9408768044182,56.9408768044182,56.9408768044182,56.9408768044182,56.9408768044182,56.9408768044182,56.9408768044182,56.9408768044182,56.9408768044182,56.9408768044182,56.9408768044182,56.9408768044182,56.9408768044182,56.9408768044182,56.9408768044182,56.9408768044182,56.9408768044182,56.9408768044182
Trial_11,56.39605617539953,74.07538760395144,84.33268548596025,85.91936086271508,85.91936086271508,87.37358787142666,87.91358787142666,87.91358787142666,87.91358787142666,87.91358787142666,87.91358787142666,87.91358787142666,87.91358787142666,87.91358787142666,87.91358787142666,87.91358787142666,87.91358787142666,87.91358787142666,87.91358787142666,87.91358787142666,87.91358787142666
Trial_12,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372,21.747726571953372
Trial_13,47.72523797875806,85.31889252774357,85.31889252774357,85.31889252774357,85.31889252774357,85.55436090514002,85.63829930534797,85.81829930534798,85.91436090514001,85.99829930534797,85.99829930534797,85.99829930534797,85.99829930534797,85.99829930534797,85.99829930534797,85.99829930534797,85.99829930534797,85.99829930534797,85.99829930534797,85.99829930534797,85.99829930534797
Trial_14,47.783393898915136,65.26066337264282,84.64939087985286,84.64939087985286,84.64939087985286,84.64939087985286,84.64939087985286,84.64939087985286,84.64939087985286,84.64939087985286,84.64939087985286,84.64939087985286,84.64939087985286,84.64939087985286,84.64939087985286,84.64939087985286,84.64939087985286,84.64939087985286,84.64939087985286,84.64939087985286,84.64939087985286
Trial_15,88.3195853089166,88.3195853089166,88.3195853089166,88.3195853089166,88.3195853089166,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723
