,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21
Trial_1,0.4195774975976704,14.008634025467487,29.022602366020955,55.78618406962821,70.90090530994257,56.89111505045954,68.95772803144379,82.33891845333699,90.58607510200683,91.52136680578904,91.51825881535086,91.6108183928542,91.63241347317073,91.63241347317073,91.63241347317073,91.63241347317073,91.63241347317073,91.63241347317073,91.63241347317073,91.63241347317073,91.63241347317073
Trial_2,0.7424545370467628,9.025671866653676,22.509818506559785,31.37323304776555,63.67068925338325,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344,86.51345477644344
Trial_3,-1.4390629290033758,7.566314323106444,16.937438235849964,21.78653619591548,31.086812411855398,42.1481916564319,52.627084748166546,56.366047986189514,56.11691264499076,56.214990092208716,55.76567917728419,56.304657490523184,56.21252465617519,56.30387161609892,56.66359064320133,56.75444335702927,56.66413376309488,56.84534007527538,56.935128551525324,56.935128551525324,56.93567167141886
Trial_4,-1.365001497559286,9.835633515965565,20.62271974508482,21.979390709414403,25.759189826885287,31.56890199471111,39.49716319975723,47.8322834198124,56.278247257316394,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746,56.892977112257746
Trial_5,-1.476882239218897,9.345472592816343,20.772335711216666,22.44429332909445,26.5511465548086,30.588378655544265,30.599947000206665,30.694026067610004,30.518410262180442,30.708725393832555,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466,30.711732969305466
Trial_6,-1.3300199430343442,9.450654664767484,19.352986967212516,17.40014389817363,19.65796427858378,20.8974838070176,23.481632320748144,26.248928602937745,29.03332878070175,29.666333516029646,29.590016546307744,29.313579579993657,29.320009756104945,29.596407794991652,30.66728120673463,30.66728120673463,30.66728120673463,30.66728120673463,30.66728120673463,30.66728120673463,30.66728120673463
Trial_7,0.560392162500026,10.296975083167485,20.50247062913711,31.396225084296507,38.65629975819131,40.70616124958475,44.83264446843586,52.95063027541054,56.98628484395718,56.98628484395718,56.98628484395718,56.98628484395718,56.98628484395718,56.98628484395718,56.98628484395718,56.98628484395718,56.98628484395718,56.98628484395718,56.98628484395718,56.98628484395718,56.98628484395718
Trial_8,-0.8196353820814579,10.07216414363886,21.932608040176337,30.63081981478679,37.94583916977129,44.501183473084055,51.83920762742204,55.38673048427027,55.13225518669514,55.938506551761066,55.945928958145124,55.856077411991194,55.67992225574494,56.03952147597125,55.95239781776283,56.03945203124772,56.662413911164315,56.92629302872345,57.01606371931282,57.01606371931282,57.01606371931282
Trial_9,0.9548374683008964,12.937094131443587,22.256546037732914,28.59662083565094,36.42539599671054,41.205588514439086,51.0073658869702,56.884206329623964,56.98140678550376,56.98140678550376,56.98140678550376,56.98140678550376,56.98140678550376,56.98140678550376,56.98140678550376,56.98140678550376,56.98140678550376,56.98140678550376,56.98140678550376,56.98140678550376,56.98140678550376
Trial_10,0.3338731488644939,9.900081476453364,21.161430128267806,19.32035716108166,24.20260670783462,28.840815279327384,37.900827825120224,53.0468044807411,56.94087680441821,56.94087680441821,56.94087680441821,56.94087680441821,56.94087680441821,56.94087680441821,56.94087680441821,56.94087680441821,56.94087680441821,56.94087680441821,56.94087680441821,56.94087680441821,56.94087680441821
Trial_11,-0.7403154774447089,10.610653488282846,21.888245190994688,31.966588322335856,46.69912638948097,59.72411648309364,73.26151536127728,81.04551985825145,80.06118549007508,83.21959936236142,82.77850060363171,87.83104792955491,87.91358787142663,87.91358787142663,87.91358787142663,87.91358787142663,87.91358787142663,87.91358787142663,87.91358787142663,87.91358787142663,87.91358787142663
Trial_12,-0.5863477649852983,10.954823090697921,20.636454906141157,21.747726571953375,21.47654292595256,21.47654292595256,21.747726571953375,21.747726571953375,21.747726571953375,21.747726571953375,21.747726571953375,21.747726571953375,21.747726571953375,21.747726571953375,21.747726571953375,21.747726571953375,21.747726571953375,21.747726571953375,21.747726571953375,21.747726571953375,21.747726571953375
Trial_13,0.04815095483141377,9.700235655508317,21.89964725713659,34.90787522199563,39.297368881271325,47.518892908556936,61.75779176603855,82.8023015721224,85.1288793832543,85.68653315876298,85.85195166517121,85.91140088855616,85.95453010524398,85.99745992134584,85.99829930534791,85.99829930534791,85.99829930534791,85.99829930534791,85.99829930534791,85.99829930534791,85.99829930534791
Trial_14,-0.1809615288096575,9.90650117373523,18.219194434547145,22.62481513369799,37.603097098942754,49.86892139529629,69.98851253104088,84.6430799641078,84.64939087985283,84.64939087985283,84.64939087985283,84.64939087985283,84.64939087985283,84.64939087985283,84.64939087985283,84.64939087985283,84.64939087985283,84.64939087985283,84.64939087985283,84.64939087985283,84.64939087985283
Trial_15,0.7606595766381069,10.477137475683563,19.21625362985719,26.58667759368625,33.39566038299354,41.98979096703606,65.17666283358312,87.61979017575966,88.9159054955723,88.91110549557231,88.92070549557229,88.9159054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723,88.9219054955723
