,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21
Trial_1,14.544942303202355,21.058206688329367,30.132058022231387,35.091667003627904,32.088524714046464,40.83613646059073,35.23023143716064,19.529295498092523,1.6283139402706015,0.0828041106748645,0.09462719914858864,0.0300875851844626,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14
Trial_2,13.425116073173028,15.262560535934997,19.89135243927345,29.088152472810087,28.55912953604612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial_3,8.976158965820593,11.311383615424171,10.214023392647059,11.825134215495272,10.752591288231628,8.769177668308433,6.318161217155171,2.1197175109693,2.56212452302734,2.4319820594314163,3.5078891085361295,2.2890935227662563,2.4333083257261654,2.289919291087017,1.531157797741369,1.2567711284083718,1.5312447694211726,0.8933072419709162,0.007603678509523918,0.007603678509523918,0.0054039747091242036
Trial_4,8.848049392992964,12.472332341015267,8.346079210073944,9.371688368598399,8.026914391984432,11.622775612523835,12.296360764537324,11.771624481963238,2.240664120100083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial_5,8.176931312209199,11.67782523464794,3.9441139366368545,5.4719152582918555,5.436899520128104,0.8909357344853148,0.8919118608526678,0.0052850423802742975,1.2567372003297825,0.006015150945816571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial_6,8.399042794951349,11.70970002125025,7.617412372605747,10.010504157561982,9.271808656389213,10.643391353245827,9.827866384157778,8.054879691669132,4.4300736720838465,3.569428954059767,3.395619883317985,4.083284483224497,3.8815531962885137,3.405872736748942,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15
Trial_7,10.233151393420993,12.536300200314027,12.430640591363666,10.259167438480082,4.002995698898765,5.678453441570574,7.843624148158048,6.570527832275319,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14
Trial_8,9.362787971546098,12.947594243516852,8.603147970815503,9.115968287943495,8.86548954075928,10.74200940194496,5.1810509599384424,3.4095751344276737,4.239801126306571,2.918038604127058,3.155927820992899,3.4829733277784074,4.237859695417475,3.737427131721204,4.0142114515919936,3.737737465064836,2.4755486570395333,0.8932070935679948,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15
Trial_9,10.342414863706766,11.611938262888193,7.5899674916723985,10.178348759171953,4.633337047099132,7.077963736766322,8.06107926899285,0.8888540081315623,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15
Trial_10,10.182884358554887,11.417800789704417,7.918439598294843,12.38601389403581,12.818868282889163,13.87559349250038,14.41422913282514,6.556155712172111,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15
