,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66
Trial_1,0.6455134285447138,2.598255780768511,4.678841114858731,6.869179077322493,9.128766075033768,11.583286276998606,14.342825649822778,16.782603003538224,19.265337448036792,21.264588030485374,22.725005314930005,25.687660588364142,26.895471446851978,28.142261914968508,29.6695393119595,31.4110199705334,33.707010480792,36.13937697251603,38.43596254401671,40.60622272824354,42.41417203248444,45.443727772188055,47.54140047850401,50.3478745876934,51.895077045379566,53.29464063473704,54.771585097722756,56.05742895120029,57.335454268599705,58.13972244629164,58.942339567307535,60.19432916398111,61.89404435003927,62.42665471527114,63.14833553498058,63.78859360588851,64.33875207085346,65.10882614287605,65.65743473615699,66.32220561232789,66.94914247237949,68.53777848900026,69.66247781937598,70.61273086625403,71.55152683683106,72.40677628635478,73.2687657127971,74.58489716248761,75.82693348134515,76.30886763851207,77.82105686571971,79.75349969264171,80.65979862459525,81.51911581402408,81.95954763772937,82.68998022844238,83.62812921381436,84.4011537566395,85.13642941729486,85.41323647495574,86.15608047290036,87.01716983819598,87.37601646604313,87.62953419438229,87.94502963944414,88.19122509579515
Trial_2,-0.8831271108089485,0.4647885234418779,2.4691827845989214,4.5902966132776735,6.78161558102614,8.760224929505963,11.17553713492854,14.105336967279769,16.717310191882152,18.978751554028555,20.697696604846634,23.529335915595638,24.78260790103297,25.687220839679075,26.957842400034174,27.798274205624725,28.728719372392096,30.354407254385862,31.756770302711374,33.08463568360145,34.8714423987428,37.88937810778963,39.0600210620063,40.28283208284815,41.329322921742516,42.772344430499196,43.30193747054991,43.866468987754025,44.9025717155718,45.90910963914389,47.046849812133495,48.30764955532855,49.44818482487143,50.28706953832238,51.32640582312232,52.60485555263689,53.58066099000329,54.318526646299745,55.00887302452927,55.98036595328397,57.26332998480822,59.073584295198486,59.386475546577074,59.882340601771446,60.47380150389994,60.74511709244123,61.05668410541686,61.38263667219396,61.93960202926897,62.38712907414631,62.96061927174238,63.6423913483449,64.3687394253489,64.83163045924968,65.24014006720613,65.38900120003997,65.5635877855983,65.99455981248587,66.70386216390965,67.55704682503936,67.74501082472096,68.8436145161354,69.2419186697938,69.53613023110478,69.8342560807076,69.84572253296456
Trial_3,-1.3192813830281735,-0.17776198107537935,1.7161581354200657,3.473374682792253,5.558342148228493,7.945038581587828,10.44432652904255,13.024809462525068,15.539385662318386,17.66400772851262,19.60453555799674,22.235392831319896,23.176409800206702,23.793666783201616,24.229945725928292,24.628183412779272,25.196352968419596,25.75908689808359,26.536033563723876,27.17407619268689,27.990267998922317,29.521265265608527,30.31494806711791,31.19420067387364,32.02992799803451,32.73428749277932,33.666633218038015,34.37479833197474,35.43275293951684,36.09038827128038,36.61183812920192,38.29307273157236,39.4833373053192,40.22431307776096,40.80696554062828,41.37857144947171,42.13342350281402,42.99332202489511,43.64504568277724,44.17771240759559,44.61630983002131,45.821322520595906,46.173247401837614,46.56720791627638,47.21888858567984,47.65414146609224,48.17581431117017,48.70595292262205,49.107249365828594,49.41992687846809,49.86247899085547,50.67569153704025,50.895327718442694,51.06836555016311,51.32922157465908,51.59598554513403,51.947996837376934,52.03746289898768,52.2138855814435,52.497561776532685,52.915511019891966,54.03361667795791,54.20853805516801,54.426627545873664,54.47173264392338,54.71625422866094
Trial_4,-1.5846005235722629,0.20389930487663357,1.8066038496559214,3.7774065256534715,6.069401516443396,8.344098975246084,10.69081625259494,13.707256874446205,16.39344769862659,18.870355012669485,21.1095462831023,24.102420480639488,25.991617384332244,27.157282016911235,28.685842913310907,30.065422141971048,31.662643185241105,33.089855806887655,34.20360146720347,35.640531215143234,36.83659728118671,38.84923958118884,39.850751376055335,40.73511901779761,41.71275011502229,41.92792429503685,43.078860622037176,44.43309076844064,45.60051172613826,45.99806342034694,47.834753396728644,50.40320385441605,53.190800875274434,53.87820618972826,55.03287270431416,56.9239338226932,59.70574517363877,62.23738530356563,64.43590438257253,66.48492638529588,68.62553727896025,71.59233297528083,73.28979200798662,75.195146181265,76.85104448574442,77.49889822477304,78.95963669488192,80.17570484505805,81.13177184347241,81.58600424720588,82.27894126760079,83.81736573393107,84.42380830272606,84.93570536019553,85.59897975537366,85.96615470349397,86.47316600066512,86.72772791333242,86.9903244946294,87.30829785709606,87.41449939530762,87.65620433322616,87.77099044898023,87.82851658267413,87.93913993651077,88.00987811130113
Trial_5,-1.1468481872635983,0.7364640047306727,2.507982526653398,5.015614708682615,7.408988821318037,10.01638676495247,13.001878065156939,15.674137295661012,18.77662416164843,21.04557591979209,23.352811737706006,26.477622209653855,28.24102874235726,29.798847662530367,30.763912575336512,32.14153182652149,33.55509119373396,35.49221677065537,37.20118226814872,39.10945013933506,40.96034136333105,44.02012644980081,46.10673663006208,48.78838947581107,51.22619726205444,53.411691786380004,55.738737371207854,57.49368385478271,59.582138886654974,61.56586577667797,63.607357574227635,66.22639727745607,67.81010724840301,68.95954892764502,69.9542921268648,70.97946797983977,71.99222707735835,72.7919176873748,73.9444747785905,74.9227609435878,75.89707579030855,77.72644783216445,78.29249199947832,79.06617067585024,80.00859916059657,80.93721475731027,81.72804318092268,82.16845633622826,82.83592857198981,83.32735818505392,83.7966312020872,84.44824760414718,84.64762751610785,84.95337182225454,85.32527091220287,85.55968428405498,85.72564882817117,85.89705905373256,85.97570293933623,86.04759498642757,86.128003304884,86.37476241696235,86.40858954089431,86.45107568517747,86.55452049796932,86.62648988198373
Trial_6,-2.0886247859353024,-0.707182028096125,1.6297598470806656,4.032187366400741,6.84527096640101,9.751606713936344,11.84563155725914,14.39831117961822,17.285275857380203,20.67896361396381,23.519731397953375,27.40825820698128,30.3578040778175,32.326641896266494,34.58617233761718,36.66856131945407,40.02200332592298,42.842694291608915,44.92750799474925,46.61357159273228,48.86655297890505,52.26472651990292,54.14685647653216,56.02712872663755,57.80933924215256,58.857473827909324,60.63019996191419,62.10168705913351,63.57593496038389,64.85433587408457,66.28993056584655,68.30965519583552,69.57113575961152,71.26721331352167,72.97276812327519,75.08694054225231,76.09617298540986,77.55069465325546,78.6793685071532,79.74610705367812,81.08275820659902,83.16498341788188,84.39472951499856,85.78828319986295,86.96951595586935,88.25774306602904,88.87378770949073,89.02970281166016,89.14187837598237,89.23946768356718,89.3106199656487,89.4755667842261,89.4919418041139,89.54136657555448,89.59466194849868,89.62026471566132,89.67786231188373,89.69961466664489,89.74580465057323,89.76258985444991,89.77941530691234,89.82030170827537,89.83224512829742,89.84060736663142,89.85646250593055,89.87374903068877
Trial_7,0.7270778283549294,2.2247645492229973,4.4473084924934945,6.696257528408844,9.30560825275313,12.210101421728472,14.926156451377473,17.302646250257155,19.390727016868542,21.646867236333488,23.30574822202432,25.747148657849444,26.42590721191086,27.74031067675537,28.744073668496785,29.98982467977092,31.23440617089742,32.884218117489,34.46839507961154,35.467620425016705,36.70336746718144,39.68893024378541,41.42337325390983,43.81588677716232,45.73059992920025,47.265192855774536,49.15952358995459,50.97421932921601,53.33764113511947,54.84203734430714,56.85612697564978,60.548637369380195,62.60050302223804,64.56062245922527,66.09896745514484,67.60205192671978,69.1200616295711,70.42423650144877,71.768900583228,72.94110038957955,74.1228540362231,75.18673515384461,76.26803978254337,77.31178759981307,78.87447425454813,80.50024730683771,81.87808091055628,82.8909643456123,84.15690117586725,84.93742865561892,85.96802499067769,87.04846188205134,87.35974107075174,87.74536627434578,87.9875464721113,88.24231397042658,88.3442893219916,88.49982537555965,88.63057700974419,88.7253469349598,88.83188924821259,89.05552395258098,89.138695421302,89.24269265469539,89.34086064771299,89.3893965008865
Trial_8,0.6476498953069025,2.491069850875702,4.5752134322372005,7.2627154210879805,9.743176615722156,12.688397385204016,15.10956983936194,17.384616572280862,19.80226168954595,21.802054958867448,23.483276163577212,24.448066233798066,25.56617418751556,26.187584156732527,27.02414919251817,27.683022731260962,28.50793895523412,29.793959497535226,30.667173011983017,31.6216199447839,31.933834662649463,33.662809105738134,34.63936555975938,35.62354214657161,36.68512135459327,37.92712849439646,39.174100591263,40.447374290293894,41.719350577271165,43.054266769359,44.47495623506028,46.994015716846434,48.537818458081716,49.68751969518323,51.591509575950695,53.49654068178043,54.2768372158771,55.0748101578651,55.93662459275176,56.78862757864291,57.48823431808345,59.10145299279989,60.32854696276709,61.28441324343007,62.06228995047537,62.88833284557762,64.0572165400403,65.26182212987094,66.48060077918896,67.02461700570557,67.82744282126582,69.36554048254226,70.79320492298473,72.01534821869711,72.83575907366394,74.0833149598491,75.36154950321418,76.3573684721799,77.30551582875684,77.86459080721215,78.5060989146932,79.57896874079252,80.27132455446906,80.80081362081437,81.39597649807928,81.58067447952715
Trial_9,-0.5395650858707198,0.9971239801290329,2.9289969385663324,5.61595220285499,7.856230235523391,10.570790634098444,13.352431914010099,16.368554976591476,19.423894758118426,21.741421758543776,23.99902716159012,28.17965507535187,29.705752082072568,30.77159737394852,32.28700110875021,33.98069011592078,35.4994670088426,36.67680638343673,38.456939192835314,40.849031059790214,43.11165023440972,45.47743230979489,47.41145773322751,49.17422789869994,51.04597106203576,52.49757326739216,54.01054263695131,56.05660101567333,58.111909304640186,60.3837732609217,62.601054637143854,65.62769016912448,67.27247502091285,68.65969133879403,70.56991328314041,72.6719167372649,74.15855653338247,75.85280240567903,77.3381508214107,78.46721697639288,79.5229327060335,81.42234149505464,82.30194119747266,82.92074330057245,83.27548989526305,83.49506043936418,83.74007944172092,84.16449254332791,84.32018764008775,84.58048727958476,84.75278114392681,85.16337411366315,85.33285981132245,85.56620243851097,85.75462217308818,85.82549509164748,85.93826760999833,86.04486341929429,86.11133568854665,86.20731667808356,86.31542387386355,86.64886385186979,86.73113438269364,86.82564300489221,86.87980282615797,86.95623099103489
Trial_10,-0.6451116345639324,0.6572471788996029,1.8056048829453917,4.126654298247599,6.189236248639384,8.697696546844455,11.101302002952737,13.629492354732738,15.743653912467817,18.28235932053632,20.04897962293786,23.50631667464584,24.644873761713335,25.631890519292575,26.484268084898073,27.371657641843555,28.035999984120537,29.19006920351628,30.384369200053342,31.61990788360736,32.32771480626083,33.914189269124996,34.88304140364153,35.721857032677335,36.87210211638664,37.83934636706795,38.941309576332145,40.21939030888263,41.10232784235754,42.15836228775191,43.256093245306964,44.63062638910567,45.5145704439824,46.30536354627427,47.10090324976465,47.94341219680266,48.38704896026754,48.831944414719004,49.317834237400795,49.76357836019586,49.985651415252825,51.135330180961944,51.83834978419405,52.27923515935092,52.631567046941434,52.94142233938979,53.42840054582874,54.04519345307951,54.88236746463537,55.63030303704581,56.24698476138501,58.0058139080726,59.145164468261356,59.7157337322567,60.68353408903503,61.60913043453243,61.95985318574927,62.3122476820436,62.756259881808866,63.11111144693593,63.559593671399014,64.45139263082923,64.71729954153567,65.1593266900271,65.55750922005636,65.6459253727082
