,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66
Trial_1,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,85.15711936420811,86.5094768905476,86.5094768905476,86.5094768905476,86.5094768905476,86.5094768905476,86.57069565974173,86.57069565974173,86.57069565974173,86.57069565974173,87.81224472101789,87.81224472101789,87.81224472101789,87.81224472101789,87.81224472101789,87.81224472101789,90.2712452206848,90.2712452206848,90.2712452206848,90.2712452206848,90.2712452206848,90.50825269974835,90.50825269974835,90.50825269974835,90.50825269974835,90.50825269974835,90.50825269974835,90.50825269974835,90.50825269974835,90.50825269974835,90.50825269974835,90.50825269974835,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809,90.56924921203809
Trial_2,30.47454706086822,30.47454706086822,30.711732969305466,30.711732969305466,30.711732969305466,56.873130815885816,56.873130815885816,56.873130815885816,56.873130815885816,56.873130815885816,56.873130815885816,56.873130815885816,56.873130815885816,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.875316609105795,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.9717214797693,56.97413402617469,56.97413402617469,56.97413402617469
Trial_3,30.59282822853988,38.78939992297535,56.74809611683411,56.74809611683411,56.74809611683411,88.77870395408988,88.77870395408988,88.77870395408988,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,89.31870395408987,90.64374072272295,90.64374072272295,90.64374072272295,90.64374072272295,90.64374072272295,90.64374072272295,90.64374072272295,90.64374072272295,90.64374072272295,90.64374072272295,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296,91.12374072272296
Trial_4,65.25241347317069,65.25241347317069,65.25241347317069,83.75803963399748,83.75803963399748,83.75803963399748,86.29789140255022,86.41789140255021,86.41789140255021,86.41789140255021,86.41789140255021,86.41789140255021,86.41789140255021,86.41789140255021,86.41789140255021,86.41789140255021,86.41789140255021,86.41789140255021,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.53789140255022,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021,86.89789140255021
Trial_5,56.51231598151539,86.23289139213351,87.53490903049439,87.53490903049439,87.53490903049439,87.53490903049439,87.64695546585759,87.64695546585759,87.64695546585759,87.64695546585759,87.64695546585759,88.55936086271508,88.55936086271508,88.55936086271508,88.55936086271508,88.55936086271508,89.00653386742003,89.00653386742003,89.00653386742003,89.00653386742003,89.00653386742003,89.00653386742003,89.69889252774357,89.94373538810927,89.94373538810927,89.94373538810927,89.94373538810927,89.94373538810927,89.94373538810927,89.94373538810927,89.94373538810927,89.94373538810927,89.94373538810927,89.94373538810927,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.30476791272345,90.31515222202916,90.31515222202916,90.31515222202916
Trial_6,38.10229505687136,56.976552407038966,56.976552407038966,56.976552407038966,56.976552407038966,83.61686730400923,85.29102825700785,85.29102825700785,85.29102825700785,85.29102825700785,85.29102825700785,85.29102825700785,85.29102825700785,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,87.85987746310026,88.47536476436478,88.47536476436478,88.47536476436478,88.47536476436478,88.47536476436478,88.47536476436478,92.65619660854705,92.65619660854705,92.65619660854705,92.65619660854705,92.65619660854705,92.65619660854705,92.77619660854705,92.77619660854705,92.77619660854705,92.77619660854705,92.77619660854705,92.77619660854705
Trial_7,56.08725717950682,56.08725717950682,56.08725717950682,83.5694498414656,87.8173167177616,88.7999836353259,89.35241347317073,89.35241347317073,89.35241347317073,89.35241347317073,89.35241347317073,89.35241347317073,90.07914532120982,90.07914532120982,90.07914532120982,90.07914532120982,90.07914532120982,90.07914532120982,90.07914532120982,90.44038509634582,90.44038509634582,90.44038509634582,90.44038509634582,90.44038509634582,90.44038509634582,90.62825269974834,90.62825269974834,90.73914532120982,90.73914532120982,90.73914532120982,90.73914532120982,90.73914532120982,90.73914532120982,90.73914532120982,90.73914532120982,90.84765490582255,90.84765490582255,90.97914532120981,91.01780260937953,91.01780260937953,91.01780260937953,91.0978914025502,91.0978914025502,91.0978914025502,91.0978914025502,91.0978914025502,91.0978914025502,91.1591453212098,91.1591453212098,91.1591453212098,91.1591453212098,91.1591453212098,91.3978914025502,91.3978914025502,91.3978914025502,91.3978914025502,91.3978914025502,91.3978914025502,91.3978914025502,91.3978914025502,91.3978914025502,91.3978914025502,91.3978914025502,91.3978914025502,91.3978914025502,91.3978914025502
Trial_8,30.56627799644576,30.56627799644576,30.57065437104556,30.57065437104556,30.57065437104556,30.57065437104556,30.57065437104556,30.57065437104556,30.57065437104556,30.58389959779558,30.58389959779558,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,64.7158651938048,64.7158651938048,64.7158651938048,64.76366065724565,65.14677961290973,65.14677961290973,83.19713191391739,83.19713191391739,88.8953509695464,88.8953509695464,88.8953509695464,88.8953509695464,88.8953509695464,88.8953509695464,88.8953509695464,88.8953509695464,88.8953509695464,88.8953509695464,88.8953509695464,88.8953509695464,90.12190549557229,90.12190549557229,90.12190549557229,90.12190549557229,90.12190549557229,90.12190549557229,90.42190549557229,90.42190549557229,90.42190549557229,90.42190549557229,90.42190549557229,90.42190549557229,90.42190549557229,90.42190549557229,90.42190549557229,90.42190549557229,90.42190549557229,90.42190549557229,90.42190549557229,90.42190549557229,90.42190549557229,90.42190549557229,90.42190549557229
Trial_9,38.9862848439572,56.851531704082355,56.851531704082355,56.860115447773744,56.860115447773744,56.860115447773744,85.11376659764127,85.11376659764127,85.59376659764128,90.32248593745463,90.32248593745463,90.32248593745463,91.33828865951929,91.33828865951929,91.33828865951929,91.45724208694863,91.51724208694861,91.51828865951929,91.51828865951929,91.51828865951929,91.51828865951929,91.51828865951929,91.51933632855172,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.7582886595193,91.75933632855173,91.75933632855173,91.75933632855173
Trial_10,84.84772962385829,84.84772962385829,84.84772962385829,84.84772962385829,84.84772962385829,86.1312452206848,86.1312452206848,86.1312452206848,86.1312452206848,86.1312452206848,86.1312452206848,86.53006880621146,86.53006880621146,86.53006880621146,87.31476365051567,87.31476365051567,87.35520860761432,87.55476365051567,89.28167353170872,89.28167353170872,89.83724208694863,90.0182886595193,90.0182886595193,90.19724208694863,90.61619660854706,90.61619660854706,90.61619660854706,90.61619660854706,90.73619660854706,90.91724208694862,90.91724208694862,90.91724208694862,90.91724208694862,90.91724208694862,90.91724208694862,90.91724208694862,91.27515222202915,91.27515222202915,91.27515222202915,91.27515222202915,91.27515222202915,91.27515222202915,91.33619660854706,91.33619660854706,91.33619660854706,91.33619660854706,91.33619660854706,91.33619660854706,91.33619660854706,91.45619660854706,91.45619660854706,91.45619660854706,91.45619660854706,91.45619660854706,91.45619660854706,91.45619660854706,91.45619660854706,91.45619660854706,91.45619660854706,91.45619660854706,91.45619660854706,91.45619660854706,91.45619660854706,91.45619660854706,91.45619660854706,91.45619660854706
