,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21,Generation_22,Generation_23,Generation_24,Generation_25,Generation_26,Generation_27,Generation_28,Generation_29,Generation_30,Generation_31,Generation_32,Generation_33,Generation_34,Generation_35,Generation_36,Generation_37,Generation_38,Generation_39,Generation_40,Generation_41,Generation_42,Generation_43,Generation_44,Generation_45,Generation_46,Generation_47,Generation_48,Generation_49,Generation_50,Generation_51,Generation_52,Generation_53,Generation_54,Generation_55,Generation_56,Generation_57,Generation_58,Generation_59,Generation_60,Generation_61,Generation_62,Generation_63,Generation_64,Generation_65,Generation_66
Trial_1,0.6455134285447138,4.249387735068503,8.502912689939151,13.241277161294331,17.496880517207643,21.07658382738924,23.74298019518612,26.098906104400925,27.714878280356903,28.942534557250802,29.745168679362468,30.905129022810538,31.54852973797364,32.513211138327826,33.14621613042155,33.49661615650938,34.11362537646891,35.005715067054744,35.57630333572754,35.89842507161436,36.40611558204385,36.800864230917405,37.504632247932726,38.48917643393592,39.656714100948975,40.328306932513335,41.281466749532335,41.82747641823455,42.5536154721599,43.02738366357897,43.44161158952436,44.29334730892433,45.178588055557555,46.28305137952721,46.66408029372506,47.25652458385128,47.62710084200839,48.647020905675284,49.69354755800879,50.85978349594701,51.99781964383368,52.600215805804346,52.90078253757274,53.67576798224832,54.56321037709302,56.05701614181302,58.00777034994526,58.810092281726746,60.184679118034964,61.42169667551334,62.55809279993212,63.302406650849086,64.63919135506748,65.98247066539537,67.43622432697454,68.27115673103475,69.8577660119092,70.72219147208645,71.84892969824486,72.51471786687911,73.43620616904622,74.18769569070167,75.00258190438726,75.74417238301176,76.2299451539056,77.23779875701892
Trial_2,-0.4473427224803497,3.146887950422725,6.600047013954452,10.46858064488341,14.88984016191535,18.393335642578947,20.653942501396106,22.154504436350962,23.895455017230134,24.741527675416407,25.968801440259845,26.44815180875851,27.351907539266243,28.140571391297964,28.932756446541703,29.6831187648615,30.56415698253173,30.872837451793522,31.912905074668462,32.98775127660439,34.39227589300656,36.42621569681097,38.020436300515236,39.65181733846156,40.93899752730469,41.7952868340728,42.72078168127703,43.22838815173378,43.59298878400251,44.20436649328035,44.46188223261373,44.92475521760102,45.37641762968324,45.90124605640897,46.418849119925014,46.726943533696016,47.11446607554585,47.576462372544775,48.423537411494415,49.44018406588202,50.27546581127873,50.976177256866066,51.78084923139913,52.15442386542609,52.444649706572925,53.02104432499869,53.672977029122485,54.957025378170435,55.39962119051027,56.054145045627536,56.447526625118535,57.502741334232454,58.49750080045254,59.42313268249189,60.64558575046631,61.574293632060495,62.40250091951737,63.15122634317826,63.80361602998621,64.2295460883168,64.71971094748409,65.38411087011265,66.4422894246694,67.1194636058674,68.04438356081975,69.53313208761419
Trial_3,-0.2954433186923463,1.923118960147068,5.403194936090168,8.633423126287733,12.442262042035852,16.15950088634361,18.892636738695256,21.154902753217684,23.389790057074542,25.537725770471116,27.018694964588903,27.917709230966558,29.115781719789393,30.9614744764387,32.28383608589725,33.60216279035806,36.11946254635045,37.614666064990864,39.1072800892838,40.0763157761728,40.958559662840464,42.49324061282512,43.45293338320059,44.419252329204184,45.258153773803805,46.0905480745571,46.92924373419803,47.63528934175038,48.33982763749354,49.086140487191415,49.175361696800884,50.145654397706174,50.93853518909031,51.69346709084343,52.27205136658319,53.07052209560792,53.64809463189853,54.093240943005824,54.58568860109608,54.86002635600929,55.22031175494263,55.400403742896785,55.62151997317703,55.93166525096078,56.02442506903915,56.07439672631102,56.34693215272225,56.48290897659415,56.531211861989924,56.62181354577037,56.62532919362002,56.67155374816703,56.7624399688271,56.76374289783517,56.85458839451872,56.858016155625485,56.9940405961517,57.08385571156569,57.17496920163652,57.22053220133899,57.22199222253671,57.48870734247614,57.57698943010211,57.71031160676437,57.71185527175201,57.711940564137066
Trial_4,0.3852249841349638,3.905690307748624,7.596876061016112,12.550285842758782,16.883056475626226,21.587201928245307,25.59671405566588,28.435432463523565,30.636535047147685,32.291437229259806,33.63727454530242,35.075187222705445,36.12985193442253,37.12017400713055,38.24365738016183,38.62110049056118,40.056765292190136,41.02277210178581,41.860154695788914,43.38622935540183,44.74293354569776,45.688786075298374,46.79096810778452,48.23101648647714,49.60747059875932,50.880658267026995,52.253581560348586,53.26184662414675,54.30766406272733,55.123402168152154,55.64996742328802,56.50542561018734,57.36776277541805,57.60603165271988,58.538073161828585,58.95837343715557,59.91881130311118,61.34127847632108,62.753195744894605,63.95663342429718,64.9421665432634,66.51598110621946,67.44238345291622,67.9341343934059,68.80080881863171,69.17722607745606,69.96297274798734,70.32353348672801,70.47481171706637,70.65817824404039,70.83300596642506,70.97558570430179,71.21941510801838,72.02356237680944,72.63077887095154,73.19983064885429,73.77840013912385,73.97077913112795,74.27507183220372,74.67844084036318,74.8862834545643,75.24588725693488,75.83318754991677,76.30080322421126,77.05983873600827,77.91932986903086
Trial_5,-0.4146162348808825,3.714640170202283,8.035057759428923,11.613908265895116,16.700104983035427,20.80796192734697,24.684115937075305,27.662107598544804,29.56279546796226,31.546417070168836,33.05391463519439,34.151510569048035,35.422990603284944,36.40362679195512,37.1818372169971,37.67978274561971,39.02380615332987,40.135105755104306,41.22057696967937,42.39210582006711,42.90799408379021,44.09134117487198,45.29956235542777,46.78674935031193,48.071412371873784,48.98069948604293,49.83221213540405,50.145909402320605,50.82694958146256,52.158831738173674,52.8643814461585,54.38732596417689,56.078341619748336,57.755988918101224,59.515319401021024,60.83076327917069,62.35903180915593,63.29940735731014,65.4482184371395,67.30741975418006,69.58161414308701,71.44259483427258,72.68067830503668,74.82133995478094,75.8365181234926,76.77004699425702,78.39825242733201,79.17570919500831,79.76496758285012,79.88030614155441,80.65663633779795,81.08093449080506,81.43858405071056,81.61043363134526,82.19941507296095,82.34315495556245,82.53571946057235,82.77929843040606,83.22890585620648,83.55580577788602,83.86244884860538,84.93576385320681,85.25905924158859,85.33864483026126,85.48533706126167,85.58787122884614
Trial_6,0.08683920986195354,2.9760646622739824,5.899369550617259,9.046913480818539,12.571999953401496,16.300903890345136,19.467946866783095,21.3224990239981,22.965033235864876,24.82527374079703,26.754978054244184,28.902075008201237,30.087592392960513,31.620723099762824,32.86069779849235,33.8666080414192,35.64374694813813,37.61763436426568,39.099918110069645,39.894301246001326,41.22418994463309,42.521895207744684,44.48357222463477,45.38856302634126,46.94384181984564,47.68057661823219,48.4802836950276,49.28047792735093,50.256833261022585,51.312951406590436,52.822720813617416,53.96062344543286,54.88527959856457,56.42404341959582,57.49713993438367,58.725523339823404,60.27295804578251,61.27312932790092,61.62080494157972,62.30662639879811,62.80903066752276,63.55122888732421,64.75515568684666,65.8982673989571,66.69686345567706,67.54976730866845,68.55098881196187,68.9744401799947,69.71083144143469,70.2307266308157,70.6993246759617,71.42280788123739,72.4055788089333,72.78253217891177,73.99952207309119,74.63990368508699,75.17831372385415,75.5085789895746,75.78058568704522,76.41564123245512,76.95036142215818,77.58646273664921,78.01969451403113,78.24527835377661,78.27932080588367,78.44941395398483
Trial_7,-1.6932182021297846,0.48402684831986886,3.437342803129509,7.121768722991521,11.370897325020023,15.733891554624133,19.121469225721665,21.933455024347996,24.51182293614279,27.292630036543915,29.023194497017347,30.954433126789713,32.50474156387267,33.85511862551382,35.15168218642124,36.347407355948555,37.70666832027895,38.84656019095447,39.2196201049311,40.06435416488577,41.189370972913586,42.1066614588037,42.89759055209434,43.34640873943943,44.11423334117886,44.42119472006423,45.04605360530302,45.40228588953396,45.73892980375368,46.191436526644665,46.39696429509311,47.015359340629686,48.18466368293888,49.32096654089608,49.90148765491307,51.38305508488113,53.20191817003378,54.66662610463149,56.3158073606992,57.299648675452715,58.66611930524507,59.84582244848341,60.444178824012496,61.72664268718004,62.27808311803937,63.11317811328494,63.53229221755828,64.26240329383272,64.76074827903375,65.15615021909949,66.08527432436748,66.48672348637051,66.96910511759066,68.1189066389925,69.10570642830312,70.34129355515284,71.61704089255176,73.02977076116383,74.05282462511148,75.04602631999926,76.04171143801743,77.17335736102562,77.88658287442021,78.65692598963481,79.16809058957861,79.59730574439659
Trial_8,-0.5650206830244199,2.878736187693721,5.794369499591775,9.276999495924823,12.722558909125409,16.131622545750496,18.975418621652047,20.653484925564122,21.253337906523665,22.06679156913125,22.207070859283032,22.613111501185134,22.924925405662,23.189334910899365,23.411582818313672,23.678292705651607,23.946221902404805,24.6539240254186,25.14304693110783,25.767445489453966,26.30156382894803,26.836815796872493,27.41867314657778,27.911161360991503,28.008510183736988,28.05944492915606,28.242673537211367,28.42577927401794,28.520002626150607,28.739943856295834,28.829899223777847,29.44343514097964,29.79563867630569,29.929513701424685,30.104153481918036,30.32440772509014,30.800920481247534,31.063285498931414,31.239005484575763,31.40875500868846,31.539186848976392,31.885941431232688,32.14864959840164,32.23533239697628,33.18050648694817,34.1262701553021,35.1042627104129,35.56213269163481,36.094069658840915,36.425766377525406,37.05854468334981,37.39028286985224,38.03042934977609,38.33234904079116,38.77311021804853,39.0098550302519,39.362471908269555,39.94361166867813,40.12434809772643,40.38181395278389,40.619059139695565,41.33398349108973,41.50438253748331,41.67661245578989,42.05381348150335,42.23468150363815
Trial_9,0.42639470866706747,4.224556770475462,9.559211024289304,13.428956378847799,17.658841907970825,21.65033684507552,25.325470434076053,28.225512961172903,29.951333526599573,31.04422584013348,32.09626784256373,32.81604687821216,33.76734455745914,34.459577234713514,34.803860922376934,35.12627613276097,35.63315484407183,36.17641130234583,36.57118894895254,36.8474024043227,37.07302232131055,37.38759964801031,37.610122810944034,38.00739231513052,38.27201022952646,38.86237803366773,39.55329833048894,40.231634311136474,40.917744877369955,42.046583045383294,43.24199440236615,44.098266133500275,44.79532713911453,45.597873557783444,46.37103112505496,47.02302602067428,47.21339669599635,47.395202838450935,47.573387213218545,47.79197207956726,47.79431839893387,47.968345909674696,48.27595328428777,48.632254715813836,48.894863963804795,49.070000941100204,49.61091590501265,49.71463274232266,49.85030156143527,50.07827298307935,50.26614978799154,51.27125210407546,51.553636074004615,52.168287151600126,53.05237542342285,53.7494547771224,54.45269983445705,55.32153110827591,56.27892299920421,56.514845492339546,56.70047926933853,57.40728528708868,58.20395601634484,58.74613290572616,59.83624463102723,61.79147329659816
Trial_10,-0.8897640659533104,2.052973087583679,5.1470027700991885,9.26111777802796,13.413912474523713,16.944616636212864,19.60591693246101,21.73974877075153,23.54222249944005,24.303841153979416,25.728937701192326,26.527662499976888,27.368861464483807,28.308379884586017,29.022600161072223,29.78906416958248,30.906517355462114,31.528805910420424,32.19855664200811,32.85596851883961,33.33670473393158,34.090391711291275,35.19816425441535,35.977218869893115,36.599463846136196,37.69945084990188,38.4592985100377,38.952532478801466,39.495731060683596,39.88934161927328,40.07664197451411,41.06953697830311,41.91355415766981,42.09091871282615,42.796780509870516,43.331457509642696,44.32540373444521,45.1347690725576,45.7484671882333,47.75853474446444,49.380326305128236,50.5551039033553,52.12030514109988,53.682552196807116,54.59391844065584,55.49386946020571,56.6957890835048,58.12380835461452,58.883811747774516,59.90148605589174,60.61067997977687,61.48994293487434,62.78492673587033,63.68820962780806,65.10051729995259,66.53224231613413,67.6169495378051,68.05316279778145,69.02424065069664,69.69709448039532,71.07061749001,72.03727961383339,73.56164164555742,74.87237465830106,76.14182715854083,77.59358041723617
