,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11
Trial_1,84.75686730400922,84.75686730400922,84.75686730400922,87.6753854799374,87.6753854799374,87.6753854799374,87.6753854799374,87.6753854799374,87.6753854799374,87.6753854799374,88.63760523667571
Trial_2,30.60183729848225,65.51383921105591,65.51383921105591,65.51383921105591,65.51383921105591,65.51383921105591,65.51383921105591,85.64031615015261,85.79421098074653,85.79421098074653,85.79421098074653
Trial_3,84.81689264854283,84.81689264854283,84.81689264854283,84.81689264854283,89.6629165387529,89.6629165387529,89.6629165387529,89.6629165387529,89.6629165387529,89.6629165387529,89.6629165387529
Trial_4,38.406955465857564,48.07307397402959,48.07307397402959,65.43896933410343,65.43896933410343,65.43896933410343,65.43896933410343,65.43896933410343,65.43896933410343,65.43896933410343,65.43896933410343
Trial_5,30.54041448585584,39.21925648420767,65.91550058692482,65.91550058692482,65.91550058692482,65.91550058692482,65.91550058692482,74.19206505630008,74.19206505630008,74.19206505630008,86.41711936420812
Trial_6,47.01621003474187,56.86877351051686,56.86877351051686,56.86877351051686,84.24085271205962,84.24085271205962,84.24085271205962,84.24085271205962,84.24085271205962,84.24085271205962,84.24085271205962
Trial_7,73.96677961290973,73.96677961290973,73.96677961290973,73.96677961290973,73.96677961290973,73.96677961290973,73.96677961290973,73.96677961290973,73.96677961290973,73.96677961290973,73.96677961290973
Trial_8,47.23842723119594,47.23842723119594,56.11551334795722,56.11551334795722,56.11551334795722,56.11551334795722,83.8200955456225,83.8200955456225,83.8200955456225,83.8200955456225,85.67659077784126
Trial_9,38.4867698890877,38.4867698890877,48.03642065638155,48.03642065638155,55.83993079240388,55.83993079240388,55.83993079240388,55.83993079240388,55.83993079240388,55.83993079240388,56.21102825700783
Trial_10,55.83837799706081,55.83837799706081,55.83837799706081,55.83837799706081,55.83837799706081,55.83837799706081,55.83837799706081,55.83837799706081,55.83837799706081,55.83837799706081,55.83837799706081
