,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11
Trial_1,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,89.12877853727385,89.12877853727385
Trial_2,83.91496635783318,83.91496635783318,83.91496635783318,83.91496635783318,83.91496635783318,90.81324522135148,90.81324522135148,90.81324522135148,90.81324522135148,90.81324522135148,90.81324522135148
Trial_3,30.519361076658008,38.01806532284361,65.10330566837729,65.10330566837729,65.10330566837729,86.10296575233355,86.10296575233355,86.10296575233355,86.10296575233355,86.10296575233355,90.36915772258146
Trial_4,30.59282822853988,30.59282822853988,30.59282822853988,39.33703951986406,39.33703951986406,39.33703951986406,39.33703951986406,39.33703951986406,39.33703951986406,39.33703951986406,39.33703951986406
Trial_5,30.35455310235676,84.55828865951929,84.55828865951929,84.55828865951929,84.55828865951929,84.99179856794203,84.99179856794203,85.99932849575134,85.99932849575134,85.99932849575134,85.99932849575134
Trial_6,30.579465000727716,30.579465000727716,39.4165036912183,39.4165036912183,39.4165036912183,39.4165036912183,39.4165036912183,39.4165036912183,39.4165036912183,39.4165036912183,48.00853545289202
Trial_7,56.38126101648278,56.38126101648278,56.650861008620204,65.21441235499208,83.93191591614696,83.93191591614696,87.0153854799374,87.0153854799374,87.0153854799374,87.0153854799374,91.23412012473597
Trial_8,56.7290115681417,56.7290115681417,56.7290115681417,56.7290115681417,56.7290115681417,65.58490304082841,74.48825467035527,74.48825467035527,74.48825467035527,84.79711936420811,84.79711936420811
Trial_9,29.826213896098064,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,30.716796271262012,39.147797520225524,47.39876988127112,47.47497034215654,84.77659077784126,85.31382834514534
Trial_10,83.63961591781401,83.63961591781401,85.90806444416042,85.90806444416042,85.90806444416042,85.90806444416042,85.90806444416042,86.26589126118618,86.26589126118618,86.26589126118618,86.26589126118618
