,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11
Trial_1,84.75686730400922,84.75686730400922,88.71496635783318,88.71496635783318,88.71496635783318,88.71496635783318,88.71496635783318,88.71496635783318,88.71496635783318,90.50038509634582,90.50038509634582
Trial_2,83.91496635783318,83.91496635783318,83.91496635783318,83.91496635783318,83.91496635783318,86.48031615015262,87.33625005099381,87.33625005099381,87.81431628221762,87.81431628221762,87.82159479915268
Trial_3,30.519361076658008,47.50927646549749,47.50927646549749,47.95974528872259,85.79035802314753,85.79035802314753,86.20921057609105,86.20921057609105,86.20921057609105,86.27035802314752,86.33035802314753
Trial_4,30.59282822853988,30.59282822853988,30.59282822853988,30.64341372532799,39.21925648420767,48.13070308686623,57.013547994715566,57.013547994715566,57.013547994715566,57.013547994715566,57.013547994715566
Trial_5,30.35455310235676,47.36143221083348,47.36143221083348,47.36143221083348,56.563849631630575,83.185645497745,83.185645497745,83.185645497745,87.18915772258146,87.18915772258146,87.18915772258146
Trial_6,30.579465000727716,30.59282822853988,30.59282822853988,30.62010264645954,30.62010264645954,30.62010264645954,30.62010264645954,30.63402398497815,30.63402398497815,30.63402398497815,30.638707834290575
Trial_7,56.38126101648278,56.4575280394932,84.21256827514917,86.2963713718616,86.90427655136871,86.90427655136871,86.90427655136871,86.90427655136871,87.16704379932295,87.16704379932295,87.16704379932295
Trial_8,56.7290115681417,56.7290115681417,65.76363040979629,65.76363040979629,65.76363040979629,65.76363040979629,65.76363040979629,65.76363040979629,65.76363040979629,65.76363040979629,65.83248350911165
Trial_9,29.826213896098064,39.21925648420767,39.35102576183879,39.35102576183879,39.35102576183879,39.35102576183879,39.37237888630936,48.07307397402959,48.07307397402959,48.07307397402959,48.07307397402959
Trial_10,83.63961591781401,83.63961591781401,84.54668156671964,87.90143221083352,87.90143221083352,87.90143221083352,87.90143221083352,87.90143221083352,87.90143221083352,87.90143221083352,87.90143221083352
