,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11
Trial_1,0.4195774975976704,6.539882579998111,13.899089920938263,20.0012608235275,25.939212417646985,30.163755277869786,34.878228579699716,37.55301125066927,44.62795731548256,49.68005459046565,55.589596964277746
Trial_2,3.4512856253232456,10.988588310159036,19.40437623244809,26.871443730442458,35.79271384033779,42.860172157313436,49.31176461938327,57.83187796852001,65.57088265954957,73.8601498356734,80.03262874979234
Trial_3,0.5406502302700825,5.366527636329575,12.084008855873229,18.951203918434388,25.716771288369852,32.33745016762174,37.07456920857702,42.238029389653796,50.956235976533186,58.427655996289396,66.28378396022926
Trial_4,1.3134737384915853,7.194802233348277,13.17066261708354,18.682406527848954,23.391465669544292,25.937521148687676,28.250145052265992,30.007658896493414,32.20003763294378,35.97884113540466,37.39787320364066
Trial_5,0.04050944761852426,5.25740015740794,10.446972587811036,16.29072086848245,21.309361112519017,26.834319989673403,29.77684684513235,33.12964531849329,38.390540871732874,43.26586262650546,46.975642512195556
Trial_6,1.2844132946919384,6.202034549509701,11.788584506817912,17.7946812925123,21.802174690249714,23.554058174664068,24.657200063071347,25.55632446509805,27.066930404120743,28.127715264481303,29.36926531595309
Trial_7,0.9583559414535778,7.596837535950667,19.2507450442483,29.088502413565234,40.172271258165864,48.29563708086934,56.54861598605791,62.500844375924004,67.8943601320509,72.34523873557367,75.23644840463972
Trial_8,-0.3453877545788205,5.779566329744028,12.618809600000565,18.791994512234403,23.390924841273414,28.102170556343637,31.90143741809396,36.27880056769093,39.32845941654775,43.44917226730403,46.53737136636762
Trial_9,-0.9792367542248279,3.996473824409622,9.251854410142482,14.68456220463803,18.524900012836916,21.75277825919618,24.808321651929322,25.981688896428864,27.302432277635386,28.708831689238988,29.417011806094045
Trial_10,0.5207881623266212,5.570672282218125,12.127778614548385,18.9329039632924,24.765182566570935,29.432657322500273,33.60210618665504,38.94389849420339,43.88258885421806,47.4228845185913,53.533064519196934
