,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11
Trial_1,0.4195774975976704,4.8720434281820895,9.547343355672302,16.654300642827387,23.595924021244844,30.445695223298095,35.1646810754654,38.907120782332434,43.80213235442242,47.91703974506982,52.81166288713789
Trial_2,0.7576481422768617,5.721310134351137,10.053810715002514,15.001826612621239,19.239969945387625,21.853391524772384,25.859898448123328,29.67324002095942,32.13330741834712,34.14875295731881,37.92834325731981
Trial_3,-0.18311558629411637,3.602408979200857,8.884790522336363,14.258785455492266,19.152555959800708,22.400105014701744,23.998112902771968,26.574939353275887,27.385752689073815,30.583090669429225,31.935964977474526
Trial_4,0.7832794042707679,6.083358794395504,10.59192348416567,15.518177782363091,19.14002365980432,22.00683210617482,24.259912680569965,25.677833537118463,27.638748424249776,28.795357614693703,30.11330543280508
Trial_5,-0.5913245958893257,4.134947073443621,10.177881475412947,15.841085571385145,21.520893458819042,26.546817017511092,30.101120915724895,33.39143936140329,34.194705287372784,37.453117596023766,39.68470309947576
Trial_6,0.022281543574380967,3.3377511657960017,7.213665868937096,11.127863149668137,15.722412408210591,18.387217549082678,22.07381382975849,27.330588054257397,29.131554473118303,33.20562572189701,36.327178328453755
Trial_7,0.9299547099510852,5.329628611487539,10.02712781297923,14.390262032499558,18.643687290822825,21.451748905194634,23.165353448913603,23.88799175728437,24.528600988001767,24.798663599746842,24.979581285483796
Trial_8,0.8025110063263804,4.690816951646532,9.73832019529375,15.132721885853412,19.22090391722075,21.196646557894084,23.985627232177556,26.02527953228818,26.76494273993853,27.75731652971804,29.37980764221596
Trial_9,-0.5468076591152164,3.7632081064331446,8.930129059393996,15.025907254266714,19.199308830027118,22.58388798842655,24.489366802152798,25.910418757403587,26.523556721129854,27.655081569501434,28.62103153377413
Trial_10,-0.494902768999739,3.7820178691757484,9.639638677673178,14.332105087334714,18.334275298573896,21.122979756386954,22.8334008575749,23.235769348193166,23.888791092796954,23.992367424630597,24.167859894525677
