,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11
Trial_1,0.4195774975976704,4.414566682722054,9.308817394530253,12.231135587930275,16.625236407925442,18.699536467170702,20.05564141700314,21.92073572279282,24.48475198511418,27.456029646913844,29.311997769920172
Trial_2,3.4512856253232456,8.030663659564508,12.029382287415077,14.515356883119956,18.095434738947937,21.707580647279414,27.64801497075221,32.281794753578495,35.05750526146525,38.98323767959014,41.703112363860924
Trial_3,0.5406502302700825,4.262524382751106,8.850037672843568,13.006555163819792,16.362392222069776,19.6138798618358,22.308560533018664,26.014567544805363,29.457134746235383,31.737319023403316,34.776833277247476
Trial_4,1.3134737384915853,4.748893233963476,8.494996464704736,14.31219870692034,17.208062261244365,20.387133261908335,22.02367338672721,23.115591335404414,23.318941782158987,23.59861460152554,23.955118943688095
Trial_5,0.04050944761852426,5.248106660930242,8.286210621933684,11.531944583493395,14.67097207248687,17.10609404553486,18.447919758174443,21.41709384503227,23.539963846872944,25.53344444307843,28.19115051572341
Trial_6,1.2844132946919384,4.595058218684357,8.849223262477853,12.624207360587366,15.4529716223253,17.122061140446352,18.747424546431088,20.276188492074926,21.625403963085095,22.26435531262364,23.152522390393457
Trial_7,0.9583559414535778,4.991888606271191,9.895957456526789,12.731770720905192,18.250835623895036,21.457546262434693,24.64282614020754,28.620898028207197,30.12345820204592,32.70518956154195,36.11019304388225
Trial_8,-0.3453877545788205,3.6954542711659615,7.678089020027022,11.314886761533872,15.4675250050134,18.271585216199,21.406367328999668,24.18062115457299,26.24445414158511,27.33363151723591,28.30776128740808
Trial_9,-0.9792367542248279,3.3644166003679477,7.108760526091744,11.620696731651671,14.542631186359074,16.239021993194708,17.77862378098852,20.734197390317387,22.23469530410513,24.044020052596103,25.911744553321927
Trial_10,0.5207881623266212,3.433661604128154,6.588736873800576,9.139158480958779,12.115132642749497,14.817626763423869,16.4411042669194,18.91182709594562,21.31836113123093,22.378629699812205,23.738000057798104
