,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21
Trial_1,84.75686730400922,87.96543794147892,88.77870395408988,88.77870395408988,88.77870395408988,88.77870395408988,88.77870395408988,88.77870395408988,88.77870395408988,89.0915067883514,89.60825269974836,89.60825269974836,89.60825269974836,89.60825269974836,89.60825269974836,89.60825269974836,90.87328304939494,90.87328304939494,90.87328304939494,91.09515222202916,91.09515222202916
Trial_2,30.34051778424038,48.13070308686623,48.16226955283406,48.16226955283406,57.011038583110135,57.013547994715566,57.013547994715566,57.013547994715566,57.013547994715566,57.013547994715566,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281,57.01606371931281
Trial_3,56.22577611364238,83.35124045250835,85.57829930534797,85.57829930534797,85.57829930534797,85.57829930534797,85.57829930534797,85.57829930534797,85.57829930534797,85.57829930534797,85.63476365051567,85.63476365051567,85.63476365051567,85.63476365051567,85.75358787142666,85.75358787142666,85.75358787142666,85.75358787142666,85.75358787142666,86.11358787142666,86.11358787142666
Trial_4,38.636971896459535,47.72712299345383,85.04248593745463,85.87146218183535,88.6382886595193,88.6382886595193,89.83724208694863,89.83724208694863,89.83724208694863,89.83724208694863,89.83724208694863,89.83724208694863,89.83724208694863,89.83724208694863,89.83724208694863,89.83724208694863,89.83724208694863,89.83724208694863,89.83724208694863,89.83724208694863,89.83724208694863
Trial_5,83.25891603571088,83.25891603571088,83.7741089251166,85.71328304939495,88.17328304939495,89.31328304939495,89.31328304939495,89.31328304939495,89.31328304939495,89.31328304939495,89.31328304939495,89.31328304939495,89.31328304939495,89.79328304939494,89.79328304939494,89.79328304939494,89.79328304939494,89.79328304939494,89.79328304939494,89.79328304939494,89.79328304939494
Trial_6,46.94382471589959,55.78677961290972,64.79288114379224,64.79288114379224,84.67358787142665,84.67358787142665,84.67358787142665,86.17358787142666,86.17358787142666,86.17358787142666,86.20969895180335,86.86349300762785,86.86349300762785,86.98912576535385,86.98912576535385,86.98912576535385,86.98912576535385,86.98912576535385,86.98912576535385,87.94285429811339,87.94285429811339
Trial_7,47.335590979649595,47.52149035779143,48.182888840036796,65.78539190157781,74.19649474239166,85.99124045250835,90.25933632855174,91.21933632855172,91.21933632855172,91.21933632855172,91.21933632855172,91.81828865951928,91.81828865951928,91.81828865951928,91.81828865951928,91.81828865951928,91.81828865951928,91.81828865951928,92.00038509634581,92.00038509634581,92.00038509634581
Trial_8,83.24143496520865,83.24143496520865,83.5736094851523,85.87789140255022,87.47069565974174,87.47069565974174,87.73063674656258,88.35536476436478,88.35536476436478,88.77536476436478,88.77536476436478,88.77536476436478,88.77536476436478,88.77536476436478,88.77536476436478,88.77536476436478,88.77536476436478,88.77536476436478,88.77536476436478,88.77536476436478,88.77536476436478
Trial_9,85.51871032945964,85.51871032945964,85.51871032945964,86.2785318236463,86.2785318236463,86.2785318236463,86.2785318236463,86.2785318236463,86.57727049306816,86.57727049306816,86.57727049306816,86.57727049306816,86.57727049306816,86.57727049306816,86.57727049306816,86.57727049306816,86.57727049306816,86.57727049306816,86.57727049306816,86.57727049306816,86.57727049306816
Trial_10,30.56627799644576,30.56627799644576,30.56627799644576,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988,30.59282822853988
