,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21
Trial_1,0.6455134285447138,8.840659832340036,15.796821566890602,25.224308477624916,33.817205981320754,44.39845792639032,55.26941901771466,62.80579628852118,70.16167636011797,78.00039911766942,81.2608061700739,84.06221022527232,85.6170538006238,87.01974967650443,87.37295651497277,87.63669717801984,88.08737627842648,88.39350744732687,88.64432895713846,88.91331941972065,89.12369664140711
Trial_2,-0.451141210655405,4.065072510002703,9.277999286677348,13.259307035413006,18.3493940200963,22.79190105705737,27.16456147954139,30.214207891239795,32.59030246431661,35.13384073141534,38.226395952323045,41.56945552209194,45.382205348775386,51.32152966092367,56.79648101871906,60.29741470524559,64.97029476241022,68.78549299415855,73.48245270068736,76.47883257926036,79.35932514301862
Trial_3,0.42776422905004,8.001779471677263,21.41915829443603,34.66358646621044,48.511503468092336,60.185084082053855,70.36349487587597,77.56819464632973,82.8938553767791,84.07048610023807,84.64470916153977,84.77027463027635,84.89670414538718,85.00522831378447,85.07841465719167,85.15235782889529,85.2150441723025,85.28463051570972,85.39091110959689,85.46611584964955,85.59780935465766
Trial_4,-1.2766721221666073,4.013631855287947,10.359801969869366,17.134321180807394,23.09822605648078,27.088291079674896,28.670589482985978,29.87975675780094,30.685672031958994,30.697301779371614,30.702698250130588,30.704881802058058,30.705958132349224,30.706634459306997,30.707460409991167,30.70811117045517,30.708861931752516,30.709088127439735,30.709289639200932,30.709415584051683,30.709516339932282
Trial_5,-0.42487010139939585,5.154147939525153,11.561636731939926,19.113974268381476,26.804296543172228,32.35096270355182,36.35721428689755,39.572871558429895,42.73173202060739,44.66755893985923,45.90253579607059,46.626127294353,47.3461670301167,48.064895791860316,48.068966053810655,48.0733285408239,48.07754709834299,48.0800440275438,48.08291155498074,48.08472480468781,48.08610012899585
Trial_6,-0.4770749162062276,4.706973302753461,9.829478983726045,14.812517582237678,18.60920037578574,20.58526590532394,21.521987743349282,22.388501862145194,23.329694179738404,24.67381727112185,25.838298379706476,27.317689570213812,28.572603359843914,30.041725763855055,30.710128870634467,30.7128280837474,30.7137114832575,30.714468682837595,30.715049432087003,30.71540386322396,30.715732977851136
Trial_7,-1.0304622630544826,4.691808585963889,13.884846683153896,26.78476838747172,38.64020269267739,53.35985352858445,66.06874103536185,77.48835679902018,84.98062140065012,87.03818918768062,87.65022063124718,88.21203770452477,88.48490784258114,88.61938900676324,88.71974890983255,88.85058082156644,88.9415008444921,89.05887368565796,89.13850489612295,89.20456006272492,89.22570395408988
Trial_8,0.5779048163646463,6.188450948188274,12.91545243663941,21.324058685613437,29.119526117109434,39.202066648316496,48.90693804167864,56.7776780096523,64.7726608520882,71.56922290594544,77.11383080927253,81.04935801032948,85.22024533761292,86.9945736770338,87.28802277150633,87.50045210647563,87.72608114895873,87.8707933632649,88.08987864120833,88.15794518072724,88.28367924967887
Trial_9,0.24058482762751857,7.3557188149012385,15.047673830980889,23.67305354278552,33.73507356020503,42.88728827467707,51.212794720485675,57.00326031216708,64.44073634608107,71.24789641544015,76.414255595907,79.4129058230222,81.1662584133426,83.02540179340399,85.1886009739119,86.45979254384532,87.26313638669053,87.77374382594263,88.07607882224494,88.31501779093168,88.62119192450173
Trial_10,-0.31190508337564615,5.271854893631108,9.86902586325747,14.672298911875963,18.379819962922127,21.449417235810817,25.97226891423499,29.234590693527416,31.127931445308313,33.523461511537015,35.7385338918809,38.90945604627399,41.03874249734189,44.05792443982227,45.27162570797048,47.02921272480026,48.75665595019328,50.609428020745575,52.340390272231744,53.16310317356559,54.23552429780805
