,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11
Trial_1,0.4195774975976704,6.215122597977604,14.708251120343716,26.039642428753144,35.709345267737085,49.19064440927599,56.050133808390676,64.06573768563929,75.36832890900084,81.36982457996774,84.67485866904909
Trial_2,0.7576481422768617,6.713297715951665,13.16829240269954,19.27861068161493,28.313257572620174,34.89539377192933,42.836555516903054,49.5716811568551,56.74862685408727,62.5060455102948,66.17508130027362
Trial_3,-0.18311558629411637,4.786698477866178,10.516159239042693,17.48207529064966,24.756479288312203,32.447387263384215,38.92947391792397,47.06945148720967,57.22656561018327,65.95370509541823,71.66468432037105
Trial_4,0.7832794042707679,6.715179125104842,14.0830719936427,22.68093486736665,29.467072033437304,34.415559727974,40.34511991847153,47.48411114651952,52.912378313876985,55.986774115878774,59.4075587866937
Trial_5,-0.5913245958893257,4.6811420577329335,11.003606069413976,20.375385432683423,27.853337472264684,32.20939175038295,35.348106774802226,37.58173186375845,39.37064269870459,40.97241442141024,43.00132703881433
Trial_6,0.022281543574380967,4.211820149841942,9.282899045801708,13.742524248122725,17.4612661293482,22.694141379901822,26.112421148042557,30.142677579216784,34.51908850741945,39.863743421226644,45.19315722302547
Trial_7,0.9299547099510852,6.791799173764185,14.637383985946792,20.726590426022657,27.820295146488135,34.4356755405658,42.91900754650305,51.75268544897007,59.71349255667438,67.9323420907402,74.08487153422547
Trial_8,0.8025110063263804,5.473991968400704,11.709843248342395,17.091940960486383,21.57074161571745,25.327471349487052,25.90288139165415,27.137063382144923,28.516223413986847,30.870045282855955,34.39004859229404
Trial_9,-0.5468076591152164,4.20031972562488,11.397862793950264,18.2471127960304,23.740054743068132,27.661844983427404,31.966017001568343,34.805522859157236,38.39005227340209,40.827395909927,42.65275407840076
Trial_10,-0.494902768999739,4.764042221019733,10.52662944597793,16.90213001008729,21.462104163200546,23.96987858427453,26.307177842377044,29.628979044218685,33.10687942342106,35.402125421689874,38.94398693245727
