,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11
Trial_1,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,84.75686730400922,86.93380828533968,89.27035802314754
Trial_2,30.60183729848225,83.38706577878423,84.88266718531443,84.88266718531443,84.88266718531443,86.22771745730601,86.22771745730601,86.22771745730601,86.22771745730601,88.11199937470394,88.11199937470394
Trial_3,84.81689264854283,84.81689264854283,84.81689264854283,84.81689264854283,85.6642194860387,85.6642194860387,85.6642194860387,85.6642194860387,85.6642194860387,85.6642194860387,85.6642194860387
Trial_4,38.406955465857564,38.406955465857564,65.42771745730599,85.41199472542365,85.41199472542365,85.41199472542365,85.41199472542365,85.41199472542365,85.41199472542365,86.47586874329959,86.47586874329959
Trial_5,30.54041448585584,39.21925648420767,39.361645330666256,39.361645330666256,57.028738160209535,57.028738160209535,57.028738160209535,65.8753166091058,65.8753166091058,65.8753166091058,65.8753166091058
Trial_6,47.01621003474187,56.03681001412976,56.03681001412976,56.30915772258144,84.55012053692775,86.11012053692775,86.11012053692775,86.11012053692775,86.20229505687139,86.20229505687139,86.20229505687139
Trial_7,73.96677961290973,73.96677961290973,73.96677961290973,73.96677961290973,85.57012053692775,85.57012053692775,85.57012053692775,86.2622950568714,86.2622950568714,86.2622950568714,86.2622950568714
Trial_8,47.23842723119594,47.23842723119594,47.23842723119594,47.23842723119594,47.23842723119594,73.8070657787842,73.8070657787842,83.00493562271289,87.12149035774944,87.12149035774944,87.12149035774944
Trial_9,38.4867698890877,48.04935744741228,48.04935744741228,56.4207487879899,65.10128546567002,65.22007809252774,65.22007809252774,74.0607460539585,74.0607460539585,74.0607460539585,74.0607460539585
Trial_10,55.83837799706081,55.83837799706081,55.83837799706081,86.92804643443418,86.92804643443418,86.92804643443418,88.46653386742003,88.46653386742003,88.69098554933433,88.69098554933433,88.69098554933433
