,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21
Trial_1,84.75686730400922,84.75686730400922,89.77241347317073,89.77241347317073,89.77241347317073,89.77241347317073,89.77241347317073,89.77241347317073,89.77241347317073,89.77241347317073,89.77241347317073,89.77241347317073,89.77241347317073,89.77241347317073,89.77241347317073,89.77241347317073,89.77241347317073,89.77241347317073,89.77241347317073,89.77241347317073,89.77241347317073
Trial_2,21.747726571953372,39.22855887686998,47.75195712549157,56.59477154196916,56.59477154196916,74.14459120139007,88.84727135537517,88.84727135537517,88.84727135537517,88.84727135537517,88.84727135537517,88.84727135537517,88.84727135537517,88.84727135537517,88.84727135537517,88.84727135537517,88.84727135537517,88.84727135537517,88.84727135537517,88.84727135537517,88.84727135537517
Trial_3,30.59732261812772,48.09736666659863,48.09736666659863,56.877507190485616,56.94791083107558,65.54323034442784,65.54323034442784,65.54323034442784,65.54323034442784,86.4292699218565,89.21842723119597,89.21842723119597,89.21842723119597,89.21842723119597,89.21842723119597,89.21842723119597,89.21842723119597,89.21842723119597,89.21842723119597,89.21842723119597,89.21842723119597
Trial_4,30.55326262833369,39.17105438238979,39.17105438238979,39.17105438238979,39.17105438238979,39.17105438238979,47.424924159400376,48.168117522716486,48.168117522716486,56.36143221083348,73.73526982207014,73.73526982207014,88.53870395408987,88.53870395408987,88.53870395408987,88.53870395408987,88.53870395408987,88.53870395408987,88.53870395408987,88.53870395408987,88.53870395408987
Trial_5,85.08468715666028,85.08468715666028,85.08468715666028,85.08468715666028,88.33306671553815,88.33306671553815,88.33306671553815,88.33306671553815,88.33306671553815,88.33306671553815,88.33306671553815,88.33306671553815,88.33306671553815,88.33306671553815,88.33306671553815,88.33306671553815,88.33306671553815,88.33306671553815,88.33306671553815,88.33306671553815,88.33306671553815
Trial_6,47.851531704082355,47.851531704082355,74.26066337264282,74.3317717515826,74.3317717515826,74.3317717515826,74.3317717515826,74.3317717515826,74.3317717515826,87.0553708472827,87.0553708472827,87.0553708472827,87.0553708472827,87.0553708472827,87.0553708472827,87.0553708472827,87.0553708472827,87.0553708472827,89.60064962889993,89.60064962889993,89.60064962889993
Trial_7,30.681880006155783,47.31040073082103,47.31040073082103,47.31040073082103,56.209902764486095,86.71410892511659,88.46653386742003,89.18417677836518,89.40985754988489,89.40985754988489,89.40985754988489,89.40985754988489,89.40985754988489,89.40985754988489,89.40985754988489,89.40985754988489,89.40985754988489,89.40985754988489,89.40985754988489,89.40985754988489,89.40985754988489
Trial_8,39.38322890233343,56.860115447773744,56.860115447773744,56.860115447773744,56.860115447773744,56.860115447773744,57.023649090702065,57.023649090702065,57.023649090702065,74.36931661435763,74.36931661435763,74.36931661435763,74.36931661435763,74.36931661435763,74.36931661435763,85.74306761075248,85.74306761075248,86.17272228761502,89.43686730400924,89.43686730400924,89.43686730400924
Trial_9,30.686794020958214,39.10559716573515,39.10559716573515,48.03642065638155,48.03642065638155,48.05196501081935,56.204294224826484,85.09012053692774,85.09012053692774,85.09012053692774,85.09012053692774,85.09012053692774,85.09012053692774,85.09012053692774,88.10497518017193,88.10497518017193,88.10497518017193,88.10497518017193,88.10497518017193,88.10497518017193,88.10497518017193
Trial_10,30.62010264645954,30.681880006155783,38.98873282559584,38.98873282559584,86.70641427280636,86.70641427280636,86.70641427280636,86.70641427280636,86.70641427280636,86.70641427280636,86.70641427280636,86.70641427280636,86.70641427280636,88.07632721479543,88.07632721479543,88.07632721479543,88.07632721479543,88.07632721479543,88.07632721479543,88.07632721479543,88.07632721479543
Trial_11,65.10229505687137,65.10229505687137,65.10229505687137,65.32040081415562,83.67926933595486,84.67992679346968,87.84213864227898,87.84213864227898,87.84213864227898,87.84213864227898,87.84213864227898,87.84213864227898,87.84213864227898,87.84213864227898,87.84213864227898,87.84213864227898,87.8630436353844,87.8630436353844,87.8630436353844,87.8630436353844,87.8630436353844
Trial_12,39.20090734553948,78.40677961290973,78.40677961290973,78.40677961290973,78.40677961290973,78.40677961290973,87.30307034478389,87.30307034478389,87.30307034478389,87.30307034478389,87.30307034478389,87.30307034478389,87.30307034478389,87.30307034478389,87.30307034478389,87.30307034478389,87.30307034478389,87.30307034478389,87.30307034478389,87.30307034478389,87.30307034478389
Trial_13,30.52353644806849,65.73279945145863,65.73279945145863,65.73279945145863,65.73279945145863,65.73279945145863,65.73279945145863,65.73279945145863,65.73279945145863,65.73279945145863,65.73279945145863,85.24691962434449,88.13671387764435,88.13671387764435,88.13671387764435,88.13671387764435,88.13671387764435,88.13671387764435,88.13671387764435,88.13671387764435,88.13671387764435
Trial_14,48.52677961290972,48.52677961290972,48.52677961290972,56.55111060585314,86.83241347317072,86.83241347317072,86.83241347317072,87.8582886595193,87.8582886595193,87.8582886595193,87.8582886595193,88.62539590051207,88.62539590051207,88.62539590051207,88.62539590051207,88.62539590051207,88.62539590051207,88.62539590051207,88.62539590051207,88.62539590051207,89.04306761075249
Trial_15,29.693724713051985,83.84143496520865,87.86248593745464,87.86248593745464,87.86248593745464,87.86248593745464,87.86248593745464,87.86248593745464,87.9515067883514,87.9515067883514,87.9515067883514,87.9515067883514,87.9515067883514,89.96796705453896,89.96796705453896,89.96796705453896,89.96796705453896,89.96796705453896,89.96796705453896,89.96796705453896,89.96796705453896
