,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21
Trial_1,0.4195774975976704,8.785945881148525,17.23618956274491,19.188433973282184,18.900056556888035,24.59588010292238,25.897200372179686,27.487012692348717,28.914146154068135,27.824199421768853,33.18624835836663,31.844874730040427,34.01536829325018,33.22796015489938,36.0297785578646,36.01377097854268,36.737770362057724,38.21327623540649,35.176236140130236,35.75067901400298,39.60837540842014
Trial_2,-2.1467605071484077,5.328596350089168,12.376492322987362,15.803724476928421,16.229090197637174,18.564711715963348,24.00677044655106,23.75615413103391,25.021358763626132,28.23616964548626,25.908627312208594,30.435972050291717,31.24992143875103,35.45175679976685,35.464543311152305,37.00630227952084,39.07536576209742,39.61275328518926,37.45917501876,38.13841718696011,36.72789210735357
Trial_3,-0.27837379298296966,9.248610429478672,16.47441745440926,15.151162959296279,17.462471788208717,20.397337200401136,19.02067839459177,21.703214440357446,21.834485632365773,24.679910335475935,25.619280962055488,24.316451767203425,24.68442094720314,26.93263904952484,26.650008448118637,26.53711077939836,27.334995966063808,28.329540728368432,32.30301028345709,29.178105881653288,30.169503421577648
Trial_4,-0.5819416377865386,8.248132329444488,14.533898651569848,16.85809861239475,16.191372348760098,16.25531617183791,16.89845941110267,15.03578969642329,17.003157785675953,18.17875903472455,19.737643984946143,20.290170109274765,26.078763171170408,26.5623404849083,25.38230411385983,28.581918630921287,25.816405330219418,28.887636548378236,29.626188876307864,31.300590373416693,31.4851950988288
Trial_5,1.4115761034918934,7.66038411101977,12.798269798668269,14.378662921818206,16.773026734612905,16.421428110934777,19.8359671284768,19.84374445052514,21.679683109106946,22.62224518706552,22.77379213253309,23.50659392651772,24.718731963294793,26.042317582814416,28.04243799482312,28.903566563769868,28.58871885803412,29.408399620441227,29.20504657055592,30.95629707929231,28.293255904848547
Trial_6,-0.5354490407616498,7.104018352480966,15.174805414890848,16.832552108048727,16.028028848281153,19.49253871262091,18.68309980696029,20.713839122457067,20.143798640157126,21.0447091235591,25.235422670003,25.604474945750354,27.49646682345615,27.610829570469228,26.692691522313442,28.710667888051542,29.543531712418027,29.855097601024298,31.746279049660433,33.82836286352733,33.9838813132692
Trial_7,-1.158219698258624,5.709919625542577,11.240360512189104,13.290452418518043,15.9262406097545,18.325787453206516,19.76840773061765,20.626763477793713,22.749052072961,24.28444846851076,25.430176072623222,25.620066898552793,28.390583329543873,27.80833180328469,27.609473692119277,30.16059329670264,31.20472618039029,31.780994776493444,31.890769092090444,33.91971613746397,35.70764379575849
Trial_8,-0.4699772609710522,6.730534375216347,12.150183702091908,13.692023942543228,17.46223720400663,15.533108735984166,18.597291751850488,20.667115632515685,20.953276108810552,21.481426232204512,21.363909442617345,21.865421206314558,21.564449648177177,22.464677977653047,23.11158799028902,24.88788784275252,24.848806398382525,26.761020604781212,27.772215322616002,30.38788828061817,30.402545431697707
Trial_9,0.29997313472160636,9.12533329364574,15.209519062683125,17.601571456912865,19.181827341774287,18.884671352936422,18.14563061708157,20.035064286285834,19.778139267667942,18.68929315794058,20.38444362779428,18.021075537073827,22.655052472716907,22.924725638913042,25.26898253722187,26.581290749565138,24.814683152104436,29.33828896689972,27.163883969090165,29.787028512877182,28.017680370194224
Trial_10,0.21270299023018105,5.592870208001265,10.364014577994496,13.681745120219432,14.431017303476025,13.96334900347792,15.226095306022145,17.552846549415356,16.540826175725098,18.021324530102795,18.795345129074445,19.35332992635149,23.28879496712138,21.702389251267846,22.690983308249546,21.232782986762928,22.815518792024506,24.399645588799068,22.92851141249288,24.365063427756308,25.29393321680784
Trial_11,-2.142418450397702,2.674443312307712,8.673985636638498,15.34554951107523,17.769390529018274,22.39991612933011,22.82290021313073,25.300708079909636,28.315292521179586,28.69672016946549,30.637588627228578,32.34439121878853,31.031421166801707,32.02981796535129,34.19296974088516,31.871526570683358,33.87120487511438,33.83609867440956,34.45207951952118,35.32476202465373,36.695251126456846
Trial_12,-1.960332583881388,6.226280803920803,12.48421551685415,13.934735052300736,15.165761404232423,15.865889024659118,18.299871196361288,19.36745002700228,21.84489592848961,22.69730777861485,22.173741679052906,24.66426088965104,24.841847421071392,25.328764702628604,23.73542373852251,26.260096813812666,29.2173193105497,30.21355150605265,30.585805556276604,35.977151649853475,34.87886719125333
Trial_13,-1.2009142795970664,6.536091038143274,11.538456095043108,15.069743978572067,15.161023836286994,18.18054560202402,17.060973284168668,17.35059793890145,18.44912720957537,21.278575138732773,23.35879316784722,25.08452875457599,24.605997594756207,29.562882169666164,26.43437442759047,28.475607231220394,29.880052035485225,31.816900055014113,31.22800902120775,33.065558003205304,32.07030465487562
Trial_14,1.10087928295834,6.4235154932083764,8.880665442144647,12.621458187610834,17.410524811180135,18.394999534885297,20.816491974339964,23.63527591698137,26.92457820292951,26.24947248971161,27.6129420976036,32.705252118438295,31.272668951178957,33.116594044698374,33.86727146729994,38.251716489693536,36.9521479579914,38.88599926478976,38.85017814979742,39.754814887256494,45.15074420027764
Trial_15,-1.4474142080896473,6.025124813120973,11.837335446011373,17.62810382966786,23.1164057458963,22.86626919575317,25.325323132519237,30.51926631545913,31.459441877485432,36.5114706095075,38.45921441748147,37.01472075016928,37.49367192193085,38.46311319139682,41.12282674981596,41.71311513967202,45.02293461761622,41.05281868356062,41.05384136844728,42.739989708568636,45.54990883297153
