,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10,Generation_11,Generation_12,Generation_13,Generation_14,Generation_15,Generation_16,Generation_17,Generation_18,Generation_19,Generation_20,Generation_21
Trial_1,14.544942303202355,15.746478510384168,18.458723878516903,21.1612383177958,22.997165358985054,24.382508585009937,26.464715039066288,26.051912653576405,26.26037232067039,28.25840286703648,27.21163325856911,30.429743727851715,30.038508026739002,31.322828388800318,31.387615595302588,31.904478062182072,31.374910959710924,31.587654807130143,34.90370304841495,34.22954137636709,33.319949053523096
Trial_2,7.875287949780412,11.76585424565005,12.802398443019312,14.948574748795059,16.425183576842727,18.348299015576373,22.879229086219173,24.52601188274791,26.49133057032996,25.186823552118476,26.996662659369278,28.21123471705574,29.242091170113163,30.278372923602387,31.726588440508028,31.61450255750992,32.43319659501699,32.8064007995921,35.44059678560741,35.414018734545024,36.357433986408516
Trial_3,9.274426362498604,12.681367196372562,11.718451697848925,14.172701163434075,15.227303892112262,14.975254318710174,16.284779523921433,16.629123167109288,17.492872631911812,18.87299084540618,22.431870346549644,23.424206004772937,23.864497431917847,25.00289870173661,26.009632909660652,25.884140117807792,25.89229233482345,25.932219968151955,24.57574830700615,27.171776334588085,27.666013502102807
Trial_4,9.227445031369806,12.488548413459064,11.140235179884762,10.73741318502431,11.33047782608526,11.018330512800729,11.49060943513743,13.580616653019113,14.122410763707768,14.769251786172868,16.54678361051436,16.766808484206848,16.62111581745442,20.79127578217924,22.46740621915006,24.258726507050476,27.497696457913122,26.016573630193925,28.095835396660622,27.94844425877445,28.901327227943867
Trial_5,13.071041785950245,13.586091657888616,14.77227680691029,15.098932344551194,17.97790227855983,20.096224601319726,19.767724860412997,20.31039682490019,20.855204785400524,21.886836056270436,22.951309591978074,23.553200090493412,23.132689039170636,26.0570361827643,26.069903022715717,27.16050800636664,27.420692101201215,28.110711585608144,28.127376923566626,27.34099556107176,29.441358836141216
Trial_6,10.756743871916832,13.414599679427095,13.383231255938218,15.528803599389724,15.715228835709418,16.3731472600802,17.497840386078217,18.50318289623479,19.929660686729427,21.810497338932425,23.552715219020733,24.919929617950203,26.95345790623333,26.73516888332094,27.895772639569426,28.111564652058334,28.803936900836263,29.212250376869328,30.12596322182275,28.470137557897186,29.19656236144584
Trial_7,8.88356789405511,12.02436128991203,11.458179488186543,12.249787180963166,12.58914440665674,17.190650174336213,21.228539986505158,23.42217020982966,25.193831947106165,25.725346689235117,25.850698987596104,26.747586802926012,27.976979410792,28.81191046621584,29.256980315655614,28.939159081855234,29.711243728748215,30.8653304162034,32.189792846217834,32.552371065388265,33.01283922337843
Trial_8,9.285110606864242,12.556060395254997,12.420185467630963,13.823502085044383,13.461741137832917,15.26637745095398,15.227142637424448,14.565514743874271,15.859918937467558,17.55365446769902,19.180615651105168,19.408994098172663,20.247886450239964,19.99178557377914,19.73801588838408,21.891709595765672,24.837834722912252,25.76596698920363,27.404395193563,27.682392894699444,29.88022751380226
Trial_9,10.35700477016224,11.922222731502464,9.836478923777406,10.358522289367864,9.632371547189063,11.72886426429687,13.306867437697855,15.393186060814665,17.647894880184797,18.66680377046909,18.023485726909684,19.41248981345318,20.134683893651033,21.148067836537944,22.469015799729842,23.66639179306228,24.962645296822476,24.122119793154056,26.804603746657268,27.199891638893785,29.25126652037182
Trial_10,9.97700974564895,11.808376186050067,12.299926734346114,12.220593206050813,14.700816739162741,15.292732975819607,15.340980417918695,14.404897931895793,17.728865049808128,19.69202153139738,20.061284133088375,21.128865874286486,22.121941977694295,25.63840813010035,25.08747529632376,26.076373923005516,25.810803380220875,25.60400955476695,26.631099578676697,27.35209679258174,27.55382262777117
Trial_11,9.085562938086648,11.645968217382613,12.641515015142486,17.117605931329297,20.42055986096027,21.496564785055586,25.03224315997174,25.051790325850416,26.248625040824074,27.16972916636248,27.995407975900097,29.49320947352893,31.1292367748707,31.619780884936336,31.774240856473345,32.73600181194793,32.871379132133825,32.63475167357088,32.571012196668036,34.04848582073492,34.72591593417385
Trial_12,9.070404639653356,13.676027824992467,14.07163672121603,14.920738889420662,16.2088015183178,16.83762834979759,18.417638777876213,18.275693512164533,19.875789760484935,20.633963576368743,21.77644928070044,21.22567322755172,23.358088173879118,24.111818009640096,25.79368894275368,25.64901129831044,27.333460942347028,28.20841082592093,29.738754050750597,30.426559907542174,31.94539988335882
Trial_13,9.057706989826539,13.430917058011854,13.01969525748572,14.355888334646952,15.320167479408164,14.929941410832482,16.948325374760284,17.976259659419732,18.547860044461522,18.447734045914448,20.016896857638265,22.449498217853442,24.49464544320771,24.26237942052358,28.08101592658606,28.576945221628367,27.827061030857745,28.45606745803208,30.266473170952235,30.600657293633624,32.17871099726368
Trial_14,12.146538028481626,13.703937914013009,13.965460713886335,14.459301382747528,18.195196867713797,20.91547638548092,21.638674697314144,24.508997243738275,26.469608338498823,27.686850638622932,29.7849595963149,30.694926967657675,32.4805721293421,33.36264132131564,34.38534678025821,33.580035961732534,36.571509299074926,36.517024209875196,37.50086062126076,38.33336070476243,37.58554642929633
Trial_15,8.594624792865844,14.446003245056907,17.20197541168214,21.44844904655358,23.409239439775174,26.321675761751173,27.6081868117899,29.03561031995486,30.269884711717438,29.203424055463344,31.726454144015015,33.701281866626935,34.11517872295188,34.6029603300008,34.88434344356849,35.18638718319781,33.426598304356,35.62908072843205,36.338255606308465,36.24522013210479,36.01311618343279
